Time,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC,Twix Camping 30s TVC
1.5,0.4633,0.6688,0.5435,0.655,0.5512,0.6031,0.4933,0.5411,0.5172,0.4454,0.528,0.4867
1.6,0.4944,0.6787,0.5509,0.656,0.5493,0.6027,0.4787,0.5528,0.5158,0.4511,0.5388,0.495
1.7,0.5214,0.6867,0.5577,0.6535,0.5472,0.6004,0.4644,0.5617,0.5131,0.4572,0.5499,0.5035
1.8,0.545,0.6926,0.5632,0.6473,0.5447,0.596,0.4503,0.5668,0.5086,0.4634,0.5607,0.5121
1.9,0.5653,0.6957,0.5669,0.6374,0.5418,0.5896,0.4361,0.5672,0.5017,0.4696,0.571,0.5203
2,0.5824,0.6959,0.5687,0.6241,0.538,0.581,0.4218,0.5623,0.4921,0.4755,0.5805,0.528
2.1,0.5961,0.6931,0.5688,0.6079,0.533,0.5704,0.4075,0.5525,0.48,0.4807,0.5883,0.5345
2.2,0.6065,0.6874,0.5675,0.5895,0.527,0.5583,0.3937,0.5386,0.4661,0.4845,0.5932,0.5389
2.3,0.614,0.6796,0.5647,0.5702,0.5201,0.5452,0.3805,0.5214,0.451,0.4866,0.5939,0.5403
2.4,0.6186,0.6707,0.5604,0.551,0.5125,0.5318,0.3682,0.5018,0.435,0.4867,0.5896,0.5382
2.5,0.6194,0.6616,0.5546,0.5332,0.5047,0.519,0.3571,0.4807,0.4189,0.4848,0.5805,0.5327
2.6,0.6145,0.653,0.5481,0.5177,0.4971,0.5074,0.3474,0.4592,0.4033,0.4812,0.5675,0.5244
2.7,0.6029,0.6455,0.5421,0.5053,0.4902,0.4978,0.3396,0.4387,0.3891,0.4762,0.552,0.5141
2.8,0.5839,0.6393,0.5373,0.4964,0.4846,0.4905,0.3333,0.4201,0.3767,0.47,0.5346,0.5023
2.9,0.5581,0.6347,0.5335,0.4914,0.4802,0.4858,0.3277,0.4035,0.3656,0.4624,0.5158,0.4891
3,0.5268,0.6324,0.5304,0.4905,0.4768,0.4837,0.3215,0.3886,0.355,0.4533,0.4958,0.4746
3.1,0.4917,0.6326,0.5279,0.4938,0.4742,0.484,0.3143,0.3754,0.3449,0.4427,0.4755,0.4591
3.2,0.4543,0.6353,0.5267,0.5006,0.4723,0.4864,0.3064,0.3643,0.3354,0.431,0.456,0.4435
3.3,0.4156,0.6402,0.5274,0.5096,0.4709,0.4902,0.2981,0.3556,0.3268,0.4186,0.4381,0.4284
3.4,0.3766,0.6467,0.5302,0.5196,0.4696,0.4946,0.2896,0.3487,0.3192,0.4053,0.422,0.4137
3.5,0.339,0.6549,0.5348,0.5301,0.4682,0.4992,0.2809,0.3426,0.3118,0.3911,0.4071,0.3991
3.6,0.3042,0.6644,0.5407,0.5408,0.4662,0.5035,0.2722,0.336,0.3041,0.376,0.3932,0.3846
3.7,0.2742,0.6751,0.5475,0.5518,0.4629,0.5073,0.2639,0.3286,0.2962,0.3602,0.3803,0.3703
3.8,0.2509,0.6865,0.5548,0.5626,0.4578,0.5102,0.2565,0.3205,0.2885,0.3448,0.3691,0.357
3.9,0.2352,0.6983,0.562,0.5725,0.451,0.5117,0.2506,0.3118,0.2812,0.3303,0.3604,0.3453
4,0.2259,0.7102,0.5686,0.5809,0.4425,0.5117,0.2465,0.3026,0.2746,0.3172,0.3543,0.3358
4.1,0.2212,0.7216,0.5744,0.5876,0.4329,0.5103,0.2446,0.2927,0.2687,0.3059,0.351,0.3284
4.2,0.2188,0.732,0.5799,0.5925,0.4223,0.5074,0.2454,0.2825,0.2639,0.2965,0.3506,0.3236
4.3,0.2164,0.7407,0.5856,0.5951,0.411,0.5031,0.2491,0.2726,0.2608,0.2894,0.3532,0.3213
4.4,0.2134,0.7463,0.591,0.595,0.3993,0.4972,0.2561,0.2638,0.26,0.2846,0.3585,0.3216
4.5,0.2106,0.748,0.5953,0.5918,0.388,0.4899,0.2663,0.2567,0.2615,0.2819,0.3658,0.3238
4.6,0.2092,0.7454,0.5977,0.586,0.3781,0.4821,0.2796,0.2508,0.2652,0.2807,0.3746,0.3276
4.7,0.2093,0.7386,0.5982,0.5781,0.3708,0.4745,0.2963,0.2463,0.2713,0.2807,0.3845,0.3326
4.8,0.2102,0.728,0.5975,0.5689,0.3664,0.4677,0.3161,0.2434,0.2797,0.2821,0.395,0.3386
4.9,0.2115,0.7139,0.5965,0.5589,0.3648,0.4619,0.3387,0.2427,0.2907,0.2849,0.4058,0.3453
5,0.2129,0.6965,0.5955,0.5483,0.3651,0.4567,0.3636,0.2449,0.3043,0.2892,0.4162,0.3527
5.1,0.2145,0.6758,0.5948,0.5367,0.3661,0.4514,0.39,0.2501,0.3201,0.295,0.4261,0.3606
5.2,0.2155,0.6519,0.594,0.5241,0.3667,0.4454,0.4167,0.2581,0.3374,0.3025,0.4357,0.3691
5.3,0.2144,0.6252,0.5933,0.5102,0.3667,0.4384,0.4425,0.2689,0.3557,0.312,0.4454,0.3787
5.4,0.2095,0.5961,0.5933,0.4948,0.366,0.4304,0.4665,0.2831,0.3748,0.3242,0.4556,0.3899
5.5,0.2003,0.5652,0.5943,0.4778,0.3648,0.4213,0.4885,0.301,0.3947,0.3392,0.4663,0.4028
5.6,0.1874,0.5333,0.5967,0.4593,0.3634,0.4114,0.5083,0.3225,0.4154,0.3567,0.4777,0.4172
5.7,0.1721,0.5012,0.6011,0.4401,0.3621,0.4011,0.5254,0.3469,0.4361,0.3761,0.4899,0.433
5.8,0.1557,0.4701,0.6078,0.4211,0.361,0.3911,0.5394,0.3733,0.4563,0.3969,0.5033,0.4501
5.9,0.139,0.4403,0.6172,0.4032,0.3604,0.3818,0.5498,0.4009,0.4753,0.4185,0.5181,0.4683
6,0.1231,0.4122,0.6291,0.3865,0.36,0.3732,0.5565,0.4294,0.493,0.44,0.5339,0.4869
6.1,0.1094,0.3865,0.643,0.3712,0.36,0.3656,0.5602,0.4586,0.5094,0.4611,0.5499,0.5055
6.2,0.0987,0.3642,0.6585,0.358,0.3611,0.3596,0.5613,0.4882,0.5247,0.4814,0.5653,0.5233
6.3,0.0917,0.3463,0.6749,0.3478,0.3636,0.3557,0.5603,0.5181,0.5392,0.5005,0.5794,0.5399
6.4,0.088,0.3329,0.6918,0.3407,0.367,0.3538,0.5582,0.548,0.5531,0.5187,0.5914,0.555
6.5,0.0868,0.3226,0.7087,0.3357,0.3702,0.3529,0.5557,0.5772,0.5665,0.5358,0.6009,0.5684
6.6,0.0873,0.3139,0.7251,0.3314,0.3716,0.3515,0.5533,0.6047,0.579,0.5511,0.6073,0.5792
6.7,0.0883,0.3064,0.7405,0.3273,0.3707,0.349,0.5513,0.6292,0.5902,0.5636,0.6096,0.5866
6.8,0.0893,0.301,0.7541,0.3236,0.3683,0.3459,0.5495,0.65,0.5998,0.5726,0.6075,0.5901
6.9,0.0896,0.2985,0.7654,0.3213,0.3652,0.3432,0.5482,0.6672,0.6077,0.5786,0.6018,0.5902
7,0.0882,0.299,0.774,0.3207,0.362,0.3413,0.5475,0.6811,0.6143,0.5825,0.5934,0.5879
7.1,0.0838,0.3018,0.7797,0.3214,0.3589,0.3402,0.5476,0.6921,0.6199,0.585,0.5829,0.584
7.2,0.0758,0.3053,0.7824,0.3234,0.3559,0.3396,0.5484,0.7,0.6242,0.5863,0.5711,0.5787
7.3,0.0644,0.3087,0.7822,0.3267,0.3529,0.3398,0.5495,0.7047,0.6271,0.586,0.5581,0.5721
7.4,0.0507,0.3116,0.779,0.3315,0.3497,0.3406,0.5504,0.7059,0.6282,0.5837,0.5441,0.5639
7.5,0.0361,0.3137,0.7725,0.3376,0.3463,0.342,0.551,0.7039,0.6274,0.5795,0.5299,0.5547
7.6,0.0214,0.3148,0.7625,0.3443,0.3428,0.3436,0.551,0.699,0.625,0.574,0.5162,0.5451
7.7,0.0069,0.315,0.7484,0.351,0.3397,0.3454,0.5508,0.6917,0.6212,0.5673,0.5033,0.5353
7.8,-0.007,0.3148,0.7299,0.3578,0.3377,0.3478,0.5505,0.682,0.6163,0.5597,0.4913,0.5255
7.9,-0.0199,0.3147,0.7072,0.3649,0.3372,0.3511,0.5503,0.6702,0.6103,0.5514,0.4804,0.5159
8,-0.0313,0.315,0.6814,0.3723,0.3377,0.355,0.5503,0.6566,0.6034,0.5429,0.4711,0.507
8.1,-0.041,0.3157,0.6537,0.3792,0.3382,0.3587,0.5502,0.6413,0.5957,0.5344,0.4638,0.4991
8.2,-0.0487,0.3164,0.6247,0.3851,0.3379,0.3615,0.5498,0.6247,0.5873,0.5259,0.4585,0.4922
8.3,-0.054,0.3171,0.5947,0.3903,0.3362,0.3632,0.5493,0.607,0.5781,0.5172,0.4551,0.4862
8.4,-0.0564,0.3178,0.5645,0.395,0.3336,0.3643,0.5485,0.5887,0.5686,0.5081,0.4537,0.4809
8.5,-0.0556,0.3186,0.5355,0.3995,0.3308,0.3652,0.5475,0.5706,0.5591,0.4983,0.4542,0.4763
8.6,-0.0514,0.3199,0.5103,0.404,0.3282,0.3661,0.5465,0.554,0.5503,0.4883,0.4572,0.4728
8.7,-0.0436,0.3221,0.4914,0.4083,0.3263,0.3673,0.5459,0.5396,0.5428,0.4788,0.4632,0.471
8.8,-0.0316,0.3253,0.4808,0.4126,0.3252,0.3689,0.5462,0.5279,0.537,0.4705,0.4727,0.4716
8.9,-0.0142,0.33,0.4794,0.4171,0.3252,0.3712,0.5475,0.5183,0.5329,0.4637,0.4853,0.4745
9,0.009,0.3367,0.4869,0.4225,0.3268,0.3747,0.5499,0.5109,0.5304,0.4586,0.5004,0.4795
9.1,0.038,0.3461,0.5022,0.4295,0.3304,0.3799,0.5531,0.5055,0.5293,0.4557,0.5171,0.4864
9.2,0.0716,0.3588,0.523,0.4384,0.3362,0.3873,0.5569,0.5022,0.5296,0.4552,0.5349,0.495
9.3,0.1087,0.3756,0.5471,0.4495,0.3445,0.397,0.5614,0.5011,0.5313,0.4574,0.5533,0.5053
9.4,0.1485,0.3963,0.5732,0.4629,0.3548,0.4089,0.5669,0.502,0.5345,0.4622,0.572,0.5171
9.5,0.1902,0.4208,0.6004,0.4785,0.367,0.4228,0.5736,0.505,0.5393,0.4698,0.5906,0.5302
9.6,0.2325,0.4478,0.6284,0.4958,0.3802,0.438,0.5813,0.5097,0.5455,0.4804,0.6088,0.5446
9.7,0.2742,0.4759,0.6561,0.5138,0.3933,0.4535,0.5894,0.5157,0.5525,0.4939,0.6261,0.56
9.8,0.314,0.5035,0.6818,0.5314,0.4054,0.4684,0.5968,0.5219,0.5593,0.5102,0.6421,0.5762
9.9,0.3508,0.5297,0.7039,0.5479,0.4161,0.482,0.6027,0.5271,0.5649,0.5284,0.6566,0.5925
10,0.3836,0.5541,0.7215,0.5627,0.4259,0.4943,0.6063,0.5308,0.5685,0.5478,0.6692,0.6085
10.1,0.411,0.5764,0.7346,0.5752,0.4353,0.5052,0.6071,0.5328,0.5699,0.5677,0.6795,0.6236
10.2,0.4326,0.596,0.7431,0.5846,0.4438,0.5142,0.6051,0.5332,0.5692,0.5878,0.6872,0.6375
10.3,0.4483,0.612,0.7471,0.5905,0.4505,0.5205,0.6004,0.5322,0.5663,0.6076,0.6922,0.6499
10.4,0.459,0.6234,0.7469,0.5923,0.4541,0.5232,0.5932,0.53,0.5616,0.6269,0.6943,0.6606
10.5,0.4655,0.6301,0.7428,0.5903,0.4542,0.5222,0.5838,0.5265,0.5551,0.6451,0.6936,0.6693
10.6,0.468,0.6321,0.7351,0.5846,0.4512,0.5179,0.5726,0.522,0.5473,0.6615,0.6902,0.6759
10.7,0.4664,0.6304,0.7242,0.5757,0.4456,0.5107,0.5598,0.5165,0.5381,0.6753,0.6842,0.6798
10.8,0.461,0.6256,0.7101,0.5639,0.4378,0.5009,0.5459,0.5099,0.5279,0.6858,0.6758,0.6808
10.9,0.4525,0.6185,0.6929,0.5497,0.4279,0.4888,0.531,0.5023,0.5167,0.693,0.6652,0.6791
11,0.4416,0.6095,0.6732,0.5335,0.4158,0.4746,0.5153,0.4935,0.5044,0.6967,0.6528,0.6747
11.1,0.4293,0.5991,0.6513,0.5157,0.4019,0.4588,0.499,0.4834,0.4912,0.6971,0.6384,0.6677
11.2,0.4163,0.5878,0.6282,0.497,0.3866,0.4418,0.4822,0.4715,0.4769,0.6935,0.6222,0.6579
11.3,0.4031,0.5761,0.6046,0.4776,0.3698,0.4237,0.4648,0.4574,0.4611,0.6858,0.6046,0.6452
11.4,0.3892,0.5646,0.5812,0.4579,0.3516,0.4047,0.4466,0.4407,0.4437,0.6744,0.5861,0.6302
11.5,0.3742,0.5537,0.5583,0.4384,0.3323,0.3853,0.4279,0.4214,0.4246,0.6602,0.5678,0.614
11.6,0.3576,0.5438,0.5362,0.4193,0.3128,0.3661,0.4091,0.3998,0.4044,0.6442,0.5505,0.5974
11.7,0.3393,0.5353,0.5151,0.4012,0.2941,0.3476,0.3909,0.3764,0.3837,0.6274,0.5349,0.5811
11.8,0.3199,0.5287,0.4954,0.384,0.2767,0.3303,0.3741,0.3521,0.3631,0.6104,0.5212,0.5658
11.9,0.2999,0.5246,0.4775,0.3676,0.2608,0.3142,0.3593,0.3271,0.3432,0.5945,0.5099,0.5522
12,0.2798,0.5233,0.4615,0.3518,0.2466,0.2992,0.3469,0.3014,0.3242,0.5809,0.5017,0.5413
12.1,0.2595,0.5249,0.4472,0.3361,0.2346,0.2853,0.3372,0.2749,0.3061,0.5709,0.497,0.534
12.2,0.2381,0.529,0.4341,0.3205,0.2252,0.2729,0.3302,0.2478,0.289,0.5653,0.4957,0.5305
12.3,0.2143,0.5354,0.4218,0.3055,0.2191,0.2623,0.3261,0.221,0.2735,0.5641,0.4972,0.5306
12.4,0.187,0.5436,0.4104,0.2913,0.2163,0.2538,0.3252,0.1956,0.2604,0.5674,0.5012,0.5343
12.5,0.1561,0.5528,0.4003,0.2784,0.2165,0.2474,0.3279,0.1729,0.2504,0.5751,0.5079,0.5415
12.6,0.1224,0.5624,0.3924,0.2666,0.2196,0.2431,0.3346,0.1539,0.2443,0.5869,0.5174,0.5522
12.7,0.0872,0.5714,0.3875,0.2554,0.2255,0.2404,0.3458,0.1388,0.2423,0.6026,0.5293,0.566
12.8,0.0522,0.5791,0.3869,0.2439,0.2342,0.239,0.3617,0.1283,0.245,0.6218,0.5431,0.5824
12.9,0.0182,0.5849,0.3912,0.2317,0.2455,0.2386,0.3823,0.1233,0.2528,0.6441,0.5585,0.6013
13,-0.0141,0.5889,0.4005,0.2186,0.2593,0.239,0.4076,0.1245,0.266,0.6693,0.5758,0.6226
13.1,-0.0445,0.591,0.4137,0.2055,0.2758,0.2407,0.4375,0.1318,0.2847,0.6969,0.5949,0.6459
13.2,-0.0722,0.5913,0.4292,0.1931,0.2952,0.2441,0.4714,0.1443,0.3079,0.7258,0.6151,0.6705
13.3,-0.0966,0.5897,0.4459,0.1816,0.3182,0.2499,0.5084,0.161,0.3347,0.7548,0.6355,0.6951
13.4,-0.1169,0.5862,0.463,0.1716,0.3452,0.2584,0.5475,0.1808,0.3642,0.783,0.6547,0.7189
13.5,-0.1324,0.5813,0.4802,0.1642,0.3763,0.2703,0.5879,0.2036,0.3958,0.8095,0.6722,0.7408
13.6,-0.142,0.5762,0.497,0.1612,0.4108,0.286,0.6288,0.2289,0.4288,0.8332,0.6876,0.7604
13.7,-0.1446,0.572,0.5127,0.1646,0.4476,0.3061,0.6688,0.2562,0.4625,0.8529,0.7003,0.7766
13.8,-0.1392,0.5696,0.5259,0.1761,0.4856,0.3308,0.7065,0.2846,0.4955,0.8673,0.7094,0.7884
13.9,-0.1255,0.569,0.5359,0.1955,0.5232,0.3593,0.7404,0.3132,0.5268,0.8749,0.7143,0.7946
14,-0.1044,0.5698,0.5427,0.2214,0.5588,0.3901,0.7695,0.3412,0.5553,0.8751,0.7148,0.7949
14.1,-0.0768,0.5716,0.5469,0.2517,0.5908,0.4213,0.7932,0.368,0.5806,0.8688,0.7119,0.7904
14.2,-0.0435,0.5742,0.549,0.2847,0.6181,0.4514,0.8112,0.3927,0.602,0.8576,0.7068,0.7822
14.3,-0.0053,0.5779,0.5493,0.319,0.6408,0.4799,0.823,0.415,0.619,0.8425,0.6999,0.7712
14.4,0.0361,0.5829,0.5476,0.3532,0.6595,0.5063,0.8284,0.4341,0.6313,0.8239,0.6915,0.7577
14.5,0.0785,0.5892,0.5438,0.3858,0.6749,0.5303,0.828,0.4502,0.6391,0.802,0.6819,0.7419
14.6,0.1192,0.5963,0.5382,0.415,0.6878,0.5514,0.8224,0.4631,0.6427,0.777,0.6712,0.7241
14.7,0.1563,0.6037,0.5314,0.4394,0.6982,0.5688,0.8126,0.4729,0.6428,0.7501,0.6604,0.7053
14.8,0.1888,0.6109,0.524,0.4582,0.7062,0.5822,0.7997,0.4796,0.6396,0.7227,0.6501,0.6864
14.9,0.2176,0.6175,0.5166,0.471,0.711,0.591,0.7842,0.4833,0.6337,0.6955,0.6404,0.6679
15,0.244,0.6228,0.5094,0.4777,0.7119,0.5948,0.7668,0.4843,0.6256,0.6688,0.6312,0.65
15.1,0.2689,0.6265,0.5029,0.4785,0.7081,0.5933,0.7482,0.4827,0.6155,0.6424,0.6224,0.6324
15.2,0.2924,0.6279,0.4974,0.4739,0.699,0.5865,0.7287,0.4784,0.6035,0.6167,0.6143,0.6155
15.3,0.3142,0.6269,0.4932,0.4646,0.685,0.5748,0.7087,0.4712,0.59,0.5919,0.6071,0.5995
15.4,0.3338,0.623,0.4903,0.4514,0.6664,0.5589,0.6886,0.4616,0.5751,0.5683,0.601,0.5846
15.5,0.3516,0.6163,0.4887,0.4354,0.6437,0.5395,0.669,0.45,0.5595,0.5459,0.5955,0.5707
15.6,0.3686,0.6069,0.4879,0.4178,0.617,0.5174,0.6507,0.4374,0.544,0.5251,0.59,0.5575
15.7,0.386,0.5954,0.4876,0.4001,0.5867,0.4934,0.6341,0.4244,0.5293,0.5064,0.5843,0.5453
15.8,0.4048,0.5828,0.4878,0.3832,0.5536,0.4684,0.6198,0.4112,0.5155,0.4901,0.5781,0.5341
15.9,0.4249,0.57,0.488,0.3678,0.5183,0.4431,0.6072,0.3978,0.5025,0.4763,0.5714,0.5238
16,0.445,0.5575,0.4883,0.3542,0.4819,0.418,0.596,0.384,0.49,0.4642,0.564,0.5141
16.1,0.4638,0.5459,0.4889,0.3426,0.445,0.3938,0.5858,0.37,0.4779,0.4533,0.5557,0.5045
16.2,0.4799,0.5356,0.49,0.3335,0.4086,0.371,0.5772,0.3568,0.467,0.4437,0.547,0.4953
16.3,0.4927,0.527,0.4916,0.3271,0.3736,0.3503,0.5707,0.3453,0.458,0.436,0.5387,0.4873
16.4,0.5014,0.5211,0.4935,0.3236,0.3414,0.3325,0.5666,0.3358,0.4512,0.431,0.5311,0.481
16.5,0.5057,0.5181,0.4952,0.3231,0.3132,0.3182,0.5647,0.328,0.4463,0.4289,0.5243,0.4766
16.6,0.5054,0.5182,0.4963,0.3253,0.2892,0.3073,0.5647,0.3213,0.443,0.4291,0.5179,0.4735
16.7,0.5015,0.521,0.4966,0.3299,0.2694,0.2996,0.5659,0.3154,0.4407,0.4304,0.5115,0.4709
16.8,0.4954,0.5259,0.496,0.3369,0.2534,0.2952,0.5679,0.3104,0.4391,0.432,0.5046,0.4683
16.9,0.4889,0.5328,0.4944,0.3462,0.2413,0.2937,0.5706,0.3064,0.4385,0.4331,0.4971,0.4651
17,0.4832,0.5411,0.4916,0.3574,0.233,0.2952,0.5739,0.3037,0.4388,0.4332,0.4889,0.4611
17.1,0.4787,0.5503,0.4873,0.3701,0.2288,0.2995,0.5779,0.3025,0.4402,0.4323,0.4801,0.4562
17.2,0.4758,0.5597,0.4818,0.3838,0.2287,0.3063,0.5827,0.3032,0.443,0.4301,0.4712,0.4506
17.3,0.4741,0.5689,0.4755,0.3981,0.2328,0.3154,0.5885,0.3063,0.4474,0.4269,0.4629,0.4449
17.4,0.4732,0.578,0.469,0.4126,0.2417,0.3271,0.5954,0.312,0.4537,0.4232,0.456,0.4396
17.5,0.473,0.5875,0.4624,0.4279,0.2558,0.3419,0.6034,0.3201,0.4617,0.419,0.4506,0.4348
17.6,0.4741,0.5975,0.4555,0.4451,0.2745,0.3598,0.6125,0.3297,0.4711,0.414,0.4464,0.4302
17.7,0.4773,0.6076,0.4481,0.4649,0.2964,0.3806,0.6225,0.3402,0.4814,0.4079,0.443,0.4254
17.8,0.4839,0.617,0.4402,0.4874,0.3196,0.4035,0.6331,0.3514,0.4922,0.4005,0.4402,0.4203
17.9,0.4943,0.6252,0.4323,0.512,0.3427,0.4273,0.6438,0.3632,0.5035,0.3921,0.4383,0.4152
18,0.5087,0.632,0.4251,0.5378,0.3644,0.4511,0.6546,0.3753,0.515,0.3834,0.4373,0.4103
18.1,0.5263,0.6374,0.4188,0.5642,0.3837,0.474,0.6651,0.387,0.526,0.3744,0.4369,0.4057
18.2,0.5466,0.6415,0.4129,0.5907,0.3995,0.4951,0.6746,0.3975,0.536,0.365,0.4368,0.4009
18.3,0.5693,0.6438,0.4073,0.6164,0.4109,0.5136,0.6827,0.406,0.5443,0.355,0.4363,0.3956
18.4,0.5938,0.6439,0.402,0.6399,0.4178,0.5288,0.689,0.4123,0.5507,0.3449,0.4354,0.3901
18.5,0.619,0.6417,0.3976,0.6598,0.421,0.5404,0.6938,0.4164,0.5551,0.3357,0.4343,0.385
18.6,0.6434,0.6376,0.395,0.6752,0.4216,0.5484,0.6974,0.4183,0.5578,0.3284,0.4332,0.3808
18.7,0.6648,0.6321,0.3945,0.6859,0.4206,0.5533,0.7003,0.4184,0.5593,0.3238,0.4318,0.3778
18.8,0.6817,0.6255,0.3962,0.6922,0.4182,0.5552,0.7029,0.417,0.5599,0.3222,0.4297,0.376
18.9,0.6925,0.6178,0.3998,0.6941,0.4146,0.5544,0.7051,0.4145,0.5598,0.3238,0.427,0.3754
19,0.6962,0.6091,0.4052,0.6918,0.4102,0.551,0.7069,0.4113,0.5591,0.3283,0.4244,0.3764
19.1,0.6918,0.5999,0.4122,0.6854,0.4055,0.5455,0.7075,0.4076,0.5575,0.3353,0.4226,0.3789
19.2,0.6786,0.5907,0.421,0.6752,0.4011,0.5381,0.7066,0.4034,0.555,0.3442,0.4219,0.3831
19.3,0.6571,0.5812,0.4314,0.6616,0.3969,0.5293,0.7043,0.3989,0.5516,0.355,0.4226,0.3888
19.4,0.6293,0.5715,0.4434,0.6453,0.3932,0.5193,0.7006,0.3944,0.5475,0.3673,0.4245,0.3959
19.5,0.5976,0.5616,0.4567,0.6269,0.3901,0.5085,0.6957,0.3908,0.5433,0.381,0.4275,0.4042
19.6,0.5639,0.5518,0.4709,0.6067,0.3881,0.4974,0.6897,0.3889,0.5393,0.3955,0.4313,0.4134
19.7,0.5293,0.5428,0.4849,0.585,0.3876,0.4863,0.6821,0.3889,0.5355,0.4102,0.435,0.4226
19.8,0.4948,0.5344,0.4979,0.562,0.3879,0.4749,0.6729,0.3904,0.5316,0.4242,0.4375,0.4309
19.9,0.4616,0.5262,0.5089,0.5385,0.3878,0.4631,0.662,0.3924,0.5272,0.4369,0.4383,0.4376
20,0.4317,0.5173,0.5171,0.5151,0.3861,0.4506,0.6497,0.3945,0.5221,0.4481,0.4372,0.4426
20.1,0.4062,0.5073,0.5221,0.4922,0.3825,0.4374,0.6368,0.397,0.5169,0.458,0.4347,0.4463
20.2,0.3847,0.4966,0.5241,0.4699,0.3779,0.4239,0.6243,0.4004,0.5124,0.4669,0.4316,0.4493
20.3,0.3652,0.4861,0.5238,0.4485,0.373,0.4107,0.6135,0.4054,0.5094,0.475,0.4285,0.4518
20.4,0.3459,0.477,0.5225,0.4287,0.3684,0.3985,0.6052,0.4122,0.5087,0.4825,0.426,0.4542
20.5,0.3267,0.47,0.5214,0.4115,0.3643,0.3879,0.5998,0.4204,0.5101,0.4893,0.4246,0.457
20.6,0.3085,0.4653,0.5213,0.3979,0.3608,0.3793,0.5972,0.4296,0.5134,0.4957,0.4251,0.4604
20.7,0.2921,0.4626,0.5227,0.3882,0.3581,0.3732,0.5966,0.439,0.5178,0.502,0.4277,0.4648
20.8,0.2777,0.4616,0.526,0.3822,0.3563,0.3692,0.597,0.4482,0.5226,0.5083,0.4323,0.4703
20.9,0.2648,0.4616,0.5311,0.3791,0.3551,0.3671,0.5973,0.4562,0.5267,0.5147,0.4384,0.4765
21,0.2522,0.4619,0.5376,0.3782,0.3538,0.366,0.5963,0.4626,0.5294,0.521,0.4458,0.4834
21.1,0.2389,0.4625,0.5451,0.3788,0.3524,0.3656,0.5935,0.4671,0.5303,0.5273,0.4543,0.4908
21.2,0.2238,0.4634,0.5535,0.3807,0.3519,0.3663,0.5889,0.4701,0.5295,0.5337,0.4641,0.4989
21.3,0.206,0.4649,0.5627,0.3833,0.3536,0.3684,0.5826,0.4719,0.5272,0.54,0.4751,0.5076
21.4,0.1847,0.4669,0.5729,0.3864,0.3581,0.3723,0.575,0.4726,0.5238,0.5459,0.4872,0.5165
21.5,0.1604,0.469,0.584,0.3897,0.3653,0.3775,0.5668,0.472,0.5194,0.5516,0.4999,0.5258
