Time,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian
7.4,0.0897,0.7197,0.7395,0.5908,0.6315,0.6111,0.7018,0.717,0.7094,0.7616,0.6471,0.7043
7.5,0.0502,0.7218,0.7374,0.5759,0.6399,0.6079,0.6974,0.7286,0.713,0.7758,0.6532,0.7145
7.6,0.0153,0.7221,0.7411,0.5612,0.6459,0.6036,0.6948,0.7411,0.718,0.7916,0.6618,0.7267
7.7,-0.0157,0.7199,0.751,0.5467,0.6489,0.5978,0.6948,0.7544,0.7246,0.8084,0.6726,0.7405
7.8,-0.045,0.7145,0.7668,0.5316,0.6485,0.5901,0.6976,0.7682,0.7329,0.8257,0.6849,0.7553
7.9,-0.075,0.7055,0.7878,0.5157,0.6445,0.5801,0.7028,0.7822,0.7425,0.8426,0.6981,0.7703
8,-0.1069,0.6925,0.8125,0.4988,0.637,0.5679,0.7096,0.796,0.7528,0.8586,0.7115,0.7851
8.1,-0.1406,0.6752,0.8394,0.4814,0.6266,0.554,0.7173,0.8094,0.7634,0.8735,0.7253,0.7994
8.2,-0.1751,0.6535,0.8676,0.464,0.6139,0.5389,0.7255,0.8227,0.7741,0.8874,0.7394,0.8134
8.3,-0.2091,0.6273,0.8966,0.447,0.5992,0.5231,0.734,0.8362,0.7851,0.9007,0.7535,0.8271
8.4,-0.2412,0.5971,0.9257,0.4305,0.5829,0.5067,0.7426,0.8499,0.7963,0.9133,0.767,0.8402
8.5,-0.2701,0.5635,0.9535,0.4146,0.5652,0.4899,0.7511,0.8634,0.8072,0.9251,0.7793,0.8522
8.6,-0.2948,0.5273,0.9784,0.3995,0.5467,0.4731,0.7596,0.8762,0.8179,0.936,0.7901,0.863
8.7,-0.3147,0.4895,0.9993,0.3855,0.5281,0.4568,0.7686,0.8881,0.8283,0.946,0.7994,0.8727
8.8,-0.3286,0.4511,1.0159,0.3733,0.5103,0.4418,0.7784,0.8992,0.8388,0.9557,0.8077,0.8817
8.9,-0.3347,0.4139,1.0288,0.364,0.4945,0.4292,0.7896,0.91,0.8498,0.9655,0.8157,0.8906
9,-0.3308,0.3789,1.038,0.3581,0.4818,0.42,0.8018,0.92,0.8609,0.9754,0.8234,0.8994
9.1,-0.3156,0.3469,1.0425,0.3561,0.4727,0.4144,0.8142,0.9281,0.8711,0.9844,0.8303,0.9073
9.2,-0.2891,0.3183,1.0412,0.3579,0.4678,0.4128,0.8255,0.9332,0.8793,0.9914,0.8358,0.9136
9.3,-0.2528,0.2944,1.0338,0.3637,0.468,0.4158,0.8355,0.9349,0.8852,0.9961,0.8398,0.9179
9.4,-0.2084,0.2762,1.0206,0.3736,0.4738,0.4237,0.8445,0.9336,0.889,0.9985,0.8425,0.9205
9.5,-0.1568,0.2647,1.0021,0.3875,0.485,0.4363,0.8527,0.9298,0.8912,0.9984,0.8438,0.9211
9.6,-0.0993,0.2602,0.9783,0.4051,0.5008,0.4529,0.8604,0.9229,0.8917,0.9951,0.8431,0.9191
9.7,-0.0376,0.2626,0.9494,0.4256,0.5197,0.4727,0.8674,0.9124,0.8899,0.9883,0.8393,0.9138
9.8,0.0261,0.2713,0.9167,0.4484,0.5405,0.4945,0.8734,0.8982,0.8858,0.9781,0.8319,0.905
9.9,0.0891,0.2856,0.8839,0.4729,0.5618,0.5173,0.8782,0.882,0.8801,0.966,0.822,0.894
10,0.1488,0.3052,0.8552,0.4983,0.5826,0.5404,0.8821,0.8662,0.8741,0.9534,0.8115,0.8825
10.1,0.2027,0.3291,0.8337,0.5239,0.6021,0.563,0.8853,0.8527,0.869,0.9414,0.8019,0.8717
10.2,0.2489,0.356,0.8202,0.5484,0.6195,0.584,0.8879,0.8423,0.8651,0.9303,0.7943,0.8623
10.3,0.2859,0.3838,0.8142,0.5702,0.6339,0.6021,0.8901,0.8348,0.8624,0.9203,0.7888,0.8546
10.4,0.3121,0.4102,0.8148,0.588,0.6439,0.616,0.8919,0.8294,0.8607,0.9114,0.7847,0.8481
10.5,0.3262,0.4334,0.8203,0.6011,0.6485,0.6248,0.893,0.8258,0.8594,0.9035,0.7811,0.8423
10.6,0.3274,0.4528,0.8288,0.6095,0.6477,0.6286,0.8926,0.8234,0.858,0.8963,0.7773,0.8368
10.7,0.3156,0.4684,0.8378,0.614,0.6422,0.6281,0.8898,0.8217,0.8557,0.8891,0.7726,0.8309
10.8,0.2917,0.4808,0.8455,0.6157,0.6329,0.6243,0.8843,0.8203,0.8523,0.8815,0.7668,0.8242
10.9,0.2585,0.4906,0.8513,0.6154,0.6208,0.6181,0.8763,0.8192,0.8478,0.8734,0.7599,0.8167
11,0.2188,0.4985,0.8547,0.6142,0.6068,0.6105,0.8664,0.8181,0.8422,0.865,0.7518,0.8084
11.1,0.1751,0.5046,0.8556,0.6122,0.5911,0.6017,0.8546,0.817,0.8358,0.8561,0.7427,0.7994
11.2,0.1291,0.5084,0.8539,0.6093,0.5739,0.5916,0.8407,0.8155,0.8281,0.8464,0.733,0.7897
11.3,0.0817,0.5094,0.8487,0.6046,0.5549,0.5798,0.8239,0.8128,0.8183,0.8354,0.7227,0.779
11.4,0.0349,0.507,0.8392,0.598,0.5341,0.5661,0.8036,0.808,0.8058,0.8227,0.712,0.7674
11.5,-0.0092,0.5012,0.8255,0.5893,0.5115,0.5504,0.7797,0.8011,0.7904,0.8081,0.7007,0.7544
11.6,-0.0496,0.4921,0.8082,0.5786,0.487,0.5328,0.7523,0.7918,0.772,0.7908,0.6886,0.7397
11.7,-0.0865,0.4801,0.7882,0.5659,0.4605,0.5132,0.7212,0.7801,0.7506,0.7705,0.6755,0.723
11.8,-0.1201,0.4653,0.766,0.5511,0.432,0.4916,0.687,0.7652,0.7261,0.7468,0.6618,0.7043
11.9,-0.1509,0.4487,0.7425,0.5342,0.4019,0.468,0.6504,0.747,0.6987,0.7198,0.6478,0.6838
12,-0.1778,0.4312,0.7189,0.5156,0.3709,0.4432,0.6129,0.7259,0.6694,0.69,0.6338,0.6619
12.1,-0.1998,0.4139,0.6964,0.4961,0.3407,0.4184,0.5761,0.7025,0.6393,0.6585,0.62,0.6392
12.2,-0.217,0.3979,0.676,0.4771,0.3134,0.3952,0.5413,0.6779,0.6096,0.6259,0.6064,0.6161
12.3,-0.2301,0.3842,0.6586,0.4596,0.2903,0.375,0.5096,0.6529,0.5813,0.5933,0.5933,0.5933
12.4,-0.2408,0.3738,0.6442,0.4444,0.2722,0.3583,0.482,0.6279,0.555,0.5619,0.5813,0.5716
12.5,-0.2502,0.3678,0.6329,0.4318,0.2591,0.3454,0.4595,0.6034,0.5314,0.5329,0.5707,0.5518
12.6,-0.2574,0.3666,0.6244,0.4223,0.2508,0.3365,0.443,0.5802,0.5116,0.5072,0.5618,0.5345
12.7,-0.2601,0.3702,0.6179,0.4159,0.2474,0.3317,0.4337,0.5591,0.4964,0.4856,0.5547,0.5202
12.8,-0.2564,0.3786,0.6129,0.4131,0.2492,0.3312,0.4318,0.5407,0.4863,0.4685,0.5497,0.5091
12.9,-0.2447,0.392,0.6092,0.4145,0.2569,0.3357,0.4374,0.5256,0.4815,0.4559,0.5471,0.5015
13,-0.225,0.4105,0.6069,0.4205,0.2713,0.3459,0.4503,0.5143,0.4823,0.4482,0.5476,0.4979
13.1,-0.1974,0.4338,0.6064,0.4316,0.2936,0.3626,0.4704,0.5074,0.4889,0.4458,0.5519,0.4989
13.2,-0.1627,0.4616,0.608,0.4483,0.3247,0.3865,0.4972,0.5058,0.5015,0.4493,0.5612,0.5052
13.3,-0.1234,0.493,0.6115,0.4708,0.3646,0.4177,0.5295,0.5099,0.5197,0.4588,0.5759,0.5174
13.4,-0.0834,0.5274,0.6167,0.4985,0.4122,0.4554,0.5656,0.5197,0.5426,0.4736,0.5959,0.5347
13.5,-0.0464,0.5634,0.6231,0.5305,0.465,0.4977,0.6038,0.5345,0.5692,0.493,0.6201,0.5565
13.6,-0.0154,0.5996,0.6308,0.565,0.5202,0.5426,0.6433,0.5536,0.5984,0.5169,0.6475,0.5822
13.7,0.0074,0.6348,0.6403,0.6004,0.5753,0.5879,0.6831,0.5769,0.63,0.545,0.6772,0.6111
13.8,0.0207,0.668,0.6515,0.6354,0.628,0.6317,0.7222,0.6041,0.6632,0.5766,0.7075,0.6421
13.9,0.0243,0.6981,0.6643,0.6688,0.676,0.6724,0.7597,0.6348,0.6972,0.6108,0.7375,0.6741
14,0.019,0.7246,0.6786,0.6994,0.7174,0.7084,0.7946,0.6683,0.7314,0.6467,0.7669,0.7068
14.1,0.0068,0.7465,0.6945,0.7262,0.7513,0.7387,0.8266,0.7037,0.7652,0.6836,0.7957,0.7396
14.2,-0.0086,0.763,0.7117,0.7484,0.7771,0.7627,0.8558,0.74,0.7979,0.7203,0.8235,0.7719
14.3,-0.0229,0.7734,0.7306,0.7655,0.7949,0.7802,0.882,0.7764,0.8292,0.7555,0.8497,0.8026
14.4,-0.0324,0.7776,0.7509,0.7772,0.8055,0.7914,0.9048,0.812,0.8584,0.7876,0.8734,0.8305
14.5,-0.0346,0.7758,0.7723,0.7835,0.8093,0.7964,0.9237,0.8457,0.8847,0.8154,0.8942,0.8548
14.6,-0.0283,0.7683,0.7946,0.7847,0.807,0.7959,0.9383,0.8762,0.9072,0.8386,0.9116,0.8751
14.7,-0.0133,0.7559,0.8168,0.7815,0.7996,0.7905,0.9484,0.9021,0.9252,0.8572,0.9254,0.8913
14.8,0.0105,0.7403,0.8387,0.7749,0.7884,0.7816,0.9538,0.9227,0.9383,0.8709,0.9348,0.9028
14.9,0.0424,0.7234,0.8602,0.7662,0.775,0.7706,0.9546,0.9381,0.9463,0.8795,0.9394,0.9094
15,0.0805,0.7068,0.8809,0.7561,0.7602,0.7581,0.9507,0.9483,0.9495,0.8835,0.9391,0.9113
15.1,0.1222,0.6913,0.8997,0.7448,0.7446,0.7447,0.9427,0.9529,0.9478,0.8839,0.9345,0.9092
15.2,0.1661,0.6777,0.9152,0.7327,0.7286,0.7306,0.9312,0.9514,0.9413,0.8816,0.9257,0.9036
15.3,0.2106,0.6663,0.9261,0.7201,0.7129,0.7165,0.9173,0.9437,0.9305,0.8763,0.912,0.8942
15.4,0.2535,0.6578,0.9316,0.7077,0.6985,0.7031,0.9015,0.9302,0.9159,0.8678,0.8928,0.8803
15.5,0.2928,0.6525,0.932,0.6962,0.6862,0.6912,0.8844,0.912,0.8982,0.8561,0.8688,0.8624
15.6,0.3268,0.6505,0.928,0.6864,0.6764,0.6814,0.8664,0.8907,0.8786,0.842,0.8414,0.8417
15.7,0.3547,0.6517,0.9205,0.6789,0.669,0.674,0.8482,0.8679,0.858,0.8269,0.8124,0.8196
15.8,0.3763,0.6554,0.9102,0.674,0.6637,0.6689,0.8308,0.8448,0.8378,0.8118,0.7828,0.7973
15.9,0.3912,0.6612,0.8972,0.6717,0.6605,0.6661,0.8149,0.8217,0.8183,0.7969,0.7527,0.7748
16,0.3989,0.6681,0.8811,0.6717,0.6592,0.6654,0.8006,0.7987,0.7997,0.7819,0.7219,0.7519
16.1,0.3986,0.6755,0.8619,0.6731,0.6596,0.6663,0.788,0.7758,0.7819,0.7664,0.6912,0.7288
16.2,0.3896,0.6829,0.8405,0.6754,0.6616,0.6685,0.7774,0.7538,0.7656,0.7505,0.662,0.7063
16.3,0.3717,0.6898,0.8181,0.6784,0.6649,0.6716,0.7692,0.7336,0.7514,0.7346,0.6357,0.6852
16.4,0.3451,0.6962,0.7961,0.6819,0.6691,0.6755,0.7635,0.7155,0.7395,0.7185,0.6126,0.6655
16.5,0.3101,0.7018,0.7749,0.6861,0.6741,0.6801,0.76,0.6997,0.7299,0.7021,0.5924,0.6472
16.6,0.2671,0.7064,0.7549,0.6901,0.6791,0.6846,0.7578,0.6858,0.7218,0.6851,0.5746,0.6298
16.7,0.2178,0.7095,0.736,0.693,0.6829,0.688,0.7565,0.673,0.7148,0.667,0.5588,0.6129
16.8,0.1653,0.7104,0.7181,0.6943,0.6841,0.6892,0.7558,0.6608,0.7083,0.648,0.5448,0.5964
16.9,0.1133,0.7085,0.7009,0.6939,0.6819,0.6879,0.756,0.649,0.7025,0.6282,0.5323,0.5802
17,0.0651,0.7036,0.6847,0.6922,0.676,0.6841,0.7574,0.6376,0.6975,0.6073,0.5209,0.5641
17.1,0.0227,0.6957,0.6697,0.6893,0.6663,0.6778,0.7596,0.6267,0.6931,0.585,0.5099,0.5474
17.2,-0.0131,0.6853,0.6561,0.685,0.6524,0.6687,0.7616,0.6163,0.6889,0.5611,0.4993,0.5302
17.3,-0.0418,0.6721,0.6445,0.6788,0.6344,0.6566,0.7628,0.6065,0.6846,0.5366,0.4895,0.513
17.4,-0.0629,0.6566,0.6354,0.6705,0.6137,0.6421,0.7632,0.5981,0.6806,0.513,0.4814,0.4972
17.5,-0.0757,0.6393,0.6293,0.6606,0.5922,0.6264,0.7631,0.5919,0.6775,0.4919,0.4759,0.4839
17.6,-0.08,0.6212,0.6268,0.6499,0.5715,0.6107,0.7624,0.5883,0.6753,0.4741,0.473,0.4736
17.7,-0.0761,0.6031,0.6287,0.6389,0.5522,0.5956,0.7603,0.5877,0.674,0.4602,0.4727,0.4664
17.8,-0.0651,0.5854,0.6357,0.6282,0.5349,0.5815,0.7566,0.5905,0.6736,0.4505,0.4754,0.463
17.9,-0.0487,0.5685,0.6481,0.6182,0.5201,0.5692,0.7518,0.5968,0.6743,0.4461,0.4817,0.4639
18,-0.0283,0.5527,0.666,0.6097,0.5085,0.5591,0.7471,0.6071,0.6771,0.4475,0.4919,0.4697
18.1,-0.0053,0.5385,0.6893,0.6029,0.5007,0.5518,0.7437,0.622,0.6828,0.4548,0.5061,0.4805
18.2,0.0198,0.5263,0.7175,0.5981,0.4971,0.5476,0.7423,0.6417,0.692,0.4675,0.5238,0.4956
18.3,0.0464,0.5162,0.7489,0.5952,0.4972,0.5462,0.7439,0.6657,0.7048,0.4856,0.5442,0.5149
18.4,0.0738,0.5079,0.7814,0.5939,0.5006,0.5473,0.7497,0.6927,0.7212,0.5089,0.5672,0.5381
18.5,0.1002,0.5013,0.8124,0.5945,0.5068,0.5507,0.7602,0.7212,0.7407,0.5375,0.5926,0.5651
18.6,0.1231,0.4966,0.8406,0.5974,0.5157,0.5565,0.7758,0.7501,0.7629,0.5709,0.6204,0.5957
18.7,0.1404,0.4939,0.8655,0.6024,0.5266,0.5645,0.7957,0.7783,0.787,0.6079,0.6501,0.629
18.8,0.1517,0.4932,0.8871,0.6089,0.5389,0.5739,0.8189,0.8053,0.8121,0.6472,0.6813,0.6643
18.9,0.1586,0.4948,0.9051,0.6165,0.5515,0.584,0.8443,0.8308,0.8375,0.6878,0.7134,0.7006
19,0.1624,0.4988,0.919,0.6247,0.564,0.5944,0.8709,0.8541,0.8625,0.7282,0.7451,0.7367
19.1,0.1637,0.506,0.9287,0.6336,0.5764,0.605,0.8978,0.8739,0.8858,0.7664,0.7746,0.7705
19.2,0.1626,0.5168,0.9344,0.643,0.5892,0.6161,0.9242,0.8889,0.9065,0.8004,0.8,0.8002
19.3,0.1587,0.5316,0.9366,0.6527,0.6024,0.6276,0.9487,0.8984,0.9236,0.8283,0.8202,0.8242
19.4,0.1523,0.5503,0.9358,0.6629,0.6162,0.6395,0.9707,0.9026,0.9366,0.8496,0.8348,0.8422
19.5,0.1444,0.5729,0.9331,0.6736,0.6306,0.6521,0.9898,0.9022,0.946,0.8644,0.8444,0.8544
19.6,0.1356,0.5991,0.9292,0.6853,0.6459,0.6656,1.0062,0.8978,0.952,0.8736,0.8496,0.8616
19.7,0.1263,0.6285,0.925,0.6979,0.6621,0.68,1.0198,0.8901,0.955,0.8781,0.851,0.8646
19.8,0.1168,0.6599,0.9207,0.7114,0.6789,0.6952,1.0303,0.8796,0.9549,0.8786,0.8492,0.8639
19.9,0.1076,0.6917,0.9161,0.7249,0.696,0.7105,1.0373,0.8669,0.9521,0.8759,0.8448,0.8604
20,0.0994,0.7227,0.911,0.7375,0.7126,0.7251,1.0408,0.853,0.9469,0.8709,0.8387,0.8548
20.1,0.0935,0.7517,0.9051,0.7486,0.7287,0.7386,1.0412,0.8389,0.94,0.8644,0.8315,0.848
20.2,0.0897,0.7788,0.8987,0.7581,0.7447,0.7514,1.0393,0.8255,0.9324,0.8574,0.8242,0.8408
20.3,0.0875,0.8041,0.8921,0.7663,0.7615,0.7639,1.0359,0.8139,0.9249,0.8505,0.8172,0.8339
20.4,0.087,0.8277,0.8859,0.773,0.7792,0.7761,1.0316,0.805,0.9183,0.8444,0.8109,0.8277
20.5,0.0886,0.8494,0.8799,0.7781,0.7976,0.7878,1.0263,0.7988,0.9125,0.8395,0.8053,0.8224
20.6,0.0925,0.8687,0.8737,0.7814,0.8161,0.7988,1.0193,0.7952,0.9072,0.8358,0.7998,0.8178
20.7,0.0988,0.8852,0.8668,0.7829,0.8345,0.8087,1.0099,0.7935,0.9017,0.8329,0.794,0.8135
20.8,0.1072,0.8992,0.8588,0.7828,0.8528,0.8178,0.9974,0.7931,0.8953,0.8301,0.7873,0.8087
20.9,0.1175,0.9112,0.8502,0.7815,0.8705,0.826,0.9812,0.7936,0.8874,0.8266,0.7794,0.803
21,0.1295,0.9214,0.8411,0.7795,0.8869,0.8332,0.9611,0.7947,0.8779,0.8221,0.7703,0.7962
21.1,0.1427,0.9299,0.8315,0.7771,0.901,0.839,0.9376,0.7959,0.8667,0.8164,0.7603,0.7884
21.2,0.1564,0.937,0.8211,0.7748,0.9122,0.8435,0.9115,0.7967,0.8541,0.8099,0.7494,0.7797
21.3,0.1701,0.943,0.8095,0.773,0.9207,0.8468,0.8839,0.7964,0.8402,0.8025,0.7377,0.7701
21.4,0.1831,0.948,0.7963,0.7717,0.9268,0.8493,0.8553,0.7946,0.8249,0.7939,0.7248,0.7593
