Time,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15
5.6,0.1927,0.6846,0.4883,0.7354,0.5572,0.6463,0.5295,0.4717,0.5006,0.6517,0.6107,0.6312
5.7,0.1461,0.6948,0.4971,0.7327,0.5677,0.6502,0.5435,0.4832,0.5134,0.6459,0.6103,0.6281
5.8,0.1006,0.7041,0.5073,0.7297,0.5791,0.6544,0.5581,0.4969,0.5275,0.6407,0.6114,0.6261
5.9,0.0577,0.7121,0.5183,0.7263,0.5914,0.6588,0.5727,0.5121,0.5424,0.6358,0.6137,0.6247
6,0.0184,0.7186,0.5295,0.7226,0.6043,0.6634,0.5869,0.5277,0.5573,0.631,0.6165,0.6237
6.1,-0.0167,0.723,0.5397,0.7187,0.6173,0.668,0.6002,0.5429,0.5715,0.6263,0.6195,0.6229
6.2,-0.047,0.725,0.5481,0.7149,0.6297,0.6723,0.6125,0.5569,0.5847,0.6217,0.622,0.6219
6.3,-0.0724,0.7249,0.5542,0.7112,0.6411,0.6762,0.6237,0.5696,0.5967,0.6177,0.6242,0.6209
6.4,-0.0929,0.723,0.5583,0.7076,0.6514,0.6795,0.6339,0.5813,0.6076,0.6145,0.6261,0.6203
6.5,-0.1084,0.7195,0.5613,0.7042,0.6606,0.6824,0.643,0.5918,0.6174,0.6126,0.6281,0.6204
6.6,-0.1191,0.7144,0.5637,0.7009,0.6684,0.6846,0.6505,0.6009,0.6257,0.6117,0.63,0.6208
6.7,-0.1248,0.7075,0.5658,0.6975,0.6741,0.6858,0.6559,0.6083,0.6321,0.6116,0.6314,0.6215
6.8,-0.1255,0.6987,0.5675,0.6938,0.677,0.6854,0.6585,0.6134,0.6359,0.6121,0.6322,0.6221
6.9,-0.1211,0.6882,0.5688,0.6898,0.6768,0.6833,0.6581,0.6158,0.6369,0.6134,0.6323,0.6228
7,-0.1117,0.6763,0.5696,0.6855,0.6732,0.6793,0.6546,0.6154,0.635,0.6157,0.6319,0.6238
7.1,-0.0973,0.6629,0.5704,0.6806,0.6665,0.6736,0.6481,0.6125,0.6303,0.6197,0.6314,0.6256
7.2,-0.078,0.6478,0.5715,0.6752,0.6569,0.6661,0.6391,0.6074,0.6232,0.6258,0.631,0.6284
7.3,-0.0545,0.6313,0.5732,0.6688,0.6445,0.6567,0.6279,0.601,0.6145,0.634,0.6307,0.6324
7.4,-0.0282,0.6137,0.5758,0.6614,0.6297,0.6455,0.6153,0.5943,0.6048,0.6447,0.6303,0.6375
7.5,-0.0004,0.5964,0.5799,0.6533,0.6133,0.6333,0.6022,0.5885,0.5954,0.6583,0.6303,0.6443
7.6,0.0278,0.5805,0.586,0.6452,0.5966,0.6209,0.5897,0.5844,0.5871,0.6751,0.6309,0.653
7.7,0.0556,0.5671,0.594,0.6377,0.5802,0.609,0.5782,0.5826,0.5804,0.6947,0.6325,0.6636
7.8,0.0822,0.5561,0.6033,0.6309,0.5645,0.5977,0.5681,0.5834,0.5758,0.7162,0.6351,0.6757
7.9,0.1072,0.5474,0.6137,0.6248,0.5495,0.5871,0.5595,0.5871,0.5733,0.7387,0.6388,0.6887
8,0.1303,0.5408,0.6251,0.6195,0.5356,0.5775,0.5528,0.5938,0.5733,0.7614,0.6436,0.7025
8.1,0.1521,0.5363,0.6375,0.6156,0.5234,0.5695,0.5481,0.6039,0.576,0.7842,0.6498,0.717
8.2,0.1729,0.5339,0.651,0.6135,0.5138,0.5637,0.5455,0.6173,0.5814,0.8065,0.6571,0.7318
8.3,0.1927,0.5332,0.6655,0.613,0.5072,0.5601,0.5444,0.6339,0.5891,0.8277,0.6652,0.7465
8.4,0.211,0.5335,0.6802,0.6131,0.5033,0.5582,0.5445,0.653,0.5987,0.8474,0.6737,0.7606
8.5,0.2269,0.534,0.6945,0.6131,0.5016,0.5574,0.5461,0.6738,0.61,0.865,0.6823,0.7737
8.6,0.24,0.5344,0.7079,0.6123,0.5016,0.5569,0.5497,0.6958,0.6227,0.8805,0.6909,0.7857
8.7,0.2503,0.534,0.7201,0.6104,0.5026,0.5565,0.5555,0.7182,0.6369,0.8939,0.6993,0.7966
8.8,0.2583,0.5325,0.7305,0.6076,0.5045,0.5561,0.5635,0.7401,0.6518,0.9051,0.7078,0.8065
8.9,0.264,0.5295,0.7386,0.6039,0.507,0.5554,0.5729,0.7606,0.6667,0.9139,0.7159,0.8149
9,0.2667,0.5251,0.7435,0.5991,0.5095,0.5543,0.5828,0.7783,0.6806,0.9197,0.7234,0.8216
9.1,0.2659,0.5195,0.7444,0.5931,0.5116,0.5523,0.5925,0.7921,0.6923,0.922,0.7295,0.8257
9.2,0.2611,0.5137,0.7408,0.5861,0.5132,0.5496,0.6015,0.801,0.7013,0.9199,0.7332,0.8265
9.3,0.2533,0.5084,0.7332,0.5789,0.5141,0.5465,0.61,0.8051,0.7075,0.9131,0.7341,0.8236
9.4,0.2435,0.5039,0.7217,0.5721,0.5142,0.5431,0.6185,0.8046,0.7115,0.9017,0.7323,0.817
9.5,0.233,0.5002,0.7064,0.5662,0.5129,0.5395,0.6272,0.7998,0.7135,0.886,0.7282,0.8071
9.6,0.2226,0.497,0.6874,0.5613,0.5099,0.5356,0.6361,0.791,0.7136,0.8663,0.7222,0.7942
9.7,0.2129,0.4943,0.6647,0.5578,0.5053,0.5316,0.6447,0.7786,0.7116,0.8429,0.7147,0.7788
9.8,0.204,0.4923,0.6393,0.5557,0.4997,0.5277,0.6522,0.7629,0.7075,0.8162,0.7058,0.761
9.9,0.1956,0.4913,0.6123,0.5551,0.4939,0.5245,0.6584,0.7447,0.7016,0.7868,0.6959,0.7414
10,0.187,0.4915,0.5846,0.5556,0.4889,0.5222,0.6633,0.7253,0.6943,0.7562,0.6853,0.7208
10.1,0.1774,0.4931,0.5568,0.557,0.4851,0.521,0.6671,0.7057,0.6864,0.726,0.675,0.7005
10.2,0.1662,0.4959,0.5297,0.5591,0.4826,0.5209,0.6696,0.6864,0.678,0.6974,0.6655,0.6814
10.3,0.1525,0.4997,0.5042,0.5614,0.4813,0.5214,0.6706,0.668,0.6693,0.6708,0.6569,0.6639
10.4,0.136,0.5036,0.4814,0.5629,0.481,0.522,0.6701,0.6514,0.6607,0.6469,0.6495,0.6482
10.5,0.1167,0.507,0.4625,0.5632,0.4815,0.5223,0.6681,0.6375,0.6528,0.626,0.6434,0.6347
10.6,0.0949,0.51,0.4477,0.5624,0.4831,0.5228,0.6649,0.6267,0.6458,0.6085,0.6386,0.6235
10.7,0.0713,0.513,0.437,0.5614,0.486,0.5237,0.6605,0.6188,0.6396,0.594,0.6351,0.6146
10.8,0.047,0.5164,0.4299,0.5607,0.4906,0.5256,0.6548,0.6132,0.634,0.582,0.6328,0.6074
10.9,0.0228,0.5198,0.4262,0.5605,0.4966,0.5286,0.6478,0.6093,0.6285,0.572,0.6317,0.6018
11,-0.001,0.5227,0.4257,0.5607,0.5038,0.5322,0.6393,0.6068,0.623,0.5637,0.6316,0.5976
11.1,-0.0248,0.5246,0.4279,0.5607,0.5116,0.5362,0.6292,0.6053,0.6172,0.5571,0.6324,0.5948
11.2,-0.0483,0.5254,0.4326,0.5607,0.5199,0.5403,0.6176,0.6048,0.6112,0.5524,0.6344,0.5934
11.3,-0.071,0.5252,0.4401,0.5607,0.5286,0.5446,0.6046,0.6055,0.605,0.5498,0.6378,0.5938
11.4,-0.0923,0.5244,0.4501,0.5609,0.5372,0.549,0.5905,0.607,0.5987,0.549,0.6423,0.5957
11.5,-0.111,0.523,0.4622,0.5611,0.5448,0.5529,0.5749,0.6087,0.5918,0.5493,0.6475,0.5984
11.6,-0.1258,0.5205,0.475,0.5608,0.5502,0.5555,0.5576,0.6098,0.5837,0.5498,0.6522,0.601
11.7,-0.1355,0.5164,0.4875,0.5592,0.5524,0.5558,0.5387,0.6093,0.574,0.5497,0.6558,0.6027
11.8,-0.1392,0.5106,0.4989,0.5561,0.5511,0.5536,0.5187,0.6068,0.5627,0.5485,0.6574,0.603
11.9,-0.1361,0.5035,0.5091,0.5522,0.5463,0.5492,0.4985,0.602,0.5502,0.5458,0.6571,0.6014
12,-0.1259,0.496,0.5181,0.5482,0.5379,0.543,0.4783,0.5953,0.5368,0.5408,0.6545,0.5976
12.1,-0.1087,0.4887,0.5258,0.5448,0.5266,0.5357,0.4581,0.587,0.5226,0.5328,0.6493,0.5911
12.2,-0.0856,0.4817,0.5316,0.5425,0.5129,0.5277,0.4377,0.5772,0.5075,0.5215,0.6411,0.5813
12.3,-0.0574,0.4752,0.5354,0.5416,0.4972,0.5194,0.4175,0.5656,0.4916,0.5066,0.6297,0.5682
12.4,-0.0251,0.4697,0.5373,0.5423,0.4801,0.5112,0.3981,0.5521,0.4751,0.4886,0.6152,0.5519
12.5,0.0106,0.4659,0.5377,0.545,0.4627,0.5039,0.3806,0.5372,0.4589,0.4681,0.598,0.5331
12.6,0.0486,0.4645,0.5376,0.5504,0.4464,0.4984,0.3661,0.5223,0.4442,0.4464,0.5789,0.5127
12.7,0.087,0.466,0.5379,0.5585,0.4328,0.4957,0.3557,0.509,0.4323,0.4251,0.5594,0.4923
12.8,0.1236,0.4705,0.5394,0.5692,0.4237,0.4964,0.3496,0.4985,0.4241,0.406,0.5407,0.4734
12.9,0.1555,0.4784,0.5425,0.582,0.4204,0.5012,0.3478,0.4912,0.4195,0.3902,0.5237,0.4569
13,0.1805,0.4901,0.5474,0.5962,0.4238,0.51,0.3497,0.487,0.4183,0.3784,0.5087,0.4435
13.1,0.1968,0.5059,0.5549,0.6117,0.4343,0.523,0.3553,0.4859,0.4206,0.3705,0.4964,0.4335
13.2,0.2036,0.5252,0.5653,0.628,0.451,0.5395,0.3643,0.4878,0.4261,0.3669,0.4876,0.4272
13.3,0.2019,0.5469,0.5786,0.6446,0.4729,0.5588,0.3766,0.4927,0.4347,0.3675,0.4831,0.4253
13.4,0.1935,0.5694,0.5941,0.6607,0.4983,0.5795,0.3918,0.4998,0.4458,0.3723,0.4828,0.4276
13.5,0.1812,0.5915,0.6106,0.6758,0.5251,0.6004,0.409,0.5083,0.4587,0.3807,0.486,0.4333
13.6,0.1678,0.6122,0.6274,0.6895,0.5518,0.6206,0.4274,0.5175,0.4725,0.3918,0.4919,0.4418
13.7,0.1553,0.6309,0.6441,0.7014,0.5773,0.6394,0.4465,0.5273,0.4869,0.4049,0.4998,0.4524
13.8,0.1444,0.6476,0.6606,0.7114,0.6012,0.6563,0.4656,0.5376,0.5016,0.4198,0.5091,0.4644
13.9,0.1348,0.6622,0.6764,0.7194,0.6231,0.6713,0.484,0.5482,0.5161,0.4354,0.5189,0.4771
14,0.1265,0.6747,0.6903,0.7255,0.6424,0.6839,0.5008,0.5581,0.5294,0.4505,0.5278,0.4891
14.1,0.1188,0.6848,0.7012,0.7292,0.6584,0.6938,0.5153,0.5667,0.541,0.4635,0.5347,0.4991
14.2,0.1108,0.6922,0.7093,0.7302,0.6704,0.7003,0.5271,0.574,0.5506,0.4736,0.5391,0.5063
14.3,0.101,0.6967,0.7152,0.7285,0.6785,0.7035,0.5362,0.5811,0.5586,0.481,0.5411,0.5111
14.4,0.0883,0.6988,0.7196,0.7239,0.6829,0.7034,0.5428,0.5886,0.5657,0.4863,0.5416,0.5139
14.5,0.0734,0.6985,0.7223,0.7165,0.6836,0.7,0.547,0.5968,0.5719,0.4897,0.5408,0.5152
14.6,0.0575,0.6959,0.7228,0.7061,0.6805,0.6933,0.5486,0.6053,0.5769,0.4909,0.5387,0.5148
14.7,0.0417,0.6908,0.7207,0.6928,0.6737,0.6832,0.5473,0.613,0.5802,0.4898,0.5348,0.5123
14.8,0.0263,0.683,0.7156,0.6768,0.6631,0.6699,0.5433,0.6197,0.5815,0.486,0.5285,0.5073
14.9,0.0114,0.6727,0.7075,0.6585,0.6495,0.654,0.5367,0.6251,0.5809,0.4796,0.5195,0.4995
