Time,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC
7.4,0.1648,0.746,0.8143,0.7427,0.7986,0.7707,0.6214,0.6111,0.6163,1.0808,0.9241,1.0025
7.5,0.1572,0.7409,0.8287,0.7255,0.8051,0.7653,0.6327,0.6214,0.6271,1.0717,0.9531,1.0124
7.6,0.1517,0.734,0.8408,0.7094,0.8052,0.7573,0.6453,0.6307,0.638,1.0607,0.9841,1.0224
7.7,0.1487,0.7257,0.8511,0.6953,0.7991,0.7472,0.6596,0.6385,0.649,1.0483,1.0166,1.0325
7.8,0.1478,0.7161,0.8599,0.6837,0.7869,0.7353,0.6754,0.6443,0.6599,1.0346,1.0491,1.0419
7.9,0.1474,0.7051,0.8672,0.6742,0.7691,0.7217,0.6919,0.6476,0.6698,1.019,1.08,1.0495
8,0.1456,0.6926,0.8726,0.6666,0.7466,0.7066,0.7077,0.6479,0.6778,1.0016,1.1077,1.0546
8.1,0.141,0.6792,0.8756,0.6604,0.7205,0.6904,0.7214,0.6451,0.6833,0.9827,1.1315,1.0571
8.2,0.1326,0.6658,0.8759,0.6556,0.6922,0.6739,0.7325,0.6398,0.6861,0.9629,1.1511,1.057
8.3,0.1194,0.6524,0.8735,0.6521,0.663,0.6576,0.7408,0.6326,0.6867,0.9425,1.166,1.0542
8.4,0.1009,0.6393,0.8685,0.6497,0.634,0.6419,0.7459,0.6239,0.6849,0.9214,1.1758,1.0486
8.5,0.0776,0.6265,0.8613,0.6476,0.6063,0.627,0.7474,0.6138,0.6806,0.8994,1.1799,1.0396
8.6,0.0504,0.6147,0.8523,0.6454,0.5808,0.6131,0.7447,0.6023,0.6735,0.8767,1.178,1.0273
8.7,0.0201,0.6049,0.8419,0.6431,0.5582,0.6006,0.7379,0.5902,0.6641,0.8539,1.1698,1.0118
8.8,-0.0122,0.5977,0.8309,0.6412,0.539,0.5901,0.7273,0.5788,0.653,0.8313,1.1555,0.9934
8.9,-0.0449,0.5931,0.8196,0.64,0.5236,0.5818,0.7129,0.569,0.641,0.8091,1.1354,0.9723
9,-0.0761,0.5908,0.8084,0.6392,0.5119,0.5756,0.6943,0.5612,0.6277,0.7877,1.1103,0.949
9.1,-0.1037,0.5909,0.7977,0.6386,0.5041,0.5713,0.6714,0.5554,0.6134,0.7675,1.0813,0.9244
9.2,-0.1262,0.5937,0.7883,0.6381,0.5004,0.5692,0.6449,0.552,0.5985,0.7491,1.0502,0.8996
9.3,-0.143,0.5994,0.7813,0.6372,0.5018,0.5695,0.6163,0.5522,0.5843,0.7329,1.019,0.8759
9.4,-0.1547,0.6072,0.7771,0.6352,0.5082,0.5717,0.5872,0.5567,0.572,0.7185,0.9892,0.8539
9.5,-0.1625,0.6157,0.7757,0.6302,0.5184,0.5743,0.5588,0.5655,0.5621,0.7054,0.9615,0.8334
9.6,-0.1673,0.6232,0.7762,0.6206,0.5307,0.5756,0.532,0.5778,0.5549,0.6935,0.936,0.8147
9.7,-0.1694,0.6288,0.7781,0.6057,0.543,0.5744,0.5075,0.5923,0.5499,0.683,0.9135,0.7982
9.8,-0.1689,0.6327,0.7812,0.5863,0.5542,0.5702,0.4857,0.6083,0.547,0.6742,0.8945,0.7844
9.9,-0.1658,0.6357,0.7855,0.5636,0.5634,0.5635,0.4668,0.6249,0.5459,0.6674,0.8799,0.7737
10,-0.161,0.6385,0.7908,0.5389,0.57,0.5544,0.4511,0.6416,0.5464,0.663,0.8702,0.7666
10.1,-0.155,0.6415,0.7972,0.5135,0.5734,0.5434,0.4384,0.6579,0.5482,0.6615,0.8656,0.7635
10.2,-0.1482,0.6448,0.8046,0.4886,0.5732,0.5309,0.429,0.673,0.551,0.6635,0.8662,0.7648
10.3,-0.1415,0.6488,0.8127,0.4659,0.5695,0.5177,0.423,0.6862,0.5546,0.6692,0.8717,0.7705
10.4,-0.1363,0.6539,0.8214,0.4472,0.563,0.5051,0.4207,0.6968,0.5587,0.6783,0.8814,0.7799
10.5,-0.1336,0.6602,0.8306,0.4339,0.5542,0.494,0.4216,0.7045,0.563,0.69,0.8941,0.792
10.6,-0.1338,0.6674,0.8401,0.4264,0.5437,0.4851,0.4252,0.7091,0.5672,0.7039,0.9086,0.8063
10.7,-0.1363,0.6749,0.8497,0.4251,0.5318,0.4785,0.4312,0.7107,0.5709,0.7202,0.9239,0.822
10.8,-0.1401,0.6818,0.859,0.4298,0.5191,0.4744,0.4393,0.7092,0.5742,0.7384,0.939,0.8387
10.9,-0.1448,0.6882,0.8676,0.44,0.5064,0.4732,0.4492,0.7044,0.5768,0.7579,0.953,0.8554
11,-0.1509,0.6941,0.8745,0.4548,0.4941,0.4744,0.4601,0.696,0.578,0.7774,0.9648,0.8711
11.1,-0.1585,0.6996,0.8791,0.4732,0.4824,0.4778,0.471,0.684,0.5775,0.7953,0.9736,0.8844
11.2,-0.1672,0.7049,0.8808,0.4947,0.4713,0.483,0.4812,0.6686,0.5749,0.8109,0.9788,0.8948
11.3,-0.1766,0.7099,0.8795,0.5186,0.4607,0.4897,0.4903,0.6503,0.5703,0.8234,0.9805,0.9019
11.4,-0.1863,0.7148,0.8755,0.5439,0.4509,0.4974,0.4984,0.6298,0.5641,0.8322,0.9787,0.9054
11.5,-0.1959,0.7197,0.8691,0.5694,0.4421,0.5057,0.5055,0.6085,0.557,0.8361,0.9732,0.9047
11.6,-0.2046,0.7244,0.8609,0.5942,0.4343,0.5142,0.5121,0.587,0.5496,0.8345,0.9636,0.8991
11.7,-0.2099,0.7288,0.8516,0.618,0.4279,0.523,0.5185,0.5661,0.5423,0.827,0.9494,0.8882
11.8,-0.2094,0.733,0.8416,0.6411,0.4235,0.5323,0.5255,0.546,0.5357,0.8142,0.9305,0.8723
11.9,-0.2027,0.7376,0.8311,0.6633,0.4216,0.5425,0.5341,0.5272,0.5307,0.7967,0.9072,0.852
12,-0.1911,0.7428,0.8202,0.6843,0.423,0.5536,0.5446,0.5105,0.5276,0.775,0.88,0.8275
12.1,-0.1765,0.7488,0.8086,0.7036,0.4279,0.5657,0.5568,0.4967,0.5268,0.7492,0.8494,0.7993
12.2,-0.1593,0.7552,0.7964,0.7212,0.436,0.5786,0.5705,0.4866,0.5285,0.7194,0.8161,0.7678
12.3,-0.1391,0.7618,0.7837,0.7367,0.4472,0.5919,0.5858,0.4802,0.533,0.6866,0.7815,0.734
12.4,-0.116,0.7683,0.7706,0.7494,0.4612,0.6053,0.6033,0.4772,0.5403,0.652,0.7469,0.6995
12.5,-0.0918,0.7751,0.7572,0.7588,0.4787,0.6188,0.6236,0.4775,0.5506,0.6171,0.7137,0.6654
12.6,-0.069,0.7825,0.7441,0.7651,0.5006,0.6329,0.6468,0.4813,0.564,0.583,0.6828,0.6329
12.7,-0.0491,0.7906,0.7316,0.7693,0.5264,0.6479,0.672,0.4885,0.5802,0.5505,0.6552,0.6028
12.8,-0.0316,0.7995,0.7198,0.7724,0.5547,0.6635,0.6975,0.4986,0.5981,0.5204,0.6315,0.576
12.9,-0.0145,0.8091,0.7091,0.7753,0.583,0.6792,0.7217,0.5108,0.6162,0.4935,0.6124,0.5529
13,0.0043,0.8199,0.6995,0.7787,0.6099,0.6943,0.7432,0.5236,0.6334,0.4703,0.5982,0.5342
13.1,0.0249,0.8321,0.6916,0.7827,0.6344,0.7085,0.761,0.5361,0.6485,0.4511,0.5893,0.5202
13.2,0.0466,0.8462,0.686,0.787,0.6566,0.7218,0.7743,0.5481,0.6612,0.4359,0.5859,0.5109
13.3,0.0684,0.8616,0.6833,0.7911,0.6763,0.7337,0.783,0.5593,0.6712,0.425,0.5881,0.5066
13.4,0.0892,0.8772,0.6834,0.7941,0.6931,0.7436,0.7866,0.5688,0.6777,0.4186,0.5955,0.507
13.5,0.1082,0.8916,0.6854,0.7945,0.7062,0.7503,0.7842,0.5756,0.6799,0.4165,0.6073,0.5119
13.6,0.1247,0.9035,0.6886,0.7911,0.7154,0.7533,0.7754,0.5788,0.6771,0.4183,0.6225,0.5204
13.7,0.1388,0.9123,0.6926,0.784,0.7214,0.7527,0.7601,0.5784,0.6693,0.423,0.6397,0.5314
13.8,0.1513,0.9171,0.697,0.7735,0.7252,0.7494,0.7384,0.5746,0.6565,0.4295,0.658,0.5438
13.9,0.1631,0.9169,0.7016,0.7602,0.7269,0.7436,0.711,0.5678,0.6394,0.4372,0.6768,0.557
14,0.175,0.9107,0.706,0.7439,0.7262,0.7351,0.679,0.558,0.6185,0.4456,0.6958,0.5707
14.1,0.1874,0.8982,0.7092,0.7245,0.723,0.7237,0.6439,0.5451,0.5945,0.4543,0.7146,0.5845
14.2,0.2004,0.88,0.7103,0.7023,0.7176,0.71,0.6075,0.529,0.5682,0.4626,0.733,0.5978
14.3,0.214,0.8573,0.709,0.6787,0.7108,0.6947,0.571,0.5104,0.5407,0.4697,0.7502,0.61
14.4,0.2276,0.8307,0.7056,0.6552,0.703,0.6791,0.5356,0.4902,0.5129,0.4748,0.7654,0.6201
14.5,0.2412,0.801,0.7005,0.6333,0.6948,0.6641,0.5024,0.4699,0.4862,0.477,0.7774,0.6272
14.6,0.2559,0.7692,0.6945,0.6132,0.6872,0.6502,0.4723,0.4509,0.4616,0.476,0.7852,0.6306
14.7,0.2729,0.7368,0.6882,0.5951,0.6815,0.6383,0.4456,0.4341,0.4399,0.4714,0.7883,0.6299
14.8,0.293,0.7053,0.6815,0.5791,0.679,0.629,0.4229,0.4205,0.4217,0.4631,0.7861,0.6246
14.9,0.3165,0.6759,0.6749,0.5663,0.6808,0.6235,0.404,0.4108,0.4074,0.4516,0.7792,0.6154
