Time,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
6.1,0.2309,0.7718,0.5871,0.8536,0.7365,0.795,0.9022,0.7708,0.8365,0.487,0.5702,0.5286
6.2,0.2269,0.7801,0.5678,0.8607,0.745,0.8028,0.8857,0.7583,0.822,0.4904,0.5554,0.5229
6.3,0.2239,0.7858,0.5491,0.8675,0.7528,0.8102,0.8687,0.7455,0.8071,0.4918,0.5396,0.5157
6.4,0.2217,0.7878,0.5316,0.8729,0.7586,0.8158,0.8511,0.7323,0.7917,0.4914,0.5227,0.5071
6.5,0.2227,0.785,0.5158,0.8763,0.7611,0.8187,0.8328,0.7193,0.7761,0.4895,0.5054,0.4974
6.6,0.2287,0.7767,0.5021,0.8774,0.7596,0.8185,0.8138,0.7072,0.7605,0.4865,0.4896,0.488
6.7,0.2395,0.7629,0.4912,0.8768,0.7535,0.8151,0.7947,0.6964,0.7455,0.4833,0.477,0.4802
6.8,0.2535,0.7438,0.4827,0.8745,0.7422,0.8083,0.7758,0.6868,0.7313,0.4804,0.468,0.4742
6.9,0.2686,0.7198,0.4761,0.8703,0.725,0.7976,0.7568,0.678,0.7174,0.4778,0.4616,0.4697
7,0.2828,0.6912,0.4708,0.8634,0.7015,0.7824,0.7369,0.6695,0.7032,0.4754,0.4569,0.4662
7.1,0.2945,0.6584,0.4667,0.8536,0.6722,0.7629,0.7161,0.6618,0.6889,0.4734,0.4535,0.4635
7.2,0.301,0.6223,0.4639,0.8408,0.6388,0.7398,0.6948,0.6558,0.6753,0.4726,0.4515,0.4621
7.3,0.3006,0.5841,0.4628,0.8248,0.6032,0.714,0.6734,0.6521,0.6627,0.4738,0.451,0.4624
7.4,0.292,0.5443,0.4638,0.8048,0.5664,0.6856,0.6516,0.6507,0.6511,0.4769,0.4509,0.4639
7.5,0.2753,0.5034,0.4664,0.7797,0.529,0.6544,0.6288,0.6514,0.6401,0.4812,0.4501,0.4656
7.6,0.2507,0.4622,0.4706,0.7499,0.4927,0.6213,0.6049,0.6546,0.6298,0.4861,0.4475,0.4668
7.7,0.2188,0.4228,0.4764,0.7169,0.4603,0.5886,0.5808,0.6614,0.6211,0.4913,0.4429,0.4671
7.8,0.1802,0.3871,0.4843,0.6826,0.4345,0.5586,0.558,0.6725,0.6152,0.4967,0.4364,0.4665
7.9,0.1371,0.3567,0.4943,0.6483,0.4167,0.5325,0.5373,0.6881,0.6127,0.5017,0.4279,0.4648
8,0.0925,0.3326,0.5057,0.6154,0.4066,0.511,0.5192,0.7073,0.6132,0.506,0.4169,0.4615
8.1,0.049,0.3157,0.5174,0.5863,0.4033,0.4948,0.5038,0.7287,0.6163,0.509,0.4035,0.4562
8.2,0.0065,0.307,0.5284,0.5638,0.4064,0.4851,0.4915,0.7517,0.6216,0.5106,0.3879,0.4492
8.3,-0.0374,0.3071,0.5384,0.551,0.4162,0.4836,0.4826,0.7756,0.6291,0.5104,0.3708,0.4406
8.4,-0.0846,0.3167,0.5472,0.5492,0.4335,0.4914,0.4771,0.7994,0.6383,0.5079,0.3527,0.4303
8.5,-0.1355,0.3353,0.5548,0.5585,0.4579,0.5082,0.4745,0.8218,0.6482,0.5024,0.3335,0.4179
8.6,-0.1894,0.3623,0.5607,0.5779,0.4879,0.5329,0.4748,0.8416,0.6582,0.4935,0.3137,0.4036
8.7,-0.2441,0.3968,0.5641,0.6068,0.5219,0.5644,0.4783,0.8581,0.6682,0.4821,0.2941,0.3881
8.8,-0.2969,0.4376,0.5648,0.6449,0.5581,0.6015,0.4861,0.8706,0.6784,0.4689,0.2753,0.3721
8.9,-0.3455,0.4834,0.5628,0.6909,0.5955,0.6432,0.499,0.8788,0.6889,0.4546,0.2575,0.356
9,-0.3888,0.5329,0.5582,0.7434,0.6337,0.6885,0.5171,0.8822,0.6996,0.4395,0.2403,0.3399
9.1,-0.426,0.5841,0.5511,0.8001,0.6727,0.7364,0.54,0.8809,0.7105,0.4238,0.2234,0.3236
9.2,-0.4571,0.6349,0.5419,0.8593,0.7125,0.7859,0.5681,0.876,0.7221,0.4082,0.2069,0.3075
9.3,-0.4816,0.6832,0.5308,0.9198,0.7528,0.8363,0.602,0.8688,0.7354,0.3938,0.1922,0.293
9.4,-0.4995,0.7283,0.5183,0.9805,0.7937,0.8871,0.642,0.8605,0.7512,0.3822,0.181,0.2816
9.5,-0.5116,0.7699,0.5046,1.0396,0.8358,0.9377,0.6873,0.8516,0.7694,0.3748,0.1746,0.2747
9.6,-0.5192,0.8083,0.4896,1.0955,0.8791,0.9873,0.7358,0.8422,0.789,0.3724,0.1731,0.2728
9.7,-0.5233,0.8434,0.4731,1.1476,0.9233,1.0355,0.7853,0.8324,0.8088,0.3754,0.1763,0.2758
9.8,-0.5238,0.8755,0.4557,1.1965,0.9676,1.082,0.8337,0.8226,0.8282,0.3836,0.184,0.2838
9.9,-0.5195,0.9051,0.4384,1.243,1.0106,1.1268,0.8797,0.8131,0.8464,0.3964,0.1964,0.2964
10,-0.5099,0.9327,0.422,1.2867,1.0512,1.1689,0.9218,0.8036,0.8627,0.4131,0.2134,0.3132
10.1,-0.4952,0.9584,0.4061,1.3266,1.0879,1.2073,0.9581,0.7934,0.8758,0.432,0.2342,0.3331
10.2,-0.4752,0.9822,0.3901,1.3609,1.1199,1.2404,0.9873,0.7815,0.8844,0.4516,0.2578,0.3547
10.3,-0.4506,1.0036,0.3739,1.3882,1.1465,1.2674,1.0092,0.7678,0.8885,0.4699,0.2831,0.3765
10.4,-0.421,1.0219,0.358,1.408,1.1677,1.2878,1.0246,0.7525,0.8886,0.4857,0.3097,0.3977
10.5,-0.3854,1.0368,0.3439,1.4201,1.183,1.3015,1.0353,0.7367,0.886,0.4982,0.337,0.4176
10.6,-0.3418,1.0474,0.333,1.4248,1.1919,1.3083,1.042,0.7209,0.8815,0.5063,0.3645,0.4354
10.7,-0.2873,1.0529,0.3263,1.4223,1.1934,1.3078,1.0447,0.7049,0.8748,0.5088,0.3909,0.4498
10.8,-0.2221,1.0522,0.3239,1.4129,1.1867,1.2998,1.043,0.6877,0.8654,0.5043,0.4151,0.4597
10.9,-0.1487,1.0448,0.3255,1.3971,1.1722,1.2846,1.037,0.669,0.853,0.4923,0.4365,0.4644
11,-0.0704,1.0314,0.3311,1.3754,1.151,1.2632,1.0274,0.6488,0.8381,0.4729,0.4548,0.4639
11.1,0.0104,1.0133,0.3409,1.3488,1.1247,1.2367,1.0156,0.6283,0.822,0.4468,0.4705,0.4586
