Time,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC
3.8,0.1856,0.5307,0.7,0.337,0.3664,0.3517,0.4702,0.6244,0.5473,0.5811,0.7596,0.6704
3.9,0.2226,0.4995,0.6845,0.3396,0.3685,0.354,0.5137,0.6267,0.5702,0.5658,0.7405,0.6531
4,0.2638,0.4679,0.6649,0.3417,0.3701,0.3559,0.5541,0.624,0.5891,0.5525,0.7174,0.6349
4.1,0.3065,0.4367,0.6406,0.3432,0.3705,0.3568,0.5893,0.6167,0.603,0.5412,0.691,0.6161
4.2,0.3485,0.4065,0.6116,0.3438,0.3693,0.3565,0.6181,0.6052,0.6117,0.5317,0.6618,0.5968
4.3,0.3884,0.3774,0.5783,0.3431,0.3659,0.3545,0.6405,0.5904,0.6155,0.5239,0.6313,0.5776
4.4,0.4243,0.35,0.5425,0.3408,0.3604,0.3506,0.6574,0.5733,0.6153,0.5181,0.6011,0.5596
4.5,0.454,0.3251,0.5062,0.3371,0.3529,0.345,0.6697,0.5553,0.6125,0.515,0.5727,0.5438
4.6,0.4758,0.3037,0.4712,0.3326,0.3441,0.3383,0.6782,0.5375,0.6079,0.5144,0.5472,0.5308
4.7,0.4887,0.2863,0.4389,0.3277,0.3343,0.331,0.6833,0.5207,0.602,0.5162,0.5255,0.5208
4.8,0.4931,0.273,0.4105,0.3221,0.3238,0.3229,0.6859,0.5055,0.5957,0.5198,0.5076,0.5137
4.9,0.49,0.2631,0.3869,0.3148,0.3121,0.3134,0.6867,0.4928,0.5897,0.525,0.4937,0.5093
5,0.4809,0.256,0.3688,0.3054,0.2986,0.302,0.6868,0.4834,0.5851,0.5316,0.4841,0.5079
5.1,0.4663,0.2516,0.3564,0.2947,0.2836,0.2891,0.687,0.4778,0.5824,0.5397,0.4786,0.5092
5.2,0.4466,0.2501,0.3495,0.2845,0.2686,0.2765,0.6873,0.4761,0.5817,0.5489,0.4769,0.5129
5.3,0.4215,0.2522,0.348,0.2767,0.2557,0.2662,0.6879,0.4777,0.5828,0.5588,0.4784,0.5186
5.4,0.3914,0.258,0.351,0.2729,0.2469,0.2599,0.6886,0.4821,0.5854,0.5687,0.4824,0.5255
5.5,0.3574,0.267,0.3577,0.2738,0.2428,0.2583,0.6891,0.4892,0.5891,0.5773,0.4882,0.5328
5.6,0.3211,0.2783,0.3668,0.2793,0.2434,0.2614,0.6887,0.4988,0.5938,0.5832,0.4948,0.539
5.7,0.2836,0.2909,0.3773,0.289,0.2483,0.2687,0.6869,0.5105,0.5987,0.5855,0.5012,0.5433
5.8,0.2459,0.3044,0.3881,0.3027,0.2578,0.2802,0.6829,0.5229,0.6029,0.5847,0.5063,0.5455
5.9,0.209,0.3188,0.3989,0.3203,0.2721,0.2962,0.6759,0.5346,0.6052,0.5816,0.5098,0.5457
6,0.1744,0.3347,0.4097,0.3418,0.2911,0.3165,0.6654,0.5449,0.6051,0.5772,0.5118,0.5445
6.1,0.1441,0.3525,0.4209,0.3677,0.3147,0.3412,0.6516,0.5536,0.6026,0.5716,0.5126,0.5421
6.2,0.12,0.3724,0.433,0.3981,0.3423,0.3702,0.6352,0.5609,0.598,0.5645,0.5114,0.538
6.3,0.1037,0.3943,0.4463,0.4326,0.3732,0.4029,0.6167,0.5669,0.5918,0.5559,0.5077,0.5318
6.4,0.0963,0.4177,0.4608,0.47,0.4062,0.4381,0.5967,0.5714,0.5841,0.546,0.5011,0.5236
6.5,0.0982,0.4424,0.476,0.509,0.4405,0.4747,0.5755,0.5744,0.5749,0.5351,0.4919,0.5135
6.6,0.1096,0.4679,0.4916,0.5491,0.4748,0.5119,0.5534,0.5758,0.5646,0.5232,0.4805,0.5019
6.7,0.1302,0.4937,0.5071,0.5896,0.5079,0.5487,0.5306,0.5756,0.5531,0.5101,0.4671,0.4886
6.8,0.1584,0.5184,0.5219,0.6297,0.5382,0.5839,0.5069,0.5734,0.5402,0.4949,0.4513,0.4731
6.9,0.1914,0.5408,0.5353,0.6676,0.5643,0.6159,0.4824,0.5685,0.5255,0.4767,0.4328,0.4548
7,0.2257,0.5595,0.5465,0.7012,0.5851,0.6431,0.4574,0.5606,0.509,0.456,0.4123,0.4341
7.1,0.2586,0.5739,0.5553,0.7284,0.5995,0.6639,0.4318,0.5498,0.4908,0.4344,0.3913,0.4129
7.2,0.2889,0.5834,0.5617,0.7476,0.6064,0.677,0.4059,0.5365,0.4712,0.4136,0.371,0.3923
7.3,0.3166,0.5881,0.5661,0.7581,0.6049,0.6815,0.3799,0.521,0.4504,0.3934,0.3515,0.3725
7.4,0.3428,0.5876,0.5684,0.7597,0.5945,0.6771,0.354,0.5034,0.4287,0.3733,0.3323,0.3528
7.5,0.3693,0.5821,0.5684,0.7531,0.5753,0.6642,0.3287,0.4833,0.406,0.3526,0.313,0.3328
7.6,0.3987,0.5718,0.5658,0.7396,0.5475,0.6436,0.3046,0.461,0.3828,0.3314,0.2938,0.3126
7.7,0.4339,0.5573,0.5612,0.7204,0.5114,0.6159,0.2824,0.4376,0.36,0.3103,0.2752,0.2927
7.8,0.4766,0.5395,0.5551,0.6968,0.4679,0.5823,0.2623,0.4146,0.3385,0.2898,0.2577,0.2738
7.9,0.5274,0.5193,0.5477,0.6705,0.4187,0.5446,0.2449,0.3937,0.3193,0.2699,0.2413,0.2556
8,0.5871,0.4972,0.5386,0.6425,0.3656,0.504,0.2308,0.3753,0.3031,0.2502,0.2259,0.2381
8.1,0.6556,0.4736,0.5278,0.6139,0.3096,0.4617,0.2209,0.3593,0.2901,0.2307,0.2119,0.2213
8.2,0.7319,0.4491,0.5152,0.5864,0.2517,0.4191,0.2161,0.3461,0.2811,0.2118,0.1997,0.2058
8.3,0.8133,0.4244,0.5009,0.5617,0.1938,0.3778,0.2175,0.3365,0.277,0.1946,0.1899,0.1922
8.4,0.8955,0.4013,0.485,0.5416,0.1384,0.34,0.2252,0.3307,0.2779,0.1799,0.1831,0.1815
8.5,0.9738,0.3813,0.4677,0.5274,0.0884,0.3079,0.2386,0.3283,0.2835,0.1686,0.1802,0.1744
8.6,1.0438,0.3659,0.4498,0.5204,0.0463,0.2834,0.257,0.329,0.293,0.1611,0.1822,0.1717
8.7,1.1024,0.3561,0.433,0.5216,0.0134,0.2675,0.2798,0.3325,0.3061,0.1584,0.1901,0.1743
8.8,1.1472,0.3521,0.4191,0.5313,-0.0096,0.2609,0.3063,0.3394,0.3228,0.1618,0.2043,0.183
8.9,1.1758,0.354,0.4099,0.5491,-0.022,0.2635,0.3351,0.3501,0.3426,0.172,0.2249,0.1985
9,1.1853,0.3623,0.4066,0.5738,-0.0237,0.2751,0.3643,0.3646,0.3644,0.1896,0.2514,0.2205
9.1,1.1734,0.3771,0.4094,0.604,-0.0143,0.2949,0.3915,0.382,0.3868,0.214,0.2827,0.2484
9.2,1.1391,0.3988,0.4181,0.6382,0.006,0.3221,0.4155,0.4008,0.4081,0.2439,0.3166,0.2803
9.3,1.084,0.427,0.4316,0.6752,0.0368,0.356,0.436,0.4206,0.4283,0.2771,0.3513,0.3142
9.4,1.0125,0.4604,0.4488,0.7139,0.0772,0.3955,0.4536,0.4418,0.4477,0.3113,0.3851,0.3482
9.5,0.9303,0.4969,0.4681,0.7524,0.1257,0.4391,0.4688,0.4643,0.4666,0.345,0.4163,0.3807
9.6,0.8425,0.5338,0.4882,0.7892,0.1802,0.4847,0.4819,0.4873,0.4846,0.3768,0.4435,0.4101
9.7,0.754,0.5689,0.5083,0.8231,0.2382,0.5307,0.4931,0.5098,0.5015,0.4057,0.4659,0.4358
9.8,0.6685,0.6009,0.5274,0.8536,0.2974,0.5755,0.5028,0.5309,0.5169,0.431,0.4837,0.4573
9.9,0.5882,0.6291,0.5449,0.8803,0.3558,0.618,0.5114,0.5496,0.5305,0.4521,0.4972,0.4746
10,0.5148,0.6528,0.5606,0.9022,0.4112,0.6567,0.5193,0.5651,0.5422,0.4686,0.5067,0.4877
10.1,0.449,0.6715,0.5744,0.9185,0.4621,0.6903,0.527,0.5772,0.5521,0.4807,0.5128,0.4968
10.2,0.3909,0.6855,0.5865,0.9287,0.5076,0.7182,0.5348,0.5864,0.5606,0.4894,0.5166,0.503
10.3,0.3406,0.6948,0.5975,0.9333,0.5472,0.7403,0.5431,0.5933,0.5682,0.4962,0.5195,0.5078
10.4,0.299,0.6995,0.6078,0.9327,0.5798,0.7562,0.5522,0.5987,0.5755,0.5021,0.5226,0.5124
10.5,0.2668,0.6993,0.6177,0.9273,0.6041,0.7657,0.5622,0.6031,0.5826,0.5076,0.5264,0.517
10.6,0.2438,0.6943,0.6272,0.9172,0.6198,0.7685,0.5727,0.6068,0.5898,0.5121,0.5304,0.5212
10.7,0.2286,0.6843,0.6361,0.9029,0.6275,0.7652,0.5836,0.6101,0.5968,0.5147,0.5334,0.5241
10.8,0.2194,0.6695,0.6445,0.8852,0.6286,0.7569,0.5946,0.6134,0.604,0.5152,0.5353,0.5252
10.9,0.2145,0.6506,0.6524,0.8649,0.6239,0.7444,0.6059,0.6174,0.6116,0.5138,0.5358,0.5248
11,0.2127,0.6285,0.6596,0.8421,0.6142,0.7282,0.6171,0.6221,0.6196,0.5106,0.5352,0.5229
11.1,0.2118,0.6039,0.6661,0.8167,0.6002,0.7084,0.6277,0.6277,0.6277,0.5054,0.5334,0.5194
11.2,0.2085,0.5776,0.6715,0.7883,0.5829,0.6856,0.6371,0.6338,0.6355,0.4978,0.53,0.5139
11.3,0.2005,0.5503,0.6755,0.7573,0.5633,0.6603,0.6454,0.6396,0.6425,0.4878,0.5246,0.5062
11.4,0.1874,0.5227,0.6781,0.7242,0.5418,0.633,0.6531,0.6445,0.6488,0.4755,0.517,0.4962
11.5,0.1699,0.4956,0.6791,0.69,0.5189,0.6045,0.6608,0.6483,0.6545,0.4621,0.5076,0.4848
11.6,0.1487,0.4702,0.679,0.6559,0.4959,0.5759,0.6687,0.6509,0.6598,0.4486,0.4972,0.4729
11.7,0.1248,0.4473,0.6779,0.6234,0.4749,0.5492,0.6769,0.6522,0.6645,0.4361,0.4864,0.4612
11.8,0.0997,0.4277,0.6758,0.5946,0.4577,0.5261,0.6849,0.6519,0.6684,0.4245,0.4756,0.45
11.9,0.0766,0.4119,0.6725,0.5714,0.4449,0.5082,0.692,0.6497,0.6708,0.4139,0.4651,0.4395
12,0.0584,0.3997,0.668,0.5549,0.4363,0.4956,0.6977,0.6447,0.6712,0.4042,0.4551,0.4297
12.1,0.0471,0.3905,0.6621,0.5446,0.4309,0.4877,0.7014,0.6368,0.6691,0.3958,0.4458,0.4208
12.2,0.0431,0.3843,0.6548,0.5397,0.4288,0.4843,0.7028,0.6262,0.6645,0.3891,0.4376,0.4134
12.3,0.0457,0.3812,0.646,0.5395,0.43,0.4847,0.7017,0.6137,0.6577,0.3845,0.4311,0.4078
12.4,0.0538,0.3815,0.6355,0.5429,0.4345,0.4887,0.6987,0.6001,0.6494,0.3823,0.4268,0.4046
12.5,0.0673,0.3853,0.6236,0.5497,0.4418,0.4958,0.6947,0.5858,0.6403,0.3831,0.425,0.4041
12.6,0.0873,0.3932,0.6102,0.5606,0.4519,0.5062,0.6907,0.5722,0.6315,0.3871,0.4258,0.4065
12.7,0.1146,0.4053,0.5959,0.5764,0.4651,0.5208,0.6879,0.5608,0.6243,0.3949,0.4291,0.412
12.8,0.1478,0.4215,0.5811,0.5966,0.4823,0.5394,0.6868,0.5529,0.6199,0.4062,0.4347,0.4205
12.9,0.1844,0.4415,0.5671,0.6197,0.5032,0.5615,0.6878,0.5492,0.6185,0.4206,0.4423,0.4315
13,0.222,0.4646,0.5551,0.6445,0.5271,0.5858,0.6912,0.5499,0.6206,0.4374,0.4516,0.4445
13.1,0.2592,0.4906,0.5459,0.6701,0.5529,0.6115,0.6971,0.555,0.6261,0.4556,0.4624,0.459
13.2,0.2942,0.519,0.5395,0.6959,0.5795,0.6377,0.7054,0.5641,0.6348,0.4746,0.4746,0.4746
13.3,0.325,0.5489,0.536,0.7211,0.6055,0.6633,0.716,0.5764,0.6462,0.4937,0.488,0.4909
13.4,0.3501,0.5791,0.5351,0.7447,0.6293,0.687,0.7283,0.5912,0.6598,0.5124,0.5023,0.5073
13.5,0.3692,0.6088,0.5366,0.7659,0.6497,0.7078,0.7413,0.6081,0.6747,0.5297,0.5169,0.5233
13.6,0.3822,0.6367,0.5403,0.7844,0.666,0.7252,0.754,0.6266,0.6903,0.5445,0.5312,0.5378
13.7,0.3893,0.6619,0.5452,0.7998,0.6775,0.7386,0.7656,0.646,0.7058,0.5555,0.5439,0.5497
13.8,0.3907,0.6831,0.5502,0.8103,0.6833,0.7468,0.7753,0.665,0.7202,0.5614,0.5537,0.5576
13.9,0.3863,0.6994,0.555,0.814,0.6825,0.7482,0.7819,0.6825,0.7322,0.5614,0.5595,0.5605
14,0.3772,0.7101,0.5596,0.809,0.6746,0.7418,0.7843,0.6981,0.7412,0.5555,0.561,0.5583
14.1,0.3643,0.7152,0.5646,0.7948,0.6601,0.7275,0.7823,0.7117,0.747,0.5446,0.5588,0.5517
14.2,0.3482,0.7148,0.5702,0.7714,0.6401,0.7057,0.7757,0.7232,0.7495,0.5298,0.5535,0.5416
14.3,0.3286,0.7093,0.5762,0.7393,0.6159,0.6776,0.7645,0.7319,0.7482,0.512,0.5452,0.5286
14.4,0.3049,0.6992,0.5818,0.6992,0.5893,0.6442,0.748,0.7369,0.7424,0.4918,0.5336,0.5127
14.5,0.2767,0.6851,0.5867,0.6528,0.5616,0.6072,0.726,0.738,0.732,0.4697,0.5186,0.4941
14.6,0.2448,0.6673,0.5909,0.6028,0.534,0.5684,0.6995,0.7358,0.7176,0.4463,0.5001,0.4732
14.7,0.2114,0.6467,0.5951,0.5518,0.5076,0.5297,0.6702,0.7308,0.7005,0.4229,0.479,0.4509
14.8,0.1782,0.6243,0.5992,0.5023,0.4831,0.4927,0.6404,0.7233,0.6818,0.4007,0.4564,0.4286
14.9,0.1464,0.6012,0.6028,0.4562,0.4612,0.4587,0.6114,0.7134,0.6624,0.3805,0.4334,0.407
15,0.1173,0.5783,0.6056,0.415,0.4424,0.4287,0.584,0.7014,0.6427,0.3628,0.4112,0.387
15.1,0.0926,0.5564,0.6077,0.3799,0.427,0.4035,0.5587,0.6881,0.6234,0.3478,0.3907,0.3693
15.2,0.0737,0.5364,0.6093,0.3517,0.4154,0.3836,0.5361,0.6742,0.6052,0.3357,0.3726,0.3542
15.3,0.0608,0.5191,0.6112,0.3307,0.4077,0.3692,0.5167,0.6608,0.5888,0.3271,0.3575,0.3423
15.4,0.0536,0.5051,0.6139,0.3166,0.4035,0.36,0.5013,0.6488,0.5751,0.3228,0.346,0.3344
15.5,0.0519,0.495,0.6174,0.3095,0.4024,0.356,0.4906,0.6389,0.5648,0.3233,0.3384,0.3308
15.6,0.0561,0.4889,0.6217,0.3098,0.4043,0.357,0.4845,0.6318,0.5581,0.3291,0.3349,0.332
15.7,0.0666,0.4869,0.6268,0.3176,0.409,0.3633,0.4821,0.627,0.5546,0.3403,0.3355,0.3379
15.8,0.0833,0.4886,0.6322,0.3326,0.4162,0.3744,0.4826,0.6236,0.5531,0.3559,0.3395,0.3477
15.9,0.1055,0.4935,0.6371,0.3546,0.4257,0.3901,0.4851,0.6208,0.5529,0.3746,0.3454,0.36
16,0.1322,0.5012,0.6401,0.3828,0.4372,0.41,0.4892,0.6182,0.5537,0.3953,0.3527,0.374
16.1,0.1614,0.5102,0.6401,0.4164,0.4496,0.433,0.4948,0.6156,0.5552,0.417,0.3611,0.389
16.2,0.1908,0.5188,0.6372,0.454,0.4614,0.4577,0.5018,0.613,0.5574,0.4393,0.3706,0.405
16.3,0.2183,0.5254,0.6317,0.4941,0.4716,0.4829,0.5098,0.6103,0.5601,0.4618,0.3811,0.4215
16.4,0.2422,0.5289,0.6236,0.5355,0.4796,0.5075,0.5185,0.608,0.5632,0.4836,0.3922,0.4379
16.5,0.261,0.5287,0.613,0.5765,0.4852,0.5309,0.5278,0.6065,0.5671,0.5039,0.4035,0.4537
16.6,0.2738,0.5243,0.6002,0.6149,0.4882,0.5515,0.5377,0.6063,0.572,0.5222,0.4148,0.4685
16.7,0.2813,0.5155,0.586,0.6484,0.4879,0.5681,0.5479,0.6078,0.5779,0.5383,0.426,0.4821
16.8,0.2848,0.5026,0.5717,0.6756,0.4845,0.58,0.5581,0.6112,0.5847,0.552,0.4372,0.4946
16.9,0.2853,0.4867,0.5584,0.696,0.479,0.5875,0.5678,0.6166,0.5922,0.5635,0.4483,0.5059
17,0.2837,0.4696,0.5464,0.7094,0.4728,0.5911,0.5768,0.6237,0.6003,0.5729,0.4588,0.5158
17.1,0.2822,0.4525,0.5355,0.7163,0.4667,0.5915,0.5854,0.6322,0.6088,0.5804,0.4681,0.5243
17.2,0.2826,0.4361,0.526,0.7172,0.461,0.5891,0.5932,0.6419,0.6176,0.5867,0.4762,0.5314
17.3,0.2857,0.4208,0.5185,0.7132,0.4554,0.5843,0.5997,0.6529,0.6263,0.5921,0.4834,0.5377
17.4,0.2907,0.4068,0.5135,0.7063,0.4504,0.5784,0.6049,0.6652,0.6351,0.5967,0.4902,0.5434
17.5,0.2962,0.3947,0.5113,0.6984,0.4471,0.5727,0.609,0.679,0.644,0.6001,0.4968,0.5485
17.6,0.3009,0.385,0.512,0.6909,0.4463,0.5686,0.6126,0.6939,0.6532,0.6021,0.5027,0.5524
17.7,0.3051,0.3781,0.516,0.6848,0.4483,0.5666,0.6159,0.7097,0.6628,0.6028,0.5074,0.5551
17.8,0.3106,0.374,0.5237,0.6809,0.4527,0.5668,0.6193,0.7262,0.6727,0.6029,0.5112,0.557
17.9,0.3192,0.3729,0.5352,0.6796,0.4587,0.5692,0.6234,0.7428,0.6831,0.6032,0.5151,0.5592
18,0.3316,0.375,0.5501,0.6812,0.4659,0.5736,0.6284,0.7591,0.6938,0.6046,0.5204,0.5625
18.1,0.3478,0.3806,0.568,0.6855,0.4743,0.5799,0.6345,0.7744,0.7044,0.608,0.5274,0.5677
18.2,0.3671,0.3897,0.5884,0.6919,0.4844,0.5881,0.6411,0.7882,0.7146,0.6138,0.5363,0.575
18.3,0.3889,0.4023,0.6116,0.7,0.4961,0.598,0.648,0.8006,0.7243,0.6217,0.547,0.5843
18.4,0.413,0.4177,0.6377,0.7089,0.5091,0.609,0.6547,0.812,0.7334,0.6316,0.5597,0.5957
18.5,0.4385,0.4353,0.6668,0.7182,0.5226,0.6204,0.6607,0.8225,0.7416,0.643,0.5744,0.6087
18.6,0.4639,0.4545,0.6981,0.7272,0.5362,0.6317,0.6656,0.8319,0.7487,0.6548,0.5908,0.6228
18.7,0.4876,0.4749,0.7301,0.7354,0.5493,0.6424,0.6688,0.8399,0.7543,0.6658,0.608,0.6369
18.8,0.5095,0.496,0.7616,0.7427,0.5615,0.6521,0.6699,0.8465,0.7582,0.6753,0.6252,0.6503
18.9,0.5306,0.5172,0.7914,0.7494,0.5723,0.6608,0.6691,0.8515,0.7603,0.6825,0.642,0.6623
19,0.5518,0.5377,0.8183,0.7555,0.5809,0.6682,0.6664,0.8551,0.7608,0.6871,0.6576,0.6724
19.1,0.5735,0.5574,0.8405,0.7611,0.5869,0.674,0.6623,0.8572,0.7598,0.6886,0.6711,0.6799
19.2,0.5958,0.5763,0.8555,0.7663,0.5902,0.6783,0.6578,0.8576,0.7577,0.6865,0.6813,0.6839
19.3,0.6183,0.5946,0.8612,0.7717,0.5914,0.6815,0.6538,0.8563,0.7551,0.681,0.6874,0.6842
19.4,0.6409,0.6124,0.8572,0.7781,0.5908,0.6845,0.6514,0.8535,0.7524,0.6723,0.6894,0.6808
19.5,0.6629,0.6292,0.8453,0.786,0.5894,0.6877,0.6506,0.8494,0.75,0.6604,0.6874,0.6739
19.6,0.6828,0.6444,0.828,0.7954,0.5881,0.6918,0.6511,0.8447,0.7479,0.6452,0.6812,0.6632
19.7,0.6992,0.658,0.8073,0.8062,0.588,0.6971,0.6522,0.8399,0.7461,0.6265,0.6699,0.6482
19.8,0.7118,0.6706,0.7849,0.8181,0.5897,0.7039,0.6541,0.8353,0.7447,0.6045,0.6533,0.6289
19.9,0.722,0.6826,0.7622,0.8317,0.5935,0.7126,0.6569,0.8307,0.7438,0.5802,0.6316,0.6059
20,0.7308,0.6945,0.7403,0.8469,0.5993,0.7231,0.6599,0.8258,0.7428,0.5544,0.6057,0.5801
20.1,0.7383,0.7064,0.7201,0.8636,0.6066,0.7351,0.6616,0.8204,0.741,0.5276,0.5767,0.5521
20.2,0.7426,0.7181,0.7023,0.88,0.6147,0.7474,0.6603,0.8141,0.7372,0.5,0.545,0.5225
20.3,0.7412,0.7289,0.6869,0.8945,0.6232,0.7588,0.6551,0.8067,0.7309,0.4722,0.511,0.4916
20.4,0.7329,0.7384,0.6738,0.9055,0.6315,0.7685,0.6465,0.7985,0.7225,0.4448,0.4757,0.4602
20.5,0.7174,0.7459,0.6635,0.9125,0.6394,0.776,0.6357,0.79,0.7128,0.419,0.4399,0.4295
20.6,0.6941,0.7511,0.6558,0.9156,0.6463,0.7809,0.623,0.7813,0.7021,0.3958,0.405,0.4004
20.7,0.6616,0.7537,0.65,0.9142,0.6518,0.783,0.6084,0.7719,0.6902,0.3756,0.3715,0.3735
20.8,0.6188,0.754,0.6449,0.908,0.6556,0.7818,0.592,0.7605,0.6762,0.3586,0.3395,0.3491
20.9,0.5663,0.7529,0.639,0.8964,0.6577,0.777,0.5733,0.7454,0.6594,0.3447,0.3097,0.3272
21,0.5068,0.7513,0.6315,0.8799,0.6586,0.7692,0.552,0.7258,0.6389,0.3338,0.2826,0.3082
21.1,0.4428,0.7499,0.6217,0.8595,0.6586,0.759,0.5279,0.7013,0.6146,0.3261,0.2592,0.2926
