Time,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
6.6,-0.0462,0.8626,0.8135,0.7387,0.8295,0.7841,0.8551,0.7264,0.7907,0.7801,0.8693,0.8247
6.7,-0.0446,0.8585,0.8035,0.7271,0.8239,0.7755,0.857,0.7223,0.7896,0.7798,0.8657,0.8228
6.8,-0.0427,0.8518,0.7929,0.7131,0.8158,0.7645,0.8588,0.7178,0.7883,0.7802,0.8617,0.8209
6.9,-0.0404,0.8424,0.7825,0.6969,0.8052,0.7511,0.8606,0.7131,0.7869,0.7813,0.8575,0.8194
7,-0.0374,0.8302,0.7724,0.6788,0.792,0.7354,0.8623,0.7082,0.7853,0.7832,0.8534,0.8183
7.1,-0.0334,0.8158,0.7629,0.6591,0.7764,0.7177,0.8638,0.7032,0.7835,0.786,0.8496,0.8178
7.2,-0.0282,0.7996,0.7541,0.6385,0.7587,0.6986,0.8651,0.6984,0.7818,0.7901,0.8461,0.8181
7.3,-0.0215,0.7825,0.7461,0.618,0.7398,0.6789,0.8662,0.694,0.7801,0.7954,0.8432,0.8193
7.4,-0.0137,0.7646,0.7392,0.5982,0.7201,0.6592,0.867,0.69,0.7785,0.8019,0.8414,0.8217
7.5,-0.0057,0.746,0.7339,0.5794,0.6999,0.6396,0.8674,0.6864,0.7769,0.8101,0.8409,0.8255
7.6,0.0015,0.7267,0.7303,0.5621,0.6795,0.6208,0.8675,0.6834,0.7755,0.8199,0.842,0.831
7.7,0.0076,0.7074,0.7287,0.5468,0.6602,0.6035,0.8673,0.6812,0.7742,0.8313,0.8446,0.838
7.8,0.0124,0.6887,0.7291,0.5344,0.6431,0.5887,0.8671,0.6803,0.7737,0.8438,0.8488,0.8463
7.9,0.0155,0.671,0.7322,0.5248,0.6292,0.577,0.8675,0.6814,0.7745,0.8574,0.855,0.8562
8,0.0161,0.6547,0.7385,0.5179,0.6192,0.5685,0.8693,0.6852,0.7772,0.8719,0.8636,0.8678
8.1,0.0138,0.6404,0.7481,0.5137,0.6136,0.5636,0.8728,0.692,0.7824,0.8871,0.8747,0.8809
8.2,0.0089,0.6289,0.7608,0.513,0.6131,0.563,0.8783,0.702,0.7901,0.9022,0.8875,0.8949
8.3,0.0026,0.6214,0.7765,0.5168,0.6181,0.5675,0.8859,0.715,0.8005,0.917,0.9014,0.9092
8.4,-0.0043,0.6185,0.795,0.526,0.6289,0.5775,0.8962,0.7312,0.8137,0.9311,0.9157,0.9234
8.5,-0.0108,0.62,0.8163,0.5403,0.6448,0.5926,0.9093,0.7502,0.8297,0.9441,0.9303,0.9372
8.6,-0.0167,0.6249,0.8397,0.5587,0.6647,0.6117,0.9246,0.771,0.8478,0.9557,0.9449,0.9503
8.7,-0.0217,0.6319,0.8638,0.58,0.6874,0.6337,0.9415,0.7924,0.867,0.9654,0.959,0.9622
8.8,-0.0254,0.6402,0.8872,0.6031,0.7116,0.6573,0.9593,0.8134,0.8863,0.9733,0.972,0.9726
8.9,-0.0273,0.649,0.9084,0.6273,0.7362,0.6818,0.9776,0.8328,0.9052,0.9792,0.9834,0.9813
9,-0.027,0.6581,0.9268,0.6519,0.7599,0.7059,0.996,0.8501,0.9231,0.9834,0.9928,0.9881
9.1,-0.0241,0.6667,0.942,0.6757,0.7815,0.7286,1.014,0.8649,0.9395,0.9858,0.9999,0.9928
9.2,-0.0189,0.6742,0.9538,0.6977,0.8005,0.7491,1.0306,0.8769,0.9538,0.9864,1.0042,0.9953
9.3,-0.0116,0.6803,0.9623,0.7173,0.8169,0.7671,1.045,0.8861,0.9656,0.9851,1.0056,0.9953
9.4,-0.0023,0.6851,0.9678,0.7343,0.8307,0.7825,1.0568,0.8927,0.9747,0.9823,1.0044,0.9934
9.5,0.0089,0.6891,0.9709,0.7488,0.8419,0.7954,1.0655,0.8971,0.9813,0.9784,1.001,0.9897
9.6,0.0219,0.6925,0.9714,0.7604,0.8504,0.8054,1.0709,0.8994,0.9851,0.9736,0.9956,0.9846
9.7,0.0354,0.6952,0.9692,0.7689,0.8559,0.8124,1.0727,0.8996,0.9862,0.9678,0.9879,0.9778
9.8,0.0477,0.6974,0.9641,0.7741,0.8587,0.8164,1.0709,0.8979,0.9844,0.9604,0.9777,0.969
9.9,0.0578,0.6988,0.9562,0.7762,0.8589,0.8176,1.0654,0.8944,0.9799,0.9507,0.9648,0.9577
