Time,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10.1,0.2021,0.15,0.0426,0.3762,0.2629,0.3196,0.0944,0.1623,0.1283,0.4734,0.5978,0.5356
10.2,0.1964,0.1349,0.0476,0.3514,0.2753,0.3133,0.0671,0.1443,0.1057,0.4771,0.6058,0.5414
10.3,0.1881,0.1265,0.0589,0.3273,0.2942,0.3107,0.0448,0.1299,0.0873,0.4818,0.6166,0.5492
10.4,0.1766,0.1259,0.0757,0.3047,0.3198,0.3122,0.0281,0.1193,0.0737,0.4873,0.6296,0.5584
10.5,0.1619,0.1332,0.097,0.284,0.3519,0.3179,0.0172,0.1124,0.0648,0.493,0.6436,0.5683
10.6,0.145,0.1484,0.1217,0.2656,0.3895,0.3275,0.0127,0.1086,0.0607,0.4985,0.6581,0.5783
10.7,0.1264,0.1713,0.1484,0.2508,0.4312,0.341,0.0147,0.1073,0.061,0.5031,0.6721,0.5876
10.8,0.107,0.2017,0.1758,0.2407,0.4754,0.358,0.0229,0.1083,0.0656,0.5062,0.6846,0.5954
10.9,0.0883,0.2389,0.2031,0.236,0.52,0.378,0.0367,0.1117,0.0742,0.5071,0.6947,0.6009
11,0.0713,0.2808,0.2294,0.2369,0.5632,0.4,0.055,0.1174,0.0862,0.5059,0.7023,0.6041
11.1,0.056,0.3244,0.2538,0.243,0.6033,0.4231,0.0759,0.1248,0.1003,0.5027,0.7077,0.6052
11.2,0.0421,0.3669,0.2749,0.2534,0.6382,0.4458,0.0977,0.1334,0.1156,0.4979,0.7106,0.6042
11.3,0.0306,0.406,0.2909,0.2671,0.6659,0.4665,0.1194,0.1428,0.1311,0.4916,0.7111,0.6014
11.4,0.0226,0.4409,0.301,0.2837,0.6852,0.4844,0.1402,0.1529,0.1465,0.4847,0.7096,0.5971
11.5,0.017,0.4713,0.3053,0.3028,0.6964,0.4996,0.16,0.1637,0.1619,0.4785,0.7066,0.5925
11.6,0.0113,0.497,0.3036,0.323,0.7003,0.5117,0.179,0.1749,0.177,0.4743,0.7022,0.5883
11.7,0.0024,0.5175,0.2964,0.3422,0.6979,0.5201,0.197,0.1862,0.1916,0.4728,0.6966,0.5847
11.8,-0.0109,0.5325,0.2843,0.3573,0.6893,0.5233,0.2135,0.1971,0.2053,0.474,0.6896,0.5818
11.9,-0.0288,0.5418,0.2675,0.3658,0.6746,0.5202,0.2279,0.2069,0.2174,0.4768,0.681,0.5789
12,-0.0502,0.5454,0.2462,0.3666,0.6541,0.5104,0.2399,0.2145,0.2272,0.4799,0.6703,0.5751
12.1,-0.0746,0.5435,0.2213,0.3598,0.6293,0.4946,0.2497,0.2191,0.2344,0.4826,0.6572,0.5699
12.2,-0.1028,0.5364,0.194,0.3458,0.6019,0.4738,0.2579,0.2204,0.2391,0.4845,0.6413,0.5629
12.3,-0.1354,0.5243,0.1658,0.3248,0.5732,0.449,0.2647,0.2185,0.2416,0.4855,0.6226,0.554
12.4,-0.1719,0.5072,0.1379,0.297,0.544,0.4205,0.2702,0.2134,0.2418,0.4858,0.6019,0.5439
12.5,-0.2116,0.4851,0.1113,0.2634,0.5151,0.3893,0.2743,0.2055,0.2399,0.4852,0.5805,0.5328
12.6,-0.2537,0.4585,0.0868,0.2261,0.4876,0.3568,0.2769,0.1948,0.2358,0.4833,0.5593,0.5213
12.7,-0.2975,0.4286,0.0644,0.1874,0.4622,0.3248,0.2776,0.1815,0.2296,0.48,0.5383,0.5091
12.8,-0.3424,0.3971,0.0441,0.149,0.4395,0.2943,0.2764,0.1661,0.2212,0.475,0.5166,0.4958
12.9,-0.3873,0.3655,0.0256,0.112,0.4192,0.2656,0.2733,0.1488,0.2111,0.4689,0.494,0.4815
13,-0.4308,0.3355,0.0091,0.0766,0.4015,0.239,0.2685,0.1306,0.1996,0.4623,0.4709,0.4666
13.1,-0.4716,0.309,-0.0051,0.0437,0.387,0.2153,0.2624,0.1124,0.1874,0.4555,0.4484,0.452
13.2,-0.5087,0.2876,-0.0165,0.0145,0.3769,0.1957,0.2552,0.0952,0.1752,0.4485,0.4269,0.4377
13.3,-0.5411,0.2726,-0.0253,-0.0101,0.3719,0.1809,0.247,0.0794,0.1632,0.4406,0.4059,0.4232
13.4,-0.5673,0.2643,-0.0324,-0.0297,0.3723,0.1713,0.2376,0.065,0.1513,0.4313,0.3848,0.4081
13.5,-0.5862,0.2629,-0.0378,-0.0438,0.3784,0.1673,0.2274,0.0526,0.14,0.4205,0.3636,0.3921
13.6,-0.5975,0.2686,-0.0411,-0.0521,0.3905,0.1692,0.2167,0.0437,0.1302,0.4087,0.3431,0.3759
13.7,-0.6021,0.2808,-0.0414,-0.0546,0.4087,0.1771,0.2055,0.0392,0.1223,0.396,0.3238,0.3599
13.8,-0.6,0.2987,-0.0381,-0.0512,0.4332,0.191,0.1937,0.0396,0.1166,0.383,0.3065,0.3447
13.9,-0.59,0.3203,-0.0305,-0.0416,0.4628,0.2106,0.1822,0.045,0.1136,0.3702,0.2922,0.3312
14,-0.5709,0.3435,-0.0184,-0.0257,0.4955,0.2349,0.172,0.0556,0.1138,0.3587,0.2816,0.3202
14.1,-0.5427,0.3668,-0.0022,-0.0034,0.5291,0.2628,0.1635,0.0711,0.1173,0.3487,0.2754,0.3121
14.2,-0.5068,0.3893,0.0171,0.0248,0.5613,0.293,0.1561,0.0905,0.1233,0.3403,0.2737,0.307
14.3,-0.4645,0.4102,0.0375,0.058,0.5901,0.3241,0.1494,0.1122,0.1308,0.3336,0.2759,0.3048
14.4,-0.418,0.4294,0.0572,0.0955,0.6142,0.3549,0.1439,0.1348,0.1394,0.3288,0.2818,0.3053
14.5,-0.3689,0.4466,0.0748,0.1368,0.6332,0.385,0.1406,0.1576,0.1491,0.3261,0.2909,0.3085
14.6,-0.3183,0.4618,0.0895,0.1815,0.6473,0.4144,0.1405,0.1802,0.1603,0.3258,0.3025,0.3141
14.7,-0.2671,0.4749,0.1012,0.2285,0.6572,0.4428,0.1444,0.2015,0.1729,0.3279,0.3161,0.322
14.8,-0.2174,0.4854,0.1095,0.2752,0.6627,0.4689,0.1525,0.2201,0.1863,0.3321,0.3312,0.3317
14.9,-0.172,0.4927,0.1148,0.3182,0.6638,0.491,0.165,0.2343,0.1997,0.3379,0.3469,0.3424
15,-0.1322,0.4965,0.1172,0.3544,0.6603,0.5073,0.1822,0.2437,0.213,0.3439,0.3625,0.3532
15.1,-0.0979,0.4967,0.1175,0.3825,0.6529,0.5177,0.2042,0.2483,0.2262,0.3487,0.3769,0.3628
15.2,-0.0679,0.4934,0.1164,0.4025,0.6425,0.5225,0.2305,0.2486,0.2396,0.3516,0.3899,0.3708
