Time,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC
2.8,-0.2812,0.6437,0.7871,0.5423,0.6434,0.5929,0.7726,0.7498,0.7612,0.7178,0.8089,0.7633
2.9,-0.2639,0.6491,0.7818,0.5568,0.6452,0.601,0.7715,0.7334,0.7524,0.6899,0.8103,0.7501
3,-0.2365,0.6525,0.7752,0.5681,0.6431,0.6056,0.7712,0.7133,0.7422,0.6661,0.813,0.7395
3.1,-0.2,0.6536,0.7672,0.5754,0.6374,0.6064,0.7707,0.6909,0.7308,0.6467,0.8164,0.7315
3.2,-0.1568,0.6525,0.7576,0.5785,0.6287,0.6036,0.7688,0.667,0.7179,0.6322,0.8201,0.7262
3.3,-0.1097,0.6496,0.7463,0.5777,0.6178,0.5978,0.7652,0.6419,0.7035,0.6229,0.8239,0.7234
3.4,-0.0609,0.6457,0.7336,0.5739,0.6059,0.5899,0.7599,0.616,0.688,0.6188,0.8276,0.7232
3.5,-0.0115,0.6415,0.7202,0.5683,0.5937,0.581,0.7536,0.5901,0.6718,0.6191,0.8309,0.725
3.6,0.0382,0.6378,0.7075,0.5618,0.5821,0.5719,0.7468,0.5654,0.6561,0.6221,0.8335,0.7278
3.7,0.0885,0.6353,0.6964,0.5549,0.5716,0.5633,0.7404,0.5429,0.6417,0.6265,0.8347,0.7306
3.8,0.1384,0.634,0.6873,0.5481,0.5623,0.5552,0.7345,0.5236,0.629,0.6322,0.8339,0.7331
3.9,0.1864,0.6335,0.6801,0.5412,0.5541,0.5477,0.7287,0.5078,0.6182,0.64,0.8312,0.7356
4,0.2305,0.6332,0.675,0.5344,0.5467,0.5405,0.7227,0.496,0.6093,0.6502,0.8266,0.7384
4.1,0.2685,0.6323,0.6719,0.5278,0.5395,0.5336,0.7166,0.4886,0.6026,0.662,0.8201,0.7411
4.2,0.2998,0.6308,0.6709,0.5216,0.5324,0.527,0.7112,0.4859,0.5986,0.6748,0.8118,0.7433
4.3,0.3249,0.6291,0.6718,0.516,0.5253,0.5207,0.7073,0.4881,0.5977,0.6879,0.8012,0.7446
4.4,0.3443,0.6273,0.6746,0.5107,0.5182,0.5145,0.705,0.4946,0.5998,0.7011,0.7883,0.7447
4.5,0.3579,0.6252,0.6792,0.505,0.5107,0.5079,0.7031,0.5047,0.6039,0.7141,0.7729,0.7435
4.6,0.3655,0.6225,0.6848,0.4983,0.5028,0.5005,0.7003,0.518,0.6092,0.7259,0.7555,0.7407
4.7,0.3677,0.6193,0.6911,0.4911,0.4947,0.4929,0.6958,0.534,0.6149,0.7357,0.7364,0.7361
4.8,0.3656,0.6161,0.6972,0.4842,0.4876,0.4859,0.6899,0.5518,0.6209,0.7431,0.7161,0.7296
4.9,0.3599,0.6134,0.7024,0.4784,0.4823,0.4804,0.6831,0.5699,0.6265,0.7481,0.6949,0.7215
5,0.3508,0.6117,0.7059,0.474,0.4793,0.4766,0.6755,0.5862,0.6308,0.7508,0.6732,0.712
5.1,0.3371,0.6114,0.7071,0.4705,0.4787,0.4746,0.6666,0.5998,0.6332,0.7514,0.6517,0.7016
5.2,0.3174,0.6136,0.706,0.4679,0.4807,0.4743,0.6567,0.6112,0.634,0.75,0.6308,0.6904
5.3,0.2902,0.6193,0.7025,0.4674,0.486,0.4767,0.6471,0.6213,0.6342,0.7471,0.611,0.6791
5.4,0.2553,0.6292,0.697,0.4703,0.4947,0.4825,0.6389,0.6308,0.6349,0.7436,0.5925,0.6681
5.5,0.2141,0.6428,0.6897,0.4769,0.5068,0.4919,0.6328,0.6394,0.6361,0.7396,0.576,0.6578
5.6,0.1692,0.6586,0.6806,0.486,0.5216,0.5038,0.6283,0.6469,0.6376,0.7348,0.5616,0.6482
5.7,0.1229,0.6747,0.6698,0.4953,0.5383,0.5168,0.6242,0.6527,0.6384,0.7288,0.5489,0.6389
5.8,0.0769,0.6893,0.6575,0.5033,0.5562,0.5297,0.6197,0.6569,0.6383,0.722,0.5374,0.6297
5.9,0.0328,0.7012,0.6443,0.5093,0.5748,0.5421,0.6146,0.659,0.6368,0.7139,0.5266,0.6202
6,-0.0072,0.7096,0.6303,0.513,0.5935,0.5533,0.6086,0.6583,0.6335,0.7043,0.5161,0.6102
6.1,-0.0413,0.7144,0.6156,0.5136,0.6115,0.5625,0.6014,0.6542,0.6278,0.6926,0.5061,0.5994
6.2,-0.0681,0.7158,0.6008,0.5108,0.6283,0.5695,0.5927,0.6467,0.6197,0.679,0.4966,0.5878
6.3,-0.0886,0.7144,0.5865,0.5056,0.6437,0.5747,0.5832,0.6373,0.6102,0.6641,0.4878,0.5759
6.4,-0.105,0.7104,0.5735,0.4996,0.6583,0.5789,0.5744,0.6273,0.6008,0.6487,0.4796,0.5642
6.5,-0.1191,0.7044,0.5622,0.4946,0.6727,0.5836,0.5685,0.6177,0.5931,0.6337,0.4724,0.553
6.6,-0.1317,0.6971,0.5531,0.4918,0.6867,0.5892,0.5671,0.6092,0.5882,0.6195,0.4663,0.5429
6.7,-0.143,0.6889,0.5467,0.4918,0.6991,0.5954,0.5708,0.6025,0.5866,0.6063,0.4612,0.5337
6.8,-0.1536,0.6802,0.5429,0.4944,0.7088,0.6016,0.5791,0.5976,0.5883,0.5934,0.4569,0.5251
6.9,-0.1643,0.671,0.541,0.4993,0.7148,0.6071,0.5909,0.5944,0.5927,0.5804,0.4528,0.5166
7,-0.1749,0.6612,0.5396,0.5066,0.7172,0.6119,0.605,0.5924,0.5987,0.5668,0.4483,0.5075
7.1,-0.1845,0.6507,0.5375,0.516,0.7163,0.6162,0.62,0.5909,0.6054,0.5519,0.4434,0.4977
7.2,-0.1924,0.6399,0.5338,0.5271,0.7124,0.6198,0.6349,0.5892,0.6121,0.5356,0.4386,0.4871
7.3,-0.1983,0.6286,0.5287,0.5389,0.7059,0.6224,0.6488,0.5874,0.6181,0.5181,0.4346,0.4763
7.4,-0.2033,0.6169,0.5226,0.5504,0.6968,0.6236,0.6604,0.5853,0.6229,0.4998,0.4321,0.4659
7.5,-0.2087,0.6048,0.516,0.561,0.6855,0.6233,0.6692,0.5825,0.6259,0.4815,0.432,0.4568
7.6,-0.2135,0.5927,0.5094,0.5698,0.6723,0.6211,0.6748,0.5787,0.6268,0.4641,0.4354,0.4497
7.7,-0.2158,0.5814,0.5035,0.5763,0.6576,0.617,0.6767,0.5737,0.6252,0.4484,0.4429,0.4456
7.8,-0.2147,0.5708,0.4984,0.5801,0.6413,0.6107,0.6741,0.5671,0.6206,0.4353,0.4545,0.4449
7.9,-0.2111,0.56,0.4944,0.5811,0.6232,0.6022,0.6663,0.5587,0.6125,0.4251,0.47,0.4476
8,-0.2056,0.5488,0.4915,0.5799,0.6029,0.5914,0.6533,0.5485,0.6009,0.4173,0.4889,0.4531
8.1,-0.1988,0.5374,0.4901,0.5773,0.5809,0.5791,0.6366,0.5367,0.5867,0.4114,0.5107,0.4611
8.2,-0.1911,0.5266,0.4905,0.5744,0.5578,0.5661,0.6179,0.5239,0.5709,0.4074,0.5349,0.4712
8.3,-0.1839,0.5165,0.4931,0.5713,0.534,0.5526,0.5983,0.5109,0.5546,0.4058,0.5613,0.4835
8.4,-0.1792,0.5066,0.4984,0.5678,0.509,0.5384,0.5778,0.4986,0.5382,0.4067,0.5892,0.498
8.5,-0.1789,0.4966,0.5068,0.5639,0.4824,0.5231,0.5563,0.488,0.5222,0.4096,0.618,0.5138
8.6,-0.184,0.486,0.5175,0.5592,0.4537,0.5065,0.5343,0.4792,0.5067,0.4134,0.6462,0.5298
8.7,-0.1941,0.4743,0.5294,0.5533,0.4233,0.4883,0.5127,0.4711,0.4919,0.4176,0.6727,0.5452
8.8,-0.2064,0.4607,0.5411,0.5456,0.3907,0.4681,0.4925,0.4626,0.4776,0.422,0.697,0.5595
8.9,-0.2176,0.4452,0.5517,0.5355,0.356,0.4458,0.4746,0.4533,0.4639,0.427,0.7184,0.5727
9,-0.2249,0.4282,0.5606,0.5233,0.3196,0.4214,0.4594,0.4435,0.4514,0.4332,0.7366,0.5849
9.1,-0.2273,0.4113,0.5675,0.5097,0.2828,0.3962,0.4481,0.4341,0.4411,0.441,0.7512,0.5961
9.2,-0.2249,0.3958,0.5726,0.4958,0.2475,0.3717,0.4422,0.4258,0.434,0.4503,0.7619,0.6061
9.3,-0.2185,0.3822,0.5764,0.4828,0.2154,0.3491,0.443,0.4188,0.4309,0.4607,0.7695,0.6151
9.4,-0.2088,0.3706,0.5796,0.4708,0.1876,0.3292,0.4509,0.4137,0.4323,0.4729,0.7751,0.624
9.5,-0.1969,0.3606,0.5827,0.4601,0.165,0.3126,0.4665,0.4116,0.4391,0.4876,0.7793,0.6335
9.6,-0.1838,0.3518,0.5864,0.4514,0.1484,0.2999,0.4903,0.4134,0.4518,0.5052,0.7823,0.6438
9.7,-0.1703,0.3448,0.5907,0.445,0.1385,0.2918,0.5222,0.4194,0.4708,0.5253,0.7839,0.6546
9.8,-0.1575,0.3403,0.595,0.4414,0.1357,0.2885,0.5607,0.429,0.4948,0.5473,0.7836,0.6655
9.9,-0.1454,0.3386,0.5984,0.4402,0.14,0.2901,0.6032,0.4413,0.5223,0.5704,0.7813,0.6758
10,-0.1332,0.3395,0.6009,0.441,0.1509,0.2959,0.6468,0.4556,0.5512,0.5935,0.777,0.6853
10.1,-0.1202,0.3427,0.6026,0.443,0.1681,0.3056,0.6891,0.4713,0.5802,0.6152,0.7713,0.6932
10.2,-0.1057,0.348,0.6038,0.4454,0.1917,0.3185,0.7288,0.4881,0.6084,0.6342,0.7645,0.6993
10.3,-0.0888,0.3559,0.6046,0.4474,0.2218,0.3346,0.7651,0.5052,0.6351,0.65,0.757,0.7035
10.4,-0.0682,0.3668,0.6056,0.4486,0.2578,0.3532,0.7971,0.5219,0.6595,0.6624,0.7494,0.7059
10.5,-0.0428,0.3813,0.6076,0.4487,0.2984,0.3736,0.8234,0.5378,0.6806,0.671,0.7419,0.7064
10.6,-0.0131,0.3992,0.6119,0.4475,0.3418,0.3946,0.8427,0.5527,0.6977,0.6756,0.7348,0.7052
10.7,0.0193,0.4203,0.6195,0.4449,0.3862,0.4156,0.8542,0.5663,0.7103,0.6764,0.7279,0.7022
10.8,0.0521,0.4441,0.6307,0.4416,0.4302,0.4359,0.8577,0.578,0.7178,0.6747,0.721,0.6978
10.9,0.0845,0.4697,0.6447,0.438,0.472,0.455,0.8536,0.5864,0.72,0.6712,0.7138,0.6925
11,0.1165,0.4963,0.6609,0.4351,0.5102,0.4727,0.8425,0.591,0.7168,0.6666,0.7055,0.6861
11.1,0.148,0.5228,0.6785,0.4338,0.543,0.4884,0.8253,0.5917,0.7085,0.661,0.6952,0.6781
11.2,0.1785,0.5481,0.6969,0.4346,0.5691,0.5019,0.8027,0.5887,0.6957,0.6545,0.6826,0.6685
11.3,0.2067,0.5713,0.7152,0.4378,0.588,0.5129,0.7756,0.5828,0.6792,0.6474,0.6673,0.6574
11.4,0.2321,0.5923,0.7329,0.4432,0.5998,0.5215,0.7456,0.5748,0.6602,0.6404,0.6497,0.645
11.5,0.2545,0.6111,0.7497,0.45,0.6053,0.5276,0.7145,0.5654,0.64,0.6342,0.6298,0.632
11.6,0.2733,0.6273,0.7659,0.4567,0.6052,0.531,0.6836,0.5554,0.6195,0.6294,0.6081,0.6188
11.7,0.2877,0.6397,0.7818,0.4624,0.5994,0.5309,0.6539,0.5452,0.5996,0.6261,0.5854,0.6058
11.8,0.297,0.6475,0.7977,0.466,0.5875,0.5267,0.6267,0.5358,0.5813,0.6245,0.5626,0.5936
11.9,0.3008,0.6507,0.8135,0.4675,0.5698,0.5186,0.6033,0.5276,0.5654,0.6248,0.5408,0.5828
12,0.299,0.65,0.8289,0.4672,0.5475,0.5073,0.585,0.5211,0.5531,0.6273,0.5206,0.5739
12.1,0.2924,0.6469,0.8439,0.466,0.5226,0.4943,0.573,0.5168,0.5449,0.6324,0.5026,0.5675
12.2,0.282,0.6433,0.8586,0.4649,0.4969,0.4809,0.5675,0.5155,0.5415,0.6399,0.4873,0.5636
12.3,0.2679,0.6407,0.8732,0.4648,0.472,0.4684,0.5683,0.5182,0.5432,0.6491,0.4754,0.5623
12.4,0.249,0.6394,0.8879,0.466,0.4487,0.4573,0.575,0.5252,0.5501,0.6595,0.4673,0.5634
12.5,0.2243,0.6393,0.9031,0.4687,0.4278,0.4482,0.5872,0.5367,0.5619,0.6705,0.4634,0.5669
12.6,0.1932,0.6397,0.9192,0.4723,0.4105,0.4414,0.6046,0.5522,0.5784,0.6815,0.4638,0.5726
12.7,0.1557,0.6397,0.9365,0.476,0.3972,0.4366,0.6264,0.5712,0.5988,0.6924,0.4686,0.5805
12.8,0.1116,0.6382,0.9551,0.4789,0.3878,0.4334,0.6518,0.5933,0.6226,0.7025,0.4779,0.5902
12.9,0.0606,0.6345,0.9747,0.4803,0.382,0.4312,0.6801,0.618,0.6491,0.7113,0.4915,0.6014
13,0.0038,0.6287,0.9946,0.4801,0.38,0.4301,0.7104,0.6444,0.6774,0.7181,0.5101,0.6141
13.1,-0.0573,0.6211,1.0141,0.4785,0.3825,0.4305,0.7415,0.6715,0.7065,0.7225,0.5346,0.6286
13.2,-0.1199,0.6117,1.0331,0.4763,0.3901,0.4332,0.773,0.6988,0.7359,0.7235,0.5662,0.6449
13.3,-0.181,0.6004,1.052,0.4736,0.4022,0.4379,0.8046,0.726,0.7653,0.7204,0.6061,0.6632
13.4,-0.2385,0.5872,1.072,0.4706,0.4174,0.444,0.8363,0.753,0.7947,0.7133,0.6553,0.6843
13.5,-0.2918,0.5729,1.094,0.4676,0.4342,0.4509,0.8682,0.7796,0.8239,0.703,0.7153,0.7092
13.6,-0.3408,0.5593,1.1182,0.4656,0.452,0.4588,0.9001,0.8052,0.8526,0.6909,0.7864,0.7387
13.7,-0.3837,0.5482,1.1443,0.466,0.4714,0.4687,0.9315,0.8292,0.8803,0.6791,0.8683,0.7737
13.8,-0.4192,0.5406,1.171,0.4699,0.4927,0.4813,0.961,0.8514,0.9062,0.6696,0.9587,0.8141
13.9,-0.4474,0.5359,1.1965,0.4773,0.5148,0.4961,0.9865,0.8715,0.929,0.664,1.0534,0.8587
14,-0.4706,0.5334,1.2184,0.4873,0.5357,0.5115,1.0054,0.8887,0.9471,0.6646,1.1461,0.9053
14.1,-0.4905,0.5327,1.2347,0.4985,0.5542,0.5263,1.0153,0.9017,0.9585,0.6737,1.2296,0.9517
14.2,-0.5071,0.5333,1.2438,0.5097,0.5695,0.5396,1.0145,0.9081,0.9613,0.6928,1.298,0.9954
14.3,-0.5193,0.5349,1.245,0.5206,0.5819,0.5512,1.0024,0.9068,0.9546,0.7209,1.3485,1.0347
14.4,-0.5263,0.5382,1.2391,0.5318,0.5921,0.562,0.9797,0.8989,0.9393,0.7551,1.3814,1.0682
14.5,-0.5292,0.5439,1.2275,0.5437,0.6015,0.5726,0.9473,0.886,0.9166,0.7921,1.398,1.095
14.6,-0.5296,0.5525,1.2119,0.5566,0.6113,0.5839,0.9075,0.8698,0.8886,0.8289,1.3999,1.1144
14.7,-0.5275,0.5643,1.1937,0.5707,0.6225,0.5966,0.8634,0.8517,0.8576,0.8631,1.3891,1.1261
14.8,-0.5207,0.579,1.1744,0.5859,0.6357,0.6108,0.8185,0.8326,0.8256,0.8931,1.3675,1.1303
14.9,-0.5073,0.5954,1.155,0.6014,0.6497,0.6256,0.7752,0.8131,0.7941,0.9181,1.3373,1.1277
