Time,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC
2.5,-0.0422,0.7023,0.4899,0.595,0.68,0.6375,0.6468,0.5338,0.5903,0.5265,0.5784,0.5524
2.6,-0.0381,0.6973,0.5026,0.6018,0.6906,0.6462,0.6413,0.5427,0.592,0.5393,0.5711,0.5552
2.7,-0.0399,0.6939,0.5182,0.6103,0.7027,0.6565,0.6339,0.5527,0.5933,0.5521,0.5649,0.5585
2.8,-0.0469,0.6924,0.5364,0.6196,0.7162,0.6679,0.6248,0.5634,0.5941,0.5649,0.5598,0.5624
2.9,-0.0587,0.693,0.5563,0.629,0.7317,0.6803,0.6141,0.5741,0.5941,0.5783,0.5561,0.5672
3,-0.0745,0.6958,0.5766,0.6383,0.7494,0.6939,0.6016,0.5847,0.5931,0.5923,0.5542,0.5733
3.1,-0.0935,0.7001,0.5955,0.647,0.7691,0.708,0.5868,0.5947,0.5907,0.6066,0.554,0.5803
3.2,-0.1144,0.7052,0.612,0.6544,0.7901,0.7223,0.5694,0.604,0.5867,0.6204,0.5551,0.5878
3.3,-0.1357,0.7102,0.6261,0.6607,0.8119,0.7363,0.5494,0.6126,0.581,0.6328,0.5577,0.5952
3.4,-0.1562,0.7144,0.638,0.6662,0.8342,0.7502,0.5277,0.6208,0.5742,0.643,0.5617,0.6024
3.5,-0.1749,0.7174,0.6479,0.6708,0.8559,0.7634,0.5054,0.6286,0.567,0.6511,0.5671,0.6091
3.6,-0.1902,0.7187,0.6559,0.6743,0.8757,0.775,0.4839,0.6361,0.56,0.6571,0.5735,0.6153
3.7,-0.2001,0.7182,0.6623,0.6761,0.8914,0.7838,0.4646,0.6431,0.5538,0.6614,0.5813,0.6213
3.8,-0.2029,0.7159,0.6669,0.6761,0.9018,0.7889,0.4481,0.6492,0.5487,0.6647,0.5905,0.6276
3.9,-0.1975,0.7119,0.6703,0.6742,0.9063,0.7903,0.4354,0.6544,0.5449,0.6675,0.6016,0.6345
4,-0.1844,0.7065,0.6726,0.6704,0.905,0.7877,0.4269,0.6583,0.5426,0.6704,0.6143,0.6424
4.1,-0.1645,0.6996,0.6739,0.6645,0.8984,0.7814,0.4232,0.6608,0.542,0.6739,0.6287,0.6513
4.2,-0.1392,0.6915,0.6747,0.6566,0.8868,0.7717,0.4244,0.6619,0.5432,0.678,0.6449,0.6615
4.3,-0.1105,0.6826,0.675,0.6471,0.8713,0.7592,0.4306,0.6616,0.5461,0.6826,0.6629,0.6727
4.4,-0.0803,0.6737,0.6749,0.6368,0.8528,0.7448,0.4415,0.6596,0.5505,0.6874,0.6826,0.685
4.5,-0.05,0.6657,0.6744,0.6263,0.8319,0.7291,0.4569,0.6562,0.5566,0.6922,0.7038,0.698
4.6,-0.0197,0.6588,0.6738,0.6159,0.8087,0.7123,0.4767,0.652,0.5643,0.6969,0.7259,0.7114
4.7,0.0112,0.6535,0.6739,0.6058,0.7834,0.6946,0.5002,0.6475,0.5739,0.7014,0.7486,0.725
4.8,0.0432,0.6497,0.6755,0.5959,0.7564,0.6761,0.5261,0.643,0.5845,0.7057,0.7716,0.7386
4.9,0.0753,0.6477,0.6789,0.586,0.7282,0.6571,0.5523,0.6382,0.5952,0.7094,0.7946,0.752
5,0.1055,0.6474,0.6842,0.5759,0.6996,0.6377,0.5766,0.6329,0.6047,0.7115,0.8165,0.764
5.1,0.1319,0.6486,0.6917,0.5656,0.671,0.6183,0.5976,0.6271,0.6123,0.7113,0.8359,0.7736
5.2,0.1525,0.6505,0.7009,0.5557,0.6433,0.5995,0.6146,0.621,0.6178,0.7083,0.8514,0.7799
5.3,0.1654,0.6525,0.7112,0.5471,0.6176,0.5824,0.6274,0.6153,0.6213,0.7024,0.8624,0.7824
5.4,0.1699,0.6548,0.7218,0.5408,0.5953,0.5681,0.636,0.6101,0.6231,0.6939,0.8689,0.7814
5.5,0.1661,0.6579,0.7323,0.5371,0.5771,0.5571,0.6403,0.6063,0.6233,0.6832,0.8712,0.7772
5.6,0.1555,0.6622,0.7432,0.5362,0.5627,0.5495,0.6405,0.6039,0.6222,0.6708,0.8701,0.7704
5.7,0.1397,0.6673,0.7552,0.5382,0.5517,0.545,0.6373,0.6032,0.6203,0.6576,0.866,0.7618
5.8,0.1202,0.6725,0.7683,0.5432,0.5436,0.5434,0.6315,0.604,0.6178,0.6439,0.8592,0.7515
5.9,0.0983,0.6775,0.7819,0.5509,0.5382,0.5446,0.624,0.6059,0.615,0.6298,0.8493,0.7396
6,0.0759,0.6818,0.7945,0.5606,0.5352,0.5479,0.6153,0.6084,0.6119,0.6154,0.8361,0.7257
6.1,0.0545,0.6848,0.8048,0.5709,0.5339,0.5524,0.6055,0.6105,0.608,0.6008,0.8191,0.7099
6.2,0.0349,0.6853,0.8119,0.5807,0.5335,0.5571,0.5945,0.6111,0.6028,0.5868,0.7992,0.693
6.3,0.0173,0.6823,0.8153,0.5899,0.534,0.5619,0.5824,0.6098,0.5961,0.5748,0.7773,0.6761
6.4,0.0019,0.6758,0.815,0.5989,0.5357,0.5673,0.5697,0.6067,0.5882,0.5658,0.7546,0.6602
6.5,-0.0104,0.6668,0.8118,0.6079,0.5387,0.5733,0.5576,0.6023,0.58,0.56,0.7317,0.6458
6.6,-0.0187,0.6563,0.8068,0.6158,0.5428,0.5793,0.547,0.5972,0.5721,0.5568,0.7089,0.6329
6.7,-0.0227,0.6454,0.8008,0.622,0.5477,0.5848,0.5386,0.5916,0.5651,0.556,0.6874,0.6217
6.8,-0.0226,0.6349,0.7937,0.626,0.5529,0.5895,0.5332,0.5859,0.5595,0.5575,0.6681,0.6128
6.9,-0.0187,0.6257,0.785,0.628,0.5583,0.5931,0.5312,0.5805,0.5558,0.5617,0.6518,0.6067
7,-0.0103,0.6183,0.7749,0.6277,0.5633,0.5955,0.5328,0.5757,0.5542,0.5684,0.6387,0.6035
7.1,0.0028,0.6132,0.7635,0.6246,0.5681,0.5964,0.5373,0.5714,0.5543,0.5768,0.6288,0.6028
7.2,0.0188,0.6097,0.7514,0.6184,0.5732,0.5958,0.5434,0.5674,0.5554,0.5861,0.622,0.6041
7.3,0.0348,0.6077,0.7387,0.609,0.5795,0.5943,0.5503,0.5639,0.5571,0.5955,0.6187,0.6071
7.4,0.0481,0.6072,0.7256,0.5967,0.5874,0.592,0.5575,0.5614,0.5594,0.6047,0.6193,0.612
7.5,0.0569,0.6085,0.7125,0.5815,0.597,0.5892,0.5648,0.5603,0.5625,0.6132,0.6243,0.6188
7.6,0.0601,0.6116,0.7,0.5633,0.6082,0.5858,0.5722,0.5609,0.5666,0.6206,0.6332,0.6269
7.7,0.057,0.6162,0.6885,0.5427,0.6208,0.5817,0.5795,0.5636,0.5716,0.6258,0.645,0.6354
7.8,0.0475,0.622,0.6778,0.5201,0.6344,0.5773,0.5866,0.5685,0.5776,0.6284,0.6583,0.6433
7.9,0.0322,0.6287,0.6677,0.4968,0.6482,0.5725,0.5927,0.5759,0.5843,0.628,0.6717,0.6499
8,0.0123,0.6358,0.6583,0.4733,0.6609,0.5671,0.597,0.5854,0.5912,0.6247,0.684,0.6544
8.1,-0.0115,0.6423,0.65,0.4502,0.6713,0.5608,0.5985,0.5962,0.5973,0.6186,0.6942,0.6564
8.2,-0.0396,0.6472,0.6427,0.428,0.6782,0.5531,0.5964,0.6069,0.6016,0.6099,0.7011,0.6555
8.3,-0.0723,0.6498,0.636,0.4067,0.6807,0.5437,0.5907,0.6162,0.6034,0.5985,0.7038,0.6512
8.4,-0.1086,0.65,0.6299,0.3869,0.6783,0.5326,0.5825,0.6231,0.6028,0.5849,0.7018,0.6433
8.5,-0.1458,0.6478,0.6246,0.3692,0.6709,0.52,0.5736,0.6266,0.6001,0.5702,0.6954,0.6328
8.6,-0.1807,0.6434,0.6199,0.3538,0.659,0.5064,0.5654,0.6262,0.5958,0.5559,0.6855,0.6207
8.7,-0.2114,0.6373,0.6155,0.3406,0.6433,0.4919,0.5586,0.6221,0.5904,0.5431,0.6734,0.6083
8.8,-0.2365,0.6299,0.6104,0.3286,0.6243,0.4765,0.5531,0.6145,0.5838,0.5325,0.6599,0.5962
8.9,-0.2553,0.6212,0.6039,0.3173,0.6024,0.4598,0.5483,0.6035,0.5759,0.5243,0.6451,0.5847
9,-0.2679,0.6107,0.5964,0.3059,0.5779,0.4419,0.5439,0.5892,0.5665,0.5186,0.6295,0.5741
9.1,-0.2754,0.5977,0.5886,0.2942,0.5518,0.423,0.5402,0.5721,0.5562,0.5155,0.6141,0.5648
9.2,-0.2793,0.5817,0.5806,0.2822,0.5252,0.4037,0.5379,0.5536,0.5458,0.5148,0.5997,0.5572
9.3,-0.2813,0.5632,0.5715,0.2696,0.4992,0.3844,0.5374,0.535,0.5362,0.5161,0.587,0.5516
9.4,-0.2826,0.5426,0.5607,0.2563,0.4746,0.3654,0.5386,0.517,0.5278,0.5192,0.5763,0.5478
9.5,-0.2842,0.52,0.5484,0.2419,0.4519,0.3469,0.5412,0.4999,0.5205,0.5238,0.5677,0.5458
9.6,-0.2867,0.4958,0.5354,0.2268,0.4315,0.3291,0.5447,0.4847,0.5147,0.5299,0.5613,0.5456
9.7,-0.2897,0.4707,0.5226,0.211,0.414,0.3125,0.5495,0.4727,0.5111,0.5373,0.5568,0.547
9.8,-0.2929,0.4455,0.5104,0.1947,0.3992,0.2969,0.5557,0.4653,0.5105,0.5452,0.5535,0.5494
9.9,-0.2959,0.421,0.4987,0.1779,0.3869,0.2824,0.5632,0.4624,0.5128,0.5531,0.5506,0.5518
10,-0.2989,0.3977,0.4873,0.1612,0.3765,0.2689,0.5718,0.4637,0.5177,0.5608,0.5481,0.5545
10.1,-0.3016,0.3758,0.4759,0.1461,0.3678,0.2569,0.5816,0.4683,0.525,0.5693,0.5471,0.5582
10.2,-0.3035,0.356,0.4646,0.1341,0.361,0.2476,0.5928,0.4761,0.5345,0.5793,0.5484,0.5639
10.3,-0.3038,0.3391,0.4535,0.1262,0.3566,0.2414,0.6054,0.4868,0.5461,0.5913,0.5519,0.5716
10.4,-0.3018,0.3255,0.4426,0.1222,0.3547,0.2385,0.6192,0.4999,0.5596,0.6044,0.5571,0.5808
10.5,-0.2981,0.3151,0.432,0.1217,0.3558,0.2388,0.6335,0.5145,0.574,0.6182,0.5638,0.591
10.6,-0.2937,0.3076,0.4218,0.1243,0.3598,0.242,0.6479,0.5302,0.589,0.632,0.5722,0.6021
10.7,-0.2898,0.3023,0.4121,0.1298,0.3666,0.2482,0.6627,0.5469,0.6048,0.6459,0.5825,0.6142
10.8,-0.2864,0.2989,0.4033,0.1381,0.3754,0.2567,0.6788,0.5644,0.6216,0.6597,0.5937,0.6267
10.9,-0.2825,0.2967,0.3954,0.1486,0.3853,0.267,0.6963,0.5825,0.6394,0.6731,0.6046,0.6388
11,-0.2769,0.2954,0.3883,0.1607,0.3948,0.2777,0.7143,0.6006,0.6575,0.6853,0.6145,0.6499
11.1,-0.2689,0.2948,0.3819,0.1737,0.4027,0.2882,0.7321,0.6182,0.6751,0.696,0.6229,0.6595
11.2,-0.2581,0.2951,0.3764,0.1876,0.4081,0.2979,0.7489,0.6352,0.692,0.7047,0.6297,0.6672
11.3,-0.2445,0.2968,0.3721,0.2025,0.4107,0.3066,0.7651,0.6517,0.7084,0.7112,0.6343,0.6727
11.4,-0.2276,0.2996,0.3692,0.2186,0.4102,0.3144,0.7814,0.6676,0.7245,0.7153,0.6363,0.6758
11.5,-0.2075,0.3033,0.3675,0.2352,0.4065,0.3208,0.798,0.6822,0.7401,0.7172,0.6356,0.6764
11.6,-0.1848,0.3076,0.3666,0.2514,0.4004,0.3259,0.8149,0.6952,0.7551,0.7174,0.6329,0.6752
11.7,-0.1608,0.3128,0.3669,0.2665,0.3927,0.3296,0.8322,0.707,0.7696,0.7169,0.6292,0.673
11.8,-0.1363,0.3191,0.3685,0.2802,0.3846,0.3324,0.8495,0.7185,0.784,0.7162,0.6249,0.6706
11.9,-0.1117,0.327,0.3715,0.2922,0.3767,0.3345,0.8664,0.7297,0.798,0.7155,0.6202,0.6678
12,-0.0881,0.3369,0.3754,0.3022,0.3693,0.3357,0.8821,0.74,0.8111,0.7143,0.6148,0.6645
12.1,-0.0665,0.3491,0.3796,0.3099,0.3625,0.3362,0.8963,0.7487,0.8225,0.7123,0.6087,0.6605
12.2,-0.0477,0.3637,0.3835,0.3152,0.3564,0.3358,0.9089,0.7552,0.832,0.7097,0.6023,0.656
12.3,-0.0322,0.3805,0.3877,0.3176,0.3516,0.3346,0.9204,0.7591,0.8398,0.7066,0.5958,0.6512
12.4,-0.0212,0.3996,0.3933,0.3169,0.3494,0.3331,0.9315,0.761,0.8462,0.7036,0.5899,0.6467
12.5,-0.0158,0.4212,0.4015,0.3128,0.3509,0.3319,0.9432,0.7613,0.8523,0.7009,0.5845,0.6427
12.6,-0.0175,0.4457,0.4128,0.3052,0.3569,0.3311,0.9561,0.7604,0.8582,0.6985,0.5799,0.6392
12.7,-0.0276,0.4733,0.4269,0.294,0.3674,0.3307,0.9697,0.7582,0.864,0.6963,0.5763,0.6363
12.8,-0.0466,0.5036,0.4435,0.2795,0.382,0.3307,0.9831,0.7548,0.8689,0.6938,0.5732,0.6335
12.9,-0.074,0.5357,0.4627,0.262,0.4004,0.3312,0.9949,0.7502,0.8725,0.69,0.57,0.63
13,-0.1086,0.5691,0.4841,0.2429,0.422,0.3324,1.004,0.7446,0.8743,0.6834,0.5658,0.6246
13.1,-0.1491,0.6028,0.5071,0.2238,0.4457,0.3347,1.0097,0.7376,0.8737,0.6727,0.56,0.6164
13.2,-0.1941,0.6356,0.5302,0.2071,0.47,0.3385,1.0109,0.7282,0.8696,0.6572,0.5528,0.605
13.3,-0.2417,0.6658,0.552,0.1947,0.4933,0.344,1.0066,0.7155,0.8611,0.6372,0.5447,0.591
13.4,-0.2892,0.6919,0.5718,0.1878,0.5144,0.3511,0.9962,0.6996,0.8479,0.6136,0.537,0.5753
13.5,-0.3339,0.7126,0.5888,0.186,0.5325,0.3593,0.9797,0.6815,0.8306,0.5874,0.53,0.5587
13.6,-0.3739,0.7276,0.6031,0.1874,0.5474,0.3674,0.9579,0.6627,0.8103,0.5595,0.5235,0.5415
13.7,-0.4081,0.7372,0.615,0.1904,0.5589,0.3746,0.9315,0.6441,0.7878,0.5302,0.5171,0.5236
13.8,-0.4352,0.7416,0.6248,0.1951,0.5665,0.3808,0.9012,0.6264,0.7638,0.5001,0.5109,0.5055
13.9,-0.4536,0.741,0.6333,0.2021,0.57,0.386,0.8682,0.6106,0.7394,0.4702,0.5054,0.4878
14,-0.4617,0.7356,0.6413,0.2115,0.569,0.3903,0.834,0.5979,0.716,0.4415,0.5007,0.4711
14.1,-0.4583,0.7264,0.6497,0.2229,0.5637,0.3933,0.8006,0.5901,0.6953,0.4146,0.4965,0.4556
14.2,-0.4435,0.7145,0.6594,0.2356,0.5548,0.3952,0.7686,0.5881,0.6783,0.3904,0.4926,0.4415
14.3,-0.4179,0.7008,0.6713,0.249,0.5434,0.3962,0.7374,0.592,0.6647,0.3701,0.49,0.4301
14.4,-0.3823,0.6857,0.6859,0.2632,0.5301,0.3966,0.7063,0.6015,0.6539,0.3547,0.4897,0.4222
14.5,-0.3387,0.6701,0.7033,0.2785,0.5158,0.3971,0.6763,0.6168,0.6466,0.3443,0.4918,0.4181
14.6,-0.2901,0.6545,0.7237,0.2948,0.5015,0.3981,0.6492,0.6378,0.6435,0.3389,0.4963,0.4176
14.7,-0.2404,0.6396,0.7477,0.311,0.4888,0.3999,0.6265,0.6637,0.6451,0.3388,0.5036,0.4212
14.8,-0.1931,0.6256,0.7752,0.3251,0.4792,0.4021,0.6078,0.6929,0.6504,0.3447,0.5148,0.4297
14.9,-0.1504,0.6127,0.8054,0.3356,0.4737,0.4046,0.5914,0.7241,0.6578,0.3573,0.5309,0.4441
