Time,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC
1.4,0.1412,0.5589,0.22,0.4629,0.4837,0.4733,0.5688,0.3166,0.4427,0.6457,0.4554,0.5505
1.5,0.1722,0.5577,0.2042,0.4658,0.454,0.4599,0.5727,0.3023,0.4375,0.6591,0.4637,0.5614
1.6,0.2041,0.5552,0.1918,0.4707,0.4255,0.4481,0.5757,0.2911,0.4334,0.6713,0.4743,0.5728
1.7,0.235,0.5523,0.1836,0.4782,0.3996,0.4389,0.5783,0.2838,0.4311,0.6824,0.4873,0.5849
1.8,0.2632,0.5497,0.1805,0.4884,0.3777,0.433,0.5815,0.2813,0.4314,0.6929,0.5028,0.5978
1.9,0.2883,0.5478,0.1823,0.5017,0.3603,0.431,0.5863,0.2845,0.4354,0.7033,0.5206,0.6119
2,0.3102,0.5465,0.1888,0.5182,0.3475,0.4329,0.5933,0.2933,0.4433,0.7138,0.5402,0.627
2.1,0.3294,0.5459,0.1994,0.538,0.3393,0.4387,0.6026,0.3075,0.4551,0.7242,0.561,0.6426
2.2,0.3466,0.5461,0.2138,0.5612,0.3355,0.4483,0.6145,0.3264,0.4705,0.7345,0.5817,0.6581
2.3,0.3619,0.5474,0.2315,0.5871,0.3361,0.4616,0.6293,0.3497,0.4895,0.7445,0.6015,0.673
2.4,0.3754,0.5499,0.2525,0.6144,0.341,0.4777,0.6468,0.3768,0.5118,0.7542,0.6199,0.687
2.5,0.3863,0.5531,0.2766,0.6413,0.3502,0.4958,0.667,0.4074,0.5372,0.7634,0.6364,0.6999
2.6,0.3936,0.5566,0.3039,0.6661,0.3638,0.515,0.6893,0.441,0.5652,0.7716,0.6502,0.7109
2.7,0.3953,0.5602,0.3336,0.6875,0.3818,0.5346,0.7136,0.4766,0.5951,0.7786,0.6604,0.7195
2.8,0.3901,0.5636,0.3644,0.7042,0.4037,0.5539,0.7397,0.5128,0.6263,0.7843,0.6665,0.7254
2.9,0.378,0.5664,0.395,0.7157,0.4286,0.5722,0.7672,0.5481,0.6576,0.7889,0.6687,0.7288
3,0.3595,0.5684,0.4247,0.7221,0.4555,0.5888,0.7947,0.5807,0.6877,0.792,0.6673,0.7296
3.1,0.3352,0.5696,0.453,0.7243,0.4831,0.6037,0.8203,0.6092,0.7148,0.7932,0.6628,0.728
3.2,0.3066,0.5705,0.4802,0.7238,0.5109,0.6174,0.842,0.6325,0.7372,0.7926,0.6556,0.7241
3.3,0.2751,0.5719,0.5057,0.7221,0.5384,0.6303,0.8585,0.6493,0.7539,0.7906,0.6463,0.7184
3.4,0.2422,0.574,0.5289,0.7197,0.565,0.6424,0.8687,0.6592,0.764,0.7874,0.6356,0.7115
3.5,0.2087,0.5767,0.5493,0.7166,0.5895,0.653,0.8717,0.6621,0.7669,0.7834,0.624,0.7037
3.6,0.1748,0.5792,0.5662,0.7122,0.6112,0.6617,0.8668,0.6587,0.7628,0.7782,0.6123,0.6952
3.7,0.1401,0.5815,0.5791,0.7064,0.6295,0.668,0.8541,0.6505,0.7523,0.7711,0.6004,0.6857
3.8,0.1052,0.5835,0.5876,0.6988,0.6443,0.6716,0.8346,0.6385,0.7366,0.762,0.5885,0.6752
3.9,0.0711,0.5854,0.5922,0.6894,0.6556,0.6725,0.8096,0.6239,0.7167,0.7513,0.5767,0.664
4,0.0394,0.5875,0.5937,0.6788,0.6635,0.6711,0.7802,0.6074,0.6938,0.7395,0.5659,0.6527
4.1,0.0116,0.59,0.5931,0.6677,0.6681,0.6679,0.7479,0.5904,0.6691,0.7269,0.5563,0.6416
4.2,-0.0119,0.5932,0.5913,0.657,0.6699,0.6634,0.7141,0.5739,0.644,0.7135,0.5479,0.6307
4.3,-0.0323,0.597,0.5888,0.6472,0.6693,0.6582,0.6805,0.5588,0.6197,0.6995,0.5404,0.62
4.4,-0.0514,0.6015,0.5858,0.6381,0.6673,0.6527,0.6484,0.5451,0.5968,0.6857,0.5332,0.6095
4.5,-0.0707,0.6068,0.5819,0.6297,0.665,0.6473,0.619,0.5323,0.5756,0.6726,0.5269,0.5998
4.6,-0.0909,0.6132,0.5769,0.6223,0.6638,0.643,0.5928,0.5203,0.5566,0.6609,0.522,0.5915
4.7,-0.1113,0.621,0.5713,0.6163,0.6645,0.6404,0.5705,0.5094,0.5399,0.6505,0.5189,0.5847
4.8,-0.131,0.6302,0.566,0.612,0.6673,0.6397,0.5523,0.5002,0.5262,0.6416,0.5174,0.5795
4.9,-0.1483,0.6405,0.5621,0.6097,0.6717,0.6407,0.5384,0.4933,0.5159,0.6345,0.5175,0.576
5,-0.1616,0.6515,0.56,0.6095,0.6768,0.6431,0.5292,0.4892,0.5092,0.6296,0.5184,0.574
5.1,-0.1695,0.663,0.5593,0.6116,0.682,0.6468,0.5245,0.4875,0.506,0.627,0.5195,0.5732
5.2,-0.1709,0.6745,0.5592,0.6162,0.6865,0.6514,0.5241,0.4876,0.5059,0.6267,0.5202,0.5734
5.3,-0.1655,0.6857,0.5591,0.6231,0.6899,0.6565,0.5273,0.4884,0.5079,0.629,0.5198,0.5744
5.4,-0.1536,0.6962,0.5588,0.6318,0.692,0.6619,0.5332,0.4892,0.5112,0.6344,0.5181,0.5762
5.5,-0.1364,0.7062,0.559,0.6421,0.6932,0.6676,0.5416,0.4899,0.5158,0.643,0.5152,0.5791
5.6,-0.1149,0.716,0.56,0.6535,0.6945,0.674,0.5525,0.491,0.5218,0.6547,0.5111,0.5829
5.7,-0.0903,0.7257,0.562,0.6659,0.6964,0.6812,0.566,0.4928,0.5294,0.6693,0.5057,0.5875
5.8,-0.0632,0.7355,0.5653,0.679,0.6994,0.6892,0.5818,0.4954,0.5386,0.6863,0.4987,0.5925
5.9,-0.0343,0.7455,0.5701,0.6928,0.7033,0.6981,0.5994,0.4991,0.5492,0.7053,0.4901,0.5977
6,-0.0043,0.7556,0.5764,0.7074,0.7084,0.7079,0.6184,0.5036,0.561,0.7261,0.4802,0.6032
6.1,0.0258,0.7658,0.5839,0.7225,0.7146,0.7185,0.6377,0.5088,0.5732,0.7484,0.4698,0.6091
6.2,0.0554,0.7759,0.5917,0.7376,0.7218,0.7297,0.6558,0.514,0.5849,0.7718,0.46,0.6159
6.3,0.0841,0.7855,0.5989,0.7522,0.7298,0.741,0.6707,0.5183,0.5945,0.7957,0.4517,0.6237
6.4,0.1115,0.7946,0.6045,0.7658,0.7386,0.7522,0.6809,0.5209,0.6009,0.8193,0.4453,0.6323
6.5,0.1372,0.8034,0.6077,0.7779,0.7481,0.763,0.6855,0.5213,0.6034,0.8426,0.4412,0.6419
6.6,0.1607,0.8117,0.6078,0.7879,0.7584,0.7731,0.6842,0.5194,0.6018,0.8653,0.4397,0.6525
6.7,0.1809,0.8193,0.6045,0.7952,0.769,0.7821,0.6767,0.5152,0.596,0.8864,0.4407,0.6636
6.8,0.1961,0.8257,0.5978,0.7992,0.7793,0.7892,0.6629,0.5088,0.5859,0.9046,0.4442,0.6744
6.9,0.2045,0.8305,0.5881,0.8,0.7889,0.7945,0.6432,0.5007,0.5719,0.9189,0.4495,0.6842
7,0.2052,0.8338,0.5765,0.7982,0.7977,0.7979,0.6179,0.4917,0.5548,0.929,0.4561,0.6926
7.1,0.1981,0.836,0.5636,0.7941,0.8055,0.7998,0.5881,0.4824,0.5353,0.9348,0.4637,0.6993
7.2,0.1838,0.837,0.5502,0.7873,0.8119,0.7996,0.5545,0.4728,0.5137,0.9369,0.4723,0.7046
7.3,0.1628,0.8366,0.5362,0.7773,0.8157,0.7965,0.5175,0.4626,0.49,0.9358,0.4817,0.7088
7.4,0.1353,0.8345,0.5216,0.7636,0.8158,0.7897,0.4779,0.4517,0.4648,0.9312,0.4914,0.7113
7.5,0.1014,0.8306,0.5068,0.7468,0.8119,0.7794,0.4377,0.4412,0.4395,0.9233,0.5006,0.712
7.6,0.0615,0.8254,0.4926,0.7282,0.8048,0.7665,0.3999,0.4329,0.4164,0.9123,0.509,0.7107
7.7,0.0162,0.8191,0.48,0.7091,0.7953,0.7522,0.3676,0.4282,0.3979,0.8988,0.5167,0.7077
7.8,-0.0329,0.8119,0.4697,0.6903,0.784,0.7372,0.3433,0.4275,0.3854,0.8833,0.5243,0.7038
7.9,-0.0838,0.8038,0.4624,0.6728,0.7713,0.722,0.3286,0.4306,0.3796,0.8669,0.533,0.6999
8,-0.1348,0.795,0.4585,0.6568,0.757,0.7069,0.3239,0.4372,0.3805,0.8506,0.5432,0.6969
8.1,-0.1843,0.786,0.4583,0.6426,0.7409,0.6917,0.3292,0.447,0.3881,0.8351,0.5548,0.695
8.2,-0.2309,0.777,0.4615,0.6301,0.7227,0.6764,0.3442,0.4601,0.4021,0.8206,0.5673,0.694
8.3,-0.2735,0.7685,0.4675,0.6194,0.7028,0.6611,0.368,0.4759,0.422,0.8072,0.5799,0.6936
8.4,-0.3108,0.7605,0.4748,0.6107,0.6817,0.6462,0.4001,0.4935,0.4468,0.7951,0.5924,0.6938
8.5,-0.3422,0.753,0.4824,0.6037,0.6602,0.6319,0.4396,0.5116,0.4756,0.7847,0.6047,0.6947
8.6,-0.3683,0.7462,0.4898,0.5983,0.6394,0.6188,0.4854,0.5295,0.5074,0.7765,0.6172,0.6968
8.7,-0.3898,0.7404,0.4969,0.5941,0.6207,0.6074,0.536,0.5468,0.5414,0.7704,0.6299,0.7001
8.8,-0.4071,0.7359,0.504,0.5909,0.6053,0.5981,0.5893,0.5638,0.5765,0.7657,0.643,0.7043
8.9,-0.4199,0.7327,0.5112,0.5886,0.5939,0.5913,0.6431,0.5804,0.6117,0.7619,0.6564,0.7091
9,-0.4271,0.7307,0.5184,0.5873,0.5866,0.5869,0.6951,0.596,0.6456,0.759,0.6699,0.7144
9.1,-0.4271,0.7292,0.525,0.5869,0.5827,0.5848,0.7436,0.6099,0.6768,0.7577,0.6833,0.7205
9.2,-0.4197,0.7279,0.5306,0.5872,0.5815,0.5844,0.7868,0.6209,0.7038,0.7587,0.6964,0.7276
9.3,-0.4054,0.7266,0.5349,0.588,0.5823,0.5852,0.8233,0.6282,0.7258,0.7623,0.7094,0.7359
9.4,-0.3851,0.7252,0.5378,0.5891,0.5849,0.587,0.8523,0.6313,0.7418,0.768,0.7225,0.7452
9.5,-0.3591,0.7239,0.5392,0.5911,0.5887,0.5899,0.8741,0.6295,0.7518,0.7752,0.7356,0.7554
9.6,-0.3271,0.7229,0.5386,0.5945,0.5936,0.594,0.8896,0.6229,0.7562,0.7836,0.7485,0.766
9.7,-0.2895,0.7225,0.5358,0.5998,0.5991,0.5995,0.8998,0.6117,0.7557,0.7928,0.7607,0.7768
9.8,-0.2473,0.7227,0.5303,0.607,0.6053,0.6061,0.9053,0.5963,0.7508,0.8023,0.7717,0.787
9.9,-0.2027,0.7233,0.5218,0.6154,0.6119,0.6136,0.9065,0.5769,0.7417,0.8114,0.7811,0.7963
10,-0.1576,0.7238,0.5104,0.6241,0.6186,0.6214,0.903,0.5539,0.7285,0.8193,0.7886,0.8039
10.1,-0.1134,0.7235,0.4964,0.6321,0.6253,0.6287,0.895,0.5283,0.7116,0.8253,0.7939,0.8096
10.2,-0.0705,0.7217,0.4803,0.6385,0.6316,0.6351,0.8828,0.5012,0.692,0.8293,0.797,0.8132
10.3,-0.029,0.7183,0.4624,0.6429,0.6373,0.6401,0.8669,0.4739,0.6704,0.8317,0.7983,0.815
10.4,0.0111,0.7132,0.4425,0.6449,0.6422,0.6435,0.8472,0.4469,0.6471,0.8326,0.7981,0.8154
10.5,0.0495,0.7062,0.4203,0.644,0.6457,0.6448,0.823,0.4201,0.6216,0.8322,0.7968,0.8145
10.6,0.0859,0.6971,0.3959,0.64,0.6472,0.6436,0.7934,0.3933,0.5934,0.83,0.7939,0.8119
10.7,0.12,0.6859,0.3698,0.6332,0.6465,0.6399,0.7581,0.3671,0.5626,0.8257,0.7888,0.8072
10.8,0.1508,0.6725,0.3432,0.6247,0.6436,0.6342,0.7178,0.343,0.5304,0.819,0.7811,0.8
10.9,0.1776,0.6574,0.3173,0.616,0.6389,0.6275,0.6742,0.3224,0.4983,0.8104,0.7706,0.7905
11,0.2,0.6411,0.293,0.6082,0.6328,0.6205,0.6291,0.3057,0.4674,0.8001,0.7578,0.7789
11.1,0.2178,0.6238,0.2705,0.6017,0.6254,0.6136,0.5836,0.2918,0.4377,0.7878,0.743,0.7654
11.2,0.2315,0.606,0.2494,0.5962,0.6163,0.6063,0.5387,0.2796,0.4092,0.7734,0.7263,0.7499
11.3,0.2419,0.5882,0.2298,0.5919,0.6052,0.5985,0.4957,0.2689,0.3823,0.757,0.7077,0.7323
11.4,0.2498,0.5713,0.2117,0.589,0.592,0.5905,0.4561,0.2598,0.358,0.739,0.6876,0.7133
11.5,0.2563,0.5561,0.1958,0.5886,0.577,0.5828,0.4212,0.2526,0.3369,0.7206,0.6667,0.6937
11.6,0.2628,0.5437,0.1824,0.5914,0.561,0.5762,0.392,0.2468,0.3194,0.7028,0.6463,0.6745
11.7,0.2703,0.5344,0.172,0.5979,0.5443,0.5711,0.3687,0.2415,0.3051,0.6863,0.6274,0.6568
11.8,0.2799,0.5284,0.1651,0.608,0.5272,0.5676,0.3513,0.2365,0.2939,0.6716,0.6109,0.6413
11.9,0.2924,0.5259,0.1623,0.6216,0.5103,0.566,0.3397,0.232,0.2859,0.6588,0.5974,0.6281
12,0.3087,0.5273,0.164,0.6386,0.4945,0.5665,0.3339,0.229,0.2815,0.6481,0.587,0.6175
12.1,0.3292,0.533,0.1707,0.659,0.4808,0.5699,0.334,0.2284,0.2812,0.6397,0.58,0.6099
12.2,0.3536,0.5434,0.1823,0.6825,0.4706,0.5766,0.3395,0.2309,0.2852,0.6339,0.5769,0.6054
12.3,0.3807,0.5586,0.199,0.7085,0.4649,0.5867,0.3507,0.2371,0.2939,0.6311,0.5777,0.6044
12.4,0.4092,0.5783,0.2207,0.7362,0.4641,0.6001,0.3679,0.2473,0.3076,0.6312,0.5821,0.6066
12.5,0.4379,0.6019,0.2473,0.7646,0.468,0.6163,0.3919,0.2621,0.327,0.6339,0.5897,0.6118
12.6,0.4662,0.6287,0.2786,0.7931,0.4764,0.6348,0.4232,0.2813,0.3522,0.6388,0.5999,0.6193
12.7,0.4936,0.6578,0.3143,0.8208,0.4889,0.6548,0.4625,0.3044,0.3835,0.6454,0.6123,0.6289
12.8,0.5192,0.6881,0.354,0.8469,0.5051,0.676,0.51,0.331,0.4205,0.6536,0.6267,0.6401
12.9,0.5413,0.7186,0.3972,0.8707,0.5248,0.6978,0.5656,0.3608,0.4632,0.6634,0.6426,0.653
13,0.5581,0.7485,0.4431,0.8916,0.548,0.7198,0.6287,0.3936,0.5111,0.675,0.6597,0.6674
13.1,0.5683,0.7768,0.4906,0.909,0.574,0.7415,0.6981,0.429,0.5636,0.6885,0.6772,0.6829
13.2,0.5712,0.8027,0.5385,0.9223,0.6018,0.762,0.7716,0.4662,0.6189,0.7036,0.6948,0.6992
13.3,0.567,0.8252,0.5853,0.9312,0.6299,0.7806,0.8463,0.5041,0.6752,0.7204,0.7121,0.7162
13.4,0.5565,0.8438,0.6299,0.9359,0.657,0.7965,0.919,0.5416,0.7303,0.7387,0.7289,0.7338
13.5,0.5406,0.8583,0.6711,0.9368,0.682,0.8094,0.9872,0.5777,0.7824,0.7586,0.745,0.7518
13.6,0.5202,0.8691,0.7073,0.9349,0.7042,0.8195,1.0486,0.6108,0.8297,0.7801,0.7598,0.77
13.7,0.4967,0.8766,0.7367,0.9313,0.7232,0.8273,1.1015,0.6391,0.8703,0.8028,0.7727,0.7878
13.8,0.4711,0.8814,0.758,0.9269,0.7385,0.8327,1.1448,0.6606,0.9027,0.8254,0.7827,0.804
13.9,0.4444,0.8835,0.7709,0.922,0.7498,0.8359,1.1778,0.6746,0.9262,0.846,0.7888,0.8174
14,0.4168,0.883,0.7761,0.9164,0.7568,0.8366,1.1998,0.6808,0.9403,0.8628,0.79,0.8264
14.1,0.3881,0.8799,0.7746,0.9106,0.7601,0.8353,1.2103,0.6801,0.9452,0.8742,0.7861,0.8302
14.2,0.3593,0.8745,0.7675,0.9057,0.7605,0.8331,1.2086,0.6734,0.941,0.8791,0.7775,0.8283
14.3,0.3324,0.868,0.7557,0.9032,0.7596,0.8314,1.1938,0.6615,0.9276,0.8769,0.765,0.8209
14.4,0.3102,0.8615,0.7402,0.9043,0.7583,0.8313,1.1658,0.6454,0.9056,0.8674,0.7494,0.8084
14.5,0.2944,0.8559,0.722,0.9089,0.7571,0.833,1.1251,0.6265,0.8758,0.8512,0.7315,0.7913
14.6,0.285,0.851,0.7018,0.9162,0.7554,0.8358,1.0729,0.606,0.8395,0.8298,0.712,0.7709
14.7,0.2804,0.8461,0.6806,0.9248,0.7528,0.8388,1.0108,0.5853,0.7981,0.8054,0.6922,0.7488
14.8,0.2788,0.8402,0.6592,0.9334,0.7489,0.8411,0.9411,0.5648,0.7529,0.7799,0.6734,0.7266
14.9,0.279,0.8324,0.6381,0.9403,0.7432,0.8417,0.867,0.5445,0.7058,0.7551,0.6568,0.706
15,0.2813,0.822,0.6178,0.944,0.7355,0.8398,0.7926,0.5247,0.6586,0.7319,0.643,0.6874
15.1,0.2859,0.8087,0.5988,0.9438,0.7255,0.8347,0.7223,0.5058,0.6141,0.7104,0.6315,0.671
15.2,0.2924,0.7923,0.5817,0.9394,0.7136,0.8265,0.6597,0.4892,0.5744,0.6908,0.6219,0.6563
15.3,0.3003,0.7732,0.5672,0.9313,0.7008,0.816,0.6075,0.4756,0.5416,0.6733,0.614,0.6436
15.4,0.308,0.7523,0.5552,0.9199,0.6879,0.8039,0.5669,0.4655,0.5162,0.6588,0.6077,0.6332
15.5,0.3138,0.7303,0.5454,0.9053,0.6757,0.7905,0.5379,0.4584,0.4981,0.6481,0.603,0.6256
15.6,0.3155,0.7079,0.5369,0.8873,0.6642,0.7757,0.5196,0.4533,0.4865,0.6415,0.5997,0.6206
15.7,0.3114,0.6849,0.5288,0.8657,0.6527,0.7592,0.5112,0.4495,0.4804,0.6388,0.5972,0.618
15.8,0.3008,0.6614,0.5204,0.841,0.6405,0.7408,0.5117,0.4466,0.4792,0.6396,0.5956,0.6176
15.9,0.2837,0.6373,0.5118,0.8138,0.6276,0.7207,0.5198,0.4443,0.4821,0.6437,0.5949,0.6193
16,0.26,0.6135,0.503,0.7845,0.6144,0.6994,0.5338,0.4424,0.4881,0.651,0.595,0.623
16.1,0.2288,0.5909,0.494,0.753,0.6018,0.6774,0.5517,0.4409,0.4963,0.6612,0.5959,0.6286
16.2,0.1893,0.5703,0.4853,0.7198,0.5902,0.655,0.5719,0.44,0.506,0.674,0.5971,0.6355
16.3,0.1413,0.5525,0.4771,0.6856,0.58,0.6328,0.5932,0.4403,0.5168,0.6885,0.5983,0.6434
16.4,0.0863,0.5378,0.4702,0.6516,0.5715,0.6115,0.6147,0.4422,0.5285,0.7041,0.5993,0.6517
16.5,0.026,0.5268,0.4645,0.6187,0.5649,0.5918,0.6356,0.4456,0.5406,0.7201,0.5997,0.6599
16.6,-0.0376,0.5195,0.4595,0.5871,0.5605,0.5738,0.6546,0.4497,0.5521,0.7356,0.5992,0.6674
16.7,-0.1033,0.5162,0.454,0.5569,0.5586,0.5577,0.6708,0.4532,0.562,0.7496,0.597,0.6733
16.8,-0.1696,0.5167,0.4476,0.5279,0.5591,0.5435,0.6836,0.4556,0.5696,0.7609,0.5928,0.6768
16.9,-0.2344,0.5205,0.4403,0.5002,0.5619,0.531,0.6933,0.4573,0.5753,0.7684,0.5861,0.6773
17,-0.2944,0.5268,0.4328,0.4741,0.566,0.52,0.7003,0.4589,0.5796,0.7717,0.5773,0.6745
17.1,-0.3467,0.535,0.4262,0.4495,0.5706,0.51,0.7051,0.4615,0.5833,0.7708,0.567,0.6689
17.2,-0.3893,0.5441,0.4212,0.4264,0.5747,0.5006,0.7076,0.4655,0.5865,0.7658,0.5561,0.6609
17.3,-0.421,0.5533,0.419,0.4051,0.578,0.4916,0.7078,0.4712,0.5895,0.7574,0.5454,0.6514
17.4,-0.4408,0.5619,0.4207,0.3863,0.5805,0.4834,0.7058,0.4794,0.5926,0.746,0.5358,0.6409
17.5,-0.447,0.5694,0.427,0.3709,0.5821,0.4765,0.7022,0.4905,0.5963,0.7326,0.5281,0.6303
17.6,-0.4379,0.5754,0.4376,0.359,0.582,0.4705,0.6979,0.5041,0.601,0.7179,0.5229,0.6204
17.7,-0.4125,0.5798,0.4515,0.3504,0.5792,0.4648,0.6938,0.5196,0.6067,0.703,0.5203,0.6117
17.8,-0.3713,0.5823,0.4679,0.3444,0.5732,0.4588,0.6909,0.5361,0.6135,0.6887,0.5207,0.6047
17.9,-0.3158,0.5827,0.4865,0.3405,0.5637,0.4521,0.6902,0.5537,0.6219,0.6759,0.5244,0.6001
18,-0.248,0.5806,0.5068,0.3391,0.551,0.445,0.6927,0.5718,0.6322,0.6651,0.5314,0.5983
18.1,-0.1692,0.5762,0.5277,0.3408,0.5356,0.4382,0.6995,0.5896,0.6445,0.6572,0.5419,0.5995
18.2,-0.0804,0.5701,0.5477,0.3464,0.5188,0.4326,0.7109,0.6058,0.6583,0.653,0.5554,0.6042
18.3,0.0166,0.5635,0.5655,0.3563,0.5016,0.429,0.7267,0.6197,0.6732,0.6535,0.5715,0.6125
18.4,0.1188,0.5575,0.5805,0.3709,0.4854,0.4281,0.7462,0.6311,0.6886,0.6589,0.5899,0.6244
18.5,0.222,0.5529,0.5924,0.3902,0.4708,0.4305,0.7682,0.6404,0.7043,0.6692,0.6102,0.6397
18.6,0.3236,0.5499,0.6008,0.4145,0.4578,0.4362,0.7919,0.6477,0.7198,0.6841,0.6321,0.6581
18.7,0.4224,0.5488,0.6051,0.4435,0.4459,0.4447,0.8164,0.653,0.7347,0.7038,0.6551,0.6795
18.8,0.5182,0.5497,0.6048,0.4762,0.4348,0.4555,0.8411,0.6556,0.7484,0.7285,0.6788,0.7037
18.9,0.6096,0.5529,0.5993,0.5112,0.4243,0.4677,0.865,0.6551,0.76,0.7583,0.7026,0.7305
19,0.6945,0.558,0.5884,0.5469,0.4146,0.4807,0.8868,0.651,0.7689,0.7922,0.7255,0.7588
19.1,0.7701,0.5644,0.5723,0.5818,0.4056,0.4937,0.9052,0.6431,0.7741,0.8285,0.7462,0.7874
19.2,0.8347,0.5715,0.5515,0.6146,0.3975,0.5061,0.919,0.6313,0.7751,0.8657,0.7635,0.8146
19.3,0.8877,0.5795,0.527,0.6449,0.3909,0.5179,0.9275,0.6159,0.7717,0.9021,0.7762,0.8391
19.4,0.9291,0.5889,0.4999,0.6723,0.3866,0.5294,0.9308,0.5975,0.7641,0.9367,0.7836,0.8601
19.5,0.9586,0.6004,0.4705,0.6973,0.3855,0.5414,0.9292,0.5768,0.753,0.9679,0.7857,0.8768
19.6,0.9762,0.614,0.4391,0.7202,0.388,0.5541,0.9227,0.5541,0.7384,0.9938,0.7832,0.8885
19.7,0.9828,0.6294,0.4055,0.7412,0.3937,0.5674,0.9112,0.529,0.7201,1.0124,0.7766,0.8945
19.8,0.9802,0.6458,0.37,0.7603,0.4022,0.5812,0.894,0.5014,0.6977,1.0228,0.7667,0.8947
19.9,0.97,0.6628,0.333,0.7774,0.413,0.5952,0.8709,0.4714,0.6712,1.0252,0.7544,0.8898
20,0.9526,0.6798,0.2963,0.7923,0.4259,0.6091,0.8417,0.4403,0.641,1.02,0.7413,0.8806
20.1,0.9281,0.6961,0.2617,0.8051,0.4402,0.6226,0.8067,0.4097,0.6082,1.0084,0.729,0.8687
20.2,0.8966,0.711,0.2324,0.8157,0.4554,0.6355,0.7666,0.3817,0.5742,0.9919,0.7191,0.8555
20.3,0.8587,0.7241,0.2112,0.825,0.4714,0.6482,0.7222,0.3578,0.54,0.9728,0.713,0.8429
20.4,0.815,0.7359,0.2005,0.834,0.489,0.6615,0.6745,0.3393,0.5069,0.9529,0.7107,0.8318
20.5,0.7655,0.7472,0.2011,0.8436,0.5091,0.6763,0.6246,0.3267,0.4757,0.9333,0.7117,0.8225
20.6,0.71,0.7587,0.2125,0.8544,0.5331,0.6937,0.5744,0.3199,0.4471,0.9149,0.7152,0.8151
20.7,0.6489,0.7709,0.2324,0.8666,0.5616,0.7141,0.5261,0.3185,0.4223,0.8986,0.7204,0.8095
20.8,0.5835,0.7835,0.2583,0.8798,0.5947,0.7372,0.4822,0.3223,0.4022,0.8859,0.727,0.8065
20.9,0.5154,0.7963,0.2881,0.8932,0.6311,0.7621,0.4447,0.3301,0.3874,0.878,0.7351,0.8065
21,0.4459,0.8086,0.3198,0.9058,0.6694,0.7876,0.4145,0.341,0.3777,0.8751,0.7447,0.8099
21.1,0.3756,0.8195,0.3522,0.9165,0.708,0.8122,0.3918,0.354,0.3729,0.8766,0.7553,0.816
21.2,0.3042,0.8278,0.3845,0.9236,0.745,0.8343,0.376,0.3686,0.3723,0.8815,0.766,0.8237
21.3,0.232,0.8321,0.416,0.9254,0.7787,0.8521,0.3666,0.3847,0.3756,0.8887,0.7753,0.832
