Time,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC
1.8,0.2024,0.7432,0.6266,0.5604,0.5973,0.5789,0.7353,0.7188,0.727,0.6101,0.4792,0.5447
1.9,0.1996,0.7295,0.6143,0.5437,0.5784,0.5611,0.7128,0.7063,0.7096,0.5996,0.4705,0.5351
2,0.1992,0.7103,0.601,0.5241,0.5552,0.5397,0.6905,0.6916,0.6911,0.588,0.4615,0.5248
2.1,0.2028,0.687,0.5869,0.503,0.5283,0.5156,0.6694,0.6753,0.6723,0.5758,0.4526,0.5142
2.2,0.2107,0.6612,0.5722,0.4822,0.4984,0.4903,0.6502,0.6585,0.6543,0.5635,0.4439,0.5037
2.3,0.2228,0.6345,0.5576,0.4636,0.4668,0.4652,0.6334,0.6422,0.6378,0.5514,0.4355,0.4935
2.4,0.2384,0.6081,0.5436,0.4479,0.4352,0.4415,0.6196,0.6272,0.6234,0.54,0.4277,0.4838
2.5,0.2569,0.583,0.5303,0.435,0.4053,0.4202,0.6087,0.6144,0.6116,0.5295,0.4206,0.4751
2.6,0.2768,0.56,0.5178,0.4246,0.3791,0.4019,0.601,0.6042,0.6026,0.5202,0.4147,0.4675
2.7,0.296,0.5399,0.5063,0.4165,0.3577,0.3871,0.5964,0.597,0.5967,0.5123,0.4104,0.4613
2.8,0.312,0.5234,0.4967,0.4108,0.3419,0.3763,0.595,0.5933,0.5942,0.506,0.408,0.457
2.9,0.3225,0.511,0.4891,0.4077,0.3324,0.37,0.5964,0.5929,0.5946,0.5013,0.4076,0.4545
3,0.3261,0.5027,0.4834,0.4068,0.3296,0.3682,0.5998,0.5946,0.5972,0.4975,0.4092,0.4534
3.1,0.3223,0.4981,0.4789,0.4076,0.333,0.3703,0.6044,0.5977,0.601,0.4943,0.4121,0.4532
3.2,0.3107,0.4969,0.4753,0.4098,0.3416,0.3757,0.6097,0.6017,0.6057,0.4914,0.4161,0.4537
3.3,0.2927,0.4983,0.4729,0.4137,0.3538,0.3838,0.6153,0.6068,0.611,0.4891,0.4211,0.4551
3.4,0.2708,0.5017,0.4723,0.42,0.3684,0.3942,0.6207,0.613,0.6168,0.4881,0.4274,0.4577
3.5,0.2464,0.5063,0.4742,0.4289,0.3845,0.4067,0.6252,0.62,0.6226,0.4888,0.4348,0.4618
3.6,0.2211,0.5115,0.4787,0.4399,0.4019,0.4209,0.6286,0.6276,0.6281,0.4919,0.4434,0.4676
3.7,0.1968,0.517,0.4863,0.4529,0.4201,0.4365,0.6314,0.6356,0.6335,0.4972,0.4535,0.4754
3.8,0.1746,0.5223,0.4973,0.4678,0.4387,0.4533,0.6344,0.6443,0.6393,0.5048,0.4655,0.4851
3.9,0.1552,0.5273,0.5122,0.4846,0.4568,0.4707,0.638,0.6539,0.646,0.5148,0.4792,0.497
4,0.1392,0.5316,0.5308,0.5025,0.4738,0.4881,0.6425,0.6645,0.6535,0.5268,0.4943,0.5105
4.1,0.1265,0.5352,0.5522,0.5204,0.4897,0.505,0.6477,0.6754,0.6615,0.5404,0.5097,0.525
4.2,0.1177,0.5378,0.5751,0.5375,0.5046,0.5211,0.6535,0.6861,0.6698,0.5549,0.5244,0.5397
4.3,0.1138,0.5395,0.5987,0.5536,0.519,0.5363,0.6601,0.6961,0.6781,0.5695,0.538,0.5538
4.4,0.1149,0.5401,0.6225,0.5687,0.533,0.5509,0.6679,0.7055,0.6867,0.5836,0.5499,0.5668
4.5,0.1201,0.5398,0.6464,0.5828,0.5467,0.5648,0.6773,0.7141,0.6957,0.5965,0.5597,0.5781
4.6,0.1287,0.5388,0.6702,0.5956,0.56,0.5778,0.6883,0.7223,0.7053,0.6074,0.567,0.5872
4.7,0.1404,0.5377,0.6944,0.6071,0.5732,0.5902,0.7011,0.7304,0.7158,0.6161,0.5718,0.594
4.8,0.1552,0.5367,0.7191,0.6178,0.5865,0.6021,0.7156,0.739,0.7273,0.6233,0.5753,0.5993
4.9,0.1736,0.5363,0.7449,0.6284,0.5998,0.6141,0.7321,0.7484,0.7402,0.6303,0.578,0.6041
5,0.1959,0.5365,0.7715,0.6393,0.6128,0.626,0.7509,0.7585,0.7547,0.638,0.5802,0.6091
5.1,0.2217,0.5371,0.7981,0.6499,0.6247,0.6373,0.7718,0.7693,0.7706,0.6466,0.5822,0.6144
5.2,0.2509,0.5375,0.8233,0.6595,0.6351,0.6473,0.7944,0.7803,0.7873,0.6558,0.5843,0.6201
5.3,0.2835,0.5374,0.8459,0.6674,0.6431,0.6553,0.8174,0.791,0.8042,0.6648,0.5867,0.6257
5.4,0.3185,0.5361,0.8651,0.6733,0.6488,0.6611,0.8399,0.8011,0.8205,0.6731,0.5896,0.6314
5.5,0.3533,0.5332,0.8809,0.6777,0.6517,0.6647,0.861,0.8103,0.8356,0.6805,0.5932,0.6369
5.6,0.3854,0.5281,0.8931,0.6809,0.6516,0.6662,0.8802,0.8186,0.8494,0.687,0.5976,0.6423
5.7,0.4129,0.5206,0.901,0.6825,0.6487,0.6656,0.8971,0.8256,0.8613,0.6924,0.6029,0.6477
5.8,0.4355,0.5105,0.9038,0.6827,0.6435,0.6631,0.9113,0.8313,0.8713,0.6964,0.6093,0.6528
5.9,0.4532,0.4982,0.9007,0.6819,0.6364,0.6592,0.9222,0.8355,0.8789,0.6988,0.6162,0.6575
6,0.4654,0.4847,0.892,0.6807,0.6273,0.654,0.9294,0.8381,0.8837,0.6993,0.6227,0.661
6.1,0.4716,0.4706,0.8782,0.6795,0.6159,0.6477,0.9327,0.8385,0.8856,0.6981,0.6282,0.6631
6.2,0.4712,0.4566,0.86,0.6785,0.6021,0.6403,0.9317,0.8364,0.884,0.695,0.6322,0.6636
6.3,0.4638,0.4429,0.8378,0.6775,0.5857,0.6316,0.9263,0.8315,0.8789,0.6902,0.6346,0.6624
6.4,0.4494,0.4298,0.8119,0.6759,0.5673,0.6216,0.9165,0.8238,0.8701,0.6838,0.6353,0.6595
6.5,0.4281,0.4174,0.7832,0.6734,0.5476,0.6105,0.9028,0.8137,0.8582,0.6762,0.6342,0.6552
6.6,0.4008,0.406,0.7533,0.6699,0.5275,0.5987,0.8862,0.802,0.8441,0.6683,0.6319,0.6501
6.7,0.3691,0.396,0.724,0.665,0.5076,0.5863,0.8673,0.7897,0.8285,0.6611,0.6293,0.6452
6.8,0.3342,0.3869,0.6963,0.6579,0.4886,0.5732,0.8464,0.7765,0.8114,0.6552,0.6273,0.6412
6.9,0.2966,0.378,0.6705,0.6475,0.471,0.5593,0.8235,0.7621,0.7928,0.6507,0.6262,0.6385
7,0.2573,0.3687,0.6462,0.6336,0.4551,0.5444,0.7991,0.7461,0.7726,0.6474,0.6258,0.6366
7.1,0.218,0.3593,0.6234,0.6173,0.4413,0.5293,0.7739,0.7287,0.7513,0.6453,0.626,0.6356
7.2,0.1805,0.3504,0.6029,0.6,0.4302,0.5151,0.7492,0.7104,0.7298,0.645,0.6271,0.636
7.3,0.1463,0.3432,0.5853,0.583,0.4228,0.5029,0.7262,0.692,0.7091,0.6471,0.6296,0.6384
7.4,0.1166,0.3381,0.5714,0.5671,0.4201,0.4936,0.7056,0.674,0.6898,0.6515,0.6338,0.6426
7.5,0.0923,0.3352,0.5618,0.5526,0.422,0.4873,0.6881,0.6573,0.6727,0.6574,0.6394,0.6484
7.6,0.0739,0.3341,0.5567,0.5403,0.4281,0.4842,0.6744,0.6425,0.6584,0.664,0.6457,0.6548
7.7,0.0614,0.3343,0.5561,0.5306,0.4366,0.4836,0.6647,0.6301,0.6474,0.6703,0.6522,0.6612
7.8,0.0547,0.3353,0.5599,0.5237,0.4463,0.485,0.659,0.6204,0.6397,0.6757,0.6586,0.6672
7.9,0.0536,0.3369,0.5677,0.5196,0.4562,0.4879,0.6566,0.6134,0.635,0.6799,0.6652,0.6726
8,0.0583,0.3395,0.579,0.5178,0.4658,0.4918,0.6572,0.6089,0.6331,0.6831,0.6719,0.6775
8.1,0.0689,0.3429,0.5933,0.5181,0.475,0.4966,0.661,0.607,0.634,0.6855,0.6792,0.6823
8.2,0.0848,0.3473,0.6098,0.5201,0.4839,0.502,0.6683,0.6072,0.6377,0.6881,0.6872,0.6877
8.3,0.1046,0.3525,0.6275,0.5236,0.4923,0.508,0.6789,0.6093,0.6441,0.6912,0.6958,0.6935
8.4,0.1267,0.3581,0.6454,0.5279,0.5003,0.5141,0.6922,0.6125,0.6523,0.6941,0.7041,0.6991
8.5,0.1494,0.3642,0.6619,0.5323,0.5081,0.5202,0.7067,0.6162,0.6615,0.6958,0.7114,0.7036
8.6,0.1711,0.371,0.676,0.5367,0.5159,0.5263,0.7214,0.6202,0.6708,0.6957,0.7172,0.7065
8.7,0.1901,0.3789,0.6873,0.5415,0.5243,0.5329,0.736,0.6247,0.6804,0.694,0.7215,0.7078
8.8,0.2053,0.3885,0.6956,0.5472,0.5338,0.5405,0.7505,0.63,0.6903,0.691,0.7244,0.7077
8.9,0.2162,0.4001,0.7009,0.5537,0.5447,0.5492,0.7649,0.6363,0.7006,0.6866,0.7255,0.706
9,0.2227,0.4131,0.7025,0.5604,0.5567,0.5585,0.7781,0.6433,0.7107,0.6801,0.7237,0.7019
9.1,0.2255,0.427,0.7,0.5664,0.5692,0.5678,0.7889,0.6504,0.7196,0.6704,0.7184,0.6944
9.2,0.2249,0.4411,0.6936,0.5713,0.582,0.5766,0.7964,0.6568,0.7266,0.6574,0.71,0.6837
9.3,0.2207,0.4558,0.6842,0.5754,0.5948,0.5851,0.8002,0.6622,0.7312,0.6419,0.6992,0.6706
9.4,0.2124,0.4713,0.6727,0.5792,0.6077,0.5935,0.8,0.666,0.733,0.6252,0.6871,0.6561
9.5,0.1994,0.4878,0.6592,0.5831,0.621,0.602,0.7962,0.6681,0.7322,0.6085,0.6744,0.6415
9.6,0.1821,0.5046,0.6436,0.5869,0.6344,0.6107,0.7891,0.6685,0.7288,0.5927,0.6618,0.6273
9.7,0.1616,0.521,0.6262,0.5904,0.6483,0.6193,0.7794,0.6677,0.7236,0.5783,0.6502,0.6143
9.8,0.1395,0.5362,0.608,0.5936,0.6625,0.6281,0.7677,0.6663,0.717,0.5658,0.6407,0.6032
9.9,0.1178,0.5497,0.5897,0.5967,0.6765,0.6366,0.7541,0.6642,0.7092,0.5558,0.6338,0.5948
10,0.098,0.5613,0.5718,0.5997,0.6892,0.6445,0.7392,0.6617,0.7004,0.5492,0.63,0.5896
10.1,0.081,0.5705,0.5543,0.6028,0.6997,0.6513,0.7231,0.6584,0.6908,0.5465,0.6298,0.5881
10.2,0.0672,0.5773,0.5373,0.606,0.7073,0.6567,0.7064,0.6545,0.6805,0.5477,0.6331,0.5904
10.3,0.0569,0.5822,0.5215,0.6097,0.7119,0.6608,0.6897,0.6505,0.6701,0.5522,0.6396,0.5959
10.4,0.05,0.5857,0.5076,0.614,0.7131,0.6636,0.6734,0.6467,0.6601,0.5593,0.6479,0.6036
10.5,0.0463,0.5884,0.4963,0.619,0.7106,0.6648,0.6582,0.6433,0.6507,0.5683,0.6573,0.6128
10.6,0.0455,0.5902,0.4886,0.6243,0.7039,0.6641,0.6441,0.6406,0.6423,0.579,0.6673,0.6232
10.7,0.0472,0.5906,0.4841,0.6293,0.6925,0.6609,0.6311,0.6385,0.6348,0.5908,0.677,0.6339
10.8,0.0512,0.5887,0.4824,0.6336,0.6762,0.6549,0.6185,0.6368,0.6276,0.6026,0.6852,0.6439
10.9,0.0572,0.5841,0.4825,0.6365,0.6548,0.6456,0.6058,0.6349,0.6204,0.6137,0.6908,0.6523
11,0.065,0.5766,0.4839,0.6379,0.6284,0.6331,0.5929,0.6326,0.6128,0.6244,0.6935,0.659
11.1,0.0749,0.5664,0.4868,0.6378,0.5979,0.6178,0.58,0.6296,0.6048,0.6353,0.6941,0.6647
11.2,0.0873,0.5539,0.4911,0.6367,0.5647,0.6007,0.5675,0.6263,0.5969,0.6471,0.6933,0.6702
11.3,0.1017,0.5403,0.4973,0.6348,0.5307,0.5828,0.5561,0.623,0.5895,0.6596,0.6915,0.6756
11.4,0.117,0.5265,0.5051,0.6322,0.4977,0.5649,0.5457,0.6199,0.5828,0.6725,0.6884,0.6804
11.5,0.1316,0.5131,0.5141,0.6289,0.4667,0.5478,0.5364,0.6172,0.5768,0.6854,0.6841,0.6847
11.6,0.1443,0.5001,0.5239,0.6251,0.4387,0.5319,0.5278,0.6145,0.5712,0.6983,0.6789,0.6886
11.7,0.1537,0.4875,0.5341,0.6206,0.4141,0.5174,0.5196,0.612,0.5658,0.7107,0.673,0.6919
11.8,0.1589,0.4755,0.5447,0.6154,0.3934,0.5044,0.5115,0.6094,0.5605,0.7215,0.6665,0.694
11.9,0.1594,0.4639,0.5553,0.6088,0.3766,0.4927,0.5031,0.6064,0.5547,0.7301,0.6592,0.6947
12,0.155,0.4524,0.5654,0.6,0.3638,0.4819,0.4939,0.6027,0.5483,0.7359,0.6511,0.6935
12.1,0.1457,0.4406,0.5743,0.5883,0.3549,0.4716,0.4836,0.5981,0.5409,0.7384,0.6423,0.6903
12.2,0.1319,0.4279,0.5819,0.573,0.3497,0.4613,0.4724,0.5928,0.5326,0.7376,0.6327,0.6852
12.3,0.1142,0.414,0.5881,0.554,0.3476,0.4508,0.4604,0.5868,0.5236,0.7339,0.6226,0.6782
12.4,0.0926,0.3993,0.5932,0.5315,0.3483,0.4399,0.448,0.5804,0.5142,0.728,0.6126,0.6703
12.5,0.0669,0.3848,0.5973,0.5063,0.3519,0.4291,0.4361,0.5739,0.505,0.7215,0.6038,0.6627
12.6,0.0367,0.3716,0.6003,0.4793,0.359,0.4192,0.4254,0.5678,0.4966,0.7158,0.5971,0.6565
12.7,0.0014,0.3604,0.6014,0.4516,0.3698,0.4107,0.4162,0.5621,0.4892,0.7117,0.5923,0.652
12.8,-0.0386,0.3508,0.5999,0.4237,0.3837,0.4037,0.4086,0.5566,0.4826,0.7088,0.589,0.6489
12.9,-0.0829,0.3417,0.5954,0.3954,0.3992,0.3973,0.4022,0.551,0.4766,0.7069,0.5867,0.6468
13,-0.1312,0.3325,0.5882,0.3669,0.415,0.391,0.3973,0.5452,0.4712,0.7056,0.586,0.6458
13.1,-0.183,0.3237,0.5785,0.339,0.4307,0.3848,0.3937,0.539,0.4664,0.7049,0.5874,0.6461
13.2,-0.2377,0.3156,0.5664,0.3126,0.4454,0.379,0.3911,0.5319,0.4615,0.7049,0.5906,0.6478
13.3,-0.2941,0.3087,0.5515,0.2885,0.4586,0.3736,0.3886,0.5233,0.456,0.7052,0.595,0.6501
13.4,-0.3508,0.3029,0.5339,0.2667,0.4695,0.3681,0.3853,0.5128,0.4491,0.7054,0.5999,0.6527
13.5,-0.4064,0.298,0.5141,0.2469,0.4772,0.362,0.3808,0.5003,0.4406,0.7052,0.605,0.6551
13.6,-0.4599,0.294,0.4931,0.2288,0.4817,0.3553,0.3753,0.4863,0.4308,0.7042,0.61,0.6571
13.7,-0.5108,0.2909,0.4714,0.2131,0.4823,0.3477,0.3694,0.4713,0.4203,0.7025,0.6142,0.6583
13.8,-0.5586,0.2885,0.4491,0.2006,0.478,0.3393,0.3636,0.4556,0.4096,0.7001,0.6166,0.6584
13.9,-0.6022,0.2864,0.4265,0.1918,0.4684,0.3301,0.3581,0.4398,0.3989,0.6968,0.6168,0.6568
14,-0.64,0.2843,0.4042,0.1869,0.4532,0.32,0.3535,0.4247,0.3891,0.6929,0.6148,0.6538
14.1,-0.6709,0.2824,0.3825,0.1858,0.433,0.3094,0.3502,0.4108,0.3805,0.6885,0.6109,0.6497
14.2,-0.6942,0.2812,0.3619,0.1883,0.4085,0.2984,0.3483,0.3981,0.3732,0.6834,0.6055,0.6445
14.3,-0.7097,0.2812,0.3423,0.1943,0.3809,0.2876,0.3475,0.3865,0.367,0.6777,0.5984,0.638
14.4,-0.7186,0.2828,0.3237,0.2038,0.3515,0.2777,0.348,0.3759,0.3619,0.6709,0.5895,0.6302
14.5,-0.7221,0.2861,0.3061,0.2167,0.3218,0.2693,0.35,0.3668,0.3584,0.6628,0.579,0.6209
14.6,-0.7211,0.291,0.2902,0.2322,0.293,0.2626,0.354,0.36,0.357,0.6532,0.5674,0.6103
14.7,-0.7159,0.2973,0.2768,0.2495,0.2657,0.2576,0.3602,0.3559,0.3581,0.6421,0.5554,0.5987
14.8,-0.7062,0.3046,0.2667,0.2679,0.2405,0.2542,0.3685,0.3545,0.3615,0.63,0.5435,0.5868
14.9,-0.6927,0.312,0.2601,0.2872,0.2179,0.2525,0.3787,0.3556,0.3671,0.6176,0.5323,0.575
