Time,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.3,0.2548,0.4931,0.6019,0.5833,0.4613,0.5223,0.5229,0.5649,0.5439,0.6481,0.5837,0.6159
7.4,0.2716,0.5165,0.611,0.5982,0.4871,0.5426,0.5094,0.5645,0.537,0.6425,0.5751,0.6088
7.5,0.2796,0.5401,0.6189,0.6131,0.5154,0.5643,0.4947,0.5656,0.5302,0.6347,0.5667,0.6007
7.6,0.2774,0.5628,0.6259,0.6275,0.5459,0.5867,0.4789,0.569,0.524,0.6254,0.5593,0.5924
7.7,0.2654,0.5835,0.6317,0.6414,0.5776,0.6095,0.4628,0.5752,0.519,0.615,0.5533,0.5842
7.8,0.2455,0.6016,0.6357,0.6546,0.609,0.6318,0.4476,0.584,0.5158,0.6034,0.5489,0.5761
7.9,0.2192,0.6168,0.6382,0.667,0.6389,0.6529,0.434,0.5953,0.5146,0.5911,0.5461,0.5686
8,0.1872,0.6292,0.6399,0.6772,0.6657,0.6714,0.4226,0.6091,0.5159,0.5789,0.5456,0.5623
8.1,0.1499,0.6387,0.6418,0.684,0.6885,0.6863,0.4141,0.6254,0.5198,0.5676,0.548,0.5578
8.2,0.1082,0.6455,0.6443,0.687,0.7065,0.6967,0.4092,0.6437,0.5265,0.5579,0.5537,0.5558
8.3,0.0636,0.65,0.6478,0.6864,0.7198,0.7031,0.4085,0.6628,0.5357,0.5502,0.5627,0.5565
8.4,0.0184,0.6525,0.6534,0.6834,0.729,0.7062,0.4119,0.682,0.5469,0.5447,0.5752,0.56
8.5,-0.0253,0.6538,0.6626,0.6787,0.7347,0.7067,0.4188,0.7008,0.5598,0.5417,0.5908,0.5663
8.6,-0.0652,0.6542,0.6757,0.6731,0.7378,0.7055,0.429,0.7194,0.5742,0.5414,0.6089,0.5751
8.7,-0.0989,0.6541,0.6912,0.6677,0.7388,0.7032,0.4417,0.7375,0.5896,0.5437,0.6282,0.586
