Time,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.2,-0.2422,0.5415,0.7313,0.6498,0.6402,0.645,0.7136,0.4915,0.6026,0.7581,0.5931,0.6756
12.3,-0.2493,0.5333,0.7217,0.6345,0.6357,0.6351,0.7239,0.5063,0.6151,0.7515,0.5862,0.6688
12.4,-0.251,0.5255,0.7143,0.6202,0.6306,0.6254,0.734,0.5222,0.6281,0.7477,0.5821,0.6649
12.5,-0.2481,0.5183,0.7093,0.6069,0.625,0.6159,0.744,0.5392,0.6416,0.7472,0.5807,0.6639
12.6,-0.2411,0.5113,0.7063,0.5941,0.619,0.6065,0.7539,0.5571,0.6555,0.7498,0.5814,0.6656
12.7,-0.2301,0.504,0.7046,0.5814,0.6127,0.597,0.7633,0.5757,0.6695,0.755,0.5836,0.6693
12.8,-0.2156,0.4961,0.7038,0.5682,0.6061,0.5871,0.7716,0.5947,0.6831,0.7627,0.5868,0.6747
12.9,-0.1987,0.4875,0.7043,0.5538,0.5993,0.5765,0.7786,0.6141,0.6963,0.7726,0.5905,0.6816
13,-0.1809,0.4784,0.7063,0.5384,0.5924,0.5654,0.7851,0.6338,0.7094,0.7852,0.5951,0.6901
13.1,-0.1635,0.4692,0.7101,0.5223,0.5856,0.554,0.792,0.6538,0.7229,0.8003,0.601,0.7006
13.2,-0.1476,0.4605,0.7158,0.5054,0.5794,0.5424,0.7999,0.674,0.7369,0.8178,0.6079,0.7129
13.3,-0.1343,0.4522,0.7227,0.4878,0.5737,0.5307,0.8088,0.6942,0.7515,0.8364,0.6153,0.7258
13.4,-0.1246,0.4442,0.7303,0.4689,0.5682,0.5185,0.8179,0.7138,0.7659,0.8547,0.6218,0.7382
13.5,-0.1196,0.4356,0.7381,0.4484,0.5623,0.5053,0.8259,0.7321,0.779,0.8713,0.6264,0.7488
13.6,-0.1194,0.4258,0.7454,0.4262,0.5554,0.4908,0.8318,0.7481,0.7899,0.8855,0.6285,0.757
13.7,-0.1235,0.4142,0.7521,0.403,0.5473,0.4752,0.8356,0.7611,0.7983,0.897,0.6282,0.7626
13.8,-0.1311,0.4013,0.7579,0.3801,0.5383,0.4592,0.8376,0.7707,0.8041,0.9052,0.6255,0.7653
13.9,-0.1412,0.3883,0.7625,0.3591,0.5291,0.4441,0.8383,0.7769,0.8076,0.9098,0.6205,0.7652
14,-0.1527,0.3762,0.7655,0.3414,0.5198,0.4306,0.8381,0.7798,0.809,0.9103,0.6137,0.762
14.1,-0.165,0.3659,0.766,0.3271,0.5103,0.4187,0.8371,0.7792,0.8082,0.9067,0.6053,0.756
14.2,-0.1778,0.3577,0.7639,0.3161,0.5,0.408,0.8355,0.7746,0.8051,0.8996,0.5953,0.7475
14.3,-0.191,0.3512,0.7593,0.3083,0.4889,0.3986,0.8335,0.7658,0.7996,0.8893,0.5843,0.7368
14.4,-0.2045,0.3462,0.7527,0.3041,0.4767,0.3904,0.8308,0.753,0.7919,0.8762,0.5727,0.7245
14.5,-0.2174,0.3424,0.7447,0.3035,0.4633,0.3834,0.8266,0.7369,0.7818,0.8611,0.5616,0.7114
14.6,-0.2287,0.3393,0.7361,0.306,0.4484,0.3772,0.8202,0.7179,0.769,0.8455,0.5518,0.6986
14.7,-0.2363,0.3368,0.7273,0.3111,0.4323,0.3717,0.8111,0.6964,0.7538,0.8311,0.5437,0.6874
14.8,-0.2389,0.3346,0.7186,0.3183,0.4157,0.367,0.7997,0.6731,0.7364,0.8194,0.5374,0.6784
14.9,-0.2361,0.3326,0.71,0.3275,0.4001,0.3638,0.7863,0.6491,0.7177,0.8111,0.5325,0.6718
15,-0.2286,0.3308,0.7015,0.3389,0.3869,0.3629,0.7712,0.6259,0.6986,0.8063,0.5289,0.6676
15.1,-0.217,0.3293,0.693,0.3525,0.3768,0.3646,0.7548,0.605,0.6799,0.805,0.5264,0.6657
15.2,-0.2017,0.3279,0.685,0.3682,0.3696,0.3689,0.7377,0.5868,0.6623,0.8071,0.5255,0.6663
15.3,-0.1824,0.3264,0.6776,0.3857,0.3649,0.3753,0.7203,0.5713,0.6458,0.8119,0.5261,0.669
15.4,-0.1591,0.3243,0.671,0.4041,0.362,0.3831,0.7029,0.5581,0.6305,0.8184,0.5285,0.6735
15.5,-0.1327,0.3214,0.665,0.4228,0.3613,0.3921,0.6857,0.5477,0.6167,0.8259,0.5328,0.6794
15.6,-0.1052,0.3178,0.6591,0.4416,0.3632,0.4024,0.6686,0.5408,0.6047,0.8342,0.5391,0.6866
15.7,-0.0782,0.3137,0.652,0.4603,0.3682,0.4142,0.651,0.5377,0.5944,0.843,0.5475,0.6952
15.8,-0.0524,0.3093,0.6418,0.4785,0.3761,0.4273,0.6322,0.538,0.5851,0.8518,0.5571,0.7044
15.9,-0.0278,0.3046,0.6265,0.4955,0.386,0.4408,0.6114,0.5409,0.5761,0.8585,0.5664,0.7125
16,-0.0041,0.2997,0.6051,0.5103,0.3971,0.4537,0.5882,0.5462,0.5672,0.8612,0.5734,0.7173
16.1,0.018,0.2947,0.5776,0.5222,0.4087,0.4655,0.5632,0.5542,0.5587,0.8588,0.5766,0.7177
16.2,0.0363,0.2903,0.5449,0.531,0.421,0.476,0.5376,0.5657,0.5517,0.8516,0.5758,0.7137
16.3,0.0482,0.2867,0.5078,0.5368,0.4344,0.4856,0.5132,0.5813,0.5472,0.8408,0.5711,0.7059
16.4,0.0525,0.2841,0.4666,0.5397,0.4491,0.4944,0.4914,0.6007,0.546,0.8271,0.5626,0.6949
16.5,0.049,0.2821,0.4215,0.5393,0.4648,0.502,0.473,0.6228,0.5479,0.8106,0.5499,0.6803
16.6,0.0393,0.2802,0.3732,0.5353,0.4798,0.5075,0.458,0.6458,0.5519,0.7909,0.5322,0.6615
16.7,0.0244,0.2783,0.3239,0.5278,0.4923,0.5101,0.4466,0.6672,0.5569,0.7677,0.5097,0.6387
16.8,0.0051,0.2766,0.2768,0.5173,0.5008,0.509,0.4388,0.6842,0.5615,0.7412,0.4839,0.6126
16.9,-0.0176,0.2752,0.2347,0.5046,0.5043,0.5044,0.4347,0.6949,0.5648,0.7125,0.4569,0.5847
17,-0.0421,0.2746,0.1992,0.4909,0.5027,0.4968,0.4354,0.6989,0.5672,0.6832,0.4304,0.5568
17.1,-0.0667,0.2751,0.1712,0.4767,0.4964,0.4865,0.442,0.6966,0.5693,0.655,0.4055,0.5303
17.2,-0.0899,0.277,0.1508,0.4625,0.4853,0.4739,0.4552,0.6895,0.5723,0.629,0.3834,0.5062
17.3,-0.1104,0.2804,0.1379,0.4483,0.4693,0.4588,0.4742,0.6788,0.5765,0.6057,0.3647,0.4852
17.4,-0.1276,0.2842,0.132,0.4341,0.4479,0.441,0.4969,0.6653,0.5811,0.5852,0.3499,0.4675
17.5,-0.1413,0.2875,0.1321,0.42,0.4217,0.4208,0.5211,0.6493,0.5852,0.5677,0.3387,0.4532
17.6,-0.1515,0.2895,0.1376,0.406,0.3921,0.399,0.5449,0.6315,0.5882,0.554,0.3312,0.4426
17.7,-0.1583,0.2899,0.1481,0.3922,0.3609,0.3766,0.568,0.6131,0.5905,0.5452,0.3276,0.4364
17.8,-0.1612,0.2893,0.1632,0.3789,0.33,0.3544,0.5905,0.5955,0.593,0.5416,0.3281,0.4349
17.9,-0.1599,0.2883,0.1828,0.3661,0.3005,0.3333,0.6124,0.5795,0.5959,0.543,0.3331,0.4381
18,-0.1541,0.287,0.2066,0.3543,0.2731,0.3137,0.633,0.5653,0.5992,0.5479,0.3425,0.4452
18.1,-0.1438,0.2856,0.2343,0.3441,0.2485,0.2963,0.6518,0.5528,0.6023,0.5546,0.3558,0.4552
18.2,-0.13,0.2843,0.2653,0.3359,0.2273,0.2816,0.6684,0.5419,0.6052,0.5618,0.3725,0.4672
18.3,-0.114,0.284,0.2997,0.33,0.2103,0.2701,0.6827,0.5334,0.6081,0.5681,0.3925,0.4803
18.4,-0.097,0.2862,0.3373,0.3267,0.1986,0.2626,0.6953,0.5279,0.6116,0.5729,0.4157,0.4943
18.5,-0.0796,0.2921,0.3775,0.3264,0.1932,0.2598,0.7068,0.5257,0.6163,0.5757,0.4427,0.5092
18.6,-0.0613,0.3026,0.4195,0.3296,0.1943,0.262,0.7176,0.5264,0.622,0.5771,0.4738,0.5255
18.7,-0.0416,0.3175,0.4622,0.3365,0.2021,0.2693,0.7272,0.5292,0.6282,0.5777,0.5089,0.5433
18.8,-0.021,0.3367,0.5047,0.3469,0.2164,0.2817,0.7351,0.5334,0.6343,0.5785,0.5477,0.5631
18.9,-0.0006,0.3598,0.5461,0.3611,0.2371,0.2991,0.7405,0.539,0.6398,0.5803,0.5894,0.5848
19,0.0184,0.386,0.5859,0.3789,0.2637,0.3213,0.7432,0.5458,0.6445,0.5832,0.6327,0.608
19.1,0.0362,0.414,0.6236,0.3998,0.295,0.3474,0.7434,0.5538,0.6486,0.5872,0.6759,0.6316
19.2,0.053,0.4422,0.6585,0.4223,0.3293,0.3758,0.742,0.5629,0.6524,0.5925,0.7166,0.6546
