Time,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.3,0.179,0.3844,0.8905,0.6258,0.467,0.5464,0.7716,0.8114,0.7915,0.745,0.8409,0.7929
8.4,0.2293,0.36,0.8716,0.6348,0.4299,0.5323,0.7525,0.7917,0.7721,0.7346,0.8345,0.7845
8.5,0.2732,0.3346,0.8503,0.6388,0.3933,0.516,0.7313,0.7696,0.7505,0.7256,0.8264,0.776
8.6,0.3094,0.3083,0.8278,0.6372,0.3582,0.4977,0.7084,0.7463,0.7274,0.718,0.8169,0.7675
8.7,0.3368,0.2812,0.8049,0.6294,0.3251,0.4773,0.6842,0.7223,0.7033,0.7122,0.8067,0.7594
8.8,0.3546,0.2535,0.7824,0.615,0.2943,0.4547,0.6596,0.6981,0.6789,0.7087,0.7964,0.7526
8.9,0.3618,0.2259,0.7612,0.5945,0.2665,0.4305,0.6353,0.6747,0.655,0.7082,0.7869,0.7475
9,0.3581,0.1994,0.7414,0.5692,0.2419,0.4056,0.6121,0.6532,0.6327,0.7105,0.7784,0.7444
9.1,0.3434,0.1753,0.7233,0.5405,0.2208,0.3806,0.5902,0.6342,0.6122,0.7155,0.7707,0.7431
9.2,0.3189,0.1542,0.7068,0.5096,0.2027,0.3561,0.5698,0.6177,0.5937,0.7228,0.7637,0.7432
9.3,0.2866,0.1365,0.6922,0.4772,0.1871,0.3322,0.5512,0.6035,0.5773,0.732,0.7569,0.7444
9.4,0.2484,0.1224,0.6797,0.4445,0.174,0.3092,0.5351,0.5918,0.5634,0.7427,0.7507,0.7467
9.5,0.2065,0.1122,0.6697,0.4129,0.1634,0.2881,0.5221,0.5829,0.5525,0.7548,0.7458,0.7503
9.6,0.1628,0.106,0.6627,0.3836,0.1559,0.2697,0.5126,0.5771,0.5448,0.7675,0.7429,0.7552
9.7,0.1193,0.1041,0.6584,0.3577,0.1514,0.2545,0.5065,0.5739,0.5402,0.7803,0.7423,0.7613
9.8,0.077,0.107,0.6564,0.3357,0.1496,0.2426,0.5041,0.5728,0.5385,0.7926,0.7435,0.768
9.9,0.0365,0.1145,0.6561,0.3175,0.1497,0.2336,0.5058,0.5733,0.5396,0.8038,0.7463,0.7751
10,-0.0025,0.1259,0.6568,0.3024,0.1515,0.227,0.5112,0.5751,0.5431,0.8134,0.7503,0.7819
10.1,-0.0405,0.1397,0.6577,0.2896,0.1546,0.2221,0.5193,0.5773,0.5483,0.8206,0.7551,0.7878
10.2,-0.0774,0.1548,0.6577,0.2784,0.1591,0.2188,0.5288,0.5794,0.5541,0.8244,0.7597,0.7921
10.3,-0.1127,0.1707,0.6563,0.2683,0.1653,0.2168,0.5386,0.5807,0.5596,0.824,0.7633,0.7937
10.4,-0.146,0.1873,0.6533,0.2595,0.1739,0.2167,0.5483,0.5809,0.5646,0.819,0.7653,0.7922
10.5,-0.1768,0.2043,0.6496,0.252,0.1857,0.2188,0.5581,0.5804,0.5692,0.8093,0.7656,0.7874
10.6,-0.2054,0.2213,0.6456,0.2462,0.2014,0.2238,0.5677,0.5792,0.5734,0.7952,0.7642,0.7797
10.7,-0.2325,0.2371,0.6416,0.2422,0.2212,0.2317,0.5766,0.5772,0.5769,0.777,0.761,0.769
10.8,-0.2577,0.2509,0.6374,0.2398,0.245,0.2424,0.5839,0.574,0.579,0.7548,0.7561,0.7554
10.9,-0.2804,0.2627,0.6326,0.2387,0.2723,0.2555,0.5893,0.5696,0.5795,0.7295,0.7494,0.7394
11,-0.2996,0.2728,0.6278,0.2389,0.3026,0.2708,0.5931,0.5647,0.5789,0.7023,0.7411,0.7217
11.1,-0.3158,0.2815,0.6235,0.2408,0.335,0.2879,0.5959,0.5601,0.578,0.6744,0.7319,0.7031
11.2,-0.3297,0.2889,0.62,0.2448,0.3678,0.3063,0.5981,0.5562,0.5771,0.6462,0.7221,0.6841
11.3,-0.3419,0.2955,0.6175,0.2509,0.3995,0.3252,0.5999,0.553,0.5764,0.6181,0.7119,0.665
11.4,-0.353,0.3019,0.6162,0.259,0.429,0.344,0.6019,0.5507,0.5763,0.5911,0.7013,0.6462
11.5,-0.3631,0.3092,0.6162,0.269,0.4567,0.3628,0.6053,0.5496,0.5774,0.5661,0.6906,0.6284
11.6,-0.3724,0.3187,0.6179,0.2811,0.4828,0.382,0.6106,0.5503,0.5804,0.5438,0.6799,0.6119
11.7,-0.3811,0.331,0.6209,0.2947,0.5076,0.4011,0.6179,0.5535,0.5857,0.5245,0.6686,0.5966
11.8,-0.3895,0.3461,0.6251,0.3088,0.53,0.4194,0.6264,0.5595,0.593,0.5075,0.6563,0.5819
11.9,-0.398,0.3635,0.6305,0.323,0.5488,0.4359,0.6356,0.5679,0.6018,0.4923,0.6428,0.5676
12,-0.4065,0.3833,0.6375,0.3376,0.5631,0.4503,0.645,0.5783,0.6117,0.4791,0.6289,0.554
12.1,-0.4147,0.4059,0.6467,0.3532,0.5727,0.4629,0.6544,0.5907,0.6225,0.4684,0.615,0.5417
12.2,-0.4225,0.4316,0.6576,0.3702,0.578,0.4741,0.6629,0.6049,0.6339,0.4608,0.6017,0.5312
12.3,-0.4289,0.4596,0.6692,0.3885,0.5787,0.4836,0.6695,0.6204,0.645,0.456,0.5895,0.5228
12.4,-0.4322,0.4879,0.6807,0.4074,0.574,0.4907,0.6733,0.6363,0.6548,0.4538,0.5788,0.5163
12.5,-0.43,0.5136,0.6917,0.426,0.5628,0.4944,0.6738,0.6508,0.6623,0.454,0.5705,0.5122
12.6,-0.4204,0.5343,0.7023,0.4432,0.5444,0.4938,0.6711,0.6629,0.667,0.4563,0.5652,0.5108
12.7,-0.404,0.5486,0.7118,0.4581,0.5196,0.4888,0.665,0.6719,0.6685,0.4613,0.5631,0.5122
12.8,-0.383,0.5562,0.7193,0.4695,0.49,0.4797,0.6555,0.6774,0.6664,0.4692,0.5644,0.5168
12.9,-0.3588,0.557,0.7245,0.4768,0.4572,0.467,0.6421,0.6785,0.6603,0.4803,0.569,0.5246
13,-0.3308,0.5515,0.7272,0.4801,0.4221,0.4511,0.6251,0.6747,0.6499,0.4944,0.5766,0.5355
13.1,-0.2984,0.5403,0.7272,0.48,0.3856,0.4328,0.605,0.666,0.6355,0.5105,0.5857,0.5481
13.2,-0.2622,0.5241,0.7243,0.4771,0.3496,0.4134,0.5825,0.6534,0.6179,0.5267,0.5946,0.5607
13.3,-0.2253,0.5039,0.7183,0.4712,0.317,0.3941,0.5578,0.638,0.5979,0.5413,0.6017,0.5715
13.4,-0.1908,0.4813,0.7096,0.4625,0.2909,0.3767,0.5315,0.621,0.5762,0.5533,0.6064,0.5799
13.5,-0.1601,0.4581,0.6989,0.4511,0.2733,0.3622,0.5046,0.6031,0.5538,0.563,0.6093,0.5862
13.6,-0.1322,0.4365,0.6879,0.4379,0.2645,0.3512,0.4788,0.5852,0.532,0.5715,0.6112,0.5913
13.7,-0.1052,0.4182,0.6779,0.4234,0.2633,0.3434,0.4557,0.5684,0.512,0.5799,0.6129,0.5964
13.8,-0.0774,0.4044,0.6703,0.4081,0.2683,0.3382,0.4365,0.5534,0.4949,0.5889,0.6145,0.6017
13.9,-0.0483,0.3957,0.6657,0.3924,0.2786,0.3355,0.4216,0.541,0.4813,0.5992,0.6163,0.6077
14,-0.0179,0.3927,0.6645,0.377,0.2936,0.3353,0.4116,0.5316,0.4716,0.6111,0.6189,0.615
14.1,0.0138,0.3952,0.6662,0.363,0.3121,0.3375,0.4062,0.5257,0.4659,0.6247,0.6225,0.6236
14.2,0.0469,0.4032,0.6705,0.3514,0.3325,0.342,0.4049,0.5235,0.4642,0.6395,0.6267,0.6331
14.3,0.0811,0.416,0.6768,0.3433,0.3529,0.3481,0.4071,0.5251,0.4661,0.6544,0.6306,0.6425
14.4,0.1162,0.4329,0.6842,0.3389,0.3721,0.3555,0.4124,0.5296,0.471,0.669,0.6334,0.6512
14.5,0.1518,0.453,0.6915,0.3385,0.3897,0.3641,0.4208,0.5354,0.4781,0.6831,0.6345,0.6588
14.6,0.1877,0.475,0.6973,0.3413,0.4058,0.3735,0.4318,0.5409,0.4863,0.6964,0.6341,0.6653
14.7,0.2225,0.4969,0.7002,0.346,0.4201,0.3831,0.4441,0.5448,0.4944,0.7084,0.6319,0.6701
14.8,0.254,0.5162,0.6992,0.3511,0.4325,0.3918,0.4563,0.5463,0.5013,0.7182,0.6277,0.673
14.9,0.2797,0.5305,0.694,0.3549,0.4419,0.3984,0.4673,0.5454,0.5063,0.7252,0.6221,0.6736
