Time,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC
1.6,-0.3515,0.7158,0.649,0.3411,0.655,0.498,0.3988,0.5163,0.4575,0.6699,0.6949,0.6824
1.7,-0.3237,0.7198,0.6391,0.3653,0.6558,0.5105,0.4066,0.5095,0.458,0.6635,0.6948,0.6791
1.8,-0.2946,0.7269,0.6283,0.3925,0.6599,0.5262,0.4169,0.5048,0.4609,0.6548,0.6895,0.6721
1.9,-0.2628,0.7377,0.6175,0.4233,0.6667,0.545,0.4313,0.5031,0.4672,0.6448,0.6798,0.6623
2,-0.2269,0.7528,0.6077,0.4579,0.6753,0.5666,0.4504,0.5043,0.4773,0.635,0.6671,0.651
2.1,-0.1864,0.7717,0.6001,0.4957,0.685,0.5903,0.4747,0.5085,0.4916,0.6263,0.6526,0.6394
2.2,-0.1431,0.7934,0.5949,0.535,0.6956,0.6153,0.5043,0.5154,0.5098,0.6193,0.637,0.6281
2.3,-0.1002,0.8166,0.5916,0.5743,0.7074,0.6409,0.539,0.5245,0.5318,0.6138,0.6208,0.6173
2.4,-0.0605,0.8407,0.5895,0.6128,0.7204,0.6666,0.5777,0.5357,0.5567,0.6102,0.605,0.6076
2.5,-0.0256,0.8651,0.5886,0.6499,0.7345,0.6922,0.6186,0.5484,0.5835,0.6094,0.5913,0.6003
2.6,0.0042,0.8887,0.5893,0.6846,0.749,0.7168,0.6593,0.5622,0.6108,0.6118,0.5813,0.5966
2.7,0.0282,0.9104,0.5919,0.7151,0.7628,0.7389,0.6974,0.5764,0.6369,0.6172,0.5756,0.5964
2.8,0.0459,0.9294,0.5963,0.7404,0.7751,0.7577,0.7314,0.59,0.6607,0.6246,0.5735,0.5991
2.9,0.0572,0.9454,0.602,0.7604,0.7858,0.7731,0.7607,0.6019,0.6813,0.6335,0.5748,0.6041
3,0.0632,0.9589,0.6078,0.7761,0.7952,0.7857,0.7854,0.6112,0.6983,0.6437,0.5793,0.6115
3.1,0.0657,0.9705,0.6128,0.7884,0.8045,0.7964,0.8056,0.6177,0.7117,0.6552,0.587,0.6211
3.2,0.066,0.9812,0.6161,0.7984,0.8148,0.8066,0.8219,0.6218,0.7218,0.6676,0.5979,0.6327
3.3,0.0647,0.9916,0.6177,0.807,0.8275,0.8172,0.8343,0.6238,0.7291,0.68,0.6112,0.6456
3.4,0.0626,1.0023,0.6175,0.8149,0.843,0.829,0.8427,0.6237,0.7332,0.6908,0.6254,0.6581
3.5,0.0615,1.0133,0.6152,0.8227,0.8607,0.8417,0.8462,0.6206,0.7334,0.6986,0.6391,0.6689
3.6,0.0636,1.0242,0.6104,0.8303,0.8792,0.8548,0.844,0.6139,0.729,0.7028,0.6512,0.677
3.7,0.0696,1.0345,0.6032,0.8374,0.8975,0.8674,0.8359,0.6043,0.7201,0.7035,0.6615,0.6825
3.8,0.0788,1.0441,0.594,0.843,0.9156,0.8793,0.8222,0.5931,0.7076,0.7013,0.67,0.6856
3.9,0.0897,1.0527,0.5829,0.8467,0.9338,0.8902,0.8039,0.5811,0.6925,0.6973,0.677,0.6872
4,0.1013,1.0596,0.5699,0.8481,0.952,0.9,0.7821,0.5686,0.6754,0.692,0.6826,0.6873
4.1,0.1127,1.064,0.555,0.8474,0.9693,0.9083,0.7585,0.5558,0.6571,0.6857,0.6865,0.6861
4.2,0.1233,1.0654,0.5393,0.8446,0.9846,0.9146,0.7341,0.5434,0.6388,0.679,0.6892,0.6841
4.3,0.1323,1.0636,0.5242,0.8397,0.9976,0.9187,0.7099,0.5324,0.6212,0.6727,0.691,0.6819
4.4,0.1381,1.0583,0.5105,0.8322,1.0085,0.9203,0.6864,0.5234,0.6049,0.6674,0.6921,0.6798
4.5,0.1388,1.0486,0.4985,0.8212,1.0171,0.9191,0.6639,0.5165,0.5902,0.6632,0.692,0.6776
4.6,0.1331,1.0343,0.4887,0.8063,1.0225,0.9144,0.6428,0.5109,0.5769,0.66,0.6899,0.6749
4.7,0.121,1.0156,0.4815,0.7871,1.0241,0.9056,0.6236,0.5058,0.5647,0.6577,0.6853,0.6715
4.8,0.1027,0.9931,0.4772,0.7638,1.0215,0.8926,0.607,0.5008,0.5539,0.6562,0.6785,0.6674
4.9,0.0787,0.9674,0.476,0.7363,1.0142,0.8752,0.5935,0.4961,0.5448,0.6558,0.6702,0.663
5,0.0494,0.939,0.4775,0.7047,1.0013,0.853,0.5834,0.4922,0.5378,0.657,0.6615,0.6592
5.1,0.0156,0.9087,0.4818,0.6696,0.9824,0.826,0.5765,0.489,0.5328,0.6601,0.6531,0.6566
5.2,-0.0215,0.8778,0.4887,0.6321,0.957,0.7945,0.5725,0.4867,0.5296,0.6655,0.6454,0.6555
5.3,-0.0603,0.847,0.4977,0.5936,0.9252,0.7594,0.5709,0.4848,0.5279,0.673,0.6387,0.6559
5.4,-0.0993,0.8161,0.5078,0.5554,0.8876,0.7215,0.5713,0.4825,0.5269,0.6821,0.6331,0.6576
5.5,-0.1375,0.785,0.5181,0.5188,0.8458,0.6823,0.5729,0.4797,0.5263,0.692,0.6285,0.6603
5.6,-0.1752,0.7542,0.5278,0.4845,0.8019,0.6432,0.5752,0.4764,0.5258,0.7018,0.625,0.6634
5.7,-0.2119,0.7245,0.5367,0.4534,0.7586,0.606,0.5778,0.4731,0.5255,0.7109,0.6222,0.6666
5.8,-0.2463,0.6966,0.5442,0.4258,0.7178,0.5718,0.5806,0.4701,0.5254,0.719,0.6202,0.6696
5.9,-0.2769,0.6705,0.55,0.4012,0.6805,0.5408,0.584,0.4675,0.5257,0.7251,0.6184,0.6718
6,-0.3025,0.6459,0.5534,0.3795,0.6465,0.513,0.5879,0.4651,0.5265,0.7283,0.6161,0.6722
6.1,-0.3232,0.623,0.5542,0.3607,0.6163,0.4885,0.5924,0.463,0.5277,0.7283,0.6128,0.6705
6.2,-0.3409,0.6027,0.5528,0.3458,0.591,0.4684,0.5975,0.4613,0.5294,0.7257,0.6084,0.667
6.3,-0.3572,0.5859,0.5495,0.3352,0.5718,0.4535,0.6031,0.4608,0.5319,0.7213,0.6035,0.6624
6.4,-0.3728,0.5733,0.545,0.3294,0.5597,0.4446,0.6087,0.4622,0.5354,0.7158,0.5986,0.6572
6.5,-0.3876,0.5651,0.54,0.3286,0.5549,0.4418,0.6134,0.4668,0.5401,0.7091,0.5936,0.6513
6.6,-0.4021,0.561,0.5355,0.3328,0.5569,0.4448,0.6164,0.4754,0.5459,0.701,0.5881,0.6445
6.7,-0.4177,0.5613,0.5325,0.3419,0.5652,0.4535,0.6171,0.488,0.5526,0.6917,0.5817,0.6367
6.8,-0.4354,0.5669,0.5312,0.356,0.579,0.4675,0.615,0.5045,0.5597,0.6817,0.5743,0.628
6.9,-0.4544,0.5782,0.5313,0.3754,0.5976,0.4865,0.6093,0.5241,0.5667,0.6719,0.5663,0.6191
7,-0.4726,0.595,0.5324,0.4,0.6197,0.5099,0.5998,0.5467,0.5733,0.6627,0.5578,0.6103
7.1,-0.4879,0.6162,0.5341,0.4293,0.6444,0.5368,0.5871,0.572,0.5795,0.6544,0.5483,0.6013
7.2,-0.499,0.6405,0.5364,0.4628,0.6702,0.5665,0.5719,0.5993,0.5856,0.6467,0.5376,0.5922
7.3,-0.5051,0.667,0.539,0.4997,0.6954,0.5975,0.5557,0.6272,0.5914,0.6395,0.5257,0.5826
7.4,-0.5056,0.6948,0.541,0.5391,0.7185,0.6288,0.5395,0.6546,0.597,0.6317,0.5125,0.5721
7.5,-0.5001,0.7229,0.5417,0.5795,0.7386,0.6591,0.5238,0.6805,0.6022,0.6225,0.4978,0.5602
7.6,-0.4883,0.7496,0.5405,0.6184,0.7551,0.6867,0.5085,0.7038,0.6061,0.6116,0.4817,0.5467
7.7,-0.4707,0.7732,0.5366,0.6534,0.7679,0.7106,0.4936,0.7231,0.6083,0.5993,0.4644,0.5319
7.8,-0.4484,0.7926,0.5295,0.6831,0.7772,0.7301,0.4799,0.7371,0.6085,0.5864,0.4462,0.5163
7.9,-0.422,0.8074,0.5183,0.7068,0.7829,0.7448,0.4688,0.7455,0.6072,0.5731,0.4276,0.5003
8,-0.392,0.8177,0.503,0.7246,0.7848,0.7547,0.4608,0.7485,0.6047,0.5593,0.4091,0.4842
8.1,-0.3584,0.8235,0.4841,0.7368,0.7826,0.7597,0.456,0.7475,0.6017,0.5449,0.3912,0.4681
8.2,-0.3221,0.8249,0.4629,0.7436,0.7766,0.7601,0.4542,0.7442,0.5992,0.5301,0.3748,0.4525
8.3,-0.2841,0.8218,0.4411,0.7456,0.7677,0.7566,0.4551,0.7399,0.5975,0.5162,0.361,0.4386
8.4,-0.2446,0.8146,0.4195,0.7433,0.757,0.7501,0.4585,0.7345,0.5965,0.5042,0.3502,0.4272
8.5,-0.2036,0.8038,0.3987,0.7375,0.7454,0.7414,0.464,0.7276,0.5958,0.4946,0.3421,0.4184
8.6,-0.161,0.7895,0.3788,0.7289,0.7333,0.7311,0.4716,0.7193,0.5955,0.4872,0.3366,0.4119
8.7,-0.1171,0.7721,0.3604,0.7181,0.7207,0.7194,0.4811,0.7105,0.5958,0.4819,0.3342,0.4081
8.8,-0.0732,0.7519,0.3444,0.7052,0.7076,0.7064,0.4921,0.7023,0.5972,0.479,0.3354,0.4072
8.9,-0.0314,0.7295,0.3313,0.6899,0.6942,0.6921,0.5043,0.6951,0.5997,0.4786,0.3403,0.4095
9,0.0064,0.7054,0.3209,0.672,0.6815,0.6767,0.5172,0.6893,0.6033,0.4808,0.3488,0.4148
9.1,0.0402,0.6801,0.3133,0.652,0.6699,0.6609,0.5308,0.6851,0.6079,0.4858,0.3606,0.4232
9.2,0.0706,0.6543,0.3086,0.631,0.6603,0.6456,0.5453,0.6827,0.614,0.4936,0.3757,0.4346
9.3,0.0975,0.6291,0.3071,0.6107,0.6527,0.6317,0.5609,0.6823,0.6216,0.5047,0.3943,0.4495
9.4,0.1194,0.6056,0.3091,0.5919,0.6474,0.6196,0.5775,0.6843,0.6309,0.5199,0.4162,0.468
9.5,0.134,0.5846,0.3147,0.5748,0.6448,0.6098,0.5945,0.6887,0.6416,0.5394,0.4409,0.4902
9.6,0.1396,0.566,0.3237,0.5592,0.6452,0.6022,0.6113,0.6957,0.6535,0.5628,0.4673,0.5151
9.7,0.1362,0.5495,0.3353,0.5447,0.6487,0.5967,0.6274,0.705,0.6662,0.589,0.4942,0.5416
9.8,0.1254,0.5343,0.3488,0.5314,0.655,0.5932,0.6431,0.7165,0.6798,0.6164,0.5207,0.5686
9.9,0.1088,0.5203,0.3639,0.5197,0.6633,0.5915,0.659,0.73,0.6945,0.6443,0.546,0.5952
10,0.0873,0.5077,0.3806,0.51,0.6728,0.5914,0.6759,0.7451,0.7105,0.6728,0.5698,0.6213
10.1,0.0619,0.4974,0.3985,0.503,0.6834,0.5932,0.6942,0.7613,0.7278,0.7017,0.5919,0.6468
10.2,0.0338,0.4897,0.417,0.4992,0.6945,0.5968,0.7138,0.7777,0.7458,0.7301,0.6118,0.671
10.3,0.0053,0.4845,0.4353,0.4987,0.7051,0.6019,0.7342,0.7934,0.7638,0.7569,0.6289,0.6929
10.4,-0.0216,0.4812,0.4536,0.5015,0.7143,0.6079,0.755,0.8079,0.7814,0.7805,0.6425,0.7115
10.5,-0.0462,0.4798,0.4723,0.5071,0.7213,0.6142,0.7754,0.8208,0.7981,0.8002,0.6524,0.7263
10.6,-0.0688,0.4804,0.4914,0.5146,0.7261,0.6204,0.7949,0.8321,0.8135,0.8158,0.6593,0.7376
10.7,-0.0891,0.4831,0.5107,0.5233,0.7293,0.6263,0.8128,0.8418,0.8273,0.827,0.6637,0.7453
10.8,-0.1062,0.4881,0.53,0.5327,0.7311,0.6319,0.8289,0.8494,0.8392,0.8334,0.666,0.7497
10.9,-0.1187,0.4955,0.5492,0.5424,0.7314,0.6369,0.8426,0.8542,0.8484,0.835,0.6667,0.7508
11,-0.1259,0.5053,0.5683,0.5518,0.7299,0.6408,0.8531,0.8551,0.8541,0.832,0.666,0.749
11.1,-0.1284,0.5178,0.5871,0.5609,0.7274,0.6442,0.8601,0.8524,0.8563,0.8253,0.6644,0.7448
11.2,-0.1274,0.5339,0.6056,0.5699,0.7256,0.6478,0.8635,0.8472,0.8554,0.8154,0.6622,0.7388
11.3,-0.1231,0.554,0.6244,0.579,0.7257,0.6523,0.8632,0.8404,0.8518,0.8029,0.6594,0.7311
11.4,-0.1155,0.5779,0.6437,0.5883,0.7278,0.658,0.8592,0.8322,0.8457,0.7882,0.6559,0.722
11.5,-0.1048,0.6051,0.6629,0.5977,0.7319,0.6648,0.8514,0.8221,0.8367,0.772,0.6518,0.7119
11.6,-0.0925,0.6352,0.6804,0.6071,0.7384,0.6727,0.8401,0.8098,0.825,0.7556,0.6475,0.7016
11.7,-0.0796,0.6674,0.6944,0.6163,0.7475,0.6819,0.8258,0.7953,0.8106,0.7407,0.6431,0.6919
11.8,-0.0675,0.7005,0.703,0.6255,0.7584,0.6919,0.8089,0.7788,0.7938,0.7277,0.638,0.6828
11.9,-0.0572,0.7329,0.7047,0.6341,0.7699,0.702,0.7889,0.7603,0.7746,0.7159,0.6308,0.6733
12,-0.05,0.7632,0.699,0.6417,0.7807,0.7112,0.7652,0.7396,0.7524,0.7037,0.6206,0.6622
12.1,-0.0467,0.79,0.686,0.6468,0.79,0.7184,0.7377,0.7172,0.7275,0.6904,0.6074,0.6489
12.2,-0.0478,0.8118,0.6668,0.6482,0.7982,0.7232,0.7076,0.6939,0.7008,0.6764,0.5922,0.6343
12.3,-0.0521,0.8276,0.6421,0.6453,0.8059,0.7256,0.6769,0.6708,0.6738,0.6628,0.576,0.6194
12.4,-0.0577,0.8373,0.6129,0.6391,0.8135,0.7263,0.6472,0.6487,0.648,0.6511,0.5601,0.6056
12.5,-0.0639,0.8421,0.5804,0.631,0.8207,0.7259,0.6201,0.6282,0.6241,0.6416,0.5451,0.5933
12.6,-0.0709,0.8434,0.5454,0.6223,0.827,0.7246,0.5962,0.609,0.6026,0.6336,0.5312,0.5824
12.7,-0.0795,0.8417,0.509,0.6128,0.8313,0.7221,0.5757,0.5908,0.5833,0.6257,0.518,0.5719
12.8,-0.0898,0.8367,0.4732,0.6017,0.8325,0.7171,0.5586,0.5735,0.5661,0.6177,0.5056,0.5617
12.9,-0.1019,0.8278,0.4401,0.5885,0.8303,0.7094,0.5452,0.5574,0.5513,0.6102,0.4945,0.5523
13,-0.1155,0.8154,0.4111,0.5736,0.8249,0.6993,0.5354,0.5426,0.539,0.6032,0.4854,0.5443
13.1,-0.1304,0.8002,0.3872,0.5583,0.817,0.6877,0.529,0.529,0.529,0.5965,0.4788,0.5377
13.2,-0.1463,0.783,0.3693,0.5433,0.8069,0.6751,0.5258,0.5166,0.5212,0.5898,0.475,0.5324
13.3,-0.1643,0.7646,0.3579,0.5291,0.7956,0.6624,0.5248,0.5053,0.515,0.5834,0.4738,0.5286
13.4,-0.1855,0.7454,0.3521,0.516,0.7845,0.6502,0.525,0.495,0.51,0.5778,0.4749,0.5263
13.5,-0.2112,0.7259,0.3509,0.5043,0.7754,0.6399,0.526,0.4859,0.5059,0.5722,0.4775,0.5248
13.6,-0.2414,0.7065,0.3528,0.4947,0.7694,0.632,0.5272,0.4778,0.5025,0.5659,0.4806,0.5232
13.7,-0.275,0.6873,0.357,0.4869,0.766,0.6265,0.5283,0.4706,0.4995,0.5587,0.4833,0.521
13.8,-0.3097,0.6682,0.3627,0.4803,0.764,0.6221,0.529,0.4641,0.4965,0.5506,0.4852,0.5179
13.9,-0.3438,0.6489,0.3692,0.4744,0.7617,0.618,0.5289,0.4583,0.4936,0.5423,0.4863,0.5143
14,-0.3755,0.6298,0.3766,0.469,0.758,0.6135,0.5287,0.4534,0.4911,0.5346,0.4874,0.511
14.1,-0.4026,0.6113,0.3851,0.4647,0.7521,0.6084,0.5291,0.45,0.4895,0.5284,0.4895,0.509
14.2,-0.4235,0.5942,0.3954,0.4615,0.7434,0.6024,0.5304,0.4483,0.4894,0.524,0.4934,0.5087
14.3,-0.4373,0.5792,0.4075,0.4593,0.7317,0.5955,0.5323,0.4486,0.4905,0.5211,0.4992,0.5102
14.4,-0.4436,0.5665,0.4213,0.4577,0.7178,0.5877,0.534,0.4511,0.4925,0.5196,0.5063,0.5129
14.5,-0.4425,0.5561,0.4361,0.4563,0.7024,0.5793,0.5351,0.4555,0.4953,0.5192,0.5137,0.5164
14.6,-0.4336,0.5481,0.4518,0.4549,0.6862,0.5706,0.536,0.4621,0.499,0.5194,0.5208,0.5201
14.7,-0.416,0.5427,0.4681,0.454,0.6694,0.5617,0.5368,0.4704,0.5036,0.5197,0.5273,0.5235
14.8,-0.3895,0.5398,0.4847,0.4535,0.6518,0.5527,0.5377,0.4803,0.509,0.5195,0.5328,0.5262
14.9,-0.3553,0.539,0.5005,0.4533,0.6331,0.5432,0.5386,0.4912,0.5149,0.5179,0.5373,0.5276
