Time,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC
5.9,-0.2239,0.7265,0.4941,0.2871,0.6963,0.4917,0.426,0.6512,0.5386,0.3999,0.3769,0.3884
6,-0.2012,0.7356,0.4899,0.3135,0.6982,0.5059,0.4578,0.6489,0.5534,0.3941,0.3789,0.3865
6.1,-0.1691,0.7428,0.4857,0.3432,0.6987,0.5209,0.4899,0.6458,0.5678,0.3877,0.3813,0.3845
6.2,-0.1258,0.7473,0.482,0.3753,0.6971,0.5362,0.5209,0.6417,0.5813,0.3811,0.3844,0.3827
6.3,-0.0706,0.7486,0.4793,0.4088,0.6926,0.5507,0.5503,0.6364,0.5933,0.3756,0.3885,0.382
6.4,-0.0047,0.7467,0.4779,0.4423,0.6843,0.5633,0.5782,0.6295,0.6038,0.3726,0.3942,0.3834
6.5,0.0691,0.7415,0.4787,0.4742,0.6719,0.573,0.6047,0.6214,0.613,0.3735,0.4015,0.3875
6.6,0.1477,0.7324,0.4824,0.5028,0.6551,0.579,0.6294,0.6124,0.6209,0.3784,0.4098,0.3941
6.7,0.228,0.719,0.4895,0.5268,0.6337,0.5803,0.6516,0.6028,0.6272,0.3869,0.4184,0.4027
6.8,0.3076,0.7014,0.4998,0.5451,0.6081,0.5766,0.6707,0.5926,0.6316,0.3985,0.427,0.4128
6.9,0.3842,0.6804,0.5129,0.5574,0.5784,0.5679,0.6869,0.5817,0.6343,0.4123,0.4354,0.4238
7,0.4559,0.6575,0.5281,0.5635,0.545,0.5543,0.7006,0.5701,0.6353,0.4271,0.4435,0.4353
7.1,0.5209,0.6338,0.5452,0.564,0.5089,0.5364,0.7121,0.5581,0.6351,0.4422,0.4514,0.4468
7.2,0.577,0.6102,0.5635,0.559,0.4713,0.5152,0.7215,0.5458,0.6336,0.4569,0.4591,0.458
7.3,0.6229,0.587,0.5822,0.5489,0.434,0.4914,0.7288,0.533,0.6309,0.4709,0.4667,0.4688
7.4,0.6571,0.565,0.6002,0.5338,0.3985,0.4662,0.7339,0.5197,0.6268,0.4842,0.4744,0.4793
7.5,0.6789,0.5446,0.6164,0.5146,0.3662,0.4404,0.7372,0.5056,0.6214,0.4967,0.4819,0.4893
7.6,0.6875,0.5255,0.63,0.4917,0.338,0.4148,0.7387,0.4906,0.6146,0.5081,0.4885,0.4983
7.7,0.6825,0.5074,0.6412,0.4657,0.3146,0.3901,0.7387,0.4752,0.607,0.5183,0.4937,0.506
7.8,0.6641,0.4902,0.6504,0.4374,0.2962,0.3668,0.7377,0.4604,0.599,0.5267,0.4975,0.5121
7.9,0.6332,0.474,0.6582,0.4078,0.2833,0.3456,0.7356,0.4472,0.5914,0.5329,0.5,0.5165
8,0.5918,0.4597,0.6649,0.3786,0.2764,0.3275,0.7321,0.4364,0.5842,0.5362,0.5016,0.5189
8.1,0.5421,0.4485,0.6703,0.352,0.2762,0.3141,0.7271,0.4281,0.5776,0.5366,0.5024,0.5195
8.2,0.4861,0.4416,0.6742,0.33,0.2838,0.3069,0.721,0.4224,0.5717,0.5345,0.5023,0.5184
8.3,0.4252,0.4395,0.6764,0.3138,0.3,0.3069,0.7144,0.419,0.5667,0.5305,0.5012,0.5159
8.4,0.36,0.4427,0.677,0.3039,0.3251,0.3145,0.7083,0.4177,0.563,0.5252,0.4994,0.5123
8.5,0.2915,0.451,0.6762,0.3004,0.3582,0.3293,0.7033,0.4187,0.561,0.5188,0.4969,0.5078
8.6,0.2211,0.4639,0.6744,0.304,0.3976,0.3508,0.6994,0.4221,0.5608,0.5112,0.4936,0.5024
8.7,0.1505,0.4806,0.6721,0.3149,0.4408,0.3779,0.6962,0.428,0.5621,0.5024,0.4892,0.4958
8.8,0.0818,0.4999,0.6694,0.3329,0.4852,0.4091,0.693,0.4365,0.5647,0.4927,0.4837,0.4882
8.9,0.0166,0.5208,0.6667,0.3568,0.5284,0.4426,0.6895,0.4469,0.5682,0.4825,0.4773,0.4799
9,-0.0439,0.5418,0.6645,0.3846,0.5683,0.4764,0.6852,0.4586,0.5719,0.4724,0.4702,0.4713
9.1,-0.0985,0.5615,0.663,0.4137,0.6036,0.5087,0.6798,0.4709,0.5754,0.4629,0.4626,0.4627
9.2,-0.1455,0.5788,0.6618,0.442,0.6339,0.5379,0.673,0.4829,0.5779,0.4543,0.4543,0.4543
9.3,-0.1831,0.5929,0.6603,0.468,0.6586,0.5633,0.6644,0.4942,0.5793,0.4464,0.4452,0.4458
9.4,-0.2099,0.6035,0.6576,0.4908,0.6778,0.5843,0.6543,0.5041,0.5792,0.4392,0.4348,0.437
9.5,-0.2257,0.6109,0.653,0.5099,0.6913,0.6006,0.6438,0.5123,0.5781,0.433,0.4236,0.4283
9.6,-0.2316,0.6152,0.6464,0.5251,0.6994,0.6122,0.634,0.5188,0.5764,0.4285,0.4122,0.4203
9.7,-0.23,0.6165,0.6385,0.5362,0.7027,0.6194,0.626,0.5237,0.5748,0.4262,0.4012,0.4137
9.8,-0.2235,0.6154,0.6299,0.5434,0.7024,0.6229,0.6198,0.5277,0.5737,0.4264,0.3911,0.4087
9.9,-0.2134,0.6125,0.6214,0.5474,0.6998,0.6236,0.6148,0.5308,0.5728,0.4285,0.3817,0.4051
10,-0.1999,0.6091,0.6126,0.5491,0.6962,0.6226,0.6101,0.5328,0.5715,0.4319,0.3731,0.4025
10.1,-0.1831,0.6062,0.6034,0.5497,0.6927,0.6212,0.6052,0.534,0.5696,0.4361,0.3653,0.4007
10.2,-0.1634,0.6045,0.5937,0.5499,0.6906,0.6202,0.6004,0.5349,0.5676,0.4412,0.3585,0.3999
10.3,-0.142,0.604,0.5843,0.5495,0.6906,0.6201,0.5961,0.5365,0.5663,0.4473,0.3533,0.4003
10.4,-0.1199,0.6046,0.5759,0.5486,0.6937,0.6212,0.5924,0.5398,0.5661,0.4545,0.3499,0.4022
10.5,-0.0984,0.6061,0.5693,0.5472,0.7005,0.6239,0.5893,0.5455,0.5674,0.4627,0.3485,0.4056
10.6,-0.0783,0.6091,0.5644,0.546,0.7112,0.6286,0.5866,0.5536,0.5701,0.4715,0.3492,0.4103
10.7,-0.0602,0.6139,0.561,0.5455,0.726,0.6358,0.5842,0.5638,0.574,0.4804,0.3519,0.4161
10.8,-0.0446,0.6208,0.5592,0.5466,0.7442,0.6454,0.5824,0.5756,0.579,0.4888,0.3562,0.4225
10.9,-0.032,0.6297,0.5593,0.5499,0.7652,0.6575,0.5813,0.5891,0.5852,0.496,0.3616,0.4288
11,-0.023,0.6406,0.5619,0.5557,0.7881,0.6719,0.5811,0.6043,0.5927,0.5011,0.3673,0.4342
11.1,-0.0181,0.6535,0.5675,0.5645,0.8122,0.6884,0.5821,0.621,0.6016,0.5035,0.373,0.4383
11.2,-0.0172,0.6683,0.576,0.5767,0.8367,0.7067,0.584,0.6389,0.6114,0.5035,0.3787,0.4411
11.3,-0.0198,0.6847,0.5872,0.5919,0.8601,0.726,0.5868,0.6567,0.6217,0.5013,0.3849,0.4431
11.4,-0.0256,0.7019,0.6006,0.6096,0.8809,0.7453,0.5903,0.6733,0.6318,0.4971,0.3914,0.4442
11.5,-0.0344,0.7191,0.6154,0.6291,0.8979,0.7635,0.5944,0.6877,0.641,0.4909,0.3977,0.4443
11.6,-0.0459,0.7358,0.6309,0.6493,0.9106,0.7799,0.5989,0.6993,0.6491,0.4829,0.4031,0.443
11.7,-0.0593,0.7515,0.6461,0.6695,0.9188,0.7942,0.6037,0.7083,0.656,0.4733,0.407,0.4401
11.8,-0.0736,0.7657,0.6604,0.6894,0.9224,0.8059,0.6085,0.7151,0.6618,0.4626,0.409,0.4358
11.9,-0.0875,0.7782,0.673,0.7088,0.9211,0.815,0.6129,0.7199,0.6664,0.4513,0.4091,0.4302
12,-0.1006,0.7886,0.6829,0.7273,0.915,0.8211,0.6166,0.7228,0.6697,0.4393,0.4071,0.4232
12.1,-0.113,0.7968,0.6895,0.7445,0.9046,0.8246,0.6194,0.7234,0.6714,0.4267,0.4026,0.4147
12.2,-0.1256,0.8029,0.6924,0.7597,0.891,0.8253,0.621,0.7218,0.6714,0.4139,0.3954,0.4047
12.3,-0.1396,0.8073,0.692,0.7718,0.8755,0.8236,0.6211,0.7179,0.6695,0.4013,0.3854,0.3933
12.4,-0.1555,0.8103,0.6892,0.7803,0.8586,0.8195,0.6197,0.7124,0.666,0.3889,0.3731,0.381
12.5,-0.1734,0.8123,0.6844,0.785,0.8406,0.8128,0.6164,0.7054,0.6609,0.3766,0.3589,0.3677
12.6,-0.193,0.8133,0.6775,0.7859,0.8211,0.8035,0.6112,0.6975,0.6543,0.3643,0.3436,0.3539
12.7,-0.2138,0.8131,0.6686,0.7833,0.8001,0.7917,0.6044,0.689,0.6467,0.352,0.328,0.34
12.8,-0.2359,0.8117,0.6582,0.7773,0.7778,0.7776,0.5966,0.6804,0.6385,0.3402,0.3129,0.3265
12.9,-0.2595,0.8088,0.6468,0.7682,0.7546,0.7614,0.5881,0.6724,0.6303,0.3291,0.2991,0.3141
13,-0.2843,0.8044,0.635,0.7563,0.731,0.7437,0.5795,0.6651,0.6223,0.3191,0.287,0.3031
13.1,-0.3096,0.7989,0.6231,0.7426,0.7076,0.7251,0.5708,0.6585,0.6147,0.3101,0.2767,0.2934
13.2,-0.3339,0.7927,0.6108,0.7279,0.6849,0.7064,0.5623,0.6526,0.6075,0.302,0.2679,0.2849
13.3,-0.3556,0.7865,0.5978,0.7126,0.6634,0.688,0.5548,0.6475,0.6012,0.2942,0.2603,0.2772
13.4,-0.3738,0.7804,0.5841,0.6974,0.6443,0.6708,0.549,0.6436,0.5963,0.2866,0.2537,0.2701
13.5,-0.3884,0.7746,0.5697,0.6824,0.6282,0.6553,0.5456,0.6412,0.5934,0.2788,0.2478,0.2633
13.6,-0.3992,0.7691,0.555,0.6681,0.6157,0.6419,0.5446,0.6403,0.5925,0.2706,0.2424,0.2565
13.7,-0.4057,0.764,0.5404,0.6548,0.6066,0.6307,0.5459,0.6411,0.5935,0.262,0.2375,0.2498
13.8,-0.407,0.7598,0.5265,0.6432,0.6008,0.622,0.5497,0.6437,0.5967,0.2533,0.2334,0.2433
13.9,-0.4019,0.757,0.5137,0.6338,0.5981,0.616,0.5564,0.6478,0.6021,0.2447,0.2303,0.2375
14,-0.3893,0.7555,0.5023,0.6273,0.5983,0.6128,0.5662,0.6533,0.6097,0.2364,0.2284,0.2324
14.1,-0.3682,0.7551,0.493,0.6241,0.6012,0.6126,0.5792,0.6598,0.6195,0.2285,0.2276,0.228
14.2,-0.3382,0.7552,0.4863,0.6241,0.6065,0.6153,0.5948,0.6675,0.6311,0.2208,0.2279,0.2244
14.3,-0.2999,0.7551,0.4831,0.6275,0.6138,0.6207,0.6126,0.6766,0.6446,0.2137,0.2294,0.2215
14.4,-0.2543,0.7545,0.4836,0.6343,0.6226,0.6284,0.6323,0.6873,0.6598,0.2074,0.2326,0.22
14.5,-0.2029,0.7532,0.4876,0.6444,0.6325,0.6384,0.6534,0.6996,0.6765,0.2024,0.2381,0.2202
14.6,-0.1467,0.7513,0.4943,0.658,0.6426,0.6503,0.6752,0.7128,0.694,0.1989,0.2462,0.2226
14.7,-0.0865,0.7489,0.5028,0.6749,0.6522,0.6635,0.6966,0.7263,0.7115,0.1971,0.2567,0.2269
14.8,-0.0239,0.7458,0.5121,0.6944,0.6605,0.6774,0.7169,0.7396,0.7283,0.1972,0.2685,0.2329
14.9,0.039,0.7421,0.5211,0.7159,0.667,0.6914,0.7357,0.7523,0.744,0.1995,0.2812,0.2404
15,0.0995,0.7373,0.5288,0.7377,0.6716,0.7046,0.7525,0.7637,0.7581,0.2046,0.2942,0.2494
15.1,0.1552,0.7311,0.534,0.758,0.6734,0.7157,0.767,0.7734,0.7702,0.2123,0.3067,0.2595
15.2,0.2041,0.7231,0.5358,0.7749,0.6718,0.7234,0.7786,0.7804,0.7795,0.2223,0.3184,0.2703
15.3,0.2449,0.7133,0.5338,0.7871,0.6666,0.7268,0.7866,0.7841,0.7854,0.2341,0.3287,0.2814
15.4,0.2767,0.7016,0.5282,0.7935,0.6585,0.726,0.7903,0.784,0.7872,0.2478,0.3375,0.2926
15.5,0.2986,0.6881,0.5192,0.7933,0.6482,0.7207,0.7893,0.7802,0.7847,0.2637,0.3448,0.3042
15.6,0.3096,0.6731,0.5073,0.7856,0.636,0.7108,0.7833,0.7729,0.7781,0.2821,0.3508,0.3164
15.7,0.309,0.6569,0.4928,0.7705,0.622,0.6962,0.7725,0.7622,0.7673,0.3024,0.356,0.3292
15.8,0.2969,0.6399,0.4763,0.7492,0.6062,0.6777,0.7573,0.7487,0.753,0.3242,0.3611,0.3427
15.9,0.2743,0.6227,0.4582,0.7247,0.5895,0.6571,0.739,0.7329,0.7359,0.3472,0.3666,0.3569
16,0.2433,0.606,0.4394,0.6994,0.5732,0.6363,0.719,0.7157,0.7174,0.3716,0.3731,0.3724
16.1,0.2062,0.5905,0.4206,0.675,0.558,0.6165,0.6986,0.6979,0.6982,0.3978,0.3807,0.3893
16.2,0.1647,0.5766,0.4021,0.6524,0.5443,0.5984,0.6786,0.6798,0.6792,0.4254,0.3893,0.4074
16.3,0.1202,0.5651,0.3837,0.6322,0.5321,0.5822,0.6592,0.6616,0.6604,0.4532,0.3988,0.426
16.4,0.0733,0.5567,0.3656,0.6153,0.5219,0.5686,0.6408,0.6434,0.6421,0.4796,0.4087,0.4441
16.5,0.0255,0.5523,0.3483,0.6024,0.5143,0.5584,0.6236,0.6261,0.6248,0.5031,0.4187,0.4609
16.6,-0.0215,0.5531,0.3333,0.5937,0.5101,0.5519,0.6082,0.6104,0.6093,0.523,0.4287,0.4758
16.7,-0.0657,0.5594,0.3217,0.5887,0.51,0.5493,0.5951,0.5972,0.5961,0.5391,0.4387,0.4889
16.8,-0.1062,0.5712,0.3145,0.5868,0.5141,0.5504,0.5845,0.5869,0.5857,0.5514,0.449,0.5002
16.9,-0.1428,0.5876,0.312,0.5875,0.5221,0.5548,0.5763,0.5791,0.5777,0.56,0.4601,0.5101
17,-0.1751,0.6072,0.3148,0.5904,0.5333,0.5619,0.5701,0.5736,0.5718,0.5652,0.4722,0.5187
17.1,-0.2021,0.628,0.3235,0.5949,0.5469,0.5709,0.5659,0.5701,0.568,0.5674,0.4853,0.5263
17.2,-0.2226,0.6487,0.3383,0.6004,0.5623,0.5813,0.5636,0.5683,0.5659,0.5671,0.4991,0.5331
17.3,-0.2365,0.6683,0.358,0.6064,0.5793,0.5928,0.5631,0.5676,0.5654,0.5643,0.5131,0.5387
17.4,-0.2455,0.6864,0.3813,0.6129,0.5985,0.6057,0.5639,0.5676,0.5658,0.5586,0.5267,0.5426
17.5,-0.252,0.7027,0.4071,0.6199,0.6206,0.6203,0.5657,0.5681,0.5669,0.5494,0.539,0.5442
17.6,-0.2578,0.7172,0.4339,0.6273,0.6461,0.6367,0.5683,0.569,0.5687,0.537,0.5496,0.5433
17.7,-0.2635,0.7298,0.4603,0.6349,0.6744,0.6546,0.5717,0.5707,0.5712,0.5218,0.5579,0.5398
17.8,-0.2696,0.7404,0.4849,0.6422,0.7046,0.6734,0.5757,0.5732,0.5745,0.5052,0.5637,0.5344
17.9,-0.2762,0.7492,0.5067,0.6486,0.7357,0.6922,0.5801,0.5765,0.5783,0.4886,0.5669,0.5277
18,-0.2839,0.7562,0.5253,0.654,0.7661,0.71,0.5845,0.58,0.5822,0.4731,0.5671,0.5201
18.1,-0.2927,0.7614,0.5406,0.6581,0.7945,0.7263,0.5888,0.5836,0.5862,0.4593,0.5636,0.5114
18.2,-0.3027,0.7646,0.5528,0.661,0.8199,0.7405,0.5929,0.5869,0.5899,0.4475,0.5561,0.5018
18.3,-0.3137,0.7661,0.562,0.6628,0.8417,0.7523,0.5966,0.5898,0.5932,0.4378,0.5451,0.4915
18.4,-0.3259,0.7663,0.5684,0.6636,0.8597,0.7616,0.5994,0.5923,0.5959,0.4305,0.5312,0.4809
18.5,-0.3392,0.7656,0.5725,0.6636,0.8737,0.7686,0.6008,0.5947,0.5978,0.4263,0.5151,0.4707
18.6,-0.3531,0.764,0.5746,0.6634,0.8835,0.7734,0.6004,0.5972,0.5988,0.4258,0.4976,0.4617
18.7,-0.367,0.7614,0.5748,0.6635,0.8892,0.7763,0.5978,0.5998,0.5988,0.4296,0.4793,0.4545
18.8,-0.3805,0.7573,0.5733,0.6641,0.8905,0.7773,0.5934,0.6027,0.5981,0.4379,0.4613,0.4496
18.9,-0.3933,0.7515,0.57,0.6653,0.8876,0.7764,0.5881,0.6056,0.5969,0.4501,0.4443,0.4472
19,-0.405,0.744,0.5651,0.6672,0.8805,0.7738,0.5832,0.6083,0.5957,0.4657,0.4295,0.4476
19.1,-0.4146,0.7351,0.559,0.6704,0.8697,0.7701,0.5797,0.6105,0.5951,0.4843,0.4174,0.4508
19.2,-0.4203,0.7253,0.5521,0.6757,0.856,0.7659,0.5784,0.6125,0.5954,0.5055,0.4087,0.4571
19.3,-0.4214,0.7149,0.5442,0.6832,0.84,0.7616,0.5796,0.6144,0.597,0.5292,0.4031,0.4662
19.4,-0.4176,0.7042,0.5353,0.692,0.8221,0.757,0.5831,0.6165,0.5998,0.5542,0.4005,0.4773
19.5,-0.4091,0.6932,0.5256,0.7006,0.8022,0.7514,0.5888,0.6186,0.6037,0.5794,0.4003,0.4899
19.6,-0.3971,0.6823,0.5157,0.7078,0.7802,0.744,0.5963,0.62,0.6082,0.6035,0.4026,0.503
19.7,-0.3826,0.6717,0.5066,0.7131,0.7565,0.7348,0.6053,0.6202,0.6127,0.6261,0.407,0.5165
19.8,-0.366,0.6622,0.4989,0.7168,0.7321,0.7244,0.6157,0.6183,0.617,0.6469,0.4137,0.5303
19.9,-0.3474,0.654,0.4928,0.7188,0.7084,0.7136,0.6277,0.6144,0.6211,0.6662,0.4224,0.5443
20,-0.3279,0.6471,0.4875,0.7184,0.6864,0.7024,0.6415,0.6087,0.6251,0.6839,0.4328,0.5583
20.1,-0.3099,0.6403,0.4825,0.714,0.6665,0.6903,0.6571,0.6013,0.6292,0.6993,0.4444,0.5718
20.2,-0.2961,0.6327,0.4773,0.7046,0.6486,0.6766,0.6733,0.5916,0.6324,0.712,0.4563,0.5842
20.3,-0.2876,0.624,0.4716,0.6902,0.6326,0.6614,0.6886,0.5791,0.6338,0.7214,0.4673,0.5944
20.4,-0.2837,0.6148,0.4658,0.6722,0.6186,0.6454,0.7018,0.5633,0.6325,0.7271,0.476,0.6016
20.5,-0.2828,0.6064,0.4599,0.6527,0.6068,0.6297,0.7125,0.5449,0.6287,0.7286,0.4815,0.605
20.6,-0.2835,0.5993,0.4541,0.6329,0.5973,0.6151,0.7208,0.5244,0.6226,0.7256,0.4837,0.6047
20.7,-0.2852,0.5937,0.4486,0.6138,0.5894,0.6016,0.7269,0.5029,0.6149,0.7184,0.4831,0.6008
20.8,-0.2875,0.5888,0.4439,0.5957,0.5828,0.5892,0.7302,0.4808,0.6055,0.7072,0.4797,0.5935
20.9,-0.2902,0.5838,0.4402,0.579,0.5768,0.5779,0.7289,0.4586,0.5938,0.6925,0.4737,0.5831
21,-0.2935,0.5781,0.4381,0.5639,0.5709,0.5674,0.7213,0.437,0.5791,0.6749,0.4653,0.5701
