Time,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC
10.6,-0.0524,0.6334,0.9474,0.7547,0.7139,0.7343,0.6127,0.6914,0.652,0.624,0.7375,0.6808
10.7,-0.065,0.6469,0.9541,0.7606,0.7269,0.7437,0.6073,0.6951,0.6512,0.6152,0.7272,0.6712
10.8,-0.0774,0.6598,0.9585,0.7628,0.7387,0.7508,0.6017,0.6981,0.6499,0.607,0.7152,0.6611
10.9,-0.0891,0.6721,0.9605,0.7615,0.749,0.7552,0.5961,0.7003,0.6482,0.6,0.7018,0.6509
11,-0.0988,0.6834,0.9601,0.757,0.7569,0.757,0.591,0.702,0.6465,0.595,0.6874,0.6412
11.1,-0.1047,0.6932,0.9565,0.7504,0.7618,0.7561,0.5864,0.7029,0.6447,0.5918,0.6716,0.6317
11.2,-0.1055,0.7011,0.949,0.742,0.7638,0.7529,0.5823,0.7026,0.6425,0.5894,0.6536,0.6215
11.3,-0.1002,0.7064,0.9375,0.732,0.7628,0.7474,0.5783,0.701,0.6397,0.5874,0.6338,0.6106
11.4,-0.0881,0.7088,0.9226,0.7202,0.7589,0.7396,0.5742,0.6976,0.6359,0.5864,0.6136,0.6
11.5,-0.0683,0.708,0.905,0.7072,0.752,0.7296,0.57,0.6918,0.6309,0.5867,0.5947,0.5907
11.6,-0.041,0.7045,0.8848,0.6936,0.7418,0.7177,0.5654,0.6825,0.6239,0.5876,0.5772,0.5824
11.7,-0.0075,0.699,0.8616,0.6802,0.7286,0.7044,0.5601,0.6693,0.6147,0.587,0.5599,0.5735
11.8,0.0304,0.6923,0.8356,0.6669,0.7133,0.6901,0.5541,0.6524,0.6032,0.5837,0.5416,0.5627
11.9,0.0702,0.6842,0.8073,0.6536,0.6968,0.6752,0.547,0.6323,0.5896,0.5773,0.5225,0.5499
12,0.1101,0.6746,0.7779,0.6403,0.6795,0.6599,0.5387,0.6102,0.5744,0.5684,0.5035,0.536
12.1,0.1488,0.6634,0.7485,0.6277,0.6615,0.6446,0.5292,0.5868,0.558,0.5579,0.4854,0.5216
12.2,0.1853,0.6512,0.7197,0.6163,0.6426,0.6294,0.5188,0.5629,0.5409,0.5462,0.4687,0.5075
12.3,0.2193,0.6386,0.6916,0.6066,0.6227,0.6146,0.5082,0.5392,0.5237,0.5335,0.4538,0.4937
12.4,0.2505,0.6263,0.6643,0.5982,0.6021,0.6001,0.4975,0.5165,0.507,0.5201,0.4414,0.4807
12.5,0.2791,0.6147,0.6386,0.5912,0.5811,0.5862,0.487,0.4955,0.4913,0.5066,0.4318,0.4692
12.6,0.3052,0.6045,0.6147,0.5856,0.5606,0.5731,0.4765,0.477,0.4768,0.4935,0.425,0.4593
12.7,0.3287,0.5961,0.5927,0.5817,0.5414,0.5616,0.4664,0.4617,0.4641,0.4813,0.4207,0.451
12.8,0.3488,0.5897,0.5726,0.5791,0.5244,0.5517,0.457,0.4505,0.4537,0.4703,0.4187,0.4445
12.9,0.3652,0.5848,0.5546,0.5774,0.51,0.5437,0.4483,0.4437,0.446,0.4608,0.4189,0.4398
13,0.3787,0.581,0.5393,0.5763,0.4984,0.5373,0.4404,0.4413,0.4409,0.4533,0.4214,0.4373
13.1,0.3905,0.578,0.5267,0.576,0.4889,0.5325,0.4339,0.4427,0.4383,0.4479,0.4262,0.4371
13.2,0.4007,0.5757,0.5171,0.5768,0.4808,0.5288,0.43,0.4471,0.4385,0.4452,0.4331,0.4391
13.3,0.408,0.574,0.5107,0.5784,0.4736,0.526,0.43,0.4539,0.4419,0.4455,0.4419,0.4437
13.4,0.4115,0.5729,0.5085,0.5802,0.467,0.5236,0.4345,0.4629,0.4487,0.4487,0.4524,0.4505
13.5,0.4104,0.5721,0.5113,0.5813,0.4609,0.5211,0.443,0.4739,0.4584,0.4543,0.4643,0.4593
13.6,0.4051,0.5711,0.5192,0.5813,0.4546,0.5179,0.4538,0.4856,0.4697,0.4619,0.4772,0.4695
13.7,0.3969,0.5693,0.5309,0.5798,0.447,0.5134,0.4655,0.4964,0.481,0.471,0.4906,0.4808
13.8,0.3866,0.5662,0.5441,0.5767,0.4374,0.507,0.4769,0.5037,0.4903,0.4813,0.5039,0.4926
13.9,0.3744,0.5614,0.5573,0.5713,0.4257,0.4985,0.4872,0.5061,0.4966,0.4924,0.5167,0.5045
14,0.3599,0.5544,0.5701,0.5633,0.4129,0.4881,0.4961,0.5037,0.4999,0.5039,0.5287,0.5163
14.1,0.3426,0.5453,0.5828,0.5528,0.3996,0.4762,0.5037,0.4968,0.5003,0.5159,0.5401,0.528
14.2,0.3223,0.5348,0.5958,0.5412,0.3869,0.4641,0.5106,0.4856,0.4981,0.5285,0.5512,0.5399
14.3,0.2989,0.5238,0.6087,0.5302,0.3759,0.4531,0.5173,0.4705,0.4939,0.5414,0.5626,0.552
14.4,0.2726,0.5135,0.621,0.5212,0.3682,0.4447,0.5245,0.4522,0.4883,0.5544,0.5742,0.5643
14.5,0.2439,0.5045,0.6324,0.5148,0.3651,0.4399,0.5321,0.4321,0.4821,0.5671,0.5856,0.5763
14.6,0.2133,0.4969,0.6432,0.5104,0.3666,0.4385,0.5398,0.4118,0.4758,0.579,0.5968,0.5879
14.7,0.1808,0.4902,0.6534,0.5068,0.3718,0.4393,0.5468,0.3918,0.4693,0.5899,0.608,0.599
14.8,0.1464,0.4843,0.6626,0.5031,0.3793,0.4412,0.5524,0.3726,0.4625,0.5997,0.6189,0.6093
14.9,0.1097,0.4791,0.6705,0.499,0.3883,0.4436,0.5565,0.3547,0.4556,0.6077,0.6287,0.6182
15,0.0704,0.4747,0.6767,0.4941,0.3988,0.4465,0.5588,0.3396,0.4492,0.6132,0.6366,0.6249
15.1,0.0284,0.4702,0.6814,0.4881,0.4109,0.4495,0.5594,0.3286,0.444,0.6159,0.6419,0.6289
15.2,-0.0163,0.4648,0.6847,0.4804,0.4242,0.4523,0.5582,0.3224,0.4403,0.6162,0.6448,0.6305
15.3,-0.0635,0.4581,0.6864,0.4713,0.4382,0.4547,0.5548,0.3209,0.4378,0.6145,0.6461,0.6303
15.4,-0.1125,0.4506,0.6862,0.4613,0.4524,0.4569,0.5494,0.3231,0.4363,0.6113,0.6467,0.629
15.5,-0.1621,0.4435,0.6837,0.4517,0.4666,0.4591,0.5428,0.3284,0.4356,0.6065,0.647,0.6268
15.6,-0.2116,0.4371,0.6787,0.4435,0.4806,0.462,0.5355,0.3364,0.436,0.6,0.6472,0.6236
15.7,-0.2611,0.4313,0.6716,0.4377,0.4944,0.4661,0.5279,0.3475,0.4377,0.5917,0.6473,0.6195
15.8,-0.3106,0.426,0.6632,0.4347,0.5081,0.4714,0.52,0.3615,0.4408,0.5815,0.6476,0.6146
15.9,-0.3599,0.4206,0.654,0.4344,0.522,0.4782,0.5122,0.3778,0.445,0.5696,0.6485,0.609
16,-0.4086,0.4157,0.6451,0.4368,0.5363,0.4865,0.5051,0.3963,0.4507,0.5556,0.65,0.6028
16.1,-0.4548,0.412,0.6377,0.4423,0.5511,0.4967,0.4996,0.4173,0.4584,0.5394,0.6523,0.5958
16.2,-0.4955,0.4102,0.6324,0.4517,0.5661,0.5089,0.4962,0.4405,0.4683,0.5216,0.6551,0.5884
16.3,-0.5271,0.4102,0.629,0.4652,0.5802,0.5227,0.4947,0.4648,0.4798,0.5026,0.6582,0.5804
16.4,-0.5476,0.412,0.6271,0.4823,0.5925,0.5374,0.4946,0.4886,0.4916,0.4829,0.6611,0.572
16.5,-0.5561,0.4153,0.6266,0.5013,0.6024,0.5518,0.496,0.5106,0.5033,0.4628,0.6634,0.5631
16.6,-0.5531,0.4199,0.6281,0.5201,0.6101,0.5651,0.4995,0.53,0.5148,0.4429,0.6653,0.5541
16.7,-0.5394,0.4255,0.6321,0.537,0.6153,0.5761,0.5051,0.5469,0.526,0.4243,0.6671,0.5457
16.8,-0.5165,0.4313,0.6382,0.5506,0.6177,0.5842,0.5122,0.561,0.5366,0.4076,0.6681,0.5378
16.9,-0.4863,0.4366,0.6456,0.5604,0.6173,0.5889,0.5199,0.5716,0.5458,0.393,0.6675,0.5303
17,-0.4512,0.441,0.6539,0.5661,0.6144,0.5902,0.5275,0.5782,0.5529,0.3806,0.6649,0.5228
17.1,-0.4131,0.4446,0.6633,0.5679,0.6096,0.5888,0.5355,0.581,0.5582,0.3711,0.6609,0.516
17.2,-0.3737,0.4476,0.6747,0.567,0.6041,0.5855,0.5444,0.5809,0.5626,0.3653,0.6567,0.511
17.3,-0.3344,0.4502,0.689,0.5642,0.5985,0.5814,0.5545,0.5792,0.5668,0.3639,0.6535,0.5087
17.4,-0.2964,0.4523,0.7067,0.5606,0.5936,0.5771,0.5655,0.5766,0.5711,0.367,0.6519,0.5095
17.5,-0.2607,0.4543,0.7275,0.5566,0.5899,0.5732,0.5765,0.5733,0.5749,0.3736,0.6517,0.5127
17.6,-0.2285,0.4564,0.7507,0.5521,0.5876,0.5699,0.5869,0.5692,0.578,0.3828,0.6534,0.5181
17.7,-0.2005,0.4589,0.7758,0.547,0.5867,0.5669,0.5965,0.5644,0.5805,0.3945,0.6573,0.5259
17.8,-0.176,0.4614,0.8021,0.5414,0.5864,0.5639,0.6056,0.559,0.5823,0.4095,0.6638,0.5367
17.9,-0.1537,0.4634,0.8287,0.5352,0.5857,0.5604,0.6139,0.5533,0.5836,0.4284,0.6732,0.5508
18,-0.1324,0.4649,0.8542,0.5287,0.5838,0.5563,0.6208,0.5467,0.5837,0.451,0.6849,0.568
18.1,-0.1118,0.4661,0.8774,0.5223,0.581,0.5516,0.6262,0.5394,0.5828,0.4767,0.6988,0.5877
18.2,-0.092,0.4679,0.8972,0.5166,0.578,0.5473,0.6304,0.5319,0.5812,0.5049,0.7139,0.6094
18.3,-0.0726,0.4704,0.913,0.5122,0.5757,0.5439,0.6339,0.5255,0.5797,0.5348,0.7292,0.632
18.4,-0.0524,0.4735,0.9243,0.5096,0.5744,0.542,0.6373,0.5209,0.5791,0.5653,0.7436,0.6545
18.5,-0.0296,0.4765,0.9309,0.509,0.574,0.5415,0.6412,0.5185,0.5799,0.5958,0.7561,0.676
18.6,-0.0038,0.4794,0.933,0.5102,0.5744,0.5423,0.6461,0.5187,0.5824,0.6264,0.7667,0.6966
18.7,0.0245,0.4821,0.9309,0.5125,0.5757,0.5441,0.6527,0.5216,0.5871,0.6574,0.7755,0.7165
18.8,0.054,0.4848,0.9247,0.5154,0.5781,0.5468,0.661,0.527,0.594,0.6882,0.7819,0.7351
18.9,0.0837,0.4869,0.9139,0.5182,0.5815,0.5498,0.6708,0.5343,0.6025,0.7168,0.7846,0.7507
19,0.1138,0.4877,0.898,0.5201,0.5854,0.5527,0.681,0.5423,0.6117,0.7402,0.782,0.7611
19.1,0.1446,0.4869,0.8771,0.5201,0.5895,0.5548,0.6914,0.5503,0.6208,0.7571,0.7745,0.7658
19.2,0.1759,0.4844,0.8519,0.517,0.5934,0.5552,0.7017,0.5575,0.6296,0.7677,0.7638,0.7657
19.3,0.2066,0.4801,0.8227,0.5097,0.5965,0.5531,0.7118,0.5635,0.6377,0.7725,0.751,0.7617
19.4,0.235,0.4741,0.7903,0.4982,0.5983,0.5482,0.721,0.5683,0.6447,0.772,0.7363,0.7542
19.5,0.2597,0.4662,0.7556,0.4826,0.5981,0.5404,0.7286,0.5717,0.6501,0.7667,0.7195,0.7431
19.6,0.2804,0.4569,0.7195,0.4638,0.5957,0.5297,0.7343,0.5733,0.6538,0.7574,0.701,0.7292
19.7,0.298,0.4472,0.6835,0.4431,0.5906,0.5168,0.7382,0.5733,0.6558,0.7455,0.6819,0.7137
19.8,0.3131,0.4382,0.6488,0.4217,0.5828,0.5023,0.7406,0.5719,0.6562,0.7323,0.6637,0.698
19.9,0.3258,0.43,0.6165,0.4008,0.5724,0.4866,0.7414,0.5693,0.6554,0.7187,0.647,0.6828
20,0.3349,0.4222,0.5872,0.3802,0.5595,0.4698,0.7398,0.566,0.6529,0.7045,0.6318,0.6681
20.1,0.3391,0.4141,0.5611,0.3588,0.544,0.4514,0.7344,0.5618,0.6481,0.6897,0.618,0.6539
20.2,0.3375,0.4056,0.538,0.3363,0.5266,0.4314,0.7242,0.5565,0.6404,0.6747,0.6054,0.6401
20.3,0.3302,0.3976,0.5176,0.3137,0.5084,0.411,0.7088,0.5501,0.6294,0.6599,0.5937,0.6268
20.4,0.3183,0.3917,0.4999,0.2932,0.4908,0.392,0.6887,0.5428,0.6157,0.6457,0.5826,0.6142
20.5,0.3031,0.3887,0.4848,0.2765,0.4748,0.3757,0.6648,0.5351,0.6,0.6325,0.572,0.6022
20.6,0.2855,0.389,0.4715,0.2635,0.4605,0.362,0.6379,0.527,0.5825,0.62,0.5612,0.5906
20.7,0.2655,0.3921,0.459,0.2529,0.4479,0.3504,0.6078,0.5182,0.563,0.6081,0.5499,0.579
20.8,0.242,0.3972,0.4467,0.2436,0.4369,0.3402,0.5744,0.5078,0.5411,0.5959,0.538,0.5669
20.9,0.214,0.4039,0.4339,0.235,0.4275,0.3313,0.5376,0.4953,0.5165,0.5825,0.5252,0.5539
21,0.1813,0.4117,0.4206,0.2277,0.4194,0.3236,0.4979,0.4804,0.4891,0.5678,0.5121,0.54
21.1,0.1449,0.4201,0.407,0.2228,0.412,0.3174,0.4558,0.4632,0.4595,0.5522,0.4991,0.5257
