Time,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC
3.9,0.2012,0.667,0.7276,0.6871,0.5828,0.6349,0.9714,0.5993,0.7853,0.7782,0.8638,0.821
4,0.2221,0.6498,0.7285,0.6697,0.5673,0.6185,0.9482,0.5939,0.7711,0.7703,0.8518,0.8111
4.1,0.242,0.63,0.7282,0.6483,0.5508,0.5995,0.9238,0.5893,0.7565,0.7629,0.8389,0.8009
4.2,0.2608,0.608,0.7271,0.6236,0.5334,0.5785,0.8986,0.5857,0.7422,0.7561,0.8253,0.7907
4.3,0.2785,0.5846,0.725,0.5965,0.5153,0.5559,0.8738,0.5832,0.7285,0.7502,0.8113,0.7807
4.4,0.2948,0.5604,0.7218,0.5679,0.4967,0.5323,0.85,0.582,0.716,0.7456,0.7976,0.7716
4.5,0.309,0.5359,0.7169,0.5382,0.4779,0.5081,0.8274,0.582,0.7047,0.7422,0.7843,0.7633
4.6,0.3198,0.5113,0.7097,0.5076,0.4592,0.4834,0.8057,0.5827,0.6942,0.7396,0.7708,0.7552
4.7,0.3253,0.4871,0.6993,0.4759,0.4411,0.4585,0.7852,0.5838,0.6845,0.737,0.7561,0.7465
4.8,0.3244,0.4643,0.685,0.4438,0.4242,0.434,0.7663,0.585,0.6757,0.7336,0.7399,0.7367
4.9,0.3169,0.4445,0.6669,0.4125,0.4092,0.4109,0.7494,0.5863,0.6679,0.7294,0.7227,0.726
5,0.3031,0.4289,0.6454,0.3836,0.3967,0.3901,0.7346,0.5879,0.6612,0.7245,0.7057,0.7151
5.1,0.2843,0.4178,0.622,0.3581,0.3864,0.3723,0.7219,0.5898,0.6558,0.7186,0.6896,0.7041
5.2,0.2619,0.4104,0.5983,0.3362,0.3778,0.357,0.7111,0.5918,0.6514,0.7113,0.6746,0.6929
5.3,0.237,0.4056,0.5758,0.3175,0.3703,0.3439,0.7019,0.5935,0.6477,0.7019,0.6604,0.6811
5.4,0.2097,0.4031,0.5554,0.3017,0.3635,0.3326,0.6938,0.5947,0.6443,0.6904,0.6469,0.6686
5.5,0.18,0.4031,0.5387,0.2894,0.3577,0.3235,0.6866,0.5959,0.6413,0.6774,0.6345,0.656
5.6,0.149,0.4065,0.5272,0.2816,0.3535,0.3176,0.6802,0.5977,0.639,0.6641,0.6238,0.644
5.7,0.1188,0.4136,0.5224,0.279,0.3517,0.3153,0.6746,0.601,0.6378,0.6511,0.615,0.6331
5.8,0.0911,0.4242,0.5255,0.2817,0.3526,0.3171,0.6697,0.6062,0.638,0.6389,0.6077,0.6233
5.9,0.0664,0.4379,0.5362,0.2895,0.3564,0.323,0.6657,0.6133,0.6395,0.6277,0.6015,0.6146
6,0.0431,0.454,0.5537,0.3021,0.3638,0.3329,0.6625,0.6218,0.6421,0.6179,0.5962,0.6071
6.1,0.0205,0.4714,0.5767,0.3186,0.3752,0.3469,0.66,0.6308,0.6454,0.6105,0.5922,0.6014
6.2,-0.0008,0.4886,0.6034,0.3381,0.3906,0.3643,0.6583,0.6392,0.6487,0.6061,0.5897,0.5979
6.3,-0.0178,0.5036,0.6321,0.3592,0.4091,0.3841,0.6568,0.6457,0.6513,0.6048,0.5885,0.5967
6.4,-0.0279,0.5152,0.661,0.3804,0.429,0.4047,0.6548,0.6495,0.6522,0.6063,0.5883,0.5973
6.5,-0.03,0.5227,0.6886,0.4005,0.4487,0.4246,0.6511,0.6505,0.6508,0.6104,0.5887,0.5995
6.6,-0.0246,0.5265,0.7141,0.4189,0.4666,0.4428,0.6447,0.649,0.6469,0.6167,0.5896,0.6031
6.7,-0.0123,0.5275,0.7371,0.4357,0.4826,0.4592,0.6353,0.6459,0.6406,0.6254,0.5911,0.6082
6.8,0.0069,0.5268,0.7574,0.4513,0.4969,0.4741,0.6225,0.6413,0.6319,0.6363,0.5937,0.615
6.9,0.0329,0.525,0.7748,0.466,0.5094,0.4877,0.6067,0.6351,0.6209,0.6494,0.5977,0.6236
7,0.0642,0.5226,0.7893,0.4803,0.5202,0.5003,0.5885,0.6277,0.6081,0.6645,0.6034,0.634
7.1,0.0979,0.52,0.8011,0.4943,0.5296,0.5119,0.5691,0.6197,0.5944,0.6816,0.611,0.6463
7.2,0.1313,0.5175,0.8109,0.5081,0.5383,0.5232,0.5497,0.6121,0.5809,0.7006,0.6203,0.6604
7.3,0.1624,0.5157,0.82,0.5222,0.5472,0.5347,0.5316,0.6055,0.5686,0.7212,0.6313,0.6762
7.4,0.1905,0.5155,0.829,0.537,0.5567,0.5468,0.5157,0.6004,0.5581,0.7431,0.644,0.6936
7.5,0.2154,0.5172,0.8382,0.5525,0.5664,0.5595,0.5026,0.5966,0.5496,0.7658,0.6583,0.712
7.6,0.2373,0.5211,0.8472,0.5682,0.5755,0.5718,0.4924,0.5935,0.5429,0.7885,0.6739,0.7312
7.7,0.2563,0.5267,0.8554,0.5831,0.5833,0.5832,0.4851,0.5909,0.538,0.8105,0.6903,0.7504
7.8,0.2723,0.5334,0.8625,0.5968,0.5899,0.5933,0.4804,0.5891,0.5347,0.8314,0.7074,0.7694
7.9,0.2854,0.5409,0.8687,0.6094,0.5959,0.6026,0.478,0.5883,0.5332,0.8504,0.7247,0.7875
8,0.2958,0.549,0.8745,0.6219,0.6018,0.6119,0.4781,0.5893,0.5337,0.8667,0.7426,0.8047
8.1,0.3036,0.5582,0.8805,0.6351,0.6083,0.6217,0.4811,0.5928,0.5369,0.8799,0.7619,0.8209
8.2,0.3089,0.5687,0.887,0.6491,0.6156,0.6324,0.4873,0.5989,0.5431,0.8898,0.783,0.8364
8.3,0.3122,0.5801,0.8943,0.6639,0.6235,0.6437,0.4963,0.6077,0.552,0.8963,0.8059,0.8511
8.4,0.3141,0.5912,0.902,0.678,0.631,0.6545,0.5072,0.6187,0.563,0.8989,0.8297,0.8643
8.5,0.3155,0.6001,0.9095,0.6898,0.6369,0.6634,0.5195,0.631,0.5753,0.8976,0.8531,0.8754
8.6,0.3167,0.6055,0.9163,0.6978,0.6401,0.6689,0.5324,0.6441,0.5883,0.8927,0.8749,0.8838
8.7,0.3178,0.6067,0.9217,0.701,0.6398,0.6704,0.5457,0.6573,0.6015,0.8846,0.8943,0.8895
8.8,0.3189,0.6037,0.9254,0.699,0.6356,0.6673,0.5593,0.6695,0.6144,0.8742,0.9108,0.8925
8.9,0.3206,0.5967,0.9273,0.692,0.6271,0.6596,0.5726,0.6797,0.6262,0.8616,0.9239,0.8928
9,0.3234,0.5859,0.9273,0.6803,0.6137,0.647,0.5852,0.687,0.6361,0.8468,0.9326,0.8897
9.1,0.3267,0.5719,0.9252,0.6643,0.5954,0.6298,0.5966,0.6908,0.6437,0.8294,0.9361,0.8828
9.2,0.3285,0.5554,0.9201,0.6447,0.5726,0.6087,0.6067,0.6912,0.649,0.8096,0.9336,0.8716
9.3,0.3273,0.5373,0.9112,0.6227,0.5468,0.5847,0.6156,0.6886,0.6521,0.7879,0.9248,0.8563
9.4,0.3224,0.5185,0.8979,0.5997,0.5197,0.5597,0.6235,0.6835,0.6535,0.7654,0.9103,0.8378
9.5,0.315,0.4998,0.8808,0.5768,0.4931,0.5349,0.6308,0.6764,0.6536,0.7429,0.891,0.817
9.6,0.3061,0.4821,0.8615,0.555,0.4683,0.5116,0.6377,0.6681,0.6529,0.7212,0.8682,0.7947
9.7,0.2962,0.4657,0.8419,0.5347,0.4461,0.4904,0.644,0.6595,0.6518,0.7006,0.843,0.7718
9.8,0.2853,0.4513,0.8232,0.5162,0.4278,0.472,0.6496,0.6517,0.6507,0.6818,0.8162,0.749
9.9,0.2733,0.4393,0.8058,0.4998,0.4144,0.4571,0.6544,0.6452,0.6498,0.6651,0.7886,0.7269
10,0.2601,0.4305,0.7902,0.4861,0.4073,0.4467,0.6588,0.6406,0.6497,0.6509,0.7609,0.7059
10.1,0.2452,0.4257,0.7767,0.4757,0.407,0.4414,0.6634,0.6383,0.6508,0.6393,0.7337,0.6865
10.2,0.2279,0.4253,0.7663,0.4691,0.4136,0.4413,0.669,0.6387,0.6539,0.6303,0.7079,0.6691
10.3,0.2074,0.4291,0.7594,0.4666,0.4263,0.4465,0.676,0.6423,0.6592,0.624,0.6841,0.654
10.4,0.1841,0.4366,0.7564,0.4681,0.4438,0.4559,0.6843,0.6493,0.6668,0.6203,0.6625,0.6414
10.5,0.1601,0.4469,0.7568,0.4729,0.4638,0.4683,0.6936,0.659,0.6763,0.619,0.6433,0.6311
10.6,0.1381,0.459,0.7598,0.4802,0.4836,0.4819,0.7032,0.6704,0.6868,0.619,0.6264,0.6227
10.7,0.1195,0.4719,0.764,0.489,0.5007,0.4948,0.7123,0.6825,0.6974,0.6197,0.6114,0.6155
10.8,0.1039,0.4844,0.7676,0.4989,0.5134,0.5061,0.7197,0.6949,0.7073,0.6202,0.5979,0.609
10.9,0.0897,0.4959,0.7687,0.5092,0.5217,0.5154,0.7241,0.7073,0.7157,0.6202,0.5858,0.603
11,0.0753,0.5058,0.766,0.5192,0.5269,0.523,0.7248,0.7194,0.7221,0.6196,0.5751,0.5973
11.1,0.0602,0.5133,0.7592,0.5281,0.5301,0.5291,0.722,0.7306,0.7263,0.6184,0.5663,0.5923
11.2,0.0445,0.5179,0.7485,0.5354,0.5316,0.5335,0.716,0.7399,0.7279,0.6166,0.5596,0.5881
11.3,0.0292,0.519,0.7347,0.5408,0.5309,0.5359,0.7072,0.7467,0.727,0.6142,0.5551,0.5846
11.4,0.0154,0.5169,0.7187,0.5442,0.5279,0.536,0.6961,0.7507,0.7234,0.6109,0.5526,0.5818
11.5,0.0038,0.5123,0.7014,0.5455,0.5231,0.5343,0.6832,0.7518,0.7175,0.6069,0.5514,0.5791
11.6,-0.0052,0.5063,0.6834,0.5448,0.5177,0.5312,0.6692,0.7498,0.7095,0.6018,0.5507,0.5763
11.7,-0.0114,0.4992,0.6652,0.5424,0.5121,0.5272,0.6548,0.7447,0.6998,0.5956,0.5496,0.5726
11.8,-0.0143,0.4908,0.647,0.5388,0.5058,0.5223,0.6403,0.7364,0.6884,0.5882,0.5477,0.568
11.9,-0.0131,0.4806,0.6291,0.5346,0.4983,0.5164,0.625,0.725,0.675,0.5795,0.5447,0.5621
12,-0.0069,0.4694,0.612,0.5311,0.4896,0.5104,0.6086,0.7107,0.6596,0.57,0.5403,0.5552
12.1,0.0049,0.4588,0.596,0.5299,0.4811,0.5055,0.5908,0.6939,0.6424,0.5603,0.5348,0.5475
12.2,0.0227,0.4509,0.5818,0.5324,0.4742,0.5033,0.5721,0.6752,0.6236,0.551,0.5283,0.5397
12.3,0.0462,0.4472,0.5701,0.5397,0.47,0.5049,0.5528,0.6556,0.6042,0.5426,0.5212,0.5319
12.4,0.0743,0.4483,0.5608,0.5526,0.4696,0.5111,0.5339,0.6361,0.585,0.5349,0.5134,0.5242
12.5,0.1051,0.4544,0.554,0.5712,0.4738,0.5225,0.5162,0.6182,0.5672,0.5281,0.5047,0.5164
12.6,0.1367,0.4652,0.5493,0.5954,0.4841,0.5398,0.501,0.6031,0.552,0.5225,0.4951,0.5088
12.7,0.1679,0.4805,0.547,0.6243,0.5011,0.5627,0.4896,0.5912,0.5404,0.5183,0.485,0.5017
12.8,0.1987,0.4998,0.5471,0.6564,0.5235,0.59,0.4827,0.5824,0.5325,0.5161,0.4754,0.4957
12.9,0.23,0.5217,0.55,0.6894,0.5487,0.619,0.4796,0.5758,0.5277,0.5158,0.4673,0.4915
13,0.2622,0.5446,0.5552,0.7209,0.5732,0.6471,0.4791,0.5703,0.5247,0.5171,0.4609,0.489
13.1,0.2947,0.5675,0.5613,0.749,0.5951,0.672,0.4796,0.5644,0.522,0.5195,0.456,0.4877
13.2,0.326,0.5898,0.5667,0.7729,0.6131,0.693,0.4802,0.557,0.5186,0.5218,0.4519,0.4869
13.3,0.3539,0.6114,0.5699,0.7927,0.6264,0.7096,0.4806,0.547,0.5138,0.523,0.4484,0.4857
13.4,0.3763,0.6319,0.5706,0.8087,0.6333,0.721,0.4811,0.5341,0.5076,0.522,0.4458,0.4839
13.5,0.3924,0.6504,0.5694,0.821,0.632,0.7265,0.4825,0.5186,0.5005,0.5186,0.4448,0.4817
13.6,0.4027,0.6664,0.5671,0.8295,0.6226,0.7261,0.4851,0.501,0.4931,0.5134,0.4464,0.4799
13.7,0.4073,0.6793,0.5641,0.8339,0.6064,0.7202,0.489,0.4817,0.4854,0.5062,0.4504,0.4783
13.8,0.4057,0.6887,0.5602,0.8338,0.5853,0.7095,0.4934,0.461,0.4772,0.4969,0.4567,0.4768
13.9,0.3968,0.6943,0.5556,0.8285,0.5613,0.6949,0.4971,0.4392,0.4682,0.4856,0.465,0.4753
14,0.3791,0.6961,0.5506,0.8177,0.5365,0.6771,0.4999,0.4172,0.4585,0.473,0.4756,0.4743
14.1,0.351,0.6944,0.546,0.8015,0.5132,0.6574,0.5021,0.3964,0.4493,0.4607,0.4894,0.475
14.2,0.3115,0.69,0.5422,0.7798,0.4947,0.6372,0.5052,0.3779,0.4416,0.4499,0.5066,0.4783
14.3,0.261,0.6836,0.5394,0.7528,0.4832,0.618,0.5104,0.3624,0.4364,0.4418,0.5274,0.4846
14.4,0.2019,0.6753,0.538,0.7212,0.4795,0.6004,0.5185,0.3497,0.4341,0.4368,0.5513,0.494
14.5,0.1377,0.6652,0.5382,0.6864,0.4829,0.5846,0.5296,0.3399,0.4347,0.4353,0.5772,0.5062
14.6,0.0712,0.6537,0.54,0.6496,0.4915,0.5705,0.5429,0.3333,0.4381,0.437,0.6034,0.5202
14.7,0.0052,0.6419,0.5429,0.6124,0.5044,0.5584,0.5577,0.3306,0.4442,0.4413,0.628,0.5347
14.8,-0.0576,0.6307,0.5461,0.5761,0.5212,0.5486,0.5735,0.3321,0.4528,0.4472,0.6497,0.5484
14.9,-0.1158,0.6206,0.5492,0.5412,0.5413,0.5412,0.5905,0.338,0.4643,0.4539,0.6682,0.5611
