Time,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC
1.3,0.3894,0.8101,0.761,0.8179,0.7666,0.7922,1.0696,1.0122,1.0409,1.0725,1.0082,1.0404
1.4,0.3373,0.7903,0.772,0.8097,0.762,0.7858,1.0542,1.0245,1.0394,1.0701,0.9933,1.0317
1.5,0.2817,0.7667,0.7815,0.797,0.7532,0.7751,1.0376,1.0331,1.0353,1.0699,0.9779,1.0239
1.6,0.2251,0.7411,0.7895,0.7803,0.7414,0.7608,1.0203,1.0387,1.0295,1.0714,0.962,1.0167
1.7,0.17,0.7147,0.7963,0.7604,0.7274,0.7439,1.0032,1.0416,1.0224,1.074,0.9455,1.0098
1.8,0.1182,0.6889,0.8016,0.7393,0.7119,0.7256,0.9865,1.0421,1.0143,1.0773,0.9287,1.003
1.9,0.0712,0.6655,0.8053,0.7185,0.6962,0.7074,0.9702,1.0404,1.0053,1.0806,0.9119,0.9963
2,0.0293,0.6456,0.8074,0.6995,0.6824,0.691,0.9542,1.0366,0.9954,1.083,0.8951,0.989
2.1,-0.0082,0.6296,0.8073,0.682,0.6722,0.6771,0.939,1.031,0.985,1.0836,0.8784,0.981
2.2,-0.0414,0.6169,0.8048,0.6651,0.6657,0.6654,0.9248,1.0235,0.9741,1.0821,0.8621,0.9721
2.3,-0.0699,0.6072,0.7991,0.6482,0.662,0.6551,0.9115,1.0132,0.9623,1.0781,0.8465,0.9623
2.4,-0.0932,0.6001,0.7898,0.6315,0.6599,0.6457,0.8985,0.9992,0.9489,1.071,0.8314,0.9512
2.5,-0.1116,0.5952,0.777,0.6152,0.6588,0.637,0.8853,0.9811,0.9332,1.0597,0.816,0.9378
2.6,-0.1264,0.592,0.7613,0.6,0.6589,0.6295,0.8712,0.9592,0.9152,1.0434,0.7991,0.9212
2.7,-0.1396,0.5896,0.744,0.5862,0.6607,0.6235,0.8563,0.934,0.8952,1.0219,0.7802,0.9011
2.8,-0.1522,0.5871,0.726,0.5744,0.664,0.6192,0.8411,0.9067,0.8739,0.9961,0.7594,0.8777
2.9,-0.1636,0.5842,0.7083,0.5652,0.6679,0.6165,0.8261,0.8782,0.8522,0.9669,0.7377,0.8523
3,-0.1724,0.581,0.6917,0.5594,0.6717,0.6155,0.8116,0.8494,0.8305,0.9357,0.7161,0.8259
3.1,-0.1781,0.5776,0.6767,0.5571,0.6749,0.616,0.7979,0.8209,0.8094,0.9033,0.6956,0.7994
3.2,-0.1808,0.5735,0.664,0.5577,0.6772,0.6174,0.785,0.7935,0.7892,0.8706,0.6772,0.7739
3.3,-0.1815,0.5682,0.6541,0.5596,0.6783,0.619,0.7729,0.7677,0.7703,0.8389,0.6615,0.7502
3.4,-0.1811,0.5612,0.6477,0.5623,0.6778,0.62,0.7616,0.7447,0.7531,0.8097,0.6495,0.7296
3.5,-0.1798,0.5531,0.6456,0.5655,0.6757,0.6206,0.7515,0.7254,0.7384,0.785,0.6422,0.7136
3.6,-0.177,0.5449,0.6482,0.5697,0.6722,0.621,0.7429,0.7105,0.7267,0.7662,0.6403,0.7033
3.7,-0.1724,0.5375,0.6548,0.5753,0.6676,0.6214,0.736,0.6998,0.7179,0.7536,0.6443,0.6989
3.8,-0.1664,0.5316,0.6644,0.5815,0.6622,0.6219,0.7307,0.6927,0.7117,0.7467,0.654,0.7004
3.9,-0.1599,0.5276,0.6758,0.5879,0.6566,0.6222,0.7267,0.6888,0.7077,0.7454,0.6688,0.7071
4,-0.1536,0.5264,0.6886,0.5942,0.6513,0.6227,0.7238,0.6879,0.7059,0.7494,0.6881,0.7187
4.1,-0.148,0.529,0.7033,0.6006,0.647,0.6238,0.7221,0.6907,0.7064,0.7585,0.7111,0.7348
4.2,-0.1429,0.5359,0.7204,0.6074,0.6435,0.6255,0.7215,0.6972,0.7094,0.772,0.7374,0.7547
4.3,-0.1378,0.5464,0.7392,0.6139,0.6406,0.6272,0.722,0.7071,0.7146,0.7893,0.7665,0.7779
4.4,-0.1324,0.5597,0.7583,0.619,0.6374,0.6282,0.7229,0.7196,0.7212,0.8097,0.7973,0.8035
4.5,-0.127,0.5746,0.7766,0.6216,0.6337,0.6277,0.7238,0.7337,0.7287,0.8325,0.8291,0.8308
4.6,-0.1223,0.5909,0.7935,0.6213,0.6294,0.6253,0.7246,0.749,0.7368,0.8565,0.861,0.8588
4.7,-0.1186,0.6082,0.8094,0.6181,0.6246,0.6214,0.7258,0.7656,0.7457,0.8806,0.8922,0.8864
4.8,-0.1152,0.6261,0.8249,0.6126,0.6201,0.6163,0.728,0.7833,0.7557,0.9036,0.9219,0.9128
4.9,-0.1109,0.6437,0.8399,0.6061,0.6159,0.611,0.7315,0.8018,0.7666,0.9252,0.9494,0.9373
5,-0.1041,0.6604,0.8533,0.6001,0.6117,0.6059,0.736,0.82,0.778,0.9446,0.9739,0.9592
5.1,-0.0939,0.6756,0.8636,0.596,0.607,0.6015,0.741,0.8363,0.7887,0.9613,0.9944,0.9778
5.2,-0.0804,0.6889,0.87,0.5941,0.6013,0.5977,0.7464,0.8496,0.798,0.9747,1.0101,0.9924
5.3,-0.0646,0.7003,0.8718,0.5943,0.5951,0.5947,0.7522,0.859,0.8056,0.9845,1.0206,1.0026
5.4,-0.0483,0.7093,0.8691,0.5958,0.5885,0.5921,0.7584,0.8641,0.8113,0.9905,1.0256,1.008
5.5,-0.0324,0.7156,0.8618,0.5981,0.5815,0.5898,0.7646,0.8648,0.8147,0.9931,1.025,1.0091
5.6,-0.0162,0.7196,0.8504,0.6013,0.5741,0.5877,0.7699,0.8612,0.8155,0.9924,1.0193,1.0059
5.7,0.0005,0.722,0.8357,0.6062,0.5663,0.5863,0.7733,0.8535,0.8134,0.9885,1.0086,0.9985
5.8,0.0175,0.7234,0.8185,0.6136,0.5585,0.586,0.7745,0.8429,0.8087,0.9814,0.9935,0.9875
5.9,0.0341,0.7242,0.8,0.6235,0.5509,0.5872,0.7742,0.8304,0.8023,0.9718,0.9744,0.9731
6,0.0501,0.724,0.7808,0.6356,0.5435,0.5895,0.7728,0.8172,0.795,0.9603,0.9522,0.9563
6.1,0.066,0.7225,0.7613,0.6488,0.5357,0.5923,0.7708,0.8038,0.7873,0.9477,0.928,0.9378
6.2,0.0826,0.7197,0.7415,0.6624,0.527,0.5947,0.768,0.7908,0.7794,0.9347,0.9027,0.9187
6.3,0.1004,0.7159,0.7216,0.6755,0.5173,0.5964,0.7646,0.778,0.7713,0.9218,0.8772,0.8995
6.4,0.1189,0.7114,0.702,0.6869,0.5072,0.597,0.7604,0.7657,0.7631,0.9091,0.8521,0.8806
6.5,0.1368,0.7062,0.683,0.695,0.4978,0.5964,0.756,0.7543,0.7552,0.8969,0.8281,0.8625
6.6,0.152,0.7004,0.6652,0.6987,0.4901,0.5944,0.7519,0.7442,0.7481,0.8856,0.8054,0.8455
6.7,0.1625,0.6944,0.6493,0.6977,0.4845,0.5911,0.7483,0.7357,0.742,0.8755,0.7844,0.83
6.8,0.1667,0.6891,0.6359,0.693,0.4812,0.5871,0.7458,0.7287,0.7373,0.8669,0.7654,0.8162
6.9,0.1638,0.6849,0.6256,0.6852,0.4804,0.5828,0.7448,0.723,0.7339,0.8598,0.7485,0.8042
7,0.1534,0.6818,0.6186,0.6746,0.4815,0.578,0.7451,0.7182,0.7317,0.8539,0.7336,0.7938
7.1,0.1355,0.679,0.6153,0.6604,0.4845,0.5725,0.7461,0.7142,0.7302,0.8488,0.7206,0.7847
7.2,0.1102,0.676,0.6155,0.6423,0.4889,0.5656,0.7473,0.7112,0.7293,0.8441,0.7097,0.7769
7.3,0.0782,0.6727,0.6197,0.6207,0.4943,0.5575,0.7485,0.7098,0.7292,0.8395,0.7011,0.7703
7.4,0.0411,0.6695,0.6278,0.5974,0.5002,0.5488,0.7498,0.7102,0.73,0.835,0.6951,0.7651
7.5,0.0007,0.6665,0.6392,0.5743,0.5059,0.5401,0.7512,0.7117,0.7314,0.8303,0.6916,0.761
7.6,-0.0416,0.6638,0.6523,0.5532,0.5109,0.5321,0.7525,0.7135,0.733,0.8251,0.6901,0.7576
7.7,-0.0851,0.6613,0.6656,0.5355,0.5153,0.5254,0.7539,0.7156,0.7348,0.8195,0.6899,0.7547
7.8,-0.1287,0.6595,0.6785,0.5221,0.5196,0.5208,0.7556,0.7183,0.737,0.814,0.6908,0.7524
7.9,-0.1706,0.6593,0.6912,0.5142,0.5243,0.5192,0.7583,0.7218,0.74,0.8091,0.6929,0.751
8,-0.2085,0.6609,0.7037,0.5127,0.5291,0.5209,0.7619,0.7262,0.7441,0.8047,0.6956,0.7501
8.1,-0.2399,0.6643,0.7158,0.5178,0.5337,0.5257,0.7663,0.731,0.7487,0.8004,0.6982,0.7493
8.2,-0.2636,0.669,0.7264,0.5288,0.5375,0.5331,0.7708,0.7358,0.7533,0.7957,0.7002,0.748
8.3,-0.2801,0.6753,0.7346,0.5448,0.5404,0.5426,0.7751,0.7402,0.7577,0.7909,0.7013,0.7461
8.4,-0.2911,0.6834,0.7397,0.5641,0.5425,0.5533,0.779,0.7441,0.7616,0.7861,0.7019,0.744
8.5,-0.2981,0.6932,0.7418,0.5849,0.5442,0.5646,0.7824,0.7473,0.7648,0.7815,0.7023,0.7419
8.6,-0.3026,0.7044,0.7416,0.6054,0.5462,0.5758,0.7852,0.7495,0.7673,0.7768,0.7027,0.7398
8.7,-0.3048,0.7161,0.7394,0.6243,0.5491,0.5867,0.7871,0.7503,0.7687,0.772,0.7034,0.7377
8.8,-0.3044,0.7279,0.7356,0.641,0.5531,0.597,0.7877,0.7498,0.7688,0.767,0.7042,0.7356
8.9,-0.3009,0.7397,0.7308,0.6553,0.5582,0.6068,0.7868,0.7483,0.7675,0.7623,0.7054,0.7339
9,-0.2944,0.7516,0.7253,0.6675,0.5641,0.6158,0.7847,0.7461,0.7654,0.7582,0.7071,0.7326
9.1,-0.2853,0.7635,0.7197,0.6781,0.5705,0.6243,0.7821,0.7436,0.7628,0.755,0.7095,0.7322
9.2,-0.2747,0.775,0.7143,0.6874,0.5773,0.6323,0.7798,0.7411,0.7604,0.7531,0.7128,0.7329
9.3,-0.2634,0.7859,0.7093,0.6953,0.5849,0.6401,0.7781,0.7385,0.7583,0.7526,0.7168,0.7347
9.4,-0.2521,0.7956,0.7045,0.7014,0.5938,0.6476,0.7771,0.7358,0.7565,0.7538,0.7214,0.7376
9.5,-0.2421,0.8043,0.7,0.7056,0.6039,0.6548,0.7766,0.7327,0.7547,0.7564,0.726,0.7412
9.6,-0.2346,0.8122,0.6957,0.7078,0.6153,0.6615,0.7763,0.7293,0.7528,0.7599,0.7306,0.7452
9.7,-0.2309,0.8196,0.6916,0.7083,0.6278,0.6681,0.7761,0.7258,0.7509,0.7644,0.7355,0.75
9.8,-0.2315,0.8264,0.6877,0.7081,0.6415,0.6748,0.776,0.7226,0.7493,0.7699,0.7413,0.7556
9.9,-0.2364,0.8329,0.6839,0.708,0.6558,0.6819,0.7759,0.7201,0.748,0.7765,0.7482,0.7624
10,-0.2451,0.839,0.6805,0.7089,0.6697,0.6893,0.7758,0.7185,0.7472,0.7842,0.7561,0.7702
10.1,-0.2568,0.8448,0.6773,0.7114,0.6822,0.6968,0.7755,0.7178,0.7466,0.793,0.7648,0.7789
10.2,-0.2707,0.8505,0.6743,0.7156,0.6926,0.7041,0.775,0.7178,0.7464,0.8027,0.7739,0.7883
10.3,-0.2856,0.8556,0.6714,0.7216,0.7009,0.7112,0.7739,0.7189,0.7464,0.8134,0.7832,0.7983
10.4,-0.3003,0.8595,0.6681,0.7286,0.7073,0.7179,0.7716,0.7212,0.7464,0.8247,0.793,0.8088
10.5,-0.3139,0.8617,0.6644,0.736,0.7121,0.7241,0.7679,0.7249,0.7464,0.836,0.8031,0.8196
10.6,-0.3261,0.8624,0.6602,0.7437,0.7153,0.7295,0.763,0.7297,0.7463,0.847,0.8137,0.8304
10.7,-0.336,0.8619,0.6558,0.752,0.7167,0.7343,0.7576,0.7353,0.7465,0.8574,0.8243,0.8408
10.8,-0.3421,0.86,0.651,0.761,0.7159,0.7385,0.752,0.741,0.7465,0.8666,0.8345,0.8506
10.9,-0.3436,0.8565,0.6457,0.771,0.713,0.742,0.7462,0.7459,0.746,0.8744,0.8435,0.8589
11,-0.3403,0.8512,0.6399,0.7811,0.7088,0.745,0.7395,0.7495,0.7445,0.8801,0.8505,0.8653
11.1,-0.3327,0.8439,0.6342,0.7908,0.704,0.7474,0.7321,0.7519,0.742,0.8836,0.8552,0.8694
11.2,-0.3214,0.8347,0.6294,0.7994,0.6991,0.7492,0.7243,0.7529,0.7386,0.8852,0.8576,0.8714
11.3,-0.3061,0.8235,0.6259,0.806,0.694,0.75,0.7164,0.7526,0.7345,0.8849,0.8582,0.8716
11.4,-0.2866,0.8095,0.6239,0.8103,0.688,0.7491,0.7085,0.7506,0.7296,0.8827,0.8576,0.8702
11.5,-0.2626,0.7924,0.6234,0.8115,0.6806,0.746,0.7005,0.7468,0.7237,0.8787,0.8561,0.8674
11.6,-0.2352,0.7724,0.6245,0.8097,0.6716,0.7406,0.6925,0.7411,0.7168,0.8735,0.8544,0.864
11.7,-0.2062,0.7504,0.6269,0.8052,0.6618,0.7335,0.6851,0.7334,0.7092,0.8679,0.853,0.8605
11.8,-0.177,0.7277,0.6302,0.799,0.6521,0.7256,0.6791,0.7236,0.7014,0.8623,0.8519,0.8571
11.9,-0.1485,0.7051,0.6339,0.7915,0.6432,0.7173,0.6748,0.7122,0.6935,0.8561,0.8507,0.8534
12,-0.1214,0.6831,0.6373,0.7826,0.6357,0.7091,0.6721,0.6996,0.6858,0.8485,0.8491,0.8488
12.1,-0.0972,0.6623,0.6403,0.7724,0.6296,0.701,0.6706,0.6862,0.6784,0.839,0.8466,0.8428
12.2,-0.0774,0.6437,0.6429,0.7615,0.6251,0.6933,0.6703,0.6729,0.6716,0.8277,0.8434,0.8356
12.3,-0.0632,0.6279,0.6457,0.7507,0.6224,0.6866,0.6714,0.6604,0.6659,0.8151,0.8397,0.8274
12.4,-0.0544,0.6153,0.6488,0.7406,0.6211,0.6808,0.6741,0.6491,0.6616,0.8011,0.8357,0.8184
12.5,-0.0501,0.6054,0.6522,0.7309,0.6205,0.6757,0.6784,0.639,0.6587,0.7855,0.8312,0.8083
12.6,-0.0496,0.5977,0.6556,0.7212,0.6197,0.6705,0.6839,0.6299,0.6569,0.7683,0.826,0.7972
12.7,-0.0524,0.5919,0.6585,0.7109,0.6181,0.6645,0.6903,0.6216,0.6559,0.7498,0.8204,0.7851
12.8,-0.0574,0.5877,0.6606,0.7001,0.6152,0.6576,0.6974,0.6144,0.6559,0.7308,0.8147,0.7727
12.9,-0.0629,0.5847,0.6621,0.6887,0.6109,0.6498,0.7052,0.6086,0.6569,0.7121,0.8097,0.7609
13,-0.0673,0.5819,0.6632,0.6767,0.6051,0.6409,0.7139,0.6049,0.6594,0.6949,0.8061,0.7505
13.1,-0.0702,0.5789,0.6641,0.6643,0.5977,0.631,0.7238,0.6035,0.6636,0.6802,0.8045,0.7424
13.2,-0.0718,0.5758,0.6648,0.6522,0.5893,0.6208,0.7351,0.6045,0.6698,0.6688,0.8048,0.7368
13.3,-0.0722,0.5733,0.6651,0.6416,0.5809,0.6112,0.7481,0.6078,0.6779,0.661,0.8065,0.7338
13.4,-0.0715,0.5723,0.6646,0.6332,0.5738,0.6035,0.7627,0.6132,0.688,0.6566,0.8092,0.7329
13.5,-0.0696,0.5728,0.6633,0.6275,0.5684,0.5979,0.7787,0.6203,0.6995,0.6552,0.8124,0.7338
13.6,-0.0665,0.5744,0.6608,0.6244,0.5647,0.5946,0.7957,0.628,0.7119,0.6569,0.8157,0.7363
13.7,-0.0622,0.5768,0.6571,0.6238,0.5628,0.5933,0.8137,0.6357,0.7247,0.6615,0.8188,0.7402
13.8,-0.0566,0.5799,0.652,0.6257,0.5627,0.5942,0.8326,0.643,0.7378,0.6686,0.8214,0.745
13.9,-0.0495,0.5836,0.6456,0.63,0.5639,0.5969,0.8528,0.6496,0.7512,0.6773,0.8233,0.7503
14,-0.041,0.5872,0.6379,0.6359,0.5657,0.6008,0.8741,0.6556,0.7648,0.6871,0.8244,0.7557
14.1,-0.0319,0.5898,0.6288,0.6426,0.5674,0.605,0.896,0.6607,0.7784,0.6978,0.8246,0.7612
14.2,-0.0236,0.5904,0.6178,0.6492,0.5687,0.6089,0.9183,0.6645,0.7914,0.7096,0.8238,0.7667
14.3,-0.0176,0.5889,0.6048,0.6546,0.5699,0.6122,0.9411,0.6668,0.804,0.7226,0.8217,0.7721
14.4,-0.0156,0.5857,0.5897,0.6584,0.5717,0.6151,0.9646,0.6684,0.8165,0.7368,0.8178,0.7773
14.5,-0.0193,0.5812,0.5732,0.6605,0.5746,0.6176,0.9895,0.67,0.8297,0.7526,0.8123,0.7824
14.6,-0.0294,0.5762,0.5557,0.6609,0.5785,0.6197,1.0154,0.672,0.8437,0.7702,0.8055,0.7878
14.7,-0.0447,0.5712,0.5375,0.6597,0.583,0.6213,1.0416,0.6741,0.8578,0.7892,0.7973,0.7933
14.8,-0.0635,0.5663,0.5182,0.657,0.588,0.6225,1.067,0.6755,0.8712,0.8087,0.7868,0.7977
14.9,-0.0841,0.5618,0.4975,0.6537,0.5938,0.6238,1.091,0.6754,0.8832,0.8276,0.7726,0.8001
