Time,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7,0.2103,0.4032,0.5055,0.4184,0.3128,0.3656,0.4999,0.4672,0.4836,0.4001,0.4125,0.4063
7.1,0.186,0.4063,0.5203,0.3962,0.2971,0.3466,0.4899,0.4514,0.4707,0.3935,0.4017,0.3976
7.2,0.1696,0.4132,0.538,0.3763,0.2852,0.3308,0.4831,0.4389,0.461,0.3926,0.3957,0.3942
7.3,0.1609,0.4245,0.5579,0.3601,0.2793,0.3197,0.48,0.4303,0.4552,0.3977,0.3954,0.3966
7.4,0.1573,0.44,0.5795,0.3489,0.2802,0.3146,0.4806,0.426,0.4533,0.4086,0.4021,0.4053
7.5,0.1568,0.4587,0.6022,0.3432,0.2881,0.3156,0.4844,0.4262,0.4553,0.4253,0.4163,0.4208
7.6,0.1579,0.4796,0.625,0.3428,0.3022,0.3225,0.4909,0.4303,0.4606,0.4475,0.4375,0.4425
7.7,0.1581,0.5015,0.6458,0.3475,0.3221,0.3348,0.4998,0.4373,0.4686,0.4734,0.4637,0.4686
7.8,0.155,0.5239,0.6634,0.3572,0.3471,0.3522,0.5105,0.4454,0.4779,0.5,0.4918,0.4959
7.9,0.1477,0.5465,0.677,0.3725,0.3769,0.3747,0.5222,0.4531,0.4876,0.524,0.5191,0.5215
8,0.136,0.569,0.6863,0.3929,0.4103,0.4016,0.5343,0.4597,0.497,0.5435,0.5437,0.5436
8.1,0.1203,0.5907,0.6911,0.4169,0.4457,0.4313,0.5467,0.4653,0.506,0.5578,0.5645,0.5612
8.2,0.1008,0.6114,0.6921,0.4426,0.4816,0.4621,0.5589,0.4697,0.5143,0.5673,0.5805,0.5739
8.3,0.0754,0.6303,0.6897,0.4681,0.5169,0.4925,0.5702,0.4724,0.5213,0.572,0.5909,0.5815
8.4,0.0417,0.6465,0.6841,0.492,0.5503,0.5211,0.5795,0.4724,0.526,0.5716,0.5953,0.5834
8.5,-0.0005,0.6594,0.6761,0.5135,0.5802,0.5469,0.5857,0.469,0.5273,0.5655,0.5936,0.5796
8.6,-0.0481,0.6693,0.6668,0.5329,0.6057,0.5693,0.5891,0.462,0.5255,0.5541,0.5868,0.5704
8.7,-0.0972,0.6771,0.6582,0.5508,0.6268,0.5888,0.5911,0.4525,0.5218,0.539,0.5762,0.5576
8.8,-0.1447,0.6845,0.652,0.5678,0.6443,0.606,0.5933,0.4419,0.5176,0.522,0.5637,0.5428
8.9,-0.1883,0.6926,0.6486,0.5845,0.6587,0.6216,0.5968,0.4316,0.5142,0.5047,0.5505,0.5276
9,-0.2258,0.7018,0.6472,0.6009,0.6701,0.6355,0.6017,0.4224,0.512,0.4888,0.5377,0.5132
9.1,-0.2553,0.7122,0.6469,0.6171,0.678,0.6475,0.6074,0.4145,0.511,0.4752,0.5261,0.5007
9.2,-0.2751,0.7235,0.6466,0.6328,0.6819,0.6574,0.6132,0.408,0.5106,0.4648,0.5164,0.4906
9.3,-0.2863,0.7352,0.6459,0.6475,0.6821,0.6648,0.6188,0.4025,0.5106,0.4577,0.509,0.4833
9.4,-0.291,0.7465,0.6449,0.6608,0.6794,0.6701,0.6239,0.398,0.511,0.4541,0.5042,0.4792
9.5,-0.2906,0.7569,0.644,0.6725,0.6753,0.6739,0.6285,0.3947,0.5116,0.4543,0.5031,0.4787
9.6,-0.2854,0.7656,0.6433,0.6829,0.6704,0.6767,0.6325,0.3928,0.5127,0.4585,0.5061,0.4823
9.7,-0.2749,0.7721,0.6428,0.6917,0.6651,0.6784,0.6364,0.3925,0.5144,0.4665,0.5135,0.49
9.8,-0.2597,0.7761,0.6421,0.6988,0.6588,0.6788,0.6402,0.3933,0.5168,0.4783,0.5247,0.5015
9.9,-0.2412,0.7776,0.6404,0.7037,0.6517,0.6777,0.6435,0.3948,0.5191,0.4936,0.539,0.5163
