Time,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC
10.7,-0.5247,0.6995,0.4483,0.5607,0.6484,0.6045,0.6504,0.6592,0.6548,0.4561,0.3928,0.4244
10.8,-0.5415,0.6915,0.4453,0.5472,0.6295,0.5884,0.6614,0.6427,0.652,0.4595,0.4097,0.4346
10.9,-0.5572,0.684,0.441,0.5338,0.6097,0.5717,0.6702,0.6254,0.6478,0.4604,0.4231,0.4418
11,-0.5716,0.6774,0.4356,0.521,0.5899,0.5555,0.6771,0.608,0.6425,0.4592,0.4326,0.4459
11.1,-0.5845,0.6717,0.4291,0.5089,0.5711,0.54,0.6822,0.5908,0.6365,0.4565,0.4385,0.4475
11.2,-0.5953,0.6663,0.4219,0.4974,0.5536,0.5255,0.6858,0.574,0.6299,0.4529,0.4415,0.4472
11.3,-0.6026,0.6603,0.4146,0.4865,0.5369,0.5117,0.6875,0.5578,0.6227,0.4497,0.4427,0.4462
11.4,-0.6049,0.6534,0.4076,0.4762,0.5209,0.4985,0.6872,0.5425,0.6148,0.4477,0.4429,0.4453
11.5,-0.6012,0.6459,0.4012,0.4669,0.5057,0.4863,0.685,0.5282,0.6066,0.4471,0.4424,0.4447
11.6,-0.5909,0.6383,0.3953,0.4594,0.4919,0.4756,0.6813,0.5148,0.5981,0.4481,0.441,0.4446
11.7,-0.5733,0.6315,0.3902,0.4543,0.4801,0.4672,0.6765,0.5021,0.5893,0.4506,0.4387,0.4446
11.8,-0.5475,0.6256,0.386,0.452,0.4709,0.4614,0.6703,0.4896,0.5799,0.4547,0.4356,0.4451
11.9,-0.5137,0.621,0.3826,0.453,0.4646,0.4588,0.6621,0.4768,0.5695,0.46,0.4318,0.4459
12,-0.4727,0.6177,0.3796,0.458,0.4615,0.4597,0.6516,0.4638,0.5577,0.466,0.4274,0.4467
12.1,-0.4262,0.6166,0.3766,0.4679,0.4621,0.465,0.6389,0.4508,0.5449,0.4719,0.4222,0.4471
12.2,-0.3759,0.6174,0.3735,0.4827,0.4662,0.4744,0.6242,0.4382,0.5312,0.4773,0.4165,0.4469
12.3,-0.3236,0.6191,0.3706,0.5013,0.4729,0.4871,0.6074,0.4259,0.5166,0.4818,0.4106,0.4462
12.4,-0.2714,0.6197,0.3678,0.5217,0.4807,0.5012,0.5884,0.4137,0.501,0.4849,0.405,0.4449
12.5,-0.2207,0.6181,0.3654,0.5421,0.4882,0.5152,0.5672,0.4014,0.4843,0.4862,0.4,0.4431
12.6,-0.1728,0.6136,0.3635,0.5611,0.4948,0.5279,0.5441,0.3894,0.4667,0.4854,0.3959,0.4407
12.7,-0.1278,0.6066,0.3623,0.5777,0.5001,0.5389,0.5198,0.3781,0.449,0.4827,0.3934,0.4381
12.8,-0.0855,0.5975,0.3619,0.5915,0.504,0.5478,0.4954,0.368,0.4317,0.4787,0.393,0.4359
12.9,-0.0457,0.5867,0.3622,0.6028,0.5062,0.5545,0.4717,0.3594,0.4155,0.4742,0.3951,0.4346
13,-0.008,0.5749,0.3633,0.6125,0.5064,0.5594,0.4493,0.3521,0.4007,0.4694,0.3999,0.4347
13.1,0.0279,0.5627,0.3655,0.6211,0.5038,0.5624,0.4286,0.3457,0.3871,0.4645,0.4073,0.4359
13.2,0.0619,0.5503,0.3689,0.6284,0.4982,0.5633,0.4095,0.3397,0.3746,0.4595,0.417,0.4382
13.3,0.0935,0.538,0.3738,0.6344,0.4896,0.562,0.3921,0.3337,0.3629,0.4548,0.4287,0.4417
13.4,0.1213,0.5257,0.38,0.6387,0.4784,0.5585,0.3761,0.328,0.352,0.451,0.4424,0.4467
13.5,0.144,0.5138,0.3874,0.6412,0.4658,0.5535,0.3614,0.3229,0.3421,0.4485,0.458,0.4533
13.6,0.1609,0.5029,0.3959,0.6419,0.4529,0.5474,0.3482,0.3191,0.3336,0.4472,0.4752,0.4612
13.7,0.1722,0.4937,0.4049,0.641,0.4403,0.5407,0.3369,0.3168,0.3268,0.4466,0.4935,0.47
13.8,0.1793,0.4863,0.4139,0.6389,0.4284,0.5336,0.328,0.3155,0.3217,0.4463,0.5124,0.4793
13.9,0.183,0.4809,0.4228,0.6357,0.4173,0.5265,0.3217,0.3148,0.3183,0.4467,0.5317,0.4892
14,0.184,0.4771,0.4315,0.6317,0.4078,0.5198,0.318,0.3148,0.3164,0.4485,0.5509,0.4997
14.1,0.1821,0.4751,0.44,0.6273,0.4008,0.5141,0.3167,0.3164,0.3166,0.4519,0.5696,0.5108
14.2,0.1773,0.475,0.4484,0.6229,0.3975,0.5102,0.3183,0.3207,0.3195,0.4571,0.5872,0.5221
14.3,0.1702,0.4769,0.4566,0.6187,0.3987,0.5087,0.3229,0.3285,0.3257,0.4636,0.6031,0.5333
14.4,0.1618,0.4804,0.4645,0.6151,0.4044,0.5097,0.3306,0.3402,0.3354,0.4714,0.6165,0.544
14.5,0.153,0.485,0.4721,0.6121,0.414,0.513,0.341,0.3556,0.3483,0.4803,0.6268,0.5536
14.6,0.1443,0.4903,0.4792,0.6098,0.4265,0.5181,0.3527,0.3741,0.3634,0.4901,0.6336,0.5618
14.7,0.1359,0.496,0.486,0.6084,0.4415,0.5249,0.3645,0.3952,0.3799,0.5005,0.637,0.5687
14.8,0.1274,0.5018,0.4925,0.6075,0.4587,0.5331,0.3753,0.4181,0.3967,0.5112,0.637,0.5741
14.9,0.1184,0.5073,0.4981,0.6067,0.4776,0.5422,0.3841,0.4418,0.413,0.5217,0.6339,0.5778
15,0.1088,0.5122,0.5021,0.6055,0.4972,0.5514,0.3898,0.4649,0.4274,0.5311,0.6274,0.5793
15.1,0.0987,0.516,0.5039,0.6035,0.5165,0.56,0.3916,0.4861,0.4388,0.539,0.6175,0.5783
15.2,0.088,0.5185,0.503,0.6004,0.5344,0.5674,0.3886,0.5048,0.4467,0.5448,0.6042,0.5745
15.3,0.0769,0.5192,0.4994,0.5956,0.5499,0.5727,0.3804,0.5206,0.4505,0.5482,0.5879,0.568
15.4,0.0652,0.5177,0.4928,0.5886,0.5621,0.5753,0.367,0.5333,0.4501,0.5489,0.569,0.559
15.5,0.0534,0.5141,0.4831,0.5791,0.5704,0.5747,0.349,0.5426,0.4458,0.5467,0.5478,0.5472
15.6,0.0419,0.509,0.4701,0.5673,0.5747,0.571,0.3271,0.5485,0.4378,0.5411,0.5246,0.5328
15.7,0.0312,0.5033,0.4538,0.5539,0.5752,0.5645,0.3021,0.5509,0.4265,0.5321,0.4998,0.516
15.8,0.0214,0.4984,0.4342,0.5402,0.5725,0.5563,0.2748,0.5499,0.4124,0.5203,0.4744,0.4973
15.9,0.013,0.495,0.4116,0.527,0.5673,0.5472,0.2465,0.5458,0.3962,0.5067,0.4493,0.478
16,0.0062,0.4936,0.3867,0.515,0.5602,0.5376,0.2187,0.5389,0.3788,0.4927,0.4258,0.4592
16.1,0.0013,0.4942,0.3607,0.5046,0.5517,0.5282,0.1929,0.5295,0.3612,0.4789,0.4042,0.4415
16.2,-0.0019,0.4971,0.3348,0.4968,0.5422,0.5195,0.1701,0.5182,0.3441,0.4656,0.3845,0.4251
16.3,-0.0038,0.5027,0.3104,0.4923,0.5324,0.5124,0.1507,0.5056,0.3281,0.4526,0.3665,0.4096
16.4,-0.0047,0.5111,0.2883,0.4913,0.5223,0.5068,0.1345,0.4919,0.3132,0.4399,0.35,0.395
16.5,-0.0045,0.5224,0.2692,0.4935,0.512,0.5028,0.1213,0.4774,0.2994,0.4273,0.3349,0.3811
16.6,-0.0029,0.5366,0.2536,0.499,0.5018,0.5004,0.1115,0.463,0.2873,0.4144,0.3214,0.3679
16.7,0.0006,0.5542,0.2419,0.5081,0.4922,0.5002,0.1057,0.45,0.2778,0.4014,0.3098,0.3556
16.8,0.0064,0.5752,0.2344,0.5209,0.4834,0.5022,0.1047,0.4392,0.2719,0.3884,0.3005,0.3444
16.9,0.0151,0.5993,0.2307,0.5369,0.4753,0.5061,0.1091,0.4309,0.27,0.3754,0.2932,0.3343
17,0.0267,0.6252,0.2301,0.5549,0.467,0.511,0.1188,0.4244,0.2716,0.362,0.2875,0.3248
17.1,0.041,0.6515,0.2319,0.5736,0.4581,0.5159,0.1332,0.4189,0.2761,0.3479,0.2829,0.3154
17.2,0.0568,0.6771,0.2357,0.5919,0.4485,0.5202,0.1512,0.414,0.2826,0.3331,0.2789,0.306
17.3,0.0725,0.7009,0.2414,0.6088,0.4382,0.5235,0.1721,0.4097,0.2909,0.318,0.2754,0.2967
17.4,0.0864,0.7221,0.2488,0.6235,0.4277,0.5256,0.1958,0.4063,0.3011,0.3027,0.272,0.2874
17.5,0.0971,0.7399,0.2575,0.6352,0.4168,0.526,0.2223,0.4037,0.313,0.2877,0.2691,0.2784
17.6,0.1041,0.7539,0.2671,0.6437,0.4051,0.5244,0.2507,0.4015,0.3261,0.2733,0.267,0.2701
17.7,0.1075,0.7636,0.2775,0.6486,0.3928,0.5207,0.2796,0.399,0.3393,0.26,0.2663,0.2631
17.8,0.1073,0.7685,0.2878,0.65,0.3795,0.5147,0.3077,0.3957,0.3517,0.2489,0.2678,0.2584
17.9,0.1031,0.7684,0.2974,0.6478,0.3652,0.5065,0.3339,0.391,0.3624,0.2408,0.2722,0.2565
18,0.0947,0.7632,0.3054,0.642,0.3499,0.4959,0.3572,0.3843,0.3708,0.236,0.2799,0.2579
18.1,0.0825,0.7532,0.3112,0.6325,0.3345,0.4835,0.3772,0.3757,0.3765,0.2344,0.2907,0.2625
18.2,0.0669,0.7394,0.3145,0.6198,0.3199,0.4698,0.394,0.3651,0.3795,0.2355,0.304,0.2698
18.3,0.0488,0.7227,0.315,0.6042,0.3069,0.4555,0.4078,0.3528,0.3803,0.2395,0.3189,0.2792
18.4,0.029,0.7044,0.3128,0.5869,0.2958,0.4413,0.4197,0.3396,0.3797,0.2469,0.335,0.291
18.5,0.0081,0.6852,0.3085,0.5688,0.2869,0.4279,0.4309,0.3267,0.3788,0.2584,0.3523,0.3053
18.6,-0.0136,0.6656,0.3028,0.5512,0.2804,0.4158,0.4423,0.3151,0.3787,0.2746,0.3709,0.3228
18.7,-0.0359,0.6462,0.2964,0.5345,0.2763,0.4054,0.4541,0.3054,0.3798,0.2946,0.3909,0.3428
18.8,-0.0586,0.6279,0.29,0.5193,0.2747,0.397,0.4667,0.2982,0.3825,0.3174,0.4114,0.3644
18.9,-0.0818,0.6114,0.2845,0.5063,0.2761,0.3912,0.4806,0.2941,0.3874,0.3416,0.4316,0.3866
19,-0.1054,0.5977,0.2807,0.4965,0.281,0.3887,0.4966,0.2937,0.3951,0.3673,0.4511,0.4092
19.1,-0.1291,0.5871,0.2794,0.4904,0.2899,0.3902,0.5147,0.2973,0.406,0.3948,0.47,0.4324
19.2,-0.1525,0.5795,0.2816,0.488,0.3032,0.3956,0.5343,0.3053,0.4198,0.4239,0.4882,0.4561
19.3,-0.1758,0.5741,0.2883,0.4882,0.3204,0.4043,0.5542,0.3173,0.4358,0.4541,0.5057,0.4799
19.4,-0.1991,0.5701,0.3005,0.49,0.3411,0.4156,0.5735,0.3332,0.4533,0.4842,0.5219,0.503
19.5,-0.2221,0.5679,0.3184,0.4935,0.3647,0.4291,0.5914,0.3527,0.4721,0.5129,0.5365,0.5247
19.6,-0.2443,0.5683,0.3417,0.4992,0.3911,0.4451,0.6077,0.3756,0.4917,0.5393,0.5493,0.5443
19.7,-0.265,0.5721,0.369,0.5081,0.4196,0.4638,0.6223,0.4012,0.5117,0.5626,0.5601,0.5613
19.8,-0.2845,0.5794,0.3985,0.52,0.4491,0.4846,0.635,0.4286,0.5318,0.5822,0.5693,0.5758
19.9,-0.303,0.5891,0.4288,0.5339,0.4786,0.5062,0.6453,0.4567,0.551,0.5977,0.577,0.5874
20,-0.3207,0.5998,0.4584,0.5483,0.5068,0.5276,0.6528,0.484,0.5684,0.6088,0.583,0.5959
20.1,-0.337,0.6106,0.486,0.5621,0.5331,0.5476,0.6573,0.509,0.5832,0.6157,0.5867,0.6012
20.2,-0.3515,0.6204,0.5101,0.5741,0.5566,0.5654,0.6586,0.5299,0.5942,0.6188,0.5875,0.6031
20.3,-0.365,0.629,0.5294,0.5834,0.577,0.5802,0.6561,0.5454,0.6008,0.618,0.5852,0.6016
20.4,-0.3781,0.6358,0.544,0.5891,0.5938,0.5915,0.6491,0.5553,0.6022,0.6134,0.5801,0.5968
20.5,-0.3914,0.6403,0.5543,0.5911,0.6073,0.5992,0.6371,0.5599,0.5985,0.605,0.5726,0.5888
20.6,-0.4047,0.6423,0.5611,0.5897,0.6181,0.6039,0.6204,0.5597,0.59,0.5931,0.5631,0.5781
20.7,-0.4174,0.6417,0.5649,0.5854,0.6268,0.6061,0.5997,0.5553,0.5775,0.5785,0.5517,0.5651
20.8,-0.4291,0.6385,0.566,0.5788,0.6338,0.6063,0.5756,0.5467,0.5611,0.562,0.5391,0.5506
20.9,-0.4394,0.6329,0.5644,0.5703,0.6391,0.6047,0.5479,0.5338,0.5408,0.5442,0.5258,0.535
