Time,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry
4.5,-0.0354,0.6401,0.3361,0.4867,0.6609,0.5738,0.6131,0.5765,0.5948,0.5984,0.4784,0.5384
4.6,-0.0224,0.6426,0.3364,0.4795,0.6397,0.5596,0.6059,0.5597,0.5828,0.5961,0.4846,0.5403
4.7,-0.0154,0.6466,0.3392,0.4722,0.6204,0.5463,0.6014,0.5452,0.5733,0.5953,0.4933,0.5443
4.8,-0.0148,0.6521,0.3443,0.4648,0.6031,0.534,0.5995,0.5332,0.5664,0.5963,0.504,0.5501
4.9,-0.0212,0.6588,0.3511,0.4577,0.5877,0.5227,0.6001,0.524,0.5621,0.5989,0.5162,0.5575
5,-0.0343,0.6658,0.3588,0.451,0.574,0.5125,0.6031,0.5176,0.5603,0.6029,0.5295,0.5662
5.1,-0.0533,0.6725,0.3673,0.4446,0.5617,0.5031,0.608,0.5137,0.5609,0.6082,0.5436,0.5759
5.2,-0.0766,0.6784,0.3762,0.438,0.5507,0.4944,0.6144,0.5117,0.5631,0.6142,0.5577,0.586
5.3,-0.1027,0.6829,0.3851,0.4305,0.5409,0.4857,0.6219,0.5107,0.5663,0.6208,0.5711,0.596
5.4,-0.1309,0.6856,0.3937,0.4214,0.5321,0.4768,0.63,0.5108,0.5704,0.6275,0.5831,0.6053
5.5,-0.1611,0.6862,0.402,0.4103,0.5246,0.4675,0.638,0.5123,0.5751,0.6336,0.593,0.6133
5.6,-0.1931,0.6848,0.41,0.3977,0.5184,0.4581,0.6458,0.5154,0.5806,0.6383,0.5997,0.619
5.7,-0.2261,0.6815,0.418,0.3839,0.5137,0.4488,0.653,0.5201,0.5865,0.6407,0.6026,0.6216
5.8,-0.259,0.6761,0.4263,0.3689,0.5104,0.4396,0.6598,0.5257,0.5927,0.6402,0.601,0.6206
5.9,-0.2907,0.6689,0.435,0.3527,0.5084,0.4306,0.6666,0.532,0.5993,0.6365,0.5955,0.616
6,-0.3208,0.6604,0.4445,0.3362,0.5086,0.4224,0.6744,0.5397,0.607,0.6304,0.5869,0.6087
6.1,-0.3486,0.6517,0.4555,0.3203,0.5116,0.4159,0.6839,0.5494,0.6167,0.6228,0.5765,0.5996
6.2,-0.3726,0.6439,0.4682,0.3063,0.5177,0.412,0.6955,0.5615,0.6285,0.6144,0.5652,0.5898
6.3,-0.3899,0.6378,0.4828,0.2947,0.5263,0.4105,0.7085,0.5753,0.6419,0.6058,0.5535,0.5797
6.4,-0.3981,0.6338,0.4991,0.2853,0.5359,0.4106,0.7223,0.5896,0.656,0.5973,0.542,0.5696
6.5,-0.397,0.6318,0.5166,0.2777,0.5457,0.4117,0.7368,0.6037,0.6702,0.5893,0.5313,0.5603
6.6,-0.3885,0.6314,0.5352,0.272,0.5553,0.4136,0.7517,0.6171,0.6844,0.5825,0.5221,0.5523
6.7,-0.3759,0.6323,0.554,0.2687,0.5645,0.4166,0.7668,0.6288,0.6978,0.577,0.5148,0.5459
6.8,-0.3624,0.634,0.572,0.2679,0.5729,0.4204,0.7809,0.6376,0.7093,0.5727,0.5093,0.541
6.9,-0.3495,0.636,0.5885,0.2696,0.5801,0.4248,0.7931,0.6429,0.718,0.5694,0.5059,0.5376
7,-0.3373,0.6378,0.6031,0.2738,0.5854,0.4296,0.8024,0.645,0.7237,0.5669,0.5045,0.5357
7.1,-0.3252,0.6396,0.616,0.2806,0.5891,0.4348,0.8084,0.6449,0.7267,0.5651,0.5052,0.5352
7.2,-0.3121,0.6414,0.6273,0.29,0.5913,0.4407,0.8109,0.643,0.7269,0.5642,0.5078,0.536
7.3,-0.298,0.6431,0.6368,0.3015,0.5924,0.4469,0.8094,0.6392,0.7243,0.5646,0.5118,0.5382
7.4,-0.2835,0.6445,0.6444,0.3146,0.5925,0.4536,0.804,0.6333,0.7186,0.5668,0.5176,0.5422
7.5,-0.2697,0.6453,0.6502,0.3293,0.5923,0.4608,0.7949,0.6257,0.7103,0.5712,0.5254,0.5483
7.6,-0.2573,0.6461,0.6549,0.3455,0.5928,0.4692,0.7831,0.6173,0.7002,0.578,0.5355,0.5567
7.7,-0.2465,0.6472,0.6589,0.3635,0.5947,0.4791,0.7691,0.6086,0.6888,0.5865,0.5475,0.567
7.8,-0.2374,0.649,0.6624,0.3825,0.5983,0.4904,0.7533,0.5996,0.6765,0.5959,0.5605,0.5782
7.9,-0.2301,0.6515,0.6652,0.4014,0.6032,0.5023,0.7355,0.5899,0.6627,0.6051,0.5736,0.5894
8,-0.2251,0.6542,0.6669,0.419,0.6087,0.5139,0.7158,0.5791,0.6474,0.614,0.5864,0.6002
8.1,-0.2225,0.6567,0.6676,0.4346,0.6141,0.5243,0.6946,0.567,0.6308,0.6226,0.5989,0.6108
8.2,-0.2221,0.6592,0.6673,0.4484,0.6191,0.5337,0.6729,0.5542,0.6136,0.6317,0.6117,0.6217
8.3,-0.2231,0.6624,0.6662,0.4616,0.6241,0.5429,0.6518,0.5413,0.5965,0.6415,0.6252,0.6333
8.4,-0.2243,0.6669,0.6647,0.4756,0.6297,0.5526,0.632,0.5287,0.5804,0.6519,0.6393,0.6456
8.5,-0.2244,0.6731,0.6629,0.4909,0.6363,0.5636,0.6143,0.5172,0.5657,0.6625,0.6539,0.6582
8.6,-0.2226,0.6814,0.6605,0.5078,0.6441,0.576,0.5992,0.5071,0.5531,0.6728,0.6685,0.6706
8.7,-0.2178,0.6915,0.6564,0.5259,0.6527,0.5893,0.5867,0.4987,0.5427,0.6821,0.6825,0.6823
8.8,-0.2099,0.7032,0.6495,0.5449,0.6617,0.6033,0.5771,0.4918,0.5344,0.6897,0.6952,0.6924
8.9,-0.199,0.7165,0.6393,0.5648,0.6708,0.6178,0.5704,0.4866,0.5285,0.6949,0.706,0.7004
9,-0.1846,0.7313,0.6259,0.5856,0.6797,0.6326,0.5672,0.4835,0.5253,0.6972,0.7149,0.706
9.1,-0.1654,0.7471,0.61,0.6071,0.6882,0.6476,0.5681,0.4834,0.5258,0.6967,0.7219,0.7093
9.2,-0.1393,0.7633,0.5921,0.6288,0.6955,0.6621,0.5734,0.4869,0.5302,0.6938,0.7268,0.7103
9.3,-0.1047,0.7786,0.5719,0.6497,0.6997,0.6747,0.5826,0.4934,0.538,0.6884,0.7279,0.7081
9.4,-0.0619,0.792,0.5485,0.6685,0.6987,0.6836,0.5938,0.5002,0.547,0.6794,0.723,0.7012
9.5,-0.0126,0.8024,0.5207,0.6843,0.6903,0.6873,0.6042,0.5044,0.5543,0.6655,0.7103,0.6879
9.6,0.0398,0.8096,0.4883,0.6973,0.6738,0.6856,0.6117,0.504,0.5578,0.6465,0.6897,0.6681
9.7,0.0924,0.8131,0.4529,0.7082,0.6493,0.6787,0.6155,0.4994,0.5574,0.6236,0.6627,0.6432
9.8,0.1432,0.8123,0.4162,0.7176,0.6176,0.6676,0.6162,0.4919,0.5541,0.5983,0.6315,0.6149
9.9,0.1915,0.8069,0.3793,0.7261,0.5806,0.6534,0.6146,0.4823,0.5484,0.5722,0.5982,0.5852
10,0.2371,0.7972,0.3428,0.7341,0.5406,0.6374,0.6106,0.471,0.5408,0.5464,0.5644,0.5554
10.1,0.2798,0.7842,0.3068,0.742,0.5004,0.6212,0.604,0.4588,0.5314,0.5221,0.5321,0.5271
10.2,0.3196,0.7694,0.2725,0.7501,0.4632,0.6066,0.5951,0.4474,0.5212,0.5006,0.5035,0.502
10.3,0.357,0.7538,0.2412,0.7587,0.4307,0.5947,0.5847,0.4383,0.5115,0.4831,0.48,0.4815
10.4,0.3935,0.7382,0.2145,0.7682,0.4038,0.586,0.5739,0.4321,0.503,0.4701,0.4621,0.4661
10.5,0.43,0.7234,0.1928,0.778,0.3831,0.5806,0.5639,0.4281,0.496,0.4614,0.4492,0.4553
10.6,0.4662,0.7099,0.1757,0.7873,0.3691,0.5782,0.5551,0.4253,0.4902,0.4561,0.4402,0.4481
10.7,0.5014,0.6985,0.1629,0.7949,0.3622,0.5785,0.5475,0.4238,0.4857,0.4536,0.4345,0.4441
10.8,0.534,0.6893,0.1542,0.8003,0.3619,0.5811,0.5412,0.4239,0.4826,0.4534,0.432,0.4427
10.9,0.5634,0.6818,0.1494,0.8029,0.3671,0.585,0.536,0.4258,0.4809,0.4544,0.4319,0.4432
11,0.5898,0.6758,0.1485,0.8024,0.376,0.5892,0.5319,0.4292,0.4806,0.4556,0.4336,0.4446
11.1,0.6132,0.6712,0.151,0.7985,0.3873,0.5929,0.5287,0.4335,0.4811,0.4563,0.436,0.4461
11.2,0.6332,0.6681,0.1568,0.7907,0.4004,0.5956,0.5263,0.4387,0.4825,0.4566,0.4387,0.4476
11.3,0.6489,0.6665,0.1662,0.7795,0.4155,0.5975,0.525,0.4453,0.4852,0.4571,0.4419,0.4495
11.4,0.6588,0.6659,0.1798,0.7653,0.4326,0.5989,0.5255,0.4546,0.4901,0.459,0.446,0.4525
11.5,0.6618,0.666,0.1981,0.7491,0.4511,0.6001,0.5289,0.4673,0.4981,0.4629,0.4515,0.4572
11.6,0.6568,0.6664,0.221,0.732,0.4707,0.6013,0.5355,0.4833,0.5094,0.4694,0.4587,0.4641
11.7,0.6429,0.6671,0.248,0.7146,0.4911,0.6029,0.5452,0.5024,0.5238,0.4783,0.4676,0.473
11.8,0.6193,0.6679,0.278,0.6967,0.5118,0.6043,0.5572,0.524,0.5406,0.4895,0.478,0.4837
11.9,0.5857,0.6687,0.3096,0.678,0.532,0.605,0.5705,0.5473,0.5589,0.502,0.4897,0.4959
12,0.5426,0.6693,0.3411,0.6586,0.5505,0.6046,0.5838,0.571,0.5774,0.515,0.5018,0.5084
12.1,0.4914,0.6697,0.3715,0.6387,0.567,0.6028,0.5965,0.5943,0.5954,0.5278,0.5139,0.5208
12.2,0.4334,0.6704,0.4004,0.6189,0.5815,0.6002,0.6084,0.6164,0.6124,0.5403,0.5254,0.5329
12.3,0.3703,0.6718,0.4279,0.5997,0.595,0.5973,0.6194,0.6374,0.6284,0.5525,0.5362,0.5444
12.4,0.3043,0.6743,0.4538,0.5812,0.6077,0.5945,0.6294,0.6568,0.6431,0.5648,0.5459,0.5553
12.5,0.2383,0.6775,0.4773,0.5637,0.6196,0.5916,0.6381,0.6736,0.6559,0.5774,0.554,0.5657
12.6,0.1748,0.6806,0.4974,0.5472,0.6297,0.5885,0.6448,0.6863,0.6656,0.59,0.5605,0.5752
12.7,0.1153,0.6837,0.5131,0.532,0.6377,0.5849,0.649,0.6941,0.6715,0.602,0.5649,0.5835
12.8,0.0609,0.6869,0.5237,0.5184,0.6437,0.5811,0.6499,0.6969,0.6734,0.613,0.5676,0.5903
12.9,0.0126,0.6904,0.5294,0.5071,0.6484,0.5778,0.6478,0.6955,0.6717,0.6227,0.5689,0.5958
13,-0.0283,0.6943,0.5312,0.4989,0.6521,0.5755,0.6443,0.6907,0.6675,0.632,0.5696,0.6008
13.1,-0.0601,0.6981,0.5303,0.494,0.6551,0.5746,0.641,0.6835,0.6622,0.6414,0.5707,0.6061
13.2,-0.0819,0.701,0.5272,0.4927,0.6578,0.5753,0.6385,0.674,0.6562,0.6511,0.573,0.612
13.3,-0.0942,0.703,0.5221,0.4949,0.6607,0.5778,0.6362,0.6623,0.6493,0.6609,0.577,0.619
13.4,-0.0989,0.7041,0.5158,0.5002,0.6645,0.5823,0.6334,0.6491,0.6412,0.6706,0.5833,0.6269
13.5,-0.0984,0.7042,0.5093,0.5084,0.6696,0.589,0.6294,0.635,0.6322,0.6798,0.5916,0.6357
13.6,-0.0942,0.7033,0.504,0.5192,0.6761,0.5976,0.6244,0.621,0.6227,0.6884,0.6017,0.6451
13.7,-0.0875,0.7013,0.5006,0.5317,0.6838,0.6078,0.6187,0.6076,0.6131,0.6961,0.6128,0.6545
13.8,-0.0792,0.6984,0.4994,0.5448,0.6926,0.6187,0.6126,0.595,0.6038,0.7027,0.6239,0.6633
13.9,-0.0706,0.695,0.5,0.5571,0.7025,0.6298,0.6064,0.5836,0.595,0.7083,0.6342,0.6713
14,-0.063,0.6916,0.502,0.5681,0.7139,0.641,0.6,0.5737,0.5868,0.7136,0.6437,0.6787
14.1,-0.0573,0.6883,0.5057,0.5783,0.7268,0.6526,0.5938,0.5656,0.5797,0.7193,0.6528,0.686
14.2,-0.0541,0.6851,0.5117,0.588,0.7413,0.6647,0.5887,0.5597,0.5742,0.7259,0.6625,0.6942
14.3,-0.0534,0.6825,0.5201,0.5978,0.7572,0.6775,0.5857,0.5566,0.5712,0.7338,0.6735,0.7036
14.4,-0.0542,0.6807,0.5313,0.6073,0.7742,0.6908,0.5858,0.5567,0.5712,0.7435,0.6857,0.7146
14.5,-0.0559,0.6799,0.5451,0.6156,0.792,0.7038,0.5896,0.5603,0.575,0.755,0.6989,0.7269
14.6,-0.0585,0.6794,0.561,0.6219,0.8099,0.7159,0.5972,0.5677,0.5824,0.7683,0.7124,0.7403
14.7,-0.0622,0.6784,0.5784,0.6252,0.8267,0.7259,0.6082,0.5785,0.5933,0.7827,0.726,0.7543
14.8,-0.0672,0.6758,0.5961,0.6251,0.8406,0.7329,0.6218,0.5917,0.6068,0.7972,0.7391,0.7682
14.9,-0.073,0.6712,0.6126,0.6212,0.8502,0.7357,0.6369,0.6061,0.6215,0.8112,0.7514,0.7813
