Time,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC
4.4,-0.2415,0.8094,0.6931,0.6372,0.8416,0.7394,0.5053,0.6991,0.6022,0.7133,0.7482,0.7307
4.5,-0.2518,0.8005,0.7132,0.6298,0.8637,0.7467,0.4841,0.6875,0.5858,0.7207,0.7467,0.7337
4.6,-0.2627,0.7903,0.7317,0.6205,0.8827,0.7516,0.4624,0.676,0.5692,0.7266,0.7419,0.7343
4.7,-0.274,0.7789,0.7477,0.6094,0.8984,0.7539,0.4413,0.6651,0.5532,0.7322,0.7349,0.7336
4.8,-0.2847,0.7664,0.7607,0.5967,0.9112,0.754,0.4217,0.6552,0.5385,0.738,0.7265,0.7323
4.9,-0.294,0.7529,0.7699,0.5829,0.9214,0.7521,0.4044,0.6469,0.5256,0.7436,0.7167,0.7301
5,-0.3017,0.7385,0.7747,0.5679,0.9291,0.7485,0.3899,0.6408,0.5153,0.7477,0.7053,0.7265
5.1,-0.3076,0.723,0.7753,0.5521,0.9339,0.743,0.3791,0.6376,0.5083,0.75,0.6924,0.7212
5.2,-0.3111,0.7067,0.7724,0.5357,0.9353,0.7355,0.3727,0.6383,0.5055,0.7505,0.6789,0.7147
5.3,-0.3104,0.6903,0.7665,0.5196,0.9331,0.7263,0.3716,0.6435,0.5075,0.7497,0.6656,0.7077
5.4,-0.3044,0.6745,0.7579,0.5044,0.9274,0.7159,0.3762,0.6533,0.5148,0.7477,0.6529,0.7003
5.5,-0.2928,0.6606,0.7468,0.4914,0.919,0.7052,0.3867,0.6679,0.5273,0.7441,0.6409,0.6925
5.6,-0.2761,0.6496,0.7336,0.4816,0.9083,0.695,0.4031,0.6871,0.5451,0.7393,0.6297,0.6845
5.7,-0.2552,0.6417,0.7189,0.4759,0.8957,0.6858,0.4248,0.7106,0.5677,0.7338,0.6201,0.677
5.8,-0.2302,0.6366,0.7028,0.4748,0.8815,0.6781,0.4511,0.7373,0.5942,0.7284,0.613,0.6707
5.9,-0.2013,0.6337,0.6853,0.4786,0.8663,0.6724,0.4816,0.7662,0.6239,0.7237,0.609,0.6664
6,-0.1688,0.6326,0.6666,0.4881,0.8508,0.6694,0.5164,0.7962,0.6563,0.7207,0.6086,0.6647
6.1,-0.1342,0.6329,0.6472,0.5035,0.8355,0.6695,0.5551,0.8267,0.6909,0.7198,0.6123,0.666
6.2,-0.099,0.6349,0.6279,0.5248,0.8207,0.6727,0.5969,0.8569,0.7269,0.7213,0.62,0.6706
6.3,-0.0639,0.6387,0.6089,0.5516,0.8065,0.679,0.6398,0.8858,0.7628,0.7252,0.6315,0.6784
6.4,-0.0291,0.6444,0.5901,0.5834,0.7933,0.6884,0.6816,0.9123,0.797,0.7308,0.646,0.6884
6.5,0.0052,0.652,0.5714,0.6196,0.7818,0.7007,0.7207,0.9351,0.8279,0.7368,0.6619,0.6993
6.6,0.0385,0.6614,0.5527,0.659,0.7722,0.7156,0.7555,0.9533,0.8544,0.7422,0.6781,0.7102
6.7,0.0696,0.6724,0.5349,0.7006,0.7649,0.7328,0.7848,0.9665,0.8756,0.7468,0.6939,0.7204
6.8,0.0965,0.6848,0.5189,0.7429,0.7599,0.7514,0.8075,0.9745,0.891,0.7507,0.709,0.7299
6.9,0.1164,0.6985,0.5056,0.7848,0.757,0.7709,0.8232,0.9774,0.9003,0.7546,0.7231,0.7389
7,0.1273,0.7132,0.4951,0.8255,0.756,0.7907,0.8322,0.9748,0.9035,0.7589,0.736,0.7475
7.1,0.1284,0.7284,0.4875,0.8645,0.7568,0.8107,0.8353,0.9672,0.9013,0.7635,0.7479,0.7557
7.2,0.1202,0.7435,0.4828,0.9016,0.7596,0.8306,0.8333,0.9552,0.8943,0.7679,0.759,0.7635
7.3,0.1036,0.7576,0.4807,0.9362,0.7641,0.8502,0.8264,0.9396,0.883,0.7713,0.7693,0.7703
7.4,0.079,0.77,0.4813,0.9674,0.7701,0.8687,0.8149,0.9213,0.8681,0.7728,0.7783,0.7756
7.5,0.0462,0.7807,0.4841,0.994,0.7772,0.8856,0.7996,0.9009,0.8502,0.7717,0.7853,0.7785
7.6,0.0054,0.7901,0.4889,1.015,0.7853,0.9002,0.7818,0.8793,0.8306,0.7674,0.7899,0.7787
7.7,-0.0423,0.7984,0.496,1.0298,0.7943,0.9121,0.7629,0.8578,0.8103,0.7605,0.7926,0.7766
7.8,-0.094,0.8055,0.5058,1.0377,0.8037,0.9207,0.7441,0.8373,0.7907,0.7526,0.7942,0.7734
7.9,-0.147,0.8107,0.5188,1.0383,0.8125,0.9254,0.7262,0.8191,0.7726,0.7447,0.7956,0.7701
8,-0.1989,0.8132,0.535,1.0313,0.82,0.9257,0.7096,0.8036,0.7566,0.737,0.7968,0.7669
8.1,-0.2476,0.8126,0.5544,1.0174,0.826,0.9217,0.6948,0.7914,0.7431,0.7288,0.7971,0.763
8.2,-0.2916,0.8093,0.5772,0.9977,0.8307,0.9142,0.6822,0.7829,0.7325,0.7196,0.7964,0.758
8.3,-0.3302,0.804,0.604,0.9735,0.834,0.9038,0.6723,0.7786,0.7255,0.7099,0.795,0.7525
8.4,-0.3625,0.7975,0.635,0.9464,0.8359,0.8911,0.6654,0.7786,0.722,0.7011,0.7936,0.7473
8.5,-0.3871,0.7906,0.6698,0.9178,0.8359,0.8768,0.6615,0.7826,0.7221,0.6942,0.7926,0.7434
8.6,-0.4019,0.7837,0.7067,0.889,0.8335,0.8613,0.6604,0.7899,0.7251,0.6898,0.7918,0.7408
8.7,-0.4053,0.7775,0.7435,0.8609,0.8286,0.8448,0.6618,0.7996,0.7307,0.6876,0.791,0.7393
8.8,-0.397,0.7724,0.7783,0.8345,0.8211,0.8278,0.6657,0.8109,0.7383,0.688,0.79,0.739
8.9,-0.3778,0.7687,0.8099,0.8101,0.8111,0.8106,0.6719,0.8233,0.7476,0.6913,0.7891,0.7402
9,-0.3488,0.7662,0.8367,0.7875,0.7984,0.7929,0.6799,0.8364,0.7581,0.6977,0.7884,0.743
9.1,-0.311,0.7642,0.8572,0.766,0.7827,0.7744,0.6893,0.8493,0.7693,0.7065,0.7875,0.747
9.2,-0.2649,0.7621,0.8703,0.7454,0.7643,0.7549,0.6996,0.861,0.7803,0.7164,0.7857,0.7511
9.3,-0.2113,0.7598,0.8758,0.7261,0.744,0.7351,0.7104,0.8706,0.7905,0.7263,0.7825,0.7544
9.4,-0.1524,0.7576,0.8742,0.7085,0.7229,0.7157,0.7209,0.8778,0.7994,0.7351,0.7776,0.7563
9.5,-0.0915,0.7559,0.8665,0.6928,0.7022,0.6975,0.73,0.8822,0.8061,0.742,0.7706,0.7563
9.6,-0.031,0.7548,0.8534,0.6784,0.6826,0.6805,0.7366,0.8833,0.81,0.7462,0.7617,0.7539
9.7,0.0278,0.7537,0.8353,0.6649,0.6648,0.6649,0.74,0.8807,0.8104,0.747,0.7508,0.7489
9.8,0.0844,0.7516,0.8129,0.6522,0.6492,0.6507,0.7405,0.8742,0.8073,0.7442,0.738,0.7411
9.9,0.1379,0.7477,0.7873,0.64,0.6359,0.6379,0.7385,0.8635,0.801,0.7383,0.7238,0.731
10,0.1866,0.7417,0.7597,0.6278,0.6246,0.6262,0.7344,0.8486,0.7915,0.7301,0.7089,0.7195
10.1,0.2288,0.7332,0.7311,0.6149,0.6146,0.6148,0.729,0.8297,0.7793,0.7202,0.6939,0.7071
10.2,0.2635,0.7225,0.7023,0.6011,0.6058,0.6035,0.7232,0.8074,0.7653,0.7092,0.6787,0.694
10.3,0.2904,0.7101,0.6737,0.5871,0.5987,0.5929,0.7181,0.7831,0.7506,0.6971,0.6637,0.6804
10.4,0.31,0.6963,0.6462,0.5739,0.5945,0.5842,0.7147,0.758,0.7364,0.684,0.6494,0.6667
10.5,0.322,0.6815,0.621,0.5622,0.5939,0.578,0.7136,0.7334,0.7235,0.6705,0.6369,0.6537
10.6,0.3258,0.6659,0.5997,0.5523,0.5967,0.5745,0.7147,0.7103,0.7125,0.6572,0.6269,0.642
10.7,0.3209,0.65,0.5838,0.5442,0.602,0.5731,0.7185,0.6895,0.704,0.6454,0.6198,0.6326
10.8,0.3073,0.6345,0.5748,0.5383,0.6092,0.5737,0.7255,0.6723,0.6989,0.6362,0.6163,0.6263
10.9,0.2862,0.6205,0.5731,0.5356,0.618,0.5768,0.7361,0.6598,0.6979,0.6305,0.6166,0.6236
11,0.2599,0.6084,0.578,0.5372,0.6283,0.5828,0.7493,0.6523,0.7008,0.6288,0.6211,0.6249
11.1,0.2308,0.5982,0.5886,0.5434,0.6396,0.5915,0.7637,0.6497,0.7067,0.631,0.6297,0.6304
11.2,0.2001,0.5898,0.6034,0.5532,0.6511,0.6022,0.7779,0.6516,0.7148,0.637,0.6422,0.6396
11.3,0.1682,0.5833,0.621,0.5657,0.6625,0.6141,0.7914,0.6578,0.7246,0.6463,0.6579,0.6521
11.4,0.1353,0.5788,0.64,0.5801,0.6734,0.6267,0.8035,0.6679,0.7357,0.659,0.6768,0.6679
11.5,0.102,0.5767,0.6593,0.5955,0.6832,0.6394,0.8136,0.6815,0.7475,0.6751,0.6983,0.6867
11.6,0.0696,0.5771,0.6782,0.6111,0.6912,0.6511,0.8212,0.6976,0.7594,0.6949,0.7218,0.7083
11.7,0.0396,0.5795,0.6958,0.6259,0.6962,0.661,0.8254,0.7149,0.7702,0.7172,0.7461,0.7316
11.8,0.0131,0.5832,0.7107,0.6391,0.6974,0.6682,0.8253,0.7321,0.7787,0.7395,0.7697,0.7546
11.9,-0.0087,0.5871,0.7217,0.65,0.6946,0.6723,0.8205,0.748,0.7843,0.7593,0.791,0.7751
12,-0.0251,0.5903,0.7281,0.6586,0.6883,0.6735,0.8114,0.7616,0.7865,0.7747,0.8083,0.7915
12.1,-0.0361,0.5922,0.73,0.6649,0.6792,0.672,0.7987,0.7721,0.7854,0.7846,0.821,0.8028
12.2,-0.0427,0.5924,0.7276,0.6691,0.6677,0.6684,0.7833,0.7792,0.7812,0.789,0.8286,0.8088
12.3,-0.046,0.5908,0.7218,0.6714,0.6544,0.6629,0.7659,0.7828,0.7744,0.788,0.8311,0.8096
12.4,-0.0469,0.5874,0.7138,0.6717,0.6401,0.6559,0.7471,0.7836,0.7653,0.7826,0.8284,0.8055
12.5,-0.0457,0.5827,0.7051,0.6709,0.6265,0.6487,0.7277,0.7821,0.7549,0.7739,0.8211,0.7975
12.6,-0.0425,0.5774,0.6974,0.67,0.6157,0.6428,0.7087,0.7792,0.744,0.7635,0.8098,0.7867
12.7,-0.0372,0.572,0.6919,0.6702,0.6092,0.6397,0.6908,0.7755,0.7332,0.7525,0.7956,0.774
12.8,-0.0306,0.5667,0.6895,0.6722,0.6073,0.6397,0.6742,0.772,0.7231,0.7417,0.779,0.7603
12.9,-0.0236,0.5617,0.6902,0.6753,0.6096,0.6425,0.6593,0.7697,0.7145,0.7319,0.7612,0.7465
13,-0.0164,0.5568,0.6945,0.6785,0.6153,0.6469,0.6469,0.7695,0.7082,0.7238,0.7435,0.7336
13.1,-0.0082,0.5521,0.7026,0.6813,0.6235,0.6524,0.6377,0.7718,0.7047,0.7182,0.7272,0.7227
13.2,0.0018,0.5478,0.7144,0.6834,0.6331,0.6582,0.632,0.7765,0.7042,0.7152,0.713,0.7141
13.3,0.0142,0.5439,0.7292,0.6847,0.6431,0.6639,0.6298,0.7824,0.7061,0.7146,0.701,0.7078
13.4,0.0291,0.5407,0.7459,0.6849,0.6525,0.6687,0.6306,0.7888,0.7097,0.7161,0.6908,0.7035
13.5,0.0468,0.5384,0.7632,0.6839,0.6608,0.6724,0.6341,0.7951,0.7146,0.7191,0.6823,0.7007
13.6,0.0683,0.5369,0.7798,0.6825,0.6681,0.6753,0.6395,0.8012,0.7203,0.7235,0.6754,0.6994
13.7,0.0956,0.5365,0.7945,0.682,0.6742,0.6781,0.6461,0.8062,0.7261,0.7295,0.6703,0.6999
13.8,0.1299,0.5367,0.8063,0.683,0.6782,0.6806,0.6534,0.8087,0.731,0.7371,0.6671,0.7021
13.9,0.1707,0.5367,0.814,0.685,0.6785,0.6817,0.6608,0.8075,0.7342,0.746,0.6652,0.7056
14,0.2167,0.5358,0.8167,0.6867,0.6738,0.6802,0.6679,0.802,0.735,0.7553,0.6643,0.7098
14.1,0.2664,0.5336,0.814,0.687,0.664,0.6755,0.6735,0.7927,0.7331,0.764,0.6638,0.7139
14.2,0.3192,0.5301,0.8055,0.6853,0.6499,0.6676,0.6762,0.7795,0.7279,0.7715,0.6636,0.7176
14.3,0.3746,0.5255,0.7911,0.6812,0.6317,0.6565,0.6747,0.762,0.7183,0.7775,0.6632,0.7204
14.4,0.432,0.5193,0.7706,0.6737,0.6097,0.6417,0.6685,0.7391,0.7038,0.7819,0.662,0.722
14.5,0.49,0.5111,0.7444,0.6616,0.5836,0.6226,0.658,0.7109,0.6845,0.7847,0.6598,0.7222
14.6,0.5468,0.5006,0.7134,0.6437,0.5533,0.5985,0.6444,0.6782,0.6613,0.7861,0.6571,0.7216
14.7,0.6012,0.4883,0.6794,0.6203,0.5191,0.5697,0.6288,0.6423,0.6355,0.7871,0.6544,0.7207
14.8,0.6514,0.4746,0.6445,0.5925,0.4818,0.5371,0.6122,0.6043,0.6082,0.788,0.6521,0.7201
14.9,0.6952,0.4599,0.6102,0.5612,0.4423,0.5018,0.5954,0.5645,0.5799,0.7889,0.6502,0.7196
