Time,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC
2.8,-0.1032,0.7985,0.7275,0.6445,0.8305,0.7375,0.8035,0.7318,0.7676,0.7617,0.6578,0.7098
2.9,-0.1102,0.7951,0.7274,0.6388,0.8316,0.7352,0.8004,0.7363,0.7683,0.7657,0.6594,0.7126
3,-0.1145,0.7908,0.7268,0.6344,0.833,0.7337,0.7964,0.74,0.7682,0.7671,0.6596,0.7134
3.1,-0.1158,0.7857,0.7255,0.6314,0.8345,0.733,0.7919,0.7428,0.7674,0.7658,0.6586,0.7122
3.2,-0.1141,0.7793,0.7235,0.6295,0.8361,0.7328,0.7869,0.7446,0.7657,0.7621,0.6566,0.7093
3.3,-0.1091,0.7713,0.7211,0.6286,0.8374,0.733,0.7813,0.7451,0.7632,0.7561,0.6536,0.7049
3.4,-0.1007,0.7619,0.7185,0.6287,0.8387,0.7337,0.7751,0.7441,0.7596,0.7481,0.6498,0.699
3.5,-0.0891,0.7518,0.7156,0.6297,0.8401,0.7349,0.7681,0.7415,0.7548,0.7384,0.6454,0.6919
3.6,-0.0749,0.7415,0.7123,0.6313,0.8422,0.7368,0.7604,0.7372,0.7488,0.7271,0.6406,0.6839
3.7,-0.059,0.731,0.7088,0.6333,0.845,0.7392,0.7523,0.7317,0.742,0.7149,0.636,0.6754
3.8,-0.0421,0.7202,0.7054,0.6351,0.8482,0.7416,0.7438,0.7251,0.7344,0.7025,0.6318,0.6672
3.9,-0.0243,0.7088,0.7026,0.6361,0.8509,0.7435,0.735,0.7176,0.7263,0.6905,0.6286,0.6596
4,-0.0055,0.697,0.7004,0.6362,0.8524,0.7443,0.7257,0.7091,0.7174,0.6794,0.6263,0.6529
4.1,0.0143,0.6855,0.6987,0.6354,0.8521,0.7438,0.7161,0.7001,0.7081,0.6693,0.6253,0.6473
4.2,0.0347,0.6749,0.6974,0.6338,0.85,0.7419,0.7061,0.6908,0.6984,0.6603,0.6256,0.6429
4.3,0.0549,0.6655,0.6963,0.6312,0.8464,0.7388,0.6955,0.6818,0.6886,0.6525,0.627,0.6397
4.4,0.074,0.6572,0.6951,0.6274,0.8415,0.7344,0.684,0.673,0.6785,0.646,0.6292,0.6376
4.5,0.0914,0.6499,0.6939,0.6226,0.8355,0.7291,0.6714,0.6645,0.6679,0.6406,0.6319,0.6362
4.6,0.1069,0.6435,0.6926,0.6174,0.8288,0.7231,0.6576,0.6562,0.6569,0.6362,0.6349,0.6355
4.7,0.1207,0.6382,0.6914,0.6122,0.8217,0.717,0.6431,0.6486,0.6459,0.633,0.6382,0.6356
4.8,0.1332,0.6335,0.6902,0.6074,0.8145,0.7109,0.6284,0.6416,0.635,0.6312,0.642,0.6366
4.9,0.1445,0.629,0.6889,0.6024,0.8068,0.7046,0.6137,0.6351,0.6244,0.6309,0.6462,0.6385
5,0.1543,0.6242,0.6873,0.597,0.7983,0.6977,0.5994,0.6287,0.6141,0.6317,0.6505,0.6411
5.1,0.1625,0.619,0.6851,0.5914,0.7889,0.6902,0.5857,0.6224,0.6041,0.6337,0.6552,0.6444
5.2,0.169,0.614,0.6825,0.5862,0.7789,0.6825,0.5732,0.6165,0.5948,0.6368,0.6603,0.6486
5.3,0.1732,0.6095,0.6798,0.582,0.7688,0.6754,0.5624,0.6112,0.5868,0.6415,0.6661,0.6538
5.4,0.175,0.6054,0.6771,0.5789,0.7592,0.669,0.5536,0.6067,0.5802,0.6478,0.6723,0.66
5.5,0.1742,0.6015,0.6743,0.5769,0.7501,0.6635,0.5468,0.603,0.5749,0.6554,0.6788,0.6671
5.6,0.1707,0.5973,0.6711,0.5757,0.7417,0.6587,0.5417,0.6003,0.571,0.6638,0.6853,0.6745
5.7,0.1642,0.5929,0.6672,0.5754,0.7342,0.6548,0.5385,0.5985,0.5685,0.6721,0.6916,0.6819
5.8,0.1547,0.5887,0.6629,0.5762,0.7277,0.652,0.5373,0.5979,0.5676,0.6802,0.6977,0.6889
5.9,0.1425,0.5851,0.658,0.5783,0.7226,0.6505,0.5386,0.5988,0.5687,0.688,0.7033,0.6956
6,0.1284,0.5822,0.6526,0.5813,0.719,0.6501,0.5423,0.6009,0.5716,0.6956,0.7083,0.7019
6.1,0.1134,0.5801,0.6467,0.5847,0.7168,0.6508,0.5483,0.604,0.5761,0.7027,0.7125,0.7076
6.2,0.0979,0.5786,0.6402,0.5883,0.716,0.6522,0.556,0.6078,0.5819,0.709,0.716,0.7125
6.3,0.0817,0.5779,0.6337,0.5919,0.7165,0.6542,0.5651,0.6123,0.5887,0.7146,0.7191,0.7168
6.4,0.0649,0.5778,0.6278,0.5956,0.7183,0.6569,0.5755,0.6173,0.5964,0.7193,0.7223,0.7208
6.5,0.0481,0.5781,0.6231,0.5991,0.7215,0.6603,0.5868,0.6228,0.6048,0.7233,0.7262,0.7248
6.6,0.0322,0.5786,0.6201,0.6021,0.7258,0.664,0.5984,0.6287,0.6135,0.7264,0.7307,0.7286
6.7,0.0179,0.5791,0.6188,0.6045,0.7309,0.6677,0.6097,0.6348,0.6222,0.7284,0.7354,0.7319
6.8,0.0055,0.5798,0.619,0.606,0.7361,0.671,0.6201,0.6409,0.6305,0.7293,0.74,0.7346
6.9,-0.0047,0.5808,0.6202,0.6064,0.7407,0.6735,0.6296,0.6468,0.6382,0.7289,0.7444,0.7367
7,-0.0126,0.582,0.6222,0.6054,0.7439,0.6747,0.6378,0.6521,0.645,0.7276,0.7485,0.738
7.1,-0.0177,0.5833,0.6245,0.6031,0.7451,0.6741,0.6446,0.6564,0.6505,0.7253,0.7522,0.7387
7.2,-0.0203,0.5844,0.6268,0.5994,0.7435,0.6714,0.6495,0.6593,0.6544,0.7221,0.7551,0.7386
7.3,-0.0213,0.5853,0.6288,0.5945,0.7388,0.6667,0.6523,0.6606,0.6564,0.7178,0.7568,0.7373
7.4,-0.0217,0.5861,0.6304,0.5888,0.7315,0.6602,0.6526,0.6605,0.6566,0.7123,0.757,0.7347
7.5,-0.0219,0.587,0.6316,0.5826,0.722,0.6523,0.6507,0.6591,0.6549,0.7059,0.756,0.7309
7.6,-0.0219,0.5883,0.6325,0.5762,0.7107,0.6435,0.6466,0.6568,0.6517,0.6988,0.7537,0.7262
7.7,-0.0217,0.59,0.6334,0.57,0.6983,0.6341,0.6409,0.6538,0.6473,0.6914,0.7503,0.7208
7.8,-0.0216,0.592,0.6346,0.5643,0.6853,0.6248,0.6341,0.6504,0.6423,0.6843,0.7458,0.7151
7.9,-0.0216,0.5946,0.6367,0.56,0.6726,0.6163,0.6272,0.6472,0.6372,0.6781,0.7408,0.7094
8,-0.0217,0.5982,0.6396,0.5574,0.6609,0.6092,0.621,0.6446,0.6328,0.673,0.7357,0.7043
8.1,-0.0213,0.6034,0.6435,0.5569,0.6506,0.6037,0.6156,0.6427,0.6291,0.669,0.7307,0.6999
8.2,-0.0204,0.6105,0.648,0.5583,0.6421,0.6002,0.6109,0.641,0.626,0.6657,0.7256,0.6957
8.3,-0.0198,0.6194,0.653,0.5615,0.6358,0.5987,0.6064,0.6393,0.6229,0.6625,0.72,0.6913
8.4,-0.0205,0.6302,0.658,0.5667,0.6323,0.5995,0.602,0.6374,0.6197,0.6594,0.7136,0.6865
8.5,-0.0227,0.6426,0.6629,0.574,0.632,0.603,0.5978,0.6353,0.6166,0.6564,0.7069,0.6817
8.6,-0.0264,0.6561,0.6673,0.5832,0.6351,0.6091,0.5939,0.633,0.6134,0.6534,0.7001,0.6767
8.7,-0.0312,0.6698,0.6705,0.5936,0.6412,0.6174,0.5899,0.6302,0.6101,0.6502,0.6931,0.6717
8.8,-0.037,0.683,0.6719,0.6042,0.6499,0.627,0.5857,0.6267,0.6062,0.6466,0.6861,0.6663
8.9,-0.0434,0.6948,0.6711,0.6144,0.6606,0.6375,0.5812,0.6224,0.6018,0.6427,0.6791,0.6609
9,-0.0501,0.7054,0.6683,0.6242,0.6732,0.6487,0.5769,0.6175,0.5972,0.6386,0.6725,0.6555
9.1,-0.0563,0.7148,0.6642,0.6338,0.6875,0.6607,0.5729,0.6124,0.5927,0.6349,0.6664,0.6507
9.2,-0.0615,0.7235,0.659,0.6434,0.7033,0.6734,0.5693,0.6074,0.5884,0.6315,0.6607,0.6461
9.3,-0.0655,0.7312,0.653,0.6529,0.7201,0.6865,0.566,0.6022,0.5841,0.6281,0.6547,0.6414
9.4,-0.0689,0.7376,0.6463,0.6617,0.737,0.6994,0.5628,0.5967,0.5798,0.6244,0.6486,0.6365
9.5,-0.0729,0.7422,0.6391,0.6694,0.7536,0.7115,0.5596,0.5909,0.5752,0.6204,0.6423,0.6314
9.6,-0.0789,0.7445,0.632,0.6757,0.7697,0.7227,0.5566,0.585,0.5708,0.6162,0.6362,0.6262
9.7,-0.0867,0.7449,0.6254,0.6807,0.7852,0.7329,0.554,0.5794,0.5667,0.6121,0.6305,0.6213
9.8,-0.0954,0.7437,0.6196,0.6846,0.8,0.7423,0.5518,0.5748,0.5633,0.608,0.6252,0.6166
9.9,-0.1038,0.7412,0.6142,0.6873,0.8138,0.7506,0.5497,0.5713,0.5605,0.6041,0.6199,0.612
10,-0.1108,0.7375,0.6091,0.6888,0.8258,0.7573,0.5476,0.5691,0.5584,0.6006,0.6146,0.6076
10.1,-0.1161,0.7333,0.604,0.689,0.8353,0.7621,0.5454,0.5683,0.5568,0.5977,0.6095,0.6036
10.2,-0.1194,0.7289,0.5992,0.688,0.8423,0.7652,0.5435,0.5689,0.5562,0.5955,0.605,0.6003
10.3,-0.1206,0.7248,0.5952,0.6863,0.8469,0.7666,0.5419,0.571,0.5565,0.5944,0.6018,0.5981
10.4,-0.1195,0.7211,0.5926,0.6837,0.8495,0.7666,0.5408,0.5746,0.5577,0.5947,0.6001,0.5974
10.5,-0.1161,0.7175,0.5917,0.6803,0.8504,0.7653,0.5403,0.5793,0.5598,0.5968,0.6001,0.5984
10.6,-0.1109,0.7137,0.5926,0.6758,0.8497,0.7628,0.5406,0.5847,0.5627,0.6007,0.6017,0.6012
10.7,-0.104,0.7095,0.5952,0.6706,0.8478,0.7592,0.5421,0.5909,0.5665,0.6065,0.6049,0.6057
10.8,-0.0947,0.7051,0.5995,0.6653,0.8452,0.7553,0.5451,0.5974,0.5712,0.6139,0.6096,0.6117
10.9,-0.0823,0.7007,0.605,0.6603,0.8421,0.7512,0.5497,0.604,0.5768,0.6226,0.6157,0.6191
11,-0.0665,0.6966,0.6115,0.656,0.8386,0.7473,0.5556,0.6104,0.583,0.6324,0.6228,0.6276
11.1,-0.0476,0.6929,0.6184,0.6524,0.8349,0.7436,0.5628,0.6166,0.5897,0.6431,0.6308,0.6369
11.2,-0.026,0.6898,0.6253,0.6496,0.8308,0.7402,0.5711,0.6223,0.5967,0.6546,0.6394,0.647
11.3,-0.0027,0.6873,0.632,0.6477,0.8264,0.7371,0.5802,0.6273,0.6038,0.6666,0.6484,0.6575
11.4,0.0216,0.6852,0.6382,0.6466,0.8212,0.7339,0.5896,0.6313,0.6105,0.6784,0.6573,0.6678
11.5,0.0457,0.6833,0.6437,0.646,0.815,0.7305,0.5991,0.6341,0.6166,0.6896,0.6658,0.6777
11.6,0.0682,0.6811,0.6483,0.6455,0.8073,0.7264,0.6085,0.6356,0.6221,0.7002,0.6737,0.6869
11.7,0.0885,0.678,0.6519,0.6447,0.7979,0.7213,0.6179,0.6362,0.627,0.7101,0.6809,0.6955
11.8,0.1066,0.6739,0.6543,0.6433,0.7867,0.715,0.6274,0.6359,0.6317,0.7191,0.6873,0.7032
11.9,0.1228,0.6688,0.6557,0.6414,0.7739,0.7076,0.6371,0.6351,0.6361,0.7269,0.6928,0.7098
12,0.1374,0.663,0.6562,0.6391,0.7599,0.6995,0.6467,0.6338,0.6402,0.7332,0.6971,0.7151
12.1,0.1505,0.6568,0.656,0.6368,0.7452,0.691,0.6559,0.632,0.644,0.738,0.7,0.719
12.2,0.1613,0.6508,0.6554,0.6349,0.7306,0.6827,0.6646,0.63,0.6473,0.7412,0.7016,0.7214
12.3,0.1692,0.6453,0.6543,0.6336,0.7163,0.675,0.6723,0.6277,0.65,0.7426,0.7018,0.7222
12.4,0.1735,0.6407,0.6527,0.6327,0.703,0.6678,0.6787,0.6255,0.6521,0.7421,0.7008,0.7215
12.5,0.1736,0.6373,0.6507,0.6324,0.6909,0.6617,0.6839,0.6234,0.6536,0.74,0.6987,0.7194
12.6,0.1689,0.6358,0.6483,0.6327,0.681,0.6568,0.688,0.6218,0.6549,0.7367,0.696,0.7164
12.7,0.1586,0.6365,0.6457,0.6337,0.6737,0.6537,0.6913,0.6208,0.656,0.7333,0.6934,0.7133
12.8,0.1431,0.6397,0.6431,0.6356,0.6696,0.6526,0.6939,0.6206,0.6572,0.7306,0.6916,0.7111
12.9,0.1233,0.6449,0.6407,0.6384,0.6683,0.6534,0.6956,0.6209,0.6583,0.7287,0.6908,0.7097
13,0.1008,0.6517,0.6382,0.642,0.6697,0.6558,0.696,0.6216,0.6588,0.7273,0.6908,0.709
13.1,0.0772,0.6595,0.6355,0.6461,0.6731,0.6596,0.6946,0.6223,0.6584,0.7259,0.6913,0.7086
13.2,0.0529,0.6683,0.6328,0.6503,0.6783,0.6643,0.6911,0.6228,0.657,0.7245,0.6925,0.7085
13.3,0.0279,0.6782,0.6302,0.6546,0.6852,0.6699,0.6855,0.6233,0.6544,0.7231,0.6943,0.7087
13.4,0.0025,0.6888,0.6285,0.659,0.6939,0.6765,0.6783,0.6238,0.6511,0.7216,0.6971,0.7094
13.5,-0.0233,0.7,0.6283,0.6636,0.7043,0.6839,0.6702,0.6247,0.6475,0.7203,0.7011,0.7107
13.6,-0.049,0.7109,0.63,0.6684,0.7161,0.6923,0.662,0.6261,0.6441,0.7195,0.7063,0.7129
13.7,-0.0738,0.721,0.6332,0.6736,0.7288,0.7012,0.6543,0.628,0.6411,0.7191,0.7127,0.7159
13.8,-0.097,0.7299,0.6375,0.6789,0.7418,0.7103,0.6474,0.6301,0.6388,0.7193,0.7197,0.7195
13.9,-0.1181,0.7375,0.6423,0.6846,0.7543,0.7195,0.642,0.6321,0.6371,0.72,0.7271,0.7235
14,-0.1365,0.7437,0.6474,0.6911,0.7662,0.7286,0.6385,0.6342,0.6364,0.7207,0.7344,0.7275
14.1,-0.1514,0.7487,0.6524,0.6987,0.777,0.7379,0.6373,0.6366,0.637,0.7215,0.7413,0.7314
14.2,-0.1614,0.7524,0.657,0.7076,0.7864,0.747,0.6386,0.6394,0.639,0.7224,0.7474,0.7349
14.3,-0.1658,0.7549,0.6603,0.7172,0.7937,0.7555,0.6422,0.6422,0.6422,0.7233,0.7521,0.7377
14.4,-0.1644,0.7559,0.6616,0.7269,0.7986,0.7627,0.6479,0.6447,0.6463,0.7241,0.755,0.7395
14.5,-0.1574,0.7554,0.6604,0.7359,0.801,0.7685,0.6556,0.6465,0.651,0.7244,0.7557,0.74
14.6,-0.145,0.7532,0.6566,0.7441,0.8011,0.7726,0.6649,0.6474,0.6562,0.724,0.7541,0.7391
14.7,-0.1276,0.7494,0.6504,0.7515,0.7992,0.7753,0.6755,0.6471,0.6613,0.7231,0.7503,0.7367
14.8,-0.1056,0.7442,0.6417,0.7579,0.7952,0.7766,0.6865,0.6453,0.6659,0.7217,0.7444,0.733
14.9,-0.0795,0.7379,0.6303,0.763,0.7893,0.7761,0.6974,0.6415,0.6695,0.7198,0.7364,0.7281
15,-0.0499,0.7304,0.6163,0.7664,0.7819,0.7742,0.7074,0.6358,0.6716,0.7173,0.7262,0.7218
15.1,-0.0182,0.7221,0.5998,0.7681,0.774,0.7711,0.716,0.6283,0.6722,0.714,0.714,0.714
15.2,0.0138,0.7138,0.5816,0.7686,0.7666,0.7676,0.7228,0.6192,0.671,0.7099,0.7,0.7049
15.3,0.0442,0.7063,0.5622,0.7683,0.7603,0.7643,0.7277,0.6089,0.6683,0.7055,0.6848,0.6951
15.4,0.0715,0.6998,0.5422,0.7676,0.7552,0.7614,0.7305,0.5974,0.664,0.7014,0.6694,0.6854
15.5,0.095,0.6941,0.522,0.7664,0.751,0.7587,0.7315,0.5849,0.6582,0.698,0.6544,0.6762
15.6,0.1145,0.689,0.502,0.7644,0.7474,0.7559,0.7309,0.5717,0.6513,0.6953,0.64,0.6676
15.7,0.1298,0.6843,0.4827,0.7614,0.7438,0.7526,0.7289,0.5584,0.6437,0.693,0.6266,0.6598
15.8,0.1411,0.6799,0.4647,0.7575,0.7404,0.7489,0.7254,0.5457,0.6356,0.691,0.6144,0.6527
15.9,0.149,0.6759,0.4484,0.7529,0.7372,0.745,0.7205,0.5339,0.6272,0.6891,0.6035,0.6463
16,0.1538,0.6723,0.4342,0.7482,0.7342,0.7412,0.7139,0.523,0.6185,0.6869,0.5935,0.6402
16.1,0.1558,0.6687,0.4222,0.7438,0.7313,0.7376,0.7058,0.5129,0.6093,0.6836,0.5842,0.6339
16.2,0.1553,0.6643,0.4125,0.7398,0.7281,0.734,0.6962,0.5033,0.5997,0.679,0.5754,0.6272
16.3,0.1524,0.6585,0.4052,0.7363,0.7242,0.7302,0.6855,0.4941,0.5898,0.6725,0.5671,0.6198
16.4,0.1468,0.6517,0.4007,0.7329,0.7197,0.7263,0.6741,0.4858,0.5799,0.6646,0.5598,0.6122
16.5,0.1381,0.6442,0.3996,0.7297,0.7148,0.7222,0.6622,0.4786,0.5704,0.6556,0.5541,0.6049
16.6,0.1266,0.637,0.4018,0.727,0.7096,0.7183,0.6506,0.4727,0.5617,0.646,0.5506,0.5983
16.7,0.1132,0.6301,0.4069,0.7249,0.7042,0.7146,0.64,0.468,0.554,0.6361,0.5491,0.5926
16.8,0.0994,0.6233,0.414,0.7232,0.6983,0.7108,0.6306,0.4642,0.5474,0.6258,0.549,0.5874
16.9,0.0865,0.6165,0.4221,0.7215,0.6917,0.7066,0.6225,0.4607,0.5416,0.6154,0.5499,0.5827
17,0.0752,0.6095,0.4305,0.7197,0.6843,0.702,0.6157,0.4573,0.5365,0.6053,0.5515,0.5784
17.1,0.0653,0.6026,0.4386,0.7177,0.6764,0.6971,0.6103,0.4539,0.5321,0.5959,0.554,0.5749
17.2,0.0567,0.5962,0.4462,0.7153,0.6682,0.6917,0.606,0.4507,0.5284,0.5873,0.5572,0.5722
17.3,0.049,0.5901,0.453,0.7122,0.6596,0.6859,0.6027,0.448,0.5254,0.5793,0.5608,0.5701
17.4,0.0425,0.5843,0.459,0.7081,0.6505,0.6793,0.6003,0.4458,0.5231,0.5719,0.5646,0.5683
17.5,0.0376,0.5785,0.4638,0.7025,0.6407,0.6716,0.5985,0.444,0.5212,0.5655,0.5683,0.5669
17.6,0.0345,0.5725,0.4674,0.6951,0.6304,0.6627,0.5969,0.4424,0.5197,0.5604,0.572,0.5662
17.7,0.0324,0.5665,0.4699,0.6861,0.62,0.6531,0.5954,0.4413,0.5183,0.557,0.5761,0.5665
17.8,0.0306,0.5608,0.4715,0.6759,0.61,0.643,0.5937,0.4409,0.5173,0.5557,0.5808,0.5682
17.9,0.0285,0.5555,0.4729,0.665,0.6004,0.6327,0.5919,0.4415,0.5167,0.5567,0.5864,0.5716
18,0.0257,0.5507,0.4743,0.654,0.5911,0.6225,0.5902,0.4435,0.5169,0.5602,0.5931,0.5766
18.1,0.0214,0.5464,0.4761,0.6434,0.582,0.6127,0.5888,0.4474,0.5181,0.566,0.6008,0.5834
18.2,0.0146,0.5429,0.4786,0.6335,0.5736,0.6036,0.5879,0.4533,0.5206,0.5739,0.6094,0.5916
18.3,0.0042,0.5405,0.4819,0.6248,0.5666,0.5957,0.5877,0.4613,0.5245,0.5829,0.6186,0.6007
18.4,-0.01,0.5392,0.4861,0.6175,0.5612,0.5894,0.5881,0.4714,0.5298,0.5925,0.6279,0.6102
18.5,-0.0273,0.5395,0.4909,0.6124,0.5578,0.5851,0.5892,0.4831,0.5361,0.6022,0.6371,0.6196
18.6,-0.0464,0.5416,0.4961,0.6102,0.5563,0.5832,0.5909,0.4959,0.5434,0.6116,0.6462,0.6289
18.7,-0.0652,0.5459,0.502,0.6114,0.5566,0.584,0.5933,0.5094,0.5514,0.6208,0.655,0.6379
18.8,-0.0825,0.5524,0.5086,0.6162,0.5589,0.5875,0.5967,0.5234,0.56,0.6294,0.6632,0.6463
18.9,-0.0974,0.5614,0.5168,0.6244,0.5633,0.5938,0.6009,0.5381,0.5695,0.6371,0.6702,0.6537
19,-0.1098,0.5727,0.5269,0.6351,0.5701,0.6026,0.606,0.5535,0.5798,0.6439,0.6755,0.6597
19.1,-0.1196,0.5862,0.539,0.6477,0.579,0.6134,0.6117,0.5697,0.5907,0.6497,0.6785,0.6641
19.2,-0.1264,0.6017,0.5528,0.6617,0.5899,0.6258,0.618,0.5861,0.6021,0.6548,0.6792,0.667
19.3,-0.1298,0.619,0.5679,0.6768,0.6028,0.6398,0.6248,0.6023,0.6136,0.6594,0.6777,0.6686
19.4,-0.1293,0.6377,0.5841,0.6932,0.6176,0.6554,0.6323,0.6175,0.6249,0.6639,0.6744,0.6691
19.5,-0.125,0.6571,0.6009,0.7103,0.6338,0.672,0.6402,0.6313,0.6357,0.6683,0.6697,0.669
19.6,-0.1173,0.6765,0.6176,0.7272,0.6507,0.689,0.6485,0.6434,0.6459,0.6727,0.6646,0.6687
19.7,-0.1071,0.6954,0.6337,0.743,0.6679,0.7054,0.6567,0.6538,0.6552,0.677,0.6596,0.6683
19.8,-0.0958,0.7136,0.6484,0.7568,0.6847,0.7208,0.6645,0.6623,0.6634,0.6813,0.6551,0.6682
19.9,-0.0842,0.7306,0.6612,0.7683,0.7006,0.7344,0.6717,0.6689,0.6703,0.6853,0.6511,0.6682
20,-0.0729,0.7461,0.6716,0.777,0.7152,0.7461,0.6779,0.6735,0.6757,0.6889,0.6475,0.6682
20.1,-0.062,0.7597,0.6791,0.7829,0.7277,0.7553,0.6832,0.6762,0.6797,0.6922,0.6442,0.6682
20.2,-0.0519,0.7711,0.6839,0.7854,0.738,0.7617,0.6873,0.6769,0.6821,0.6956,0.6416,0.6686
20.3,-0.0437,0.7804,0.6863,0.7845,0.7458,0.7651,0.6903,0.6761,0.6832,0.6996,0.6399,0.6697
20.4,-0.0384,0.7874,0.6863,0.78,0.7513,0.7657,0.6922,0.6736,0.6829,0.7038,0.6393,0.6716
20.5,-0.0367,0.7919,0.6842,0.7721,0.7541,0.7631,0.6927,0.6693,0.681,0.7078,0.6397,0.6737
20.6,-0.0389,0.7935,0.6799,0.7606,0.7542,0.7574,0.6915,0.6632,0.6773,0.7109,0.6403,0.6756
20.7,-0.0446,0.792,0.6737,0.7455,0.7512,0.7483,0.688,0.6549,0.6714,0.7122,0.6407,0.6764
20.8,-0.0535,0.7876,0.6657,0.727,0.7454,0.7362,0.682,0.6444,0.6632,0.7116,0.6404,0.676
20.9,-0.0652,0.7807,0.6562,0.7055,0.7378,0.7216,0.6736,0.6318,0.6527,0.7091,0.6395,0.6743
21,-0.0799,0.772,0.6459,0.6818,0.729,0.7054,0.6631,0.6179,0.6405,0.7047,0.6376,0.6711
21.1,-0.0975,0.7619,0.6354,0.6567,0.7199,0.6883,0.651,0.6033,0.6271,0.6981,0.6349,0.6665
21.2,-0.117,0.7505,0.6255,0.6309,0.7106,0.6707,0.6379,0.5888,0.6133,0.6893,0.6314,0.6604
21.3,-0.1373,0.738,0.6168,0.6047,0.7012,0.653,0.6242,0.5748,0.5995,0.6781,0.6272,0.6527
