Time,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.3,-0.2216,0.7535,0.6465,0.7093,0.8274,0.7684,0.6078,0.5887,0.5982,0.7037,0.731,0.7174
8.4,-0.2095,0.7549,0.658,0.717,0.8257,0.7713,0.619,0.5882,0.6036,0.6879,0.7237,0.7058
8.5,-0.196,0.7533,0.6737,0.722,0.8229,0.7725,0.6297,0.5919,0.6108,0.6729,0.7161,0.6945
8.6,-0.1813,0.7491,0.6935,0.7249,0.8194,0.7721,0.6397,0.5997,0.6197,0.6595,0.7082,0.6839
8.7,-0.1649,0.7425,0.7168,0.7255,0.8154,0.7704,0.649,0.6112,0.6301,0.6483,0.7006,0.6744
8.8,-0.146,0.7337,0.7428,0.7237,0.8107,0.7672,0.6579,0.626,0.642,0.6399,0.6937,0.6668
8.9,-0.1249,0.7227,0.7703,0.7198,0.8051,0.7624,0.6669,0.6436,0.6553,0.6348,0.6883,0.6615
9,-0.1023,0.71,0.7982,0.7145,0.7981,0.7563,0.6758,0.6633,0.6696,0.633,0.6848,0.6589
9.1,-0.0796,0.6962,0.8253,0.7084,0.7898,0.7491,0.6842,0.6841,0.6841,0.6343,0.6835,0.6589
9.2,-0.0574,0.6816,0.8506,0.7023,0.7802,0.7412,0.6911,0.7048,0.698,0.6382,0.685,0.6616
9.3,-0.0362,0.6662,0.8732,0.696,0.7693,0.7326,0.6962,0.7246,0.7104,0.6444,0.6897,0.6671
9.4,-0.0162,0.6504,0.8926,0.6896,0.7575,0.7236,0.6994,0.7428,0.7211,0.6529,0.6982,0.6756
9.5,0.0019,0.6348,0.9088,0.6839,0.7456,0.7147,0.7014,0.7592,0.7303,0.6637,0.7107,0.6872
9.6,0.0176,0.6204,0.9225,0.6798,0.7346,0.7072,0.7024,0.7735,0.738,0.6765,0.7266,0.7015
9.7,0.0306,0.6083,0.9342,0.6784,0.7254,0.7019,0.7028,0.7854,0.7441,0.6908,0.745,0.7179
9.8,0.0407,0.5986,0.944,0.6796,0.7183,0.699,0.7024,0.7945,0.7484,0.7057,0.7645,0.7351
9.9,0.0481,0.5911,0.9515,0.6824,0.713,0.6977,0.7009,0.8007,0.7508,0.72,0.7837,0.7518
10,0.052,0.5854,0.9561,0.685,0.709,0.697,0.6984,0.8039,0.7511,0.7324,0.801,0.7667
