Time,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC
5.7,-0.5769,0.652,0.7763,0.5005,0.4903,0.4954,0.5534,0.5749,0.5642,0.6986,0.7378,0.7182
5.8,-0.5914,0.656,0.7719,0.5185,0.5036,0.5111,0.5512,0.5756,0.5634,0.697,0.7362,0.7166
5.9,-0.5998,0.6609,0.7655,0.5401,0.5163,0.5282,0.5484,0.5751,0.5617,0.6942,0.7342,0.7142
6,-0.6028,0.6655,0.7567,0.564,0.5274,0.5457,0.5443,0.5722,0.5583,0.6898,0.7312,0.7105
6.1,-0.6011,0.6688,0.7457,0.589,0.5361,0.5625,0.5382,0.5666,0.5524,0.6833,0.727,0.7052
6.2,-0.5946,0.6701,0.7327,0.6136,0.5419,0.5777,0.5295,0.5581,0.5438,0.6748,0.7218,0.6983
6.3,-0.5829,0.6694,0.7176,0.6364,0.5449,0.5907,0.5179,0.5465,0.5322,0.6643,0.7158,0.6901
6.4,-0.5652,0.6665,0.7003,0.6564,0.5451,0.6007,0.5029,0.5314,0.5172,0.6519,0.709,0.6805
6.5,-0.5413,0.6608,0.6812,0.6727,0.5428,0.6078,0.4848,0.5131,0.4989,0.638,0.7017,0.6698
6.6,-0.5121,0.6518,0.6616,0.6846,0.5391,0.6119,0.4643,0.4923,0.4783,0.6229,0.6941,0.6585
6.7,-0.4796,0.6391,0.6431,0.6914,0.5352,0.6133,0.4429,0.4702,0.4566,0.6073,0.6867,0.647
6.8,-0.4464,0.6229,0.6267,0.6918,0.5318,0.6118,0.422,0.4488,0.4354,0.5918,0.68,0.6359
6.9,-0.4145,0.6036,0.6136,0.6849,0.5294,0.6072,0.4029,0.4295,0.4162,0.5771,0.6742,0.6257
7,-0.386,0.582,0.6047,0.6708,0.5284,0.5996,0.3857,0.4135,0.3996,0.5635,0.6696,0.6166
7.1,-0.3625,0.559,0.6003,0.6504,0.5288,0.5896,0.3709,0.4015,0.3862,0.5512,0.6658,0.6085
7.2,-0.3444,0.5357,0.6004,0.6258,0.5314,0.5786,0.3587,0.3936,0.3762,0.5406,0.6629,0.6018
7.3,-0.3306,0.5134,0.6045,0.5988,0.5365,0.5677,0.35,0.3901,0.3701,0.5322,0.6607,0.5965
7.4,-0.3194,0.4931,0.6118,0.5707,0.5439,0.5573,0.3452,0.3908,0.368,0.5263,0.6593,0.5928
7.5,-0.309,0.4751,0.6212,0.542,0.552,0.547,0.344,0.3949,0.3695,0.523,0.6585,0.5907
7.6,-0.298,0.4594,0.6318,0.5125,0.5592,0.5358,0.3457,0.4016,0.3736,0.5218,0.6577,0.5898
7.7,-0.2854,0.4452,0.6427,0.4822,0.5642,0.5232,0.3492,0.4097,0.3794,0.5222,0.6565,0.5894
7.8,-0.2713,0.4319,0.6535,0.4514,0.5667,0.509,0.354,0.4183,0.3862,0.5236,0.6544,0.589
7.9,-0.2554,0.4199,0.6641,0.421,0.5667,0.4938,0.3597,0.4272,0.3934,0.5259,0.651,0.5885
8,-0.2376,0.4095,0.6742,0.3922,0.5648,0.4785,0.3661,0.4364,0.4013,0.5287,0.6464,0.5876
8.1,-0.2169,0.4019,0.6834,0.3664,0.5617,0.4641,0.3731,0.4458,0.4095,0.5319,0.6405,0.5862
8.2,-0.1928,0.3978,0.6915,0.345,0.5578,0.4514,0.3802,0.4552,0.4177,0.5349,0.6335,0.5842
8.3,-0.1647,0.3981,0.6981,0.3285,0.5535,0.441,0.3872,0.4639,0.4255,0.5371,0.6254,0.5813
8.4,-0.1325,0.4031,0.7031,0.317,0.5491,0.433,0.3936,0.4715,0.4326,0.5386,0.6165,0.5775
8.5,-0.0965,0.4121,0.7061,0.3095,0.5447,0.4271,0.3989,0.4776,0.4383,0.5392,0.6066,0.5729
8.6,-0.0583,0.4246,0.7071,0.3054,0.5402,0.4228,0.4031,0.4814,0.4422,0.5395,0.596,0.5677
8.7,-0.0194,0.4398,0.7064,0.3041,0.5354,0.4197,0.4062,0.4825,0.4444,0.5398,0.5849,0.5623
8.8,0.0189,0.457,0.7047,0.3054,0.5302,0.4178,0.4093,0.4812,0.4453,0.5408,0.5741,0.5574
8.9,0.0565,0.4757,0.7027,0.3091,0.5248,0.4169,0.4132,0.4783,0.4458,0.543,0.5647,0.5538
9,0.0933,0.4955,0.7005,0.3151,0.5193,0.4172,0.4191,0.4748,0.4469,0.547,0.5577,0.5524
9.1,0.1299,0.5159,0.6982,0.3233,0.5136,0.4184,0.4277,0.4719,0.4498,0.5534,0.5539,0.5536
9.2,0.1665,0.5366,0.6962,0.3336,0.5076,0.4206,0.4392,0.4706,0.4549,0.5625,0.5536,0.5581
9.3,0.2021,0.5571,0.6955,0.3462,0.5017,0.424,0.454,0.4716,0.4628,0.5745,0.5576,0.5661
9.4,0.2365,0.5767,0.697,0.3606,0.496,0.4283,0.4723,0.4751,0.4737,0.5895,0.5665,0.578
9.5,0.2699,0.5947,0.7009,0.3762,0.4901,0.4332,0.4941,0.4812,0.4876,0.6069,0.5803,0.5936
9.6,0.3021,0.6107,0.7061,0.392,0.4837,0.4379,0.5187,0.4898,0.5042,0.6257,0.5979,0.6118
9.7,0.3319,0.6242,0.7112,0.407,0.4767,0.4418,0.5448,0.5003,0.5225,0.6443,0.6176,0.6309
9.8,0.3574,0.635,0.7154,0.4205,0.4693,0.4449,0.5708,0.5118,0.5413,0.6614,0.6375,0.6494
9.9,0.3772,0.6426,0.7188,0.4323,0.4619,0.4471,0.5951,0.5237,0.5594,0.676,0.6562,0.6661
10,0.3903,0.6476,0.7213,0.4418,0.455,0.4484,0.6158,0.5353,0.5756,0.6879,0.6728,0.6803
10.1,0.3963,0.6506,0.7228,0.449,0.4491,0.4491,0.6315,0.5459,0.5887,0.6969,0.6869,0.6919
10.2,0.3954,0.6526,0.7223,0.4545,0.4447,0.4496,0.6415,0.555,0.5983,0.7032,0.6985,0.7008
10.3,0.3881,0.6542,0.719,0.4594,0.4424,0.4509,0.6462,0.5624,0.6043,0.7067,0.7078,0.7073
10.4,0.3746,0.6559,0.7127,0.4649,0.4427,0.4538,0.6466,0.5678,0.6072,0.7077,0.715,0.7114
10.5,0.3554,0.6584,0.7032,0.4717,0.4456,0.4586,0.6438,0.5712,0.6075,0.7063,0.7202,0.7132
10.6,0.3312,0.6621,0.6904,0.4798,0.451,0.4654,0.6383,0.5724,0.6053,0.7025,0.7229,0.7127
10.7,0.3036,0.6665,0.6736,0.4888,0.4578,0.4733,0.6303,0.5711,0.6007,0.6961,0.7229,0.7095
10.8,0.2743,0.6708,0.6525,0.4979,0.4651,0.4815,0.6201,0.5669,0.5935,0.6871,0.7199,0.7035
10.9,0.244,0.6739,0.6274,0.5069,0.4721,0.4895,0.6079,0.56,0.5839,0.6756,0.7141,0.6948
11,0.2125,0.6756,0.5989,0.516,0.4794,0.4977,0.5943,0.551,0.5727,0.6624,0.7053,0.6839
11.1,0.1792,0.6763,0.5677,0.5261,0.4878,0.5069,0.5798,0.5409,0.5604,0.6483,0.6938,0.6711
11.2,0.1436,0.6772,0.5338,0.5385,0.4981,0.5183,0.5653,0.5301,0.5477,0.6336,0.6799,0.6568
11.3,0.106,0.6793,0.4977,0.5543,0.5109,0.5326,0.5513,0.5191,0.5352,0.6186,0.6643,0.6415
11.4,0.0679,0.6829,0.4594,0.5735,0.5263,0.5499,0.5382,0.5079,0.5231,0.6035,0.6476,0.6256
11.5,0.0309,0.6878,0.4198,0.5952,0.5443,0.5698,0.5261,0.4961,0.5111,0.5884,0.6302,0.6093
11.6,-0.0041,0.6938,0.3797,0.618,0.5649,0.5914,0.5144,0.4836,0.499,0.5736,0.612,0.5928
11.7,-0.0364,0.7008,0.3402,0.6407,0.5878,0.6142,0.5027,0.4708,0.4868,0.5592,0.5926,0.5759
11.8,-0.0648,0.7083,0.3027,0.6625,0.6125,0.6375,0.4912,0.4582,0.4747,0.5455,0.572,0.5587
11.9,-0.0888,0.7158,0.2684,0.6832,0.6383,0.6608,0.4803,0.4465,0.4634,0.5326,0.551,0.5418
12,-0.1082,0.7231,0.2382,0.7027,0.6647,0.6837,0.4715,0.4367,0.4541,0.5211,0.5306,0.5259
12.1,-0.1226,0.7299,0.2125,0.7206,0.6909,0.7057,0.4654,0.4302,0.4478,0.5113,0.512,0.5117
12.2,-0.1317,0.7358,0.1913,0.736,0.7164,0.7262,0.4623,0.4276,0.445,0.5035,0.4961,0.4998
12.3,-0.1364,0.7401,0.1747,0.7477,0.7401,0.7439,0.4615,0.4291,0.4453,0.4972,0.4827,0.49
12.4,-0.1384,0.7421,0.1631,0.755,0.7613,0.7582,0.4622,0.4342,0.4482,0.4923,0.4712,0.4818
12.5,-0.1391,0.7412,0.1564,0.7575,0.7791,0.7683,0.4638,0.4421,0.4529,0.4885,0.4612,0.4749
12.6,-0.14,0.7373,0.1547,0.7551,0.7933,0.7742,0.4656,0.4517,0.4586,0.4858,0.4525,0.4691
12.7,-0.1419,0.7305,0.1575,0.7487,0.8033,0.776,0.4668,0.4623,0.4645,0.4841,0.4452,0.4646
12.8,-0.145,0.7217,0.1647,0.7389,0.8084,0.7736,0.4664,0.473,0.4697,0.483,0.4392,0.4611
12.9,-0.1497,0.7118,0.1762,0.7269,0.8084,0.7676,0.4638,0.4829,0.4734,0.4824,0.4348,0.4586
13,-0.1565,0.7015,0.1922,0.7134,0.8041,0.7588,0.4586,0.4909,0.4748,0.4821,0.432,0.4571
13.1,-0.165,0.6914,0.2129,0.699,0.7961,0.7476,0.4505,0.4957,0.4731,0.4825,0.4313,0.4569
13.2,-0.1738,0.6815,0.2378,0.6841,0.785,0.7345,0.4389,0.4962,0.4676,0.4835,0.4328,0.4581
13.3,-0.1812,0.672,0.2664,0.6694,0.7711,0.7202,0.4239,0.4925,0.4582,0.4848,0.4363,0.4605
13.4,-0.1863,0.6629,0.2984,0.6557,0.7544,0.705,0.4064,0.4852,0.4458,0.486,0.4421,0.464
13.5,-0.1888,0.6545,0.3337,0.6433,0.7351,0.6892,0.3881,0.4756,0.4319,0.487,0.45,0.4685
13.6,-0.1885,0.6463,0.3718,0.6316,0.7134,0.6725,0.3707,0.465,0.4178,0.4877,0.46,0.4739
13.7,-0.1851,0.6376,0.4118,0.6194,0.6887,0.6541,0.355,0.4537,0.4043,0.4876,0.4718,0.4797
13.8,-0.1784,0.6278,0.4514,0.6056,0.6606,0.6331,0.3411,0.4414,0.3913,0.4857,0.4846,0.4852
13.9,-0.1688,0.6165,0.488,0.5899,0.6297,0.6098,0.3285,0.4279,0.3782,0.4816,0.4977,0.4896
14,-0.1573,0.6043,0.5196,0.5731,0.597,0.5851,0.3174,0.4135,0.3655,0.4752,0.5109,0.493
14.1,-0.1445,0.5917,0.5456,0.5563,0.5644,0.5604,0.3081,0.3992,0.3537,0.4671,0.5243,0.4957
14.2,-0.1311,0.5797,0.5664,0.5404,0.5334,0.5369,0.3012,0.3861,0.3436,0.4581,0.5381,0.4981
14.3,-0.118,0.5688,0.5826,0.5258,0.505,0.5154,0.2967,0.375,0.3358,0.4486,0.5515,0.5001
14.4,-0.1061,0.5594,0.5944,0.5126,0.479,0.4958,0.2943,0.3663,0.3303,0.4388,0.5639,0.5013
14.5,-0.0961,0.5513,0.602,0.5004,0.4551,0.4778,0.2941,0.3596,0.3269,0.4281,0.5748,0.5015
14.6,-0.0883,0.5441,0.6058,0.489,0.433,0.461,0.2963,0.3549,0.3256,0.4166,0.5844,0.5005
14.7,-0.0826,0.5371,0.6062,0.4775,0.4128,0.4452,0.3008,0.3521,0.3265,0.4042,0.5925,0.4984
14.8,-0.0781,0.5299,0.6032,0.4654,0.3946,0.43,0.3073,0.3512,0.3293,0.3916,0.5983,0.495
14.9,-0.0743,0.5217,0.5966,0.4523,0.3784,0.4153,0.3153,0.3522,0.3337,0.3793,0.6011,0.4902
15,-0.0709,0.5125,0.5861,0.4382,0.3637,0.401,0.3243,0.3551,0.3397,0.3681,0.6006,0.4843
15.1,-0.0679,0.5018,0.5723,0.4232,0.3499,0.3866,0.3344,0.3604,0.3474,0.359,0.5978,0.4784
15.2,-0.0652,0.4897,0.5562,0.4072,0.3363,0.3717,0.346,0.3677,0.3568,0.3527,0.5943,0.4735
15.3,-0.0632,0.4763,0.5388,0.3902,0.3226,0.3564,0.3589,0.3766,0.3677,0.3498,0.5918,0.4708
15.4,-0.0627,0.4625,0.5213,0.3727,0.3091,0.3409,0.3725,0.3864,0.3794,0.3504,0.5912,0.4708
15.5,-0.064,0.4491,0.5042,0.3552,0.2966,0.3259,0.386,0.3972,0.3916,0.3546,0.593,0.4738
15.6,-0.0672,0.4369,0.4886,0.3385,0.2861,0.3123,0.3984,0.4088,0.4036,0.3623,0.5973,0.4798
15.7,-0.0724,0.4263,0.475,0.3232,0.2782,0.3007,0.4091,0.4209,0.415,0.373,0.6036,0.4883
15.8,-0.0795,0.4174,0.4634,0.3095,0.273,0.2913,0.4175,0.4324,0.4249,0.3855,0.6114,0.4985
15.9,-0.0879,0.4102,0.4536,0.2977,0.2701,0.2839,0.423,0.4424,0.4327,0.3986,0.62,0.5093
16,-0.0968,0.405,0.4454,0.2882,0.2693,0.2788,0.426,0.4508,0.4384,0.4114,0.629,0.5202
16.1,-0.105,0.4023,0.439,0.2825,0.2704,0.2765,0.4276,0.4583,0.443,0.4234,0.6384,0.5309
16.2,-0.1116,0.4022,0.435,0.2812,0.2733,0.2772,0.429,0.4657,0.4473,0.4345,0.6484,0.5415
16.3,-0.1162,0.4048,0.4337,0.2843,0.2777,0.281,0.431,0.4728,0.4519,0.4449,0.6588,0.5518
16.4,-0.1186,0.4093,0.4353,0.2912,0.2831,0.2872,0.4335,0.4796,0.4565,0.4545,0.6688,0.5616
16.5,-0.1187,0.4155,0.4393,0.3015,0.289,0.2953,0.4361,0.4856,0.4608,0.4634,0.6767,0.5701
16.6,-0.1162,0.423,0.4459,0.3154,0.295,0.3052,0.439,0.4912,0.4651,0.4717,0.6816,0.5766
16.7,-0.1111,0.4318,0.4553,0.3332,0.3011,0.3171,0.4427,0.4969,0.4698,0.4793,0.6835,0.5814
16.8,-0.1039,0.4412,0.4675,0.3544,0.3072,0.3308,0.4475,0.5032,0.4754,0.4864,0.6829,0.5847
16.9,-0.095,0.4505,0.4821,0.3776,0.3134,0.3455,0.4532,0.5097,0.4814,0.4928,0.6799,0.5864
17,-0.0844,0.4587,0.498,0.4015,0.3196,0.3605,0.4592,0.5155,0.4874,0.4982,0.6742,0.5862
17.1,-0.0717,0.4652,0.5139,0.4256,0.3257,0.3757,0.4651,0.5198,0.4925,0.5023,0.6654,0.5838
17.2,-0.0573,0.4695,0.529,0.4501,0.3316,0.3909,0.471,0.5225,0.4968,0.5052,0.6543,0.5798
17.3,-0.0425,0.4715,0.5432,0.4751,0.3372,0.4061,0.4773,0.5241,0.5007,0.5074,0.6426,0.575
17.4,-0.0283,0.4709,0.557,0.4995,0.3427,0.4211,0.4843,0.5254,0.5048,0.5096,0.6317,0.5706
17.5,-0.0157,0.4678,0.5707,0.522,0.3483,0.4352,0.4918,0.5268,0.5093,0.5121,0.6219,0.567
17.6,-0.0048,0.4624,0.5837,0.5415,0.3542,0.4479,0.4996,0.5281,0.5138,0.5152,0.6132,0.5642
17.7,0.0042,0.4552,0.5955,0.5578,0.36,0.4589,0.5077,0.5288,0.5182,0.5187,0.6052,0.562
17.8,0.0105,0.4469,0.6055,0.5716,0.366,0.4688,0.5157,0.5284,0.5221,0.5223,0.5979,0.5601
17.9,0.0136,0.4384,0.6136,0.5835,0.3729,0.4782,0.5233,0.527,0.5252,0.5257,0.5913,0.5585
18,0.0131,0.431,0.6199,0.594,0.3817,0.4879,0.5303,0.5251,0.5277,0.5289,0.5855,0.5572
18.1,0.0098,0.4256,0.6249,0.6029,0.3933,0.4981,0.5366,0.5232,0.5299,0.5321,0.5811,0.5566
18.2,0.0047,0.4229,0.6288,0.6099,0.4077,0.5088,0.5425,0.5217,0.5321,0.5355,0.5785,0.557
18.3,-0.0019,0.4231,0.6321,0.6146,0.4243,0.5195,0.548,0.5207,0.5344,0.5396,0.5783,0.559
18.4,-0.0101,0.426,0.6355,0.6171,0.4426,0.5299,0.5529,0.5206,0.5368,0.5444,0.5806,0.5625
18.5,-0.0199,0.4317,0.6394,0.6176,0.4624,0.54,0.5567,0.5215,0.5391,0.5497,0.5853,0.5675
18.6,-0.0311,0.4399,0.644,0.6163,0.4836,0.5499,0.5591,0.5233,0.5412,0.5552,0.5916,0.5734
18.7,-0.0432,0.4504,0.6488,0.6137,0.5059,0.5598,0.5603,0.5258,0.543,0.5602,0.5986,0.5794
18.8,-0.056,0.463,0.653,0.6098,0.5289,0.5694,0.5609,0.5289,0.5449,0.5647,0.6053,0.585
18.9,-0.069,0.477,0.6561,0.6048,0.5517,0.5783,0.5617,0.533,0.5473,0.5685,0.6113,0.5899
19,-0.0813,0.492,0.6572,0.5986,0.5732,0.5859,0.5633,0.5378,0.5505,0.5719,0.6162,0.5941
19.1,-0.0928,0.5074,0.6553,0.5911,0.5927,0.5919,0.566,0.5428,0.5544,0.5747,0.6199,0.5973
19.2,-0.1036,0.5228,0.6499,0.5821,0.6098,0.596,0.5699,0.5476,0.5587,0.577,0.622,0.5995
19.3,-0.1144,0.5378,0.6413,0.5721,0.6245,0.5983,0.5751,0.5522,0.5637,0.5789,0.6229,0.6009
19.4,-0.1252,0.5526,0.63,0.5614,0.6369,0.5992,0.582,0.5568,0.5694,0.581,0.6233,0.6021
19.5,-0.135,0.567,0.6171,0.5506,0.6469,0.5988,0.5901,0.5613,0.5757,0.5836,0.6236,0.6036
19.6,-0.1432,0.5806,0.603,0.5395,0.6541,0.5968,0.5987,0.5649,0.5818,0.587,0.6245,0.6057
19.7,-0.1499,0.5926,0.5879,0.528,0.6584,0.5932,0.6065,0.5669,0.5867,0.5912,0.6259,0.6085
19.8,-0.1558,0.6023,0.5722,0.5161,0.6604,0.5882,0.6129,0.5674,0.5902,0.5959,0.628,0.6119
19.9,-0.1617,0.6095,0.5565,0.5045,0.6605,0.5825,0.6177,0.5674,0.5925,0.6008,0.6311,0.616
20,-0.1679,0.6141,0.5415,0.4941,0.6591,0.5766,0.6212,0.5679,0.5946,0.606,0.6355,0.6208
20.1,-0.1736,0.6159,0.5277,0.4856,0.656,0.5708,0.6238,0.5699,0.5968,0.6113,0.6412,0.6262
20.2,-0.1782,0.6148,0.5151,0.4786,0.6509,0.5648,0.6256,0.5731,0.5993,0.6162,0.648,0.6321
20.3,-0.181,0.6107,0.5037,0.4728,0.6435,0.5582,0.6266,0.5772,0.6019,0.6207,0.655,0.6378
20.4,-0.1813,0.6039,0.4941,0.4681,0.6338,0.551,0.6274,0.582,0.6047,0.6248,0.6618,0.6433
20.5,-0.1781,0.5954,0.4875,0.4653,0.6221,0.5437,0.6284,0.5882,0.6083,0.6294,0.6688,0.6491
20.6,-0.1702,0.5861,0.4854,0.4652,0.6083,0.5367,0.6302,0.5965,0.6134,0.6351,0.6765,0.6558
20.7,-0.1562,0.5768,0.4882,0.4677,0.5922,0.5299,0.6331,0.6074,0.6203,0.6421,0.6853,0.6637
20.8,-0.1354,0.5676,0.4954,0.472,0.5738,0.5229,0.637,0.6205,0.6287,0.6501,0.6942,0.6721
20.9,-0.108,0.5583,0.5064,0.4769,0.5533,0.5151,0.6414,0.6346,0.638,0.6581,0.702,0.68
