Time,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC
5.4,0.098,0.7214,0.4705,0.5257,0.477,0.5013,0.3074,0.3873,0.3474,0.261,0.5474,0.4042
5.5,0.099,0.7098,0.4551,0.515,0.4552,0.4851,0.2927,0.3693,0.331,0.2473,0.5416,0.3944
5.6,0.0997,0.6983,0.4313,0.5032,0.4335,0.4684,0.2735,0.3445,0.309,0.2322,0.5278,0.38
5.7,0.102,0.6874,0.3999,0.4906,0.4119,0.4512,0.2508,0.3138,0.2823,0.2156,0.5066,0.3611
5.8,0.1079,0.6782,0.3629,0.4777,0.3908,0.4343,0.2258,0.2791,0.2524,0.1973,0.4787,0.338
5.9,0.1182,0.6716,0.3222,0.4658,0.3712,0.4185,0.1989,0.2424,0.2206,0.1775,0.4456,0.3116
6,0.1323,0.6679,0.2801,0.4556,0.3542,0.4049,0.1703,0.2063,0.1883,0.1575,0.409,0.2832
6.1,0.1493,0.6666,0.238,0.4474,0.3407,0.394,0.1404,0.1731,0.1568,0.1389,0.3707,0.2548
6.2,0.1683,0.6667,0.1971,0.4408,0.3308,0.3858,0.1106,0.144,0.1273,0.1234,0.333,0.2282
6.3,0.1878,0.6669,0.1587,0.435,0.3237,0.3794,0.0823,0.1197,0.101,0.112,0.298,0.205
6.4,0.2054,0.6664,0.124,0.4296,0.3188,0.3742,0.0572,0.1005,0.0788,0.1051,0.2677,0.1864
6.5,0.2189,0.6647,0.0945,0.4247,0.3167,0.3707,0.0369,0.0873,0.0621,0.1036,0.2438,0.1737
6.6,0.2275,0.6621,0.0715,0.4214,0.3185,0.3699,0.0231,0.0803,0.0517,0.109,0.2281,0.1686
6.7,0.2315,0.6593,0.0559,0.4213,0.3256,0.3735,0.0178,0.0796,0.0487,0.1232,0.222,0.1726
6.8,0.232,0.6571,0.0484,0.4259,0.3389,0.3824,0.022,0.0851,0.0535,0.1464,0.2254,0.1859
6.9,0.2303,0.6561,0.0489,0.4351,0.3575,0.3963,0.0358,0.0961,0.066,0.1776,0.2368,0.2072
7,0.2272,0.6567,0.0563,0.4488,0.3799,0.4144,0.0582,0.1115,0.0849,0.2147,0.2542,0.2344
7.1,0.2236,0.659,0.0696,0.4662,0.4053,0.4357,0.0878,0.1301,0.109,0.2557,0.275,0.2653
7.2,0.2204,0.6629,0.0877,0.4863,0.4327,0.4595,0.1237,0.1508,0.1373,0.299,0.2977,0.2983
7.3,0.2185,0.6683,0.1111,0.5085,0.4614,0.485,0.1653,0.1733,0.1693,0.3432,0.3215,0.3323
7.4,0.2179,0.675,0.1398,0.5321,0.4905,0.5113,0.211,0.1968,0.2039,0.3864,0.345,0.3657
7.5,0.2185,0.6828,0.1729,0.5566,0.5191,0.5379,0.2585,0.2209,0.2397,0.426,0.3666,0.3963
7.6,0.22,0.6916,0.2083,0.5818,0.5468,0.5643,0.3058,0.2447,0.2753,0.4599,0.385,0.4224
7.7,0.2217,0.7017,0.2443,0.6072,0.574,0.5906,0.3516,0.2679,0.3097,0.487,0.3997,0.4434
7.8,0.2236,0.7134,0.2803,0.6331,0.6007,0.6169,0.396,0.2906,0.3433,0.5068,0.4107,0.4588
7.9,0.2256,0.7267,0.3163,0.6595,0.6267,0.6431,0.4389,0.3138,0.3764,0.5187,0.4181,0.4684
8,0.2277,0.7414,0.3515,0.6861,0.6514,0.6687,0.4799,0.3378,0.4089,0.5225,0.4213,0.4719
8.1,0.2288,0.7568,0.3844,0.7123,0.6742,0.6932,0.5178,0.3624,0.4401,0.5182,0.4199,0.469
8.2,0.2278,0.7724,0.4129,0.7374,0.6948,0.7161,0.5514,0.3867,0.469,0.5067,0.4136,0.4601
8.3,0.2243,0.7878,0.4359,0.7609,0.7132,0.7371,0.58,0.4094,0.4947,0.4888,0.4029,0.4459
8.4,0.2182,0.8029,0.4535,0.7828,0.7295,0.7561,0.6034,0.4299,0.5167,0.4656,0.3882,0.4269
8.5,0.2092,0.8173,0.4658,0.8027,0.7436,0.7731,0.6213,0.4482,0.5347,0.438,0.3702,0.4041
8.6,0.1971,0.8301,0.4729,0.8199,0.7552,0.7875,0.6333,0.4643,0.5488,0.4072,0.3493,0.3783
8.7,0.1814,0.8403,0.4745,0.8333,0.7637,0.7985,0.6391,0.478,0.5585,0.3747,0.326,0.3503
8.8,0.1627,0.8471,0.4707,0.8419,0.7686,0.8052,0.6379,0.4886,0.5633,0.3414,0.3011,0.3213
8.9,0.1428,0.8501,0.4618,0.8451,0.77,0.8075,0.6301,0.4957,0.5629,0.3083,0.2758,0.2921
9,0.1243,0.8493,0.449,0.8433,0.7683,0.8058,0.6168,0.4997,0.5583,0.2762,0.2513,0.2637
9.1,0.1086,0.8447,0.4327,0.8372,0.7638,0.8005,0.5993,0.5013,0.5503,0.2458,0.2288,0.2373
9.2,0.0956,0.836,0.413,0.8269,0.7567,0.7918,0.5783,0.5011,0.5397,0.2183,0.2089,0.2136
9.3,0.0843,0.8229,0.3893,0.8121,0.7467,0.7794,0.554,0.499,0.5265,0.1951,0.1917,0.1934
9.4,0.0745,0.8049,0.361,0.7923,0.7337,0.763,0.5267,0.495,0.5108,0.1773,0.1771,0.1772
9.5,0.0671,0.7825,0.3279,0.7677,0.7174,0.7425,0.4971,0.4889,0.493,0.1656,0.1652,0.1654
9.6,0.0637,0.7562,0.2903,0.7392,0.6979,0.7186,0.4666,0.4811,0.4739,0.1609,0.1566,0.1587
9.7,0.0653,0.7271,0.2501,0.7084,0.6754,0.6919,0.4372,0.4722,0.4547,0.164,0.1521,0.158
9.8,0.0715,0.6965,0.2098,0.6766,0.651,0.6638,0.4111,0.4629,0.437,0.1754,0.1525,0.164
9.9,0.0809,0.6655,0.1721,0.645,0.6263,0.6357,0.3901,0.4542,0.4221,0.1953,0.1581,0.1767
10,0.0925,0.6352,0.1398,0.6148,0.6023,0.6086,0.3755,0.4468,0.4111,0.2234,0.1687,0.196
10.1,0.1057,0.6067,0.1154,0.5867,0.5796,0.5832,0.3682,0.4412,0.4047,0.2588,0.1842,0.2215
10.2,0.1203,0.5807,0.1009,0.5612,0.5585,0.5598,0.3683,0.4382,0.4033,0.3002,0.2041,0.2522
10.3,0.1356,0.5577,0.0976,0.5388,0.5389,0.5388,0.3759,0.4386,0.4072,0.3463,0.2277,0.287
10.4,0.15,0.538,0.1056,0.5199,0.5212,0.5206,0.3901,0.4421,0.4161,0.3948,0.2542,0.3245
10.5,0.1624,0.5211,0.1243,0.5047,0.5062,0.5054,0.4099,0.4475,0.4287,0.4433,0.2823,0.3628
10.6,0.1725,0.5067,0.1524,0.4931,0.4939,0.4935,0.4331,0.4537,0.4434,0.4894,0.3111,0.4002
10.7,0.1805,0.4946,0.1874,0.4856,0.4846,0.4851,0.4575,0.4601,0.4588,0.5314,0.3396,0.4355
10.8,0.1863,0.4846,0.2262,0.4824,0.4777,0.48,0.4806,0.4663,0.4735,0.5683,0.3671,0.4677
10.9,0.1899,0.4768,0.2647,0.4825,0.4722,0.4774,0.5006,0.4718,0.4862,0.599,0.393,0.496
11,0.191,0.4704,0.2998,0.4849,0.4679,0.4764,0.5167,0.4755,0.4961,0.6235,0.4171,0.5203
11.1,0.1899,0.4648,0.3293,0.4879,0.465,0.4765,0.5283,0.4765,0.5024,0.6421,0.4392,0.5407
11.2,0.1863,0.4592,0.3519,0.4902,0.4632,0.4767,0.5352,0.4741,0.5047,0.655,0.4588,0.5569
11.3,0.1793,0.4531,0.3673,0.4909,0.4616,0.4763,0.5372,0.4684,0.5028,0.6624,0.4752,0.5688
11.4,0.1681,0.446,0.3753,0.49,0.4601,0.475,0.5349,0.46,0.4974,0.6643,0.4876,0.576
11.5,0.1529,0.4383,0.3764,0.4879,0.4587,0.4733,0.529,0.4498,0.4894,0.6609,0.4961,0.5785
11.6,0.1349,0.4304,0.3714,0.4852,0.4578,0.4715,0.5209,0.4389,0.4799,0.652,0.5015,0.5767
11.7,0.1155,0.4229,0.3617,0.4822,0.4575,0.4698,0.5116,0.4277,0.4697,0.6376,0.5039,0.5708
11.8,0.0952,0.4164,0.3484,0.4788,0.4577,0.4682,0.5015,0.4165,0.459,0.618,0.5034,0.5607
11.9,0.0747,0.4111,0.3319,0.4751,0.458,0.4666,0.4908,0.4051,0.448,0.5936,0.4998,0.5467
12,0.055,0.4071,0.3125,0.4717,0.4585,0.4651,0.4797,0.3938,0.4367,0.5653,0.4937,0.5295
12.1,0.0372,0.405,0.2911,0.4689,0.4598,0.4644,0.4684,0.3828,0.4256,0.5344,0.4863,0.5103
12.2,0.0219,0.4047,0.2695,0.4668,0.4624,0.4646,0.4578,0.3726,0.4152,0.5019,0.4786,0.4903
12.3,0.0089,0.4065,0.2493,0.465,0.4663,0.4657,0.4487,0.3638,0.4063,0.4692,0.4714,0.4703
12.4,-0.003,0.4102,0.2318,0.4635,0.4713,0.4674,0.442,0.3567,0.3993,0.4374,0.4645,0.451
12.5,-0.0155,0.4157,0.2173,0.4621,0.4774,0.4698,0.4377,0.3513,0.3945,0.4079,0.458,0.433
12.6,-0.0297,0.4227,0.2059,0.4608,0.4846,0.4727,0.4352,0.3475,0.3913,0.3813,0.4516,0.4164
12.7,-0.0457,0.4309,0.1981,0.4591,0.4927,0.4759,0.4335,0.3447,0.3891,0.3575,0.4454,0.4014
12.8,-0.0637,0.4403,0.1944,0.4573,0.5016,0.4794,0.4317,0.3428,0.3873,0.3359,0.4392,0.3875
12.9,-0.0838,0.4507,0.1954,0.4553,0.511,0.4831,0.4291,0.3419,0.3855,0.316,0.4327,0.3743
13,-0.1057,0.462,0.2012,0.4536,0.521,0.4873,0.4261,0.342,0.384,0.2976,0.426,0.3618
13.1,-0.1287,0.474,0.2117,0.4524,0.5316,0.492,0.4232,0.3429,0.383,0.281,0.4193,0.3502
13.2,-0.1521,0.4865,0.2261,0.4519,0.5424,0.4972,0.4206,0.3446,0.3826,0.2663,0.4127,0.3395
13.3,-0.1753,0.4988,0.2432,0.4517,0.5527,0.5022,0.4184,0.3471,0.3827,0.2533,0.4063,0.3298
13.4,-0.1973,0.5099,0.2621,0.451,0.5618,0.5064,0.4159,0.3501,0.383,0.2419,0.4003,0.3211
13.5,-0.217,0.519,0.2818,0.4495,0.5695,0.5095,0.413,0.3536,0.3833,0.2319,0.3945,0.3132
13.6,-0.2329,0.5257,0.3018,0.4469,0.5758,0.5113,0.41,0.3576,0.3838,0.2232,0.3892,0.3062
13.7,-0.2441,0.5302,0.322,0.4435,0.5808,0.5122,0.4077,0.3626,0.3851,0.2155,0.3846,0.3
13.8,-0.2502,0.5325,0.3425,0.4393,0.5842,0.5117,0.4064,0.3687,0.3875,0.2083,0.3809,0.2946
13.9,-0.2509,0.5327,0.3635,0.4343,0.5854,0.5098,0.4056,0.3761,0.3908,0.201,0.3782,0.2896
14,-0.2455,0.5313,0.3848,0.429,0.584,0.5065,0.4043,0.385,0.3947,0.1931,0.3764,0.2848
14.1,-0.234,0.529,0.4061,0.4237,0.5803,0.502,0.4021,0.396,0.399,0.1846,0.3757,0.2801
14.2,-0.2174,0.5259,0.4264,0.4184,0.5744,0.4964,0.3984,0.4086,0.4035,0.175,0.3758,0.2754
14.3,-0.1978,0.5219,0.4449,0.4126,0.5665,0.4896,0.3929,0.4221,0.4075,0.1636,0.3763,0.2699
14.4,-0.1777,0.5172,0.4613,0.4066,0.5574,0.482,0.386,0.4361,0.4111,0.1502,0.3767,0.2634
14.5,-0.1591,0.5127,0.4759,0.4012,0.5483,0.4747,0.3786,0.4508,0.4147,0.1351,0.3766,0.2559
14.6,-0.1429,0.5088,0.4892,0.3971,0.5395,0.4683,0.3714,0.4662,0.4188,0.1192,0.3763,0.2478
14.7,-0.1295,0.5061,0.5012,0.3948,0.5308,0.4628,0.3646,0.4821,0.4234,0.1033,0.3761,0.2397
14.8,-0.1185,0.5045,0.5116,0.3943,0.5221,0.4582,0.3581,0.4979,0.428,0.0881,0.3764,0.2323
14.9,-0.1093,0.5044,0.5202,0.3956,0.5136,0.4546,0.3516,0.5129,0.4323,0.0742,0.3776,0.2259
15,-0.101,0.5063,0.5272,0.399,0.5055,0.4523,0.3455,0.5265,0.436,0.0625,0.3798,0.2212
15.1,-0.0937,0.5104,0.5332,0.4048,0.4987,0.4518,0.3401,0.5381,0.4391,0.0538,0.3832,0.2185
15.2,-0.0876,0.5167,0.5386,0.413,0.4936,0.4533,0.3358,0.5474,0.4416,0.0489,0.3879,0.2184
15.3,-0.0832,0.5248,0.5442,0.4237,0.4906,0.4571,0.333,0.5542,0.4436,0.0482,0.3944,0.2213
15.4,-0.0801,0.5346,0.5504,0.4367,0.4904,0.4636,0.3323,0.559,0.4456,0.0525,0.4031,0.2278
15.5,-0.0779,0.5462,0.5576,0.4524,0.4937,0.473,0.3342,0.5621,0.4482,0.0621,0.4143,0.2382
15.6,-0.0769,0.5599,0.5657,0.4707,0.5009,0.4858,0.3399,0.564,0.452,0.0771,0.4275,0.2523
15.7,-0.0772,0.5755,0.5741,0.4918,0.5119,0.5018,0.3499,0.5645,0.4572,0.0972,0.442,0.2696
15.8,-0.0787,0.5926,0.5821,0.5151,0.5264,0.5208,0.364,0.5638,0.4639,0.1217,0.4571,0.2894
15.9,-0.0799,0.6103,0.5894,0.54,0.5438,0.5419,0.3817,0.5617,0.4717,0.1496,0.472,0.3108
16,-0.0796,0.6273,0.5955,0.5654,0.5627,0.5641,0.4011,0.5584,0.4797,0.1794,0.4859,0.3327
16.1,-0.0772,0.6429,0.6001,0.5907,0.5823,0.5865,0.4208,0.5537,0.4873,0.21,0.4979,0.3539
16.2,-0.0723,0.6566,0.6033,0.6153,0.602,0.6086,0.4397,0.5482,0.494,0.2403,0.5076,0.3739
16.3,-0.0644,0.6682,0.605,0.6389,0.6211,0.63,0.4571,0.5421,0.4996,0.2701,0.5151,0.3926
16.4,-0.0528,0.6777,0.6053,0.6609,0.6389,0.6499,0.4726,0.5361,0.5044,0.2989,0.5204,0.4097
16.5,-0.0373,0.6851,0.6043,0.6806,0.6546,0.6676,0.4859,0.5303,0.5081,0.3262,0.5233,0.4248
16.6,-0.0189,0.6903,0.6023,0.6972,0.6676,0.6824,0.4962,0.525,0.5106,0.3513,0.5237,0.4375
16.7,0.0007,0.6932,0.6,0.7102,0.6776,0.6939,0.5033,0.5202,0.5118,0.3736,0.5217,0.4476
16.8,0.0202,0.694,0.5978,0.7198,0.6849,0.7023,0.5076,0.5164,0.512,0.3923,0.5177,0.455
16.9,0.0392,0.6934,0.5963,0.7269,0.6898,0.7083,0.5099,0.5143,0.5121,0.4075,0.5126,0.4601
17,0.058,0.692,0.596,0.7326,0.6922,0.7124,0.5111,0.5144,0.5127,0.4193,0.5076,0.4634
17.1,0.0765,0.6902,0.5966,0.7375,0.6917,0.7146,0.5113,0.5166,0.5139,0.4282,0.5031,0.4657
17.2,0.0942,0.6878,0.5975,0.7419,0.6876,0.7148,0.51,0.5201,0.515,0.4345,0.4991,0.4668
17.3,0.1106,0.6845,0.5974,0.7456,0.6796,0.7126,0.5063,0.5235,0.5149,0.4379,0.4949,0.4664
17.4,0.1257,0.68,0.5956,0.7482,0.6679,0.708,0.4999,0.526,0.513,0.4384,0.4899,0.4641
17.5,0.1391,0.6741,0.592,0.7496,0.653,0.7013,0.4916,0.5271,0.5094,0.436,0.4843,0.4602
17.6,0.1503,0.6669,0.5866,0.7501,0.6355,0.6928,0.4826,0.5264,0.5045,0.4312,0.4785,0.4549
17.7,0.1597,0.6588,0.58,0.7504,0.6162,0.6833,0.4742,0.5237,0.4989,0.4249,0.4728,0.4489
17.8,0.1675,0.6507,0.573,0.7512,0.5957,0.6735,0.467,0.5187,0.4929,0.4182,0.4678,0.443
17.9,0.1743,0.6432,0.5657,0.7528,0.5749,0.6638,0.4611,0.5114,0.4863,0.411,0.4637,0.4374
18,0.1804,0.6365,0.5578,0.7547,0.5541,0.6544,0.4559,0.5019,0.4789,0.4035,0.4606,0.432
18.1,0.1857,0.6302,0.5486,0.7564,0.5338,0.6451,0.451,0.4902,0.4706,0.3954,0.4584,0.4269
18.2,0.1898,0.6242,0.5374,0.7574,0.5146,0.636,0.4466,0.476,0.4613,0.3873,0.4569,0.4221
18.3,0.1924,0.6185,0.5238,0.7573,0.4972,0.6273,0.4432,0.4594,0.4513,0.3793,0.4559,0.4176
18.4,0.193,0.613,0.5075,0.7554,0.4823,0.6188,0.4409,0.4403,0.4406,0.3719,0.4554,0.4136
18.5,0.1914,0.6074,0.4888,0.7507,0.4699,0.6103,0.4394,0.4185,0.4289,0.3653,0.4555,0.4104
18.6,0.188,0.6014,0.468,0.7425,0.4597,0.6011,0.438,0.3944,0.4162,0.36,0.4564,0.4082
18.7,0.184,0.5947,0.4462,0.7305,0.4515,0.591,0.4365,0.3689,0.4027,0.3567,0.4589,0.4078
18.8,0.1808,0.5875,0.4241,0.7152,0.4453,0.5802,0.4352,0.3433,0.3893,0.3563,0.4633,0.4098
18.9,0.1783,0.5803,0.4021,0.6975,0.441,0.5693,0.4344,0.319,0.3767,0.3597,0.4696,0.4147
19,0.1756,0.5732,0.3807,0.6781,0.4386,0.5583,0.4346,0.2964,0.3655,0.3669,0.4772,0.4221
19.1,0.1712,0.5657,0.36,0.6566,0.4373,0.5469,0.4354,0.2758,0.3556,0.3771,0.4858,0.4315
19.2,0.1648,0.5575,0.3407,0.633,0.4359,0.5345,0.4365,0.2578,0.3472,0.3897,0.4954,0.4426
19.3,0.1568,0.5485,0.3233,0.6081,0.434,0.5211,0.4376,0.2431,0.3404,0.4048,0.5065,0.4556
19.4,0.1479,0.5395,0.308,0.5838,0.4316,0.5077,0.4386,0.2328,0.3357,0.4223,0.5189,0.4706
19.5,0.1381,0.5312,0.295,0.5614,0.4292,0.4953,0.4395,0.228,0.3338,0.4417,0.5326,0.4872
19.6,0.1278,0.5239,0.2845,0.5415,0.4264,0.484,0.441,0.2295,0.3353,0.4617,0.5468,0.5043
19.7,0.1176,0.5178,0.2765,0.5241,0.4228,0.4734,0.4437,0.2375,0.3406,0.4802,0.5606,0.5204
19.8,0.1077,0.5129,0.2712,0.5088,0.4181,0.4635,0.4484,0.2522,0.3503,0.4956,0.5727,0.5341
19.9,0.0985,0.509,0.2687,0.4965,0.4123,0.4544,0.4555,0.2739,0.3647,0.507,0.5822,0.5446
20,0.0903,0.5063,0.2697,0.4875,0.4051,0.4463,0.4657,0.3025,0.3841,0.5145,0.5891,0.5518
20.1,0.0832,0.5047,0.2746,0.482,0.396,0.439,0.4786,0.3374,0.408,0.5177,0.5933,0.5555
20.2,0.0778,0.5043,0.283,0.4796,0.3846,0.4321,0.4934,0.3772,0.4353,0.516,0.594,0.555
20.3,0.0747,0.505,0.2939,0.4797,0.3713,0.4255,0.5088,0.4199,0.4643,0.5086,0.5899,0.5492
20.4,0.0741,0.5071,0.3061,0.4823,0.3566,0.4195,0.5238,0.4638,0.4938,0.495,0.5796,0.5373
20.5,0.0757,0.5106,0.3179,0.4869,0.3414,0.4141,0.5375,0.5072,0.5223,0.4751,0.5624,0.5187
20.6,0.0788,0.5152,0.3278,0.4928,0.3264,0.4096,0.5495,0.5477,0.5486,0.4492,0.5379,0.4935
20.7,0.083,0.5208,0.3359,0.4991,0.3124,0.4057,0.5591,0.5835,0.5713,0.4187,0.5066,0.4627
20.8,0.0884,0.5275,0.3428,0.5057,0.3003,0.403,0.5662,0.6129,0.5895,0.3856,0.4701,0.4279
20.9,0.0954,0.5354,0.3492,0.513,0.2909,0.4019,0.5708,0.6353,0.6031,0.3518,0.43,0.3909
21,0.1048,0.5447,0.3551,0.5211,0.2845,0.4028,0.5734,0.6505,0.612,0.3186,0.3882,0.3534
21.1,0.1166,0.5552,0.3604,0.5293,0.2813,0.4053,0.5742,0.6585,0.6163,0.287,0.3467,0.3168
21.2,0.1304,0.5663,0.3648,0.5362,0.2807,0.4084,0.5726,0.6592,0.6159,0.2574,0.3076,0.2825
21.3,0.1457,0.5776,0.3681,0.5408,0.2823,0.4116,0.5683,0.6533,0.6108,0.2302,0.2728,0.2515
