Time,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC
3.2,-0.1313,1.1371,0.7155,1.0228,1.0079,1.0154,0.8414,0.9251,0.8833,0.8302,0.7369,0.7835
3.3,-0.1234,1.1186,0.7186,1.0266,0.9971,1.0118,0.8275,0.9208,0.8742,0.8203,0.7058,0.7631
3.4,-0.1122,1.0961,0.7206,1.0259,0.9825,1.0042,0.8132,0.9151,0.8641,0.809,0.6739,0.7414
3.5,-0.0982,1.0701,0.7225,1.0208,0.9651,0.9929,0.7992,0.9087,0.8539,0.7972,0.643,0.7201
3.6,-0.0824,1.0414,0.7245,1.0113,0.9453,0.9783,0.7859,0.9022,0.8441,0.7854,0.6145,0.6999
3.7,-0.0649,1.0106,0.7269,0.9969,0.923,0.96,0.7739,0.8959,0.8349,0.7739,0.5894,0.6816
3.8,-0.0459,0.9779,0.7297,0.977,0.8981,0.9376,0.7633,0.8898,0.8265,0.7629,0.568,0.6655
3.9,-0.0255,0.9434,0.7327,0.9515,0.8708,0.9111,0.7542,0.884,0.8191,0.7525,0.5507,0.6516
4,-0.0044,0.9076,0.7357,0.9212,0.8419,0.8816,0.7466,0.8786,0.8126,0.7427,0.5376,0.6401
4.1,0.0169,0.8711,0.7384,0.8876,0.8128,0.8502,0.7401,0.8738,0.8069,0.7336,0.5288,0.6312
4.2,0.0382,0.8354,0.7403,0.8525,0.7849,0.8187,0.7348,0.8693,0.8021,0.7257,0.5242,0.6249
4.3,0.0596,0.8019,0.7406,0.8174,0.7595,0.7885,0.7317,0.8642,0.7979,0.7206,0.5234,0.622
4.4,0.0803,0.7717,0.7395,0.784,0.7374,0.7607,0.7306,0.8583,0.7944,0.7185,0.5262,0.6224
4.5,0.0991,0.7448,0.7376,0.7528,0.719,0.7359,0.7311,0.8521,0.7916,0.7192,0.5321,0.6256
4.6,0.1147,0.7211,0.7351,0.7243,0.7041,0.7142,0.7328,0.846,0.7894,0.7216,0.5401,0.6308
4.7,0.1267,0.7002,0.7319,0.6985,0.6924,0.6954,0.7352,0.8397,0.7874,0.7247,0.549,0.6369
4.8,0.1352,0.6818,0.7282,0.6752,0.6831,0.6792,0.7379,0.8328,0.7853,0.7274,0.5578,0.6426
4.9,0.1408,0.6656,0.7239,0.6547,0.6757,0.6652,0.7407,0.8248,0.7828,0.7287,0.5656,0.6472
5,0.1442,0.6514,0.719,0.6371,0.6698,0.6534,0.7433,0.8154,0.7794,0.7283,0.5719,0.6501
5.1,0.1464,0.6394,0.7135,0.6229,0.6653,0.6441,0.7451,0.8047,0.7749,0.7258,0.5764,0.6511
5.2,0.1488,0.6299,0.7071,0.6122,0.662,0.6371,0.7457,0.7928,0.7692,0.7215,0.5792,0.6504
5.3,0.1525,0.6227,0.6994,0.605,0.6597,0.6324,0.7448,0.7798,0.7623,0.7154,0.58,0.6477
5.4,0.158,0.6172,0.6901,0.6006,0.6577,0.6292,0.7423,0.7656,0.7539,0.7074,0.5787,0.6431
5.5,0.1647,0.6128,0.6791,0.598,0.6555,0.6267,0.7377,0.7498,0.7438,0.6976,0.5755,0.6365
5.6,0.1713,0.609,0.6665,0.5964,0.6527,0.6245,0.7307,0.7324,0.7316,0.6863,0.5704,0.6283
5.7,0.1769,0.6058,0.6526,0.5955,0.6492,0.6223,0.7209,0.7136,0.7173,0.6741,0.564,0.6191
5.8,0.1813,0.6036,0.638,0.5953,0.6452,0.6202,0.7088,0.6935,0.7012,0.662,0.5567,0.6093
5.9,0.1848,0.6028,0.6233,0.596,0.641,0.6185,0.6946,0.6728,0.6837,0.6508,0.5488,0.5998
6,0.1875,0.6035,0.6091,0.598,0.6372,0.6176,0.6789,0.6519,0.6654,0.6412,0.5409,0.591
6.1,0.1889,0.6061,0.5963,0.6016,0.6348,0.6182,0.6622,0.6318,0.647,0.634,0.5336,0.5838
6.2,0.1881,0.6111,0.5854,0.6075,0.6349,0.6212,0.6451,0.6134,0.6292,0.63,0.5276,0.5788
6.3,0.1845,0.6195,0.577,0.6164,0.6384,0.6274,0.6285,0.598,0.6132,0.6298,0.5235,0.5766
6.4,0.178,0.6314,0.5716,0.6287,0.6457,0.6372,0.6134,0.5865,0.5999,0.6335,0.5213,0.5774
6.5,0.1682,0.6467,0.5697,0.6442,0.6563,0.6502,0.6002,0.5796,0.5899,0.641,0.5207,0.5808
6.6,0.1546,0.6647,0.5717,0.6624,0.67,0.6662,0.5894,0.5775,0.5835,0.6519,0.5212,0.5866
6.7,0.1371,0.6849,0.5778,0.6832,0.6868,0.685,0.5816,0.5805,0.5811,0.666,0.5227,0.5943
6.8,0.1164,0.7068,0.5881,0.7066,0.7065,0.7065,0.5776,0.589,0.5833,0.6832,0.5251,0.6041
6.9,0.0942,0.73,0.6024,0.7327,0.7286,0.7306,0.5782,0.6033,0.5907,0.7032,0.5287,0.616
7,0.072,0.7539,0.6201,0.7606,0.7518,0.7562,0.5835,0.6228,0.6032,0.7251,0.5332,0.6291
7.1,0.0508,0.7771,0.6403,0.7886,0.7743,0.7815,0.5931,0.6467,0.6199,0.7474,0.5382,0.6428
7.2,0.031,0.7985,0.662,0.8152,0.7953,0.8053,0.6067,0.6736,0.6402,0.7692,0.5434,0.6563
7.3,0.0129,0.8168,0.6841,0.839,0.8136,0.8263,0.6236,0.7018,0.6627,0.7895,0.5485,0.669
7.4,-0.0028,0.8309,0.7056,0.8583,0.828,0.8432,0.6428,0.7294,0.6861,0.8073,0.5533,0.6803
7.5,-0.0154,0.8397,0.7255,0.8717,0.8374,0.8545,0.663,0.7546,0.7088,0.8219,0.5574,0.6897
7.6,-0.0247,0.8433,0.7427,0.8784,0.8413,0.8598,0.6829,0.7763,0.7296,0.8329,0.5604,0.6967
7.7,-0.0315,0.8423,0.7566,0.8784,0.8406,0.8595,0.7015,0.7939,0.7477,0.8404,0.5623,0.7014
7.8,-0.0374,0.8376,0.7674,0.8724,0.8363,0.8544,0.7176,0.8078,0.7627,0.8438,0.5637,0.7038
7.9,-0.0436,0.8298,0.7753,0.8613,0.829,0.8451,0.7303,0.8182,0.7743,0.8433,0.5654,0.7043
8,-0.0495,0.8193,0.7799,0.8456,0.8189,0.8322,0.7397,0.8249,0.7823,0.8397,0.5681,0.7039
8.1,-0.0545,0.8062,0.7812,0.8264,0.8064,0.8164,0.7456,0.8276,0.7866,0.8341,0.5726,0.7034
8.2,-0.0576,0.7915,0.7795,0.8052,0.7922,0.7987,0.7481,0.8264,0.7872,0.8273,0.5796,0.7034
8.3,-0.0585,0.776,0.775,0.7838,0.7773,0.7805,0.7477,0.8217,0.7847,0.8201,0.5891,0.7046
8.4,-0.0577,0.7605,0.7682,0.7628,0.7625,0.7626,0.7452,0.8143,0.7797,0.8128,0.6011,0.7069
8.5,-0.0556,0.7453,0.7598,0.7424,0.7479,0.7451,0.741,0.8046,0.7728,0.8057,0.615,0.7103
8.6,-0.0526,0.7302,0.7506,0.7223,0.7334,0.7278,0.7353,0.7933,0.7643,0.7992,0.6303,0.7147
8.7,-0.0491,0.7152,0.7419,0.7025,0.7194,0.711,0.7281,0.7805,0.7543,0.794,0.6465,0.7203
8.8,-0.0457,0.7006,0.7345,0.6837,0.7066,0.6952,0.7195,0.7664,0.743,0.7906,0.6632,0.7269
8.9,-0.043,0.6869,0.7289,0.6665,0.696,0.6812,0.7098,0.7509,0.7303,0.7893,0.6797,0.7345
9,-0.0409,0.6744,0.7251,0.6517,0.6882,0.6699,0.6991,0.7344,0.7168,0.7897,0.6951,0.7424
9.1,-0.0382,0.6632,0.7233,0.6397,0.6837,0.6617,0.6878,0.7173,0.7026,0.7911,0.7087,0.7499
9.2,-0.0337,0.653,0.7236,0.6309,0.6827,0.6568,0.6763,0.7002,0.6883,0.793,0.7206,0.7568
9.3,-0.0268,0.6438,0.7263,0.6254,0.6851,0.6553,0.6647,0.6836,0.6742,0.7953,0.7313,0.7633
9.4,-0.0176,0.6356,0.7306,0.6231,0.6906,0.6569,0.6531,0.668,0.6605,0.7982,0.7416,0.7699
9.5,-0.0072,0.6284,0.7356,0.6233,0.6986,0.661,0.6417,0.6536,0.6477,0.8017,0.7514,0.7765
9.6,0.0034,0.6216,0.7407,0.6248,0.7079,0.6663,0.631,0.6406,0.6358,0.805,0.7605,0.7827
9.7,0.0136,0.6145,0.7452,0.6264,0.7171,0.6717,0.6212,0.6293,0.6252,0.8073,0.768,0.7876
9.8,0.0239,0.6069,0.7494,0.6274,0.725,0.6762,0.6126,0.6196,0.6161,0.8077,0.7736,0.7906
9.9,0.0352,0.5984,0.7533,0.628,0.7307,0.6793,0.6057,0.6117,0.6087,0.8062,0.7774,0.7918
10,0.0485,0.5896,0.757,0.6283,0.7333,0.6808,0.6011,0.6059,0.6035,0.8033,0.78,0.7917
10.1,0.0642,0.581,0.7606,0.6286,0.7327,0.6807,0.5997,0.6028,0.6012,0.7998,0.7821,0.791
10.2,0.0819,0.573,0.7642,0.6293,0.729,0.6791,0.6018,0.6031,0.6024,0.7959,0.7842,0.79
10.3,0.1001,0.5663,0.7679,0.6302,0.7229,0.6766,0.6075,0.6073,0.6074,0.7912,0.7864,0.7888
10.4,0.1167,0.5615,0.7712,0.6314,0.7153,0.6733,0.6161,0.6156,0.6159,0.7853,0.7886,0.787
10.5,0.1302,0.5591,0.774,0.6331,0.7068,0.6699,0.6271,0.6277,0.6274,0.7782,0.7908,0.7845
10.6,0.1405,0.5599,0.7762,0.6362,0.6992,0.6677,0.6401,0.6435,0.6418,0.7706,0.7935,0.782
10.7,0.149,0.564,0.7776,0.6411,0.6932,0.6672,0.6548,0.6629,0.6588,0.763,0.7968,0.7799
10.8,0.157,0.5718,0.7781,0.6483,0.6896,0.669,0.6706,0.6856,0.6781,0.7556,0.8008,0.7782
10.9,0.1645,0.583,0.7777,0.6582,0.689,0.6736,0.6869,0.7114,0.6991,0.7487,0.8053,0.777
11,0.1709,0.5977,0.7761,0.6708,0.6912,0.681,0.703,0.7396,0.7213,0.7421,0.8102,0.7761
11.1,0.1754,0.615,0.7732,0.6858,0.6959,0.6908,0.7185,0.7689,0.7437,0.7358,0.815,0.7754
11.2,0.1786,0.6337,0.7693,0.7022,0.7017,0.702,0.7334,0.798,0.7657,0.7298,0.8197,0.7747
11.3,0.1821,0.6522,0.7649,0.7187,0.7075,0.7131,0.7477,0.8256,0.7866,0.7242,0.8243,0.7743
11.4,0.1873,0.669,0.7606,0.7342,0.7122,0.7232,0.7612,0.8504,0.8058,0.7188,0.8289,0.7739
11.5,0.1944,0.6834,0.7566,0.7478,0.7156,0.7317,0.7735,0.8716,0.8226,0.7135,0.8331,0.7733
11.6,0.2024,0.6951,0.7529,0.7585,0.7177,0.7381,0.7841,0.8884,0.8363,0.708,0.8365,0.7723
11.7,0.21,0.704,0.7491,0.7656,0.7184,0.742,0.792,0.9002,0.8461,0.7022,0.8384,0.7703
11.8,0.217,0.7094,0.7448,0.7679,0.7171,0.7425,0.7966,0.9066,0.8516,0.6962,0.8386,0.7674
11.9,0.2242,0.7109,0.7397,0.7649,0.7128,0.7389,0.7973,0.9076,0.8525,0.6902,0.8369,0.7635
12,0.2328,0.7082,0.7333,0.7566,0.7048,0.7307,0.7939,0.9033,0.8486,0.6844,0.8331,0.7587
12.1,0.2434,0.7017,0.7257,0.7436,0.6928,0.7182,0.7866,0.8941,0.8404,0.6787,0.8272,0.7529
12.2,0.2553,0.6921,0.7171,0.7264,0.6772,0.7018,0.7758,0.8807,0.8283,0.673,0.8191,0.7461
12.3,0.267,0.6803,0.7081,0.7058,0.6587,0.6823,0.7624,0.8638,0.8131,0.6673,0.8091,0.7382
12.4,0.2767,0.6673,0.6991,0.6825,0.6381,0.6603,0.7469,0.8446,0.7958,0.6616,0.7978,0.7297
12.5,0.2838,0.6537,0.6899,0.6572,0.6161,0.6366,0.73,0.8242,0.7771,0.6562,0.7856,0.7209
12.6,0.2889,0.6402,0.6806,0.6307,0.5928,0.6117,0.7126,0.8033,0.758,0.651,0.7732,0.7121
12.7,0.2921,0.6275,0.6709,0.604,0.5691,0.5865,0.6952,0.7826,0.7389,0.6462,0.7601,0.7031
12.8,0.2937,0.6162,0.6607,0.578,0.5458,0.5619,0.6786,0.7623,0.7204,0.6416,0.7459,0.6938
12.9,0.2938,0.6065,0.6503,0.5533,0.5235,0.5384,0.6636,0.7428,0.7032,0.6372,0.7303,0.6838
13,0.2926,0.5984,0.6399,0.53,0.5027,0.5164,0.651,0.7244,0.6877,0.6329,0.7136,0.6732
13.1,0.2907,0.592,0.6297,0.5086,0.4837,0.4962,0.6416,0.7076,0.6746,0.629,0.6962,0.6626
13.2,0.2884,0.5875,0.6197,0.4895,0.4669,0.4782,0.6352,0.6924,0.6638,0.6261,0.6788,0.6524
13.3,0.2858,0.5848,0.6094,0.4729,0.4525,0.4627,0.6318,0.6787,0.6553,0.6245,0.6619,0.6432
13.4,0.2826,0.5837,0.5985,0.4591,0.4407,0.4499,0.6309,0.6665,0.6487,0.6243,0.646,0.6351
13.5,0.2782,0.5842,0.5872,0.4484,0.4322,0.4403,0.6321,0.6557,0.6439,0.6253,0.6313,0.6283
13.6,0.2723,0.5865,0.5761,0.4419,0.4276,0.4348,0.6352,0.6467,0.6409,0.6274,0.6183,0.6228
13.7,0.2653,0.5908,0.5662,0.4403,0.4278,0.4341,0.6398,0.6397,0.6397,0.6307,0.6075,0.6191
13.8,0.2584,0.5973,0.5583,0.4438,0.4326,0.4382,0.6455,0.6345,0.64,0.6352,0.5992,0.6172
13.9,0.2521,0.6054,0.5526,0.4515,0.4411,0.4463,0.652,0.6309,0.6415,0.6412,0.5937,0.6175
14,0.2469,0.6147,0.5493,0.4624,0.4523,0.4573,0.659,0.629,0.644,0.6487,0.5914,0.62
14.1,0.2425,0.6247,0.5486,0.4756,0.4654,0.4705,0.6667,0.629,0.6479,0.6577,0.5926,0.6252
14.2,0.2381,0.6353,0.551,0.4912,0.4805,0.4859,0.6754,0.6313,0.6533,0.6684,0.5979,0.6332
14.3,0.2329,0.6466,0.5568,0.5096,0.4979,0.5038,0.6848,0.6359,0.6603,0.6806,0.6076,0.6441
14.4,0.2262,0.6584,0.5661,0.5307,0.5177,0.5242,0.6945,0.6426,0.6686,0.6939,0.6217,0.6578
14.5,0.2179,0.6705,0.5789,0.5543,0.5399,0.5471,0.7041,0.6511,0.6776,0.708,0.64,0.674
14.6,0.2081,0.6825,0.5949,0.5797,0.5645,0.5721,0.7133,0.6613,0.6873,0.7227,0.6624,0.6926
14.7,0.1969,0.6945,0.6143,0.6065,0.5918,0.5992,0.7219,0.6731,0.6975,0.7377,0.6883,0.713
14.8,0.1842,0.7061,0.6366,0.6343,0.6216,0.628,0.7294,0.6859,0.7076,0.7527,0.7167,0.7347
14.9,0.1703,0.717,0.6611,0.6626,0.653,0.6578,0.7352,0.6988,0.717,0.767,0.7464,0.7567
