Time,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC,Michael Hill - Mother's Day 2022 15 TVC
2.5,-0.0447,0.4506,0.5364,0.5015,0.5012,0.5014,0.5276,0.6419,0.5848,0.4941,0.5839,0.539
2.6,-0.0173,0.4594,0.5406,0.5008,0.4929,0.4969,0.5298,0.6494,0.5896,0.4884,0.5874,0.5379
2.7,0.0124,0.47,0.5455,0.5023,0.4872,0.4948,0.5355,0.6567,0.5961,0.483,0.5911,0.5371
2.8,0.0428,0.4821,0.551,0.5055,0.4843,0.4949,0.5443,0.6633,0.6038,0.478,0.5949,0.5364
2.9,0.0731,0.4948,0.5566,0.5096,0.4836,0.4966,0.5559,0.6692,0.6126,0.4733,0.5983,0.5358
3,0.1028,0.5067,0.5619,0.5141,0.4841,0.4991,0.5696,0.6743,0.6219,0.4692,0.6018,0.5355
3.1,0.1322,0.5168,0.5662,0.5182,0.4847,0.5014,0.5844,0.6782,0.6313,0.4659,0.6055,0.5357
3.2,0.1617,0.5245,0.5696,0.5215,0.4845,0.503,0.5997,0.6806,0.6401,0.4636,0.61,0.5368
3.3,0.1913,0.5298,0.572,0.5239,0.4832,0.5036,0.6148,0.6816,0.6482,0.4624,0.6152,0.5388
3.4,0.2196,0.5322,0.5735,0.5258,0.4805,0.5031,0.6295,0.6817,0.6556,0.4622,0.6208,0.5415
3.5,0.245,0.532,0.5741,0.5272,0.4764,0.5018,0.643,0.6815,0.6623,0.4629,0.6264,0.5446
3.6,0.2665,0.5291,0.574,0.528,0.4713,0.4997,0.6543,0.681,0.6676,0.4641,0.632,0.548
3.7,0.2841,0.5241,0.5731,0.528,0.4657,0.4969,0.6622,0.6799,0.671,0.4658,0.6376,0.5517
3.8,0.2982,0.5171,0.5718,0.5275,0.4601,0.4938,0.6662,0.6778,0.672,0.4678,0.6433,0.5556
3.9,0.3089,0.5087,0.5703,0.5271,0.4545,0.4908,0.6663,0.675,0.6706,0.47,0.6485,0.5593
4,0.3157,0.4993,0.5688,0.5275,0.4493,0.4884,0.6629,0.6721,0.6675,0.472,0.6525,0.5623
4.1,0.3175,0.4899,0.5679,0.5291,0.4448,0.4869,0.6569,0.6705,0.6637,0.4737,0.6549,0.5643
4.2,0.3138,0.4813,0.5687,0.5322,0.4415,0.4868,0.649,0.6711,0.66,0.4752,0.656,0.5656
4.3,0.3048,0.4744,0.5717,0.5369,0.4401,0.4885,0.6399,0.674,0.6569,0.477,0.6562,0.5666
4.4,0.2914,0.4697,0.5764,0.5433,0.4403,0.4918,0.63,0.6786,0.6543,0.4793,0.6557,0.5675
4.5,0.2748,0.4673,0.5821,0.5511,0.4414,0.4963,0.6198,0.6843,0.652,0.4817,0.6543,0.568
4.6,0.2559,0.4673,0.5877,0.5597,0.4428,0.5013,0.6095,0.6904,0.65,0.4835,0.6516,0.5676
4.7,0.2355,0.4697,0.5925,0.5687,0.4445,0.5066,0.5997,0.6972,0.6484,0.4841,0.6472,0.5656
4.8,0.2152,0.4745,0.5959,0.5776,0.4469,0.5123,0.5909,0.7044,0.6477,0.483,0.641,0.562
4.9,0.1966,0.4814,0.5978,0.5864,0.4502,0.5183,0.5837,0.712,0.6478,0.4803,0.6331,0.5567
5,0.1811,0.4901,0.598,0.5951,0.4545,0.5248,0.5782,0.7193,0.6488,0.4759,0.6236,0.5497
5.1,0.1692,0.5004,0.5967,0.6039,0.4595,0.5317,0.5743,0.7261,0.6502,0.4694,0.6125,0.5409
5.2,0.1602,0.5118,0.5943,0.6125,0.4648,0.5387,0.5722,0.7325,0.6524,0.4607,0.6,0.5303
5.3,0.1536,0.5236,0.5914,0.6201,0.4704,0.5453,0.5728,0.7395,0.6561,0.4501,0.5865,0.5183
5.4,0.1491,0.5355,0.5886,0.6265,0.4762,0.5513,0.5771,0.7473,0.6622,0.4381,0.5725,0.5053
5.5,0.1468,0.5473,0.5857,0.6314,0.4823,0.5569,0.5856,0.7556,0.6706,0.4258,0.5579,0.4918
5.6,0.1473,0.559,0.5825,0.6351,0.4885,0.5618,0.5976,0.7628,0.6802,0.4135,0.5425,0.478
5.7,0.1511,0.5699,0.5791,0.6375,0.4943,0.5659,0.6114,0.7677,0.6896,0.4016,0.5266,0.4641
5.8,0.1583,0.5797,0.5754,0.6385,0.4987,0.5686,0.6255,0.7695,0.6975,0.3903,0.5105,0.4504
5.9,0.1681,0.5878,0.5714,0.6383,0.5014,0.5698,0.639,0.7678,0.7034,0.3798,0.4948,0.4373
6,0.1791,0.594,0.5668,0.6371,0.5026,0.5698,0.6511,0.7628,0.707,0.3702,0.4798,0.425
6.1,0.1904,0.5983,0.5619,0.6348,0.5027,0.5688,0.6615,0.755,0.7082,0.3617,0.4657,0.4137
6.2,0.2015,0.6008,0.5571,0.6316,0.5019,0.5668,0.6693,0.7447,0.707,0.3545,0.4527,0.4036
6.3,0.2124,0.6009,0.5531,0.6275,0.4997,0.5636,0.6742,0.7323,0.7033,0.3489,0.4408,0.3949
6.4,0.2231,0.5981,0.5502,0.6222,0.4954,0.5588,0.676,0.7181,0.697,0.345,0.4303,0.3877
6.5,0.2332,0.592,0.5488,0.6159,0.4889,0.5524,0.675,0.7022,0.6886,0.343,0.4211,0.3821
6.6,0.242,0.583,0.5489,0.6092,0.4802,0.5447,0.6715,0.685,0.6783,0.3427,0.4127,0.3777
6.7,0.2491,0.5715,0.5503,0.603,0.4698,0.5364,0.6659,0.6673,0.6666,0.3439,0.4047,0.3743
6.8,0.2552,0.5582,0.5535,0.5981,0.4584,0.5282,0.6583,0.6497,0.654,0.3466,0.3975,0.3721
6.9,0.2618,0.5438,0.5587,0.5948,0.447,0.5209,0.6491,0.6331,0.6411,0.3512,0.3918,0.3715
7,0.27,0.5288,0.5658,0.5937,0.4368,0.5153,0.639,0.6177,0.6283,0.3583,0.3883,0.3733
7.1,0.2803,0.514,0.5743,0.5956,0.4284,0.512,0.6291,0.6033,0.6162,0.3679,0.3869,0.3774
7.2,0.2916,0.5002,0.5834,0.6008,0.4223,0.5116,0.6199,0.59,0.6049,0.3795,0.387,0.3832
7.3,0.3027,0.4885,0.5927,0.6093,0.4185,0.5139,0.6118,0.5776,0.5947,0.3916,0.3875,0.3896
7.4,0.3135,0.4796,0.6018,0.6202,0.4171,0.5186,0.6045,0.5664,0.5855,0.4036,0.3878,0.3957
7.5,0.3238,0.4738,0.6105,0.6325,0.4179,0.5252,0.598,0.5566,0.5773,0.4151,0.388,0.4016
7.6,0.3332,0.4708,0.6187,0.6453,0.4213,0.5333,0.5919,0.5489,0.5704,0.4262,0.3886,0.4074
7.7,0.3413,0.4703,0.6267,0.6582,0.4271,0.5426,0.5868,0.5438,0.5653,0.4368,0.39,0.4134
7.8,0.3481,0.4718,0.6345,0.6706,0.4351,0.5528,0.5834,0.5417,0.5625,0.4469,0.3923,0.4196
7.9,0.3534,0.475,0.6421,0.6821,0.4452,0.5637,0.5822,0.5427,0.5625,0.4564,0.3957,0.426
8,0.3573,0.4801,0.6496,0.6925,0.4581,0.5753,0.5836,0.5467,0.5652,0.4656,0.4004,0.433
8.1,0.3595,0.4871,0.6574,0.7016,0.4741,0.5878,0.5872,0.5536,0.5704,0.475,0.4065,0.4407
8.2,0.3597,0.4957,0.6662,0.7086,0.4927,0.6007,0.5923,0.5629,0.5776,0.4843,0.414,0.4492
8.3,0.3572,0.505,0.6759,0.7128,0.5123,0.6125,0.5981,0.5739,0.586,0.4932,0.4223,0.4578
8.4,0.3504,0.5142,0.6856,0.7131,0.5309,0.622,0.6042,0.5856,0.5949,0.5011,0.4307,0.4659
8.5,0.3379,0.5229,0.6943,0.7088,0.5475,0.6282,0.6108,0.5972,0.604,0.5082,0.4389,0.4736
8.6,0.3191,0.531,0.7016,0.6998,0.5618,0.6308,0.6179,0.6085,0.6132,0.5155,0.4476,0.4815
8.7,0.2946,0.5389,0.7076,0.6866,0.5736,0.6301,0.6255,0.6192,0.6223,0.5236,0.4572,0.4904
8.8,0.2665,0.5469,0.7118,0.6702,0.583,0.6266,0.6329,0.6285,0.6307,0.5326,0.4674,0.5
8.9,0.2372,0.5548,0.7137,0.6515,0.5894,0.6204,0.6385,0.6357,0.6371,0.5419,0.4777,0.5098
9,0.208,0.5619,0.713,0.6309,0.592,0.6114,0.6412,0.64,0.6406,0.5508,0.4875,0.5191
9.1,0.1787,0.5673,0.71,0.6085,0.5904,0.5995,0.6405,0.6418,0.6411,0.5588,0.4967,0.5277
9.2,0.1483,0.5705,0.7055,0.5844,0.5847,0.5846,0.6364,0.6421,0.6393,0.566,0.5056,0.5358
9.3,0.116,0.5715,0.7,0.5589,0.5753,0.5671,0.6291,0.6415,0.6353,0.5723,0.5144,0.5434
9.4,0.0818,0.5707,0.6937,0.5324,0.5627,0.5476,0.6185,0.64,0.6292,0.5774,0.5229,0.5502
9.5,0.0465,0.5683,0.6868,0.5054,0.5473,0.5263,0.6049,0.6372,0.621,0.5814,0.5307,0.556
9.6,0.0108,0.5643,0.6795,0.4787,0.529,0.5039,0.5889,0.6326,0.6108,0.5843,0.5377,0.561
9.7,-0.0252,0.5588,0.6721,0.4535,0.5082,0.4808,0.5716,0.6264,0.599,0.5864,0.5441,0.5652
9.8,-0.0611,0.5521,0.6646,0.4308,0.4856,0.4582,0.5536,0.6189,0.5862,0.5874,0.5502,0.5688
9.9,-0.0958,0.5447,0.6562,0.4114,0.4625,0.437,0.5353,0.6101,0.5727,0.5874,0.556,0.5717
10,-0.1278,0.537,0.6465,0.3954,0.4398,0.4176,0.5169,0.6002,0.5585,0.5864,0.5614,0.5739
10.1,-0.1557,0.5292,0.6354,0.3824,0.4181,0.4003,0.4985,0.5892,0.5438,0.5847,0.5664,0.5756
10.2,-0.1794,0.5209,0.6234,0.3723,0.3981,0.3852,0.4807,0.5776,0.5291,0.5828,0.5714,0.5771
10.3,-0.1998,0.5116,0.6109,0.3652,0.3802,0.3727,0.4644,0.5662,0.5153,0.581,0.5764,0.5787
10.4,-0.2178,0.501,0.598,0.3611,0.365,0.3631,0.4506,0.5557,0.5031,0.5791,0.5814,0.5803
10.5,-0.2334,0.4893,0.5847,0.3598,0.3535,0.3566,0.4396,0.5461,0.4928,0.5771,0.5865,0.5818
10.6,-0.2466,0.4771,0.5707,0.3602,0.3461,0.3532,0.4315,0.5376,0.4845,0.5747,0.5914,0.5831
10.7,-0.2569,0.4651,0.5566,0.3617,0.3435,0.3526,0.4271,0.5305,0.4788,0.5727,0.5967,0.5847
10.8,-0.2638,0.4539,0.5425,0.3637,0.346,0.3549,0.4275,0.5259,0.4767,0.572,0.6032,0.5876
10.9,-0.2668,0.444,0.5285,0.3668,0.3536,0.3602,0.4342,0.5248,0.4795,0.5737,0.6113,0.5925
11,-0.2658,0.436,0.5147,0.3709,0.3654,0.3681,0.448,0.527,0.4875,0.5781,0.6211,0.5996
11.1,-0.2611,0.4304,0.5011,0.3757,0.3802,0.3779,0.469,0.5318,0.5004,0.5849,0.6319,0.6084
11.2,-0.2536,0.4278,0.4871,0.3801,0.3969,0.3885,0.4966,0.538,0.5173,0.5933,0.6432,0.6182
11.3,-0.2446,0.4286,0.4726,0.3832,0.4146,0.3989,0.5294,0.545,0.5372,0.6028,0.6543,0.6286
11.4,-0.2351,0.4321,0.4584,0.3847,0.4322,0.4085,0.5659,0.5527,0.5593,0.613,0.6653,0.6391
11.5,-0.2254,0.4373,0.4448,0.3844,0.4486,0.4165,0.6045,0.5609,0.5827,0.623,0.6756,0.6493
11.6,-0.216,0.4434,0.4324,0.3821,0.4629,0.4225,0.6433,0.5685,0.6059,0.632,0.6849,0.6585
11.7,-0.2075,0.4495,0.4213,0.3781,0.4745,0.4263,0.6804,0.5745,0.6275,0.6397,0.6927,0.6662
11.8,-0.2009,0.4555,0.4122,0.3728,0.4839,0.4283,0.7145,0.5787,0.6466,0.6461,0.6992,0.6727
11.9,-0.1965,0.4607,0.4054,0.3665,0.4917,0.4291,0.7438,0.5813,0.6625,0.6515,0.705,0.6783
12,-0.1942,0.4647,0.401,0.3595,0.498,0.4287,0.7666,0.5821,0.6743,0.6557,0.7099,0.6828
12.1,-0.1936,0.4671,0.3983,0.3518,0.5025,0.4271,0.7817,0.5804,0.6811,0.6576,0.7135,0.6855
12.2,-0.1949,0.4677,0.3966,0.3433,0.5053,0.4243,0.789,0.5755,0.6822,0.6565,0.7149,0.6857
12.3,-0.1986,0.4663,0.3958,0.3343,0.5065,0.4204,0.7885,0.5674,0.678,0.6521,0.7141,0.6831
12.4,-0.2054,0.4626,0.3957,0.325,0.5063,0.4156,0.7808,0.557,0.6689,0.6449,0.711,0.678
12.5,-0.215,0.4567,0.3962,0.3155,0.5043,0.4099,0.7663,0.545,0.6556,0.6354,0.7059,0.6707
12.6,-0.2261,0.4486,0.3969,0.3061,0.5002,0.4032,0.7458,0.5313,0.6385,0.6239,0.6987,0.6613
12.7,-0.2368,0.4388,0.3974,0.2972,0.4937,0.3955,0.7207,0.5158,0.6182,0.6106,0.6892,0.6499
12.8,-0.2459,0.4278,0.397,0.2893,0.4854,0.3874,0.6927,0.4985,0.5956,0.5956,0.6773,0.6365
12.9,-0.2531,0.4158,0.3953,0.283,0.4761,0.3796,0.6635,0.4805,0.572,0.5793,0.6633,0.6213
13,-0.258,0.4029,0.3922,0.2791,0.4662,0.3726,0.6337,0.4631,0.5484,0.562,0.6473,0.6046
13.1,-0.2596,0.3893,0.3876,0.2782,0.4557,0.367,0.6042,0.4477,0.526,0.5437,0.6292,0.5864
13.2,-0.2567,0.3756,0.3817,0.2808,0.4448,0.3628,0.5757,0.4353,0.5055,0.5249,0.6091,0.567
13.3,-0.2486,0.3623,0.3749,0.2867,0.4344,0.3605,0.5495,0.4264,0.488,0.5065,0.5875,0.547
13.4,-0.2352,0.3503,0.3674,0.2957,0.4253,0.3605,0.5265,0.4219,0.4742,0.4892,0.5645,0.5269
13.5,-0.2168,0.3397,0.3599,0.3079,0.4181,0.363,0.5075,0.4223,0.4649,0.4738,0.5404,0.5071
13.6,-0.1938,0.3308,0.3525,0.3235,0.4125,0.368,0.4926,0.4275,0.46,0.4602,0.5153,0.4877
13.7,-0.1657,0.3242,0.3454,0.3423,0.4079,0.3751,0.4819,0.4371,0.4595,0.4485,0.4894,0.4689
13.8,-0.1322,0.3209,0.3389,0.3639,0.4038,0.3838,0.4755,0.4503,0.4629,0.4392,0.4635,0.4513
13.9,-0.0934,0.322,0.3334,0.3874,0.4002,0.3938,0.4731,0.4662,0.4697,0.4329,0.4385,0.4357
14,-0.0507,0.3277,0.3293,0.4115,0.3968,0.4042,0.4742,0.4847,0.4794,0.4301,0.415,0.4225
14.1,-0.0057,0.3374,0.3272,0.4349,0.3927,0.4138,0.478,0.506,0.492,0.4306,0.3934,0.412
14.2,0.039,0.3497,0.3275,0.456,0.3863,0.4211,0.4839,0.53,0.507,0.4343,0.374,0.4041
14.3,0.0801,0.3637,0.331,0.4734,0.3767,0.4251,0.4912,0.5555,0.5234,0.4409,0.3575,0.3992
14.4,0.1142,0.3786,0.3377,0.486,0.3645,0.4252,0.4989,0.5804,0.5397,0.4503,0.345,0.3977
14.5,0.1379,0.3942,0.3475,0.4933,0.3514,0.4223,0.506,0.603,0.5545,0.4622,0.3373,0.3998
14.6,0.1486,0.4105,0.36,0.4954,0.3396,0.4175,0.5118,0.6227,0.5672,0.4764,0.3346,0.4055
14.7,0.1446,0.4277,0.3748,0.4935,0.3311,0.4123,0.516,0.6395,0.5777,0.4928,0.3364,0.4146
14.8,0.1251,0.4464,0.3917,0.4885,0.3274,0.4079,0.5184,0.6536,0.586,0.5116,0.3427,0.4271
14.9,0.0902,0.4675,0.4107,0.4812,0.3296,0.4054,0.5187,0.6644,0.5916,0.5327,0.3532,0.4429
