Time,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC,Coles - Christmas 2023 60 TVC
4.1,-0.2104,0.3598,0.437,0.4484,0.3826,0.4155,0.6587,0.2594,0.459,0.2541,0.3515,0.3028
4.2,-0.2215,0.3595,0.4364,0.451,0.3921,0.4215,0.6855,0.2524,0.4689,0.2538,0.3631,0.3085
4.3,-0.2338,0.3607,0.4352,0.4564,0.4059,0.4311,0.7087,0.2455,0.4771,0.2532,0.3731,0.3132
4.4,-0.2481,0.3623,0.434,0.4636,0.4222,0.4429,0.7264,0.239,0.4827,0.2522,0.3812,0.3167
4.5,-0.2653,0.3633,0.4332,0.471,0.4392,0.4551,0.7372,0.2331,0.4851,0.2505,0.387,0.3187
4.6,-0.2855,0.3631,0.4323,0.4776,0.456,0.4668,0.7404,0.2281,0.4842,0.2479,0.39,0.319
4.7,-0.3075,0.3621,0.4299,0.4831,0.4722,0.4777,0.7362,0.224,0.4801,0.2445,0.3895,0.317
4.8,-0.3291,0.3606,0.4251,0.4877,0.4874,0.4875,0.7255,0.2205,0.473,0.2409,0.385,0.3129
4.9,-0.3483,0.3592,0.4174,0.491,0.5005,0.4957,0.7096,0.2174,0.4635,0.2376,0.3764,0.307
5,-0.3648,0.3582,0.4075,0.4913,0.5106,0.501,0.6892,0.214,0.4516,0.235,0.3646,0.2998
5.1,-0.3785,0.3579,0.3963,0.4874,0.5171,0.5022,0.6645,0.2104,0.4375,0.2331,0.3505,0.2918
5.2,-0.389,0.3585,0.3844,0.479,0.5196,0.4993,0.6353,0.2066,0.4209,0.2319,0.3351,0.2835
5.3,-0.3943,0.3609,0.3721,0.4681,0.5175,0.4928,0.6022,0.2024,0.4023,0.2316,0.3191,0.2753
5.4,-0.393,0.3656,0.3598,0.4565,0.5104,0.4834,0.5663,0.1978,0.382,0.2321,0.3032,0.2677
5.5,-0.3848,0.3728,0.3479,0.4449,0.4978,0.4714,0.5291,0.1923,0.3607,0.2338,0.2875,0.2606
5.6,-0.3706,0.3821,0.337,0.4326,0.4801,0.4564,0.4921,0.186,0.339,0.2362,0.2716,0.2539
5.7,-0.3517,0.3927,0.3277,0.4194,0.457,0.4382,0.4565,0.1792,0.3179,0.2391,0.2552,0.2472
5.8,-0.3292,0.4039,0.3204,0.4055,0.4284,0.417,0.4231,0.1725,0.2978,0.2423,0.238,0.2402
5.9,-0.3024,0.4153,0.315,0.3933,0.3942,0.3938,0.392,0.1663,0.2791,0.2454,0.2203,0.2328
6,-0.2712,0.4271,0.3104,0.3843,0.3553,0.3698,0.3634,0.1605,0.262,0.2477,0.2026,0.2251
6.1,-0.2362,0.4394,0.3059,0.379,0.313,0.346,0.3385,0.1551,0.2468,0.2488,0.1855,0.2172
6.2,-0.1991,0.4515,0.3015,0.3765,0.2685,0.3225,0.3186,0.151,0.2348,0.249,0.1694,0.2092
6.3,-0.1623,0.4629,0.2982,0.3764,0.2226,0.2995,0.3042,0.149,0.2266,0.2484,0.1543,0.2013
6.4,-0.1275,0.4727,0.2971,0.3783,0.1761,0.2772,0.295,0.1501,0.2226,0.2474,0.1404,0.1939
6.5,-0.096,0.481,0.2985,0.3829,0.1305,0.2567,0.291,0.1547,0.2229,0.2465,0.1286,0.1875
6.6,-0.0685,0.4883,0.3021,0.3906,0.0882,0.2394,0.2931,0.1636,0.2283,0.2463,0.1195,0.1829
6.7,-0.0453,0.4953,0.3078,0.4015,0.0527,0.2271,0.3032,0.1782,0.2407,0.2472,0.1139,0.1806
6.8,-0.0262,0.5022,0.3159,0.4151,0.0262,0.2207,0.3217,0.1996,0.2606,0.2498,0.1119,0.1809
6.9,-0.011,0.5083,0.3266,0.4309,0.01,0.2205,0.3474,0.2277,0.2876,0.2541,0.1133,0.1837
7,0.0004,0.5127,0.339,0.4478,0.0042,0.226,0.3779,0.2602,0.3191,0.26,0.1177,0.1888
7.1,0.008,0.5149,0.3515,0.4644,0.0098,0.2371,0.411,0.2946,0.3528,0.2678,0.1254,0.1966
7.2,0.0118,0.5144,0.3629,0.4797,0.0275,0.2536,0.445,0.3285,0.3868,0.2782,0.1367,0.2075
7.3,0.0124,0.5113,0.373,0.4923,0.0565,0.2744,0.4785,0.3604,0.4194,0.2913,0.1513,0.2213
7.4,0.0109,0.5054,0.382,0.5014,0.0942,0.2978,0.5095,0.3886,0.449,0.3065,0.1688,0.2376
7.5,0.0086,0.4964,0.3905,0.5063,0.1369,0.3216,0.5362,0.4117,0.4739,0.323,0.1886,0.2558
7.6,0.0061,0.4841,0.3986,0.5057,0.1812,0.3435,0.5579,0.4292,0.4936,0.3401,0.211,0.2755
7.7,0.0039,0.4688,0.406,0.4992,0.2242,0.3617,0.575,0.4412,0.5081,0.357,0.2363,0.2966
7.8,0.0022,0.4505,0.4119,0.4868,0.2633,0.3751,0.5888,0.4481,0.5185,0.3733,0.2644,0.3189
7.9,0.001,0.43,0.4158,0.4703,0.2962,0.3832,0.6003,0.4504,0.5254,0.389,0.2945,0.3417
8,-0.0001,0.4083,0.4177,0.4515,0.3214,0.3864,0.6101,0.4486,0.5293,0.4041,0.3255,0.3648
8.1,-0.0012,0.3867,0.4185,0.4321,0.3386,0.3853,0.6182,0.4432,0.5307,0.4186,0.3565,0.3876
8.2,-0.0023,0.3661,0.4195,0.4129,0.3477,0.3803,0.6239,0.435,0.5294,0.4319,0.387,0.4094
8.3,-0.0033,0.3467,0.4219,0.3942,0.3495,0.3719,0.6266,0.4249,0.5258,0.4429,0.4162,0.4296
8.4,-0.0045,0.329,0.4271,0.3763,0.3454,0.3608,0.6265,0.4142,0.5203,0.4507,0.4435,0.4471
8.5,-0.0055,0.3132,0.4349,0.36,0.3366,0.3483,0.6247,0.4036,0.5141,0.4551,0.4681,0.4616
8.6,-0.0055,0.2996,0.4449,0.3461,0.3246,0.3353,0.6224,0.3939,0.5082,0.4566,0.4897,0.4732
8.7,-0.0027,0.2884,0.4562,0.3352,0.3102,0.3227,0.6205,0.3854,0.503,0.456,0.508,0.482
8.8,0.003,0.2793,0.468,0.3268,0.2938,0.3103,0.6188,0.3784,0.4986,0.4532,0.5227,0.4879
8.9,0.0102,0.2715,0.4799,0.3197,0.2757,0.2977,0.6171,0.373,0.4951,0.4481,0.5334,0.4907
9,0.0158,0.2644,0.491,0.3129,0.2569,0.2849,0.6152,0.3697,0.4925,0.4408,0.5404,0.4906
9.1,0.0182,0.257,0.5004,0.3056,0.238,0.2718,0.6132,0.3685,0.4908,0.4314,0.5443,0.4878
9.2,0.0171,0.2494,0.507,0.2979,0.2197,0.2588,0.6111,0.3691,0.4901,0.42,0.5454,0.4827
9.3,0.0134,0.2418,0.51,0.2906,0.2026,0.2466,0.6087,0.3716,0.4901,0.4068,0.5443,0.4755
9.4,0.0076,0.235,0.5088,0.2842,0.1879,0.2361,0.6059,0.376,0.491,0.3922,0.541,0.4666
9.5,-0.0012,0.2291,0.5035,0.2788,0.1764,0.2276,0.6029,0.3826,0.4928,0.3774,0.5357,0.4566
9.6,-0.0137,0.224,0.4947,0.2742,0.1685,0.2213,0.5995,0.3918,0.4957,0.3634,0.5288,0.4461
9.7,-0.0294,0.2202,0.4831,0.2707,0.1648,0.2177,0.5955,0.4034,0.4995,0.3507,0.5207,0.4357
9.8,-0.0467,0.2184,0.469,0.2694,0.1665,0.218,0.5907,0.4172,0.5039,0.3391,0.5121,0.4256
9.9,-0.0646,0.2196,0.4527,0.2714,0.1748,0.2231,0.5855,0.4332,0.5093,0.3285,0.5036,0.416
10,-0.0818,0.2239,0.4347,0.2766,0.1898,0.2332,0.5804,0.4512,0.5158,0.3191,0.4955,0.4073
10.1,-0.0976,0.2304,0.4156,0.284,0.2101,0.247,0.5752,0.4708,0.523,0.3113,0.4878,0.3996
10.2,-0.1111,0.237,0.3956,0.2922,0.2327,0.2624,0.5693,0.4903,0.5298,0.3054,0.4801,0.3928
10.3,-0.1223,0.2427,0.3752,0.3004,0.2549,0.2776,0.5622,0.5082,0.5352,0.3013,0.472,0.3866
10.4,-0.1316,0.2471,0.3552,0.3084,0.2754,0.2919,0.5547,0.5242,0.5394,0.2991,0.4635,0.3813
10.5,-0.1399,0.251,0.3377,0.3167,0.2945,0.3056,0.5486,0.5389,0.5438,0.2996,0.4553,0.3774
10.6,-0.1473,0.2553,0.3244,0.3256,0.3121,0.3188,0.546,0.5535,0.5498,0.3033,0.4482,0.3757
10.7,-0.1528,0.2602,0.316,0.3353,0.3274,0.3313,0.5475,0.5677,0.5576,0.3106,0.4424,0.3765
10.8,-0.1552,0.2657,0.3116,0.346,0.3396,0.3428,0.5523,0.5804,0.5664,0.321,0.438,0.3795
10.9,-0.154,0.2719,0.3095,0.358,0.3486,0.3533,0.5591,0.5904,0.5748,0.3339,0.435,0.3845
11,-0.1502,0.2788,0.3079,0.3712,0.3554,0.3633,0.5675,0.5965,0.582,0.3488,0.4335,0.3911
11.1,-0.1456,0.2861,0.3061,0.3853,0.3606,0.3729,0.5768,0.5981,0.5875,0.365,0.4331,0.399
11.2,-0.1418,0.2941,0.3041,0.4001,0.3648,0.3824,0.5867,0.5952,0.5909,0.3815,0.4334,0.4075
11.3,-0.1396,0.3031,0.3027,0.4151,0.3685,0.3918,0.5961,0.5883,0.5922,0.3976,0.4339,0.4157
11.4,-0.1396,0.3137,0.3025,0.4299,0.3723,0.4011,0.6043,0.5785,0.5914,0.4126,0.4343,0.4234
11.5,-0.1421,0.3266,0.3037,0.4439,0.3772,0.4105,0.6111,0.567,0.5891,0.4264,0.4343,0.4304
11.6,-0.147,0.3417,0.3056,0.4567,0.3838,0.4202,0.6174,0.5549,0.5861,0.4394,0.4339,0.4367
11.7,-0.1541,0.3584,0.3072,0.4682,0.3919,0.43,0.6237,0.5425,0.5831,0.452,0.433,0.4425
11.8,-0.1634,0.3758,0.3073,0.4785,0.4006,0.4395,0.6307,0.5299,0.5803,0.465,0.4319,0.4484
11.9,-0.1746,0.393,0.3053,0.4871,0.4092,0.4481,0.6384,0.5171,0.5777,0.4791,0.4314,0.4552
12,-0.1874,0.409,0.301,0.4938,0.4168,0.4553,0.6463,0.5037,0.575,0.4947,0.4318,0.4633
12.1,-0.2016,0.4229,0.2947,0.498,0.4229,0.4605,0.6533,0.4892,0.5713,0.5113,0.4331,0.4722
12.2,-0.217,0.4344,0.287,0.4997,0.427,0.4633,0.6593,0.4735,0.5664,0.5282,0.4345,0.4814
12.3,-0.2328,0.4431,0.2787,0.4989,0.4288,0.4638,0.6644,0.4565,0.5605,0.5444,0.4361,0.4903
12.4,-0.2478,0.4489,0.271,0.4964,0.4286,0.4625,0.6689,0.4388,0.5539,0.5598,0.4381,0.4989
12.5,-0.261,0.4521,0.2654,0.4938,0.4271,0.4604,0.6728,0.421,0.5469,0.5738,0.4407,0.5072
12.6,-0.2716,0.4536,0.2631,0.4925,0.425,0.4587,0.6757,0.4039,0.5398,0.5859,0.4441,0.515
12.7,-0.2783,0.4542,0.2648,0.4939,0.4231,0.4585,0.6775,0.3879,0.5327,0.5953,0.4482,0.5218
12.8,-0.2808,0.4542,0.2708,0.4978,0.4217,0.4598,0.6783,0.3731,0.5257,0.6012,0.4527,0.527
12.9,-0.2788,0.4533,0.2811,0.5032,0.4207,0.462,0.6785,0.3595,0.519,0.603,0.4573,0.5302
13,-0.2727,0.4512,0.2954,0.5089,0.4197,0.4643,0.6782,0.3469,0.5126,0.6004,0.4618,0.5311
13.1,-0.2627,0.448,0.3135,0.5147,0.4188,0.4667,0.6776,0.3352,0.5064,0.5937,0.466,0.5299
13.2,-0.2497,0.4441,0.3349,0.5206,0.4184,0.4695,0.6766,0.3246,0.5006,0.5837,0.4701,0.5269
13.3,-0.2351,0.4398,0.3589,0.5263,0.4186,0.4724,0.6749,0.3153,0.4951,0.5715,0.4743,0.5229
13.4,-0.2197,0.435,0.3848,0.5311,0.4191,0.4751,0.6724,0.3077,0.49,0.5584,0.4787,0.5186
13.5,-0.2043,0.4297,0.4118,0.5343,0.4197,0.477,0.6686,0.3013,0.485,0.5449,0.4836,0.5143
13.6,-0.1884,0.4243,0.4386,0.5359,0.4205,0.4782,0.6641,0.2959,0.48,0.5312,0.4892,0.5102
13.7,-0.172,0.4196,0.4644,0.5363,0.4221,0.4792,0.6598,0.2916,0.4757,0.5174,0.4958,0.5066
13.8,-0.1552,0.4164,0.4887,0.5361,0.4254,0.4808,0.6569,0.2893,0.4731,0.5034,0.504,0.5037
13.9,-0.1383,0.415,0.5118,0.5351,0.4312,0.4832,0.656,0.2904,0.4732,0.4897,0.5145,0.5021
14,-0.1218,0.4156,0.5334,0.5331,0.4401,0.4866,0.6566,0.2956,0.4761,0.4765,0.5274,0.5019
14.1,-0.106,0.4182,0.5532,0.5303,0.4527,0.4915,0.6579,0.3048,0.4813,0.4638,0.5419,0.5029
14.2,-0.0923,0.423,0.5703,0.5271,0.4693,0.4982,0.6594,0.3177,0.4885,0.4517,0.5573,0.5045
14.3,-0.0826,0.4303,0.5846,0.5238,0.4897,0.5067,0.6616,0.3339,0.4977,0.4402,0.573,0.5066
14.4,-0.079,0.4407,0.596,0.5207,0.5134,0.517,0.6655,0.3533,0.5094,0.4298,0.5891,0.5094
14.5,-0.0807,0.4546,0.6048,0.5177,0.539,0.5284,0.6712,0.3756,0.5234,0.4209,0.6056,0.5132
14.6,-0.0857,0.4718,0.6105,0.5149,0.5648,0.5398,0.6775,0.3995,0.5385,0.4141,0.6222,0.5181
14.7,-0.0904,0.4912,0.6118,0.5125,0.5885,0.5505,0.6827,0.4236,0.5532,0.4093,0.6381,0.5237
14.8,-0.0921,0.5111,0.6074,0.5111,0.6088,0.5599,0.6851,0.4462,0.5657,0.4068,0.6522,0.5295
14.9,-0.0889,0.5297,0.5965,0.5109,0.6245,0.5677,0.6839,0.4659,0.5749,0.4069,0.6639,0.5354
15,-0.0803,0.5454,0.5793,0.5119,0.6351,0.5735,0.6789,0.482,0.5804,0.41,0.6734,0.5417
15.1,-0.0662,0.5572,0.5575,0.514,0.6408,0.5774,0.6705,0.4942,0.5823,0.4164,0.6814,0.5489
15.2,-0.0467,0.5654,0.5328,0.517,0.6421,0.5795,0.6588,0.5027,0.5808,0.4257,0.6886,0.5572
15.3,-0.0225,0.5705,0.5076,0.5211,0.6403,0.5807,0.6442,0.5081,0.5762,0.4371,0.6949,0.566
15.4,0.0053,0.5732,0.4835,0.5268,0.6366,0.5817,0.627,0.511,0.569,0.4498,0.6995,0.5746
15.5,0.0357,0.5743,0.4615,0.5343,0.632,0.5832,0.6074,0.5113,0.5593,0.4627,0.7012,0.582
15.6,0.068,0.5739,0.442,0.5439,0.627,0.5855,0.586,0.5095,0.5478,0.475,0.6994,0.5872
15.7,0.101,0.5723,0.4254,0.5555,0.6222,0.5889,0.5632,0.5065,0.5349,0.4859,0.6942,0.5901
15.8,0.1331,0.5697,0.412,0.5692,0.6179,0.5936,0.5397,0.5033,0.5215,0.495,0.6861,0.5905
15.9,0.1628,0.5665,0.4014,0.5847,0.6143,0.5995,0.5159,0.5002,0.5081,0.5024,0.6754,0.5889
16,0.1892,0.5626,0.3928,0.601,0.6106,0.6058,0.492,0.4969,0.4945,0.5083,0.6625,0.5854
16.1,0.212,0.5576,0.3847,0.6169,0.6061,0.6115,0.4681,0.4926,0.4803,0.5134,0.6469,0.5801
16.2,0.2304,0.5507,0.3764,0.631,0.6001,0.6156,0.4443,0.4875,0.4659,0.5185,0.629,0.5737
16.3,0.2432,0.5418,0.3678,0.6426,0.5925,0.6175,0.421,0.4825,0.4517,0.5245,0.6094,0.5669
16.4,0.2502,0.5316,0.3598,0.6518,0.5838,0.6178,0.3984,0.4782,0.4383,0.5326,0.5891,0.5608
16.5,0.2518,0.5207,0.3532,0.6591,0.5742,0.6166,0.377,0.475,0.426,0.5431,0.5689,0.556
16.6,0.2486,0.5096,0.3488,0.6642,0.564,0.6141,0.357,0.4727,0.4149,0.556,0.5492,0.5526
16.7,0.2416,0.498,0.3467,0.6665,0.5528,0.6097,0.3388,0.4711,0.4049,0.5707,0.5297,0.5502
16.8,0.2326,0.4856,0.3466,0.6654,0.5405,0.603,0.3224,0.4702,0.3963,0.5861,0.5099,0.548
16.9,0.2235,0.4728,0.3478,0.6606,0.5269,0.5937,0.3083,0.4698,0.3891,0.6011,0.4891,0.5451
17,0.215,0.4603,0.3503,0.6513,0.5121,0.5817,0.2967,0.4696,0.3832,0.6148,0.467,0.5409
17.1,0.2067,0.4488,0.3538,0.6366,0.4965,0.5666,0.2874,0.4697,0.3786,0.6262,0.4435,0.5349
17.2,0.1984,0.4391,0.3581,0.6159,0.4807,0.5483,0.2803,0.4697,0.375,0.6343,0.4187,0.5265
17.3,0.1903,0.4322,0.3627,0.5889,0.4652,0.527,0.275,0.469,0.372,0.6378,0.3929,0.5154
17.4,0.1831,0.4288,0.3664,0.5565,0.4501,0.5033,0.2713,0.4666,0.3689,0.636,0.3668,0.5014
17.5,0.1768,0.4293,0.368,0.5205,0.4354,0.4779,0.2691,0.4609,0.365,0.628,0.3414,0.4847
17.6,0.1707,0.4335,0.3668,0.4824,0.4212,0.4518,0.2678,0.4504,0.3591,0.6139,0.318,0.4659
17.7,0.1642,0.4404,0.362,0.444,0.4075,0.4257,0.2668,0.4346,0.3507,0.594,0.2976,0.4458
17.8,0.1574,0.4489,0.3532,0.4065,0.3943,0.4004,0.2657,0.4131,0.3394,0.5694,0.281,0.4252
17.9,0.1512,0.4572,0.3401,0.3707,0.3812,0.376,0.2637,0.3866,0.3251,0.5419,0.2678,0.4048
18,0.146,0.4643,0.3226,0.338,0.3679,0.3529,0.2606,0.3559,0.3083,0.5133,0.2573,0.3853
18.1,0.1419,0.4697,0.3019,0.3102,0.3544,0.3323,0.2569,0.3226,0.2897,0.4858,0.249,0.3674
18.2,0.1385,0.4736,0.2799,0.2897,0.3418,0.3157,0.2535,0.2889,0.2712,0.4611,0.2428,0.3519
18.3,0.1353,0.4769,0.259,0.2784,0.3311,0.3047,0.2515,0.2569,0.2542,0.4401,0.2386,0.3394
18.4,0.1317,0.4803,0.2411,0.2774,0.323,0.3002,0.2514,0.228,0.2397,0.4228,0.2361,0.3294
18.5,0.127,0.484,0.2267,0.2868,0.3173,0.302,0.2525,0.2024,0.2274,0.408,0.2342,0.3211
18.6,0.1208,0.4881,0.2154,0.3057,0.3132,0.3095,0.2538,0.1795,0.2166,0.3946,0.2318,0.3132
18.7,0.1122,0.4924,0.2066,0.3325,0.3096,0.3211,0.254,0.1591,0.2065,0.3815,0.2283,0.3049
18.8,0.1005,0.4967,0.2001,0.3656,0.3058,0.3357,0.2529,0.141,0.197,0.3685,0.2237,0.2961
18.9,0.0857,0.5009,0.1965,0.4035,0.3014,0.3525,0.251,0.1254,0.1882,0.3558,0.2187,0.2872
19,0.0684,0.5049,0.1966,0.445,0.2961,0.3705,0.2488,0.1124,0.1806,0.3437,0.2146,0.2791
19.1,0.0486,0.509,0.2012,0.4882,0.2898,0.389,0.2467,0.1021,0.1744,0.3327,0.2125,0.2726
19.2,0.0259,0.5137,0.2104,0.5311,0.2827,0.4069,0.2446,0.0946,0.1696,0.3232,0.2128,0.268
19.3,0.0004,0.5193,0.2239,0.5719,0.2757,0.4238,0.2428,0.09,0.1664,0.3156,0.2155,0.2656
19.4,-0.0278,0.5262,0.2412,0.6085,0.2695,0.439,0.2414,0.0888,0.1651,0.3103,0.2204,0.2653
19.5,-0.0576,0.5344,0.2617,0.6396,0.2643,0.4519,0.2409,0.0916,0.1662,0.307,0.2273,0.2672
19.6,-0.0877,0.5442,0.2851,0.6642,0.2605,0.4624,0.2415,0.0993,0.1704,0.3052,0.2368,0.271
19.7,-0.1172,0.5559,0.311,0.6821,0.2587,0.4704,0.2433,0.112,0.1777,0.3041,0.2491,0.2766
19.8,-0.1455,0.5696,0.3384,0.693,0.26,0.4765,0.2461,0.1294,0.1878,0.3033,0.2641,0.2837
19.9,-0.1735,0.5856,0.3663,0.6971,0.2656,0.4813,0.2501,0.1508,0.2004,0.3031,0.2818,0.2924
20,-0.202,0.6037,0.3931,0.6948,0.2763,0.4856,0.2556,0.1757,0.2156,0.3039,0.3021,0.303
20.1,-0.2315,0.6236,0.4173,0.6872,0.2921,0.4897,0.263,0.2042,0.2336,0.3065,0.3255,0.316
20.2,-0.2624,0.6449,0.4376,0.675,0.3125,0.4938,0.2728,0.2359,0.2544,0.3112,0.3519,0.3316
20.3,-0.2941,0.6668,0.4531,0.6588,0.3363,0.4976,0.2851,0.2705,0.2778,0.3184,0.3816,0.35
20.4,-0.325,0.6882,0.4636,0.6388,0.3626,0.5007,0.2996,0.3069,0.3033,0.3284,0.4143,0.3713
20.5,-0.3531,0.7076,0.469,0.6162,0.3904,0.5033,0.3162,0.3446,0.3304,0.3409,0.4497,0.3953
20.6,-0.3761,0.7238,0.4699,0.5928,0.4192,0.506,0.335,0.3829,0.3589,0.356,0.4871,0.4216
20.7,-0.3919,0.7354,0.467,0.5703,0.4478,0.5091,0.3565,0.4209,0.3887,0.3736,0.526,0.4498
20.8,-0.3999,0.7412,0.4609,0.5499,0.4751,0.5125,0.3812,0.4573,0.4193,0.3938,0.5647,0.4793
20.9,-0.4004,0.7406,0.4518,0.5319,0.5,0.5159,0.4089,0.4911,0.45,0.4165,0.6014,0.509
21,-0.3942,0.7343,0.4398,0.5162,0.5219,0.5191,0.4382,0.5219,0.48,0.4411,0.6339,0.5375
21.1,-0.382,0.7232,0.4254,0.503,0.5403,0.5216,0.4681,0.5495,0.5088,0.4669,0.6608,0.5639
