Time,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC,Crown - Heres Where Things Get Interesting 30 TVC
10.9,-0.0192,0.3817,0.3214,0.6754,0.9872,0.8313,0.6904,0.7112,0.7008,0.9827,0.6741,0.8284
11,0.0086,0.3808,0.324,0.6603,0.9742,0.8173,0.6737,0.6989,0.6863,0.975,0.6708,0.8229
11.1,0.0396,0.3833,0.3313,0.6435,0.9519,0.7977,0.6584,0.6879,0.6731,0.9685,0.6694,0.819
11.2,0.0708,0.3891,0.3426,0.6259,0.9221,0.774,0.6451,0.6778,0.6614,0.9622,0.6694,0.8158
11.3,0.0995,0.3977,0.3564,0.6093,0.8872,0.7482,0.6337,0.6677,0.6507,0.9555,0.6699,0.8127
11.4,0.1239,0.4089,0.3715,0.595,0.8497,0.7224,0.6242,0.6571,0.6407,0.9482,0.6709,0.8095
11.5,0.1437,0.4225,0.3873,0.5836,0.8119,0.6977,0.617,0.6461,0.6316,0.9407,0.6723,0.8065
11.6,0.1607,0.4378,0.4031,0.5739,0.7748,0.6744,0.6127,0.6349,0.6238,0.9336,0.6738,0.8037
11.7,0.1769,0.453,0.419,0.5646,0.7389,0.6518,0.6112,0.6234,0.6173,0.9273,0.6752,0.8012
11.8,0.1944,0.4671,0.4343,0.5554,0.7045,0.6299,0.6126,0.6113,0.612,0.9213,0.676,0.7987
11.9,0.2144,0.4801,0.4488,0.5472,0.6721,0.6097,0.6167,0.5983,0.6075,0.9153,0.6766,0.796
12,0.2356,0.493,0.4626,0.5418,0.6436,0.5927,0.6238,0.5849,0.6043,0.9091,0.6779,0.7935
12.1,0.2562,0.5071,0.4768,0.5404,0.6205,0.5805,0.6342,0.5721,0.6032,0.9034,0.6804,0.7919
12.2,0.2737,0.5228,0.4929,0.5437,0.6036,0.5737,0.648,0.5617,0.6048,0.899,0.685,0.792
12.3,0.2865,0.5395,0.5118,0.5515,0.5929,0.5722,0.6647,0.555,0.6099,0.8962,0.6916,0.7939
12.4,0.2936,0.5557,0.5337,0.5636,0.5873,0.5755,0.6843,0.5527,0.6185,0.8955,0.6998,0.7976
12.5,0.2958,0.5704,0.5586,0.5805,0.5865,0.5835,0.7071,0.5547,0.6309,0.896,0.7085,0.8023
12.6,0.2945,0.5834,0.5865,0.6028,0.59,0.5964,0.7334,0.5611,0.6473,0.8966,0.7174,0.807
12.7,0.2904,0.5946,0.6179,0.6304,0.5969,0.6136,0.7629,0.5723,0.6676,0.8961,0.7264,0.8113
12.8,0.2831,0.6042,0.6539,0.6621,0.6064,0.6342,0.794,0.5888,0.6914,0.8941,0.7362,0.8151
12.9,0.2715,0.6123,0.6947,0.6964,0.6181,0.6572,0.8247,0.6102,0.7175,0.8907,0.7471,0.8189
13,0.2557,0.6188,0.7387,0.7322,0.6319,0.6821,0.8535,0.6352,0.7444,0.8862,0.7589,0.8225
13.1,0.2371,0.6238,0.7831,0.7692,0.6476,0.7084,0.8795,0.6627,0.7711,0.8808,0.7707,0.8258
13.2,0.218,0.6275,0.8252,0.8061,0.6649,0.7355,0.9024,0.6917,0.7971,0.8744,0.7819,0.8281
13.3,0.1999,0.6296,0.8638,0.8403,0.6826,0.7614,0.9213,0.7213,0.8213,0.8675,0.792,0.8297
13.4,0.1835,0.6304,0.8983,0.8693,0.6993,0.7843,0.9351,0.7507,0.8429,0.8612,0.801,0.8311
13.5,0.171,0.6308,0.9277,0.8928,0.7143,0.8036,0.9429,0.7785,0.8607,0.8565,0.8084,0.8324
13.6,0.1648,0.6321,0.9513,0.9111,0.7271,0.8191,0.9443,0.8033,0.8738,0.853,0.8134,0.8332
13.7,0.1652,0.6354,0.9684,0.9247,0.7379,0.8313,0.9397,0.8243,0.882,0.8496,0.8149,0.8322
13.8,0.1701,0.6408,0.9789,0.9335,0.7466,0.84,0.9299,0.8413,0.8856,0.8452,0.8123,0.8288
13.9,0.176,0.6484,0.9833,0.9372,0.7536,0.8454,0.9157,0.8543,0.885,0.8403,0.8063,0.8233
14,0.1796,0.6584,0.9821,0.9364,0.7592,0.8478,0.898,0.863,0.8805,0.8354,0.7977,0.8165
14.1,0.1777,0.6706,0.9765,0.9316,0.7637,0.8476,0.877,0.8675,0.8723,0.8305,0.7875,0.809
14.2,0.1682,0.684,0.9678,0.923,0.766,0.8445,0.8533,0.8682,0.8607,0.8253,0.7761,0.8007
14.3,0.1511,0.6968,0.9574,0.9107,0.7646,0.8376,0.8281,0.8659,0.847,0.8192,0.7637,0.7915
14.4,0.1274,0.7074,0.9463,0.895,0.758,0.8265,0.8029,0.8614,0.8322,0.8122,0.7504,0.7813
14.5,0.0989,0.715,0.9347,0.8776,0.7464,0.812,0.779,0.8545,0.8168,0.8046,0.7368,0.7707
14.6,0.0668,0.72,0.9221,0.8607,0.7309,0.7958,0.7568,0.8445,0.8007,0.7962,0.7232,0.7597
14.7,0.0316,0.7227,0.9076,0.8452,0.7124,0.7788,0.7363,0.8306,0.7834,0.7867,0.7097,0.7482
14.8,-0.0054,0.7235,0.8912,0.8315,0.6914,0.7615,0.7168,0.8125,0.7646,0.7758,0.6965,0.7361
14.9,-0.0421,0.7225,0.8731,0.8193,0.6683,0.7438,0.6982,0.7905,0.7443,0.7633,0.6836,0.7235
15,-0.0752,0.7199,0.8541,0.8083,0.6433,0.7258,0.6803,0.7653,0.7228,0.7495,0.6716,0.7105
15.1,-0.1031,0.7159,0.835,0.7983,0.6171,0.7077,0.6635,0.7373,0.7004,0.7341,0.661,0.6975
15.2,-0.1259,0.7114,0.8166,0.7896,0.5912,0.6904,0.648,0.707,0.6775,0.7176,0.6524,0.685
15.3,-0.1439,0.7068,0.7993,0.7831,0.5671,0.6751,0.6339,0.6748,0.6544,0.6999,0.6461,0.673
15.4,-0.1569,0.7023,0.784,0.7795,0.5457,0.6626,0.621,0.6415,0.6312,0.6811,0.6418,0.6614
15.5,-0.1634,0.6975,0.7716,0.779,0.5267,0.6529,0.6091,0.6079,0.6085,0.6609,0.6391,0.65
15.6,-0.1613,0.6917,0.7622,0.7804,0.5098,0.6451,0.598,0.5746,0.5863,0.6395,0.638,0.6388
15.7,-0.1496,0.6843,0.7555,0.7825,0.495,0.6387,0.5876,0.5416,0.5646,0.6176,0.6384,0.628
15.8,-0.1286,0.6751,0.7503,0.7848,0.483,0.6339,0.5783,0.5092,0.5437,0.5961,0.6403,0.6182
15.9,-0.1002,0.6649,0.7463,0.7878,0.4757,0.6318,0.5707,0.4784,0.5246,0.5754,0.6437,0.6096
16,-0.0665,0.6547,0.7432,0.7917,0.4747,0.6332,0.5658,0.4511,0.5085,0.5558,0.6485,0.6021
16.1,-0.0303,0.6457,0.741,0.7963,0.4809,0.6386,0.5639,0.4288,0.4964,0.5372,0.6541,0.5957
16.2,0.0074,0.6387,0.7389,0.8012,0.4942,0.6477,0.5651,0.412,0.4885,0.5198,0.6603,0.59
16.3,0.0463,0.634,0.7357,0.8066,0.5141,0.6603,0.5691,0.3999,0.4845,0.5039,0.6669,0.5854
16.4,0.0866,0.6311,0.73,0.8127,0.5389,0.6758,0.5758,0.3918,0.4838,0.4905,0.6737,0.5821
16.5,0.1274,0.6291,0.7209,0.8188,0.5663,0.6926,0.5842,0.3866,0.4854,0.4798,0.6802,0.58
16.6,0.166,0.627,0.7086,0.8237,0.5942,0.709,0.5931,0.3834,0.4882,0.4716,0.686,0.5788
16.7,0.1996,0.6237,0.6936,0.8262,0.6209,0.7235,0.601,0.381,0.491,0.4654,0.6905,0.578
16.8,0.2265,0.6191,0.6761,0.8256,0.6456,0.7356,0.607,0.3782,0.4926,0.4615,0.6935,0.5775
16.9,0.2467,0.6128,0.6563,0.8218,0.6675,0.7446,0.6108,0.3739,0.4923,0.4601,0.6948,0.5775
17,0.2604,0.6044,0.6341,0.8142,0.6848,0.7495,0.6126,0.3675,0.4901,0.4617,0.6945,0.5781
17.1,0.2675,0.5931,0.6104,0.8024,0.6963,0.7494,0.6128,0.3598,0.4863,0.466,0.6928,0.5794
17.2,0.2677,0.579,0.5864,0.7865,0.7017,0.7441,0.6121,0.3519,0.482,0.473,0.69,0.5815
17.3,0.2606,0.5628,0.5632,0.7667,0.7012,0.734,0.6112,0.3447,0.4779,0.4829,0.6868,0.5849
17.4,0.2473,0.5454,0.5417,0.7441,0.6949,0.7195,0.6107,0.3389,0.4748,0.4954,0.6839,0.5897
17.5,0.2295,0.5275,0.5223,0.7197,0.6826,0.7012,0.6107,0.3351,0.4729,0.5102,0.6814,0.5958
17.6,0.2091,0.5091,0.5057,0.6941,0.6647,0.6794,0.6116,0.3341,0.4728,0.5271,0.6789,0.603
17.7,0.1875,0.4907,0.4927,0.6681,0.6426,0.6553,0.6137,0.3366,0.4752,0.5462,0.676,0.6111
17.8,0.165,0.473,0.4834,0.6425,0.6184,0.6305,0.6177,0.3428,0.4803,0.5676,0.6728,0.6202
17.9,0.1422,0.4574,0.4778,0.6183,0.5945,0.6064,0.6234,0.3525,0.488,0.5909,0.6692,0.63
18,0.1199,0.4445,0.4758,0.5962,0.5718,0.584,0.6301,0.3655,0.4978,0.6151,0.6648,0.6399
18.1,0.0991,0.4345,0.4772,0.5763,0.5506,0.5634,0.6373,0.3817,0.5095,0.6388,0.6599,0.6494
18.2,0.0811,0.4274,0.4825,0.5586,0.5304,0.5445,0.645,0.4013,0.5231,0.6615,0.6551,0.6583
18.3,0.0674,0.4235,0.4928,0.5429,0.5114,0.5271,0.6536,0.4248,0.5392,0.6826,0.6518,0.6672
18.4,0.059,0.423,0.5081,0.5292,0.4936,0.5114,0.6637,0.4521,0.5579,0.7021,0.6508,0.6765
18.5,0.0562,0.4264,0.5275,0.5174,0.4773,0.4974,0.6752,0.4821,0.5786,0.72,0.6524,0.6862
18.6,0.059,0.4334,0.5496,0.5079,0.4632,0.4855,0.6874,0.513,0.6002,0.7361,0.6558,0.6959
18.7,0.0674,0.4438,0.5734,0.501,0.4513,0.4762,0.6997,0.5431,0.6214,0.7502,0.6606,0.7054
18.8,0.0807,0.4569,0.5984,0.4969,0.4416,0.4692,0.7117,0.5713,0.6415,0.7625,0.6668,0.7147
18.9,0.0976,0.4719,0.6239,0.4946,0.4332,0.4639,0.7232,0.5969,0.66,0.7736,0.6748,0.7242
19,0.1165,0.4876,0.6488,0.4933,0.4257,0.4595,0.7341,0.6193,0.6767,0.784,0.6846,0.7343
19.1,0.1358,0.5032,0.6721,0.4926,0.4189,0.4558,0.7445,0.638,0.6912,0.7934,0.6961,0.7448
19.2,0.1537,0.5182,0.6929,0.4927,0.4131,0.4529,0.7545,0.6528,0.7037,0.8013,0.7093,0.7553
19.3,0.1685,0.532,0.711,0.4937,0.4085,0.4511,0.7648,0.6638,0.7143,0.8071,0.7247,0.7659
19.4,0.1797,0.5441,0.7265,0.4953,0.405,0.4501,0.7751,0.6709,0.723,0.8109,0.7431,0.777
19.5,0.1875,0.5538,0.7391,0.4969,0.4018,0.4494,0.7845,0.6738,0.7292,0.8129,0.7647,0.7888
19.6,0.1924,0.5603,0.7486,0.4981,0.3987,0.4484,0.7915,0.6721,0.7318,0.8135,0.7898,0.8016
19.7,0.1938,0.5631,0.7547,0.4987,0.3951,0.4469,0.7948,0.6653,0.73,0.8135,0.8177,0.8156
19.8,0.1902,0.5619,0.7575,0.4985,0.3914,0.4449,0.7939,0.6539,0.7239,0.8139,0.8471,0.8305
19.9,0.1802,0.557,0.7577,0.4975,0.3878,0.4427,0.7889,0.6385,0.7137,0.8144,0.8761,0.8453
20,0.1637,0.5496,0.7563,0.4959,0.3853,0.4406,0.7802,0.6204,0.7003,0.8147,0.9031,0.8589
20.1,0.1418,0.5405,0.7545,0.4943,0.3843,0.4393,0.768,0.6008,0.6844,0.8145,0.927,0.8707
20.2,0.1158,0.5307,0.7531,0.4931,0.3849,0.439,0.753,0.5807,0.6669,0.814,0.9472,0.8806
20.3,0.0873,0.5207,0.7529,0.4926,0.3863,0.4394,0.7366,0.5613,0.6489,0.8138,0.9631,0.8885
20.4,0.0579,0.5109,0.7538,0.4931,0.3881,0.4406,0.7203,0.5436,0.6319,0.8136,0.9736,0.8936
20.5,0.0299,0.5018,0.7561,0.4956,0.3906,0.4431,0.7054,0.5284,0.6169,0.8126,0.9779,0.8953
20.6,0.0054,0.4941,0.7595,0.501,0.3948,0.4479,0.6927,0.5159,0.6043,0.8106,0.9759,0.8932
20.7,-0.014,0.4886,0.7639,0.5102,0.4009,0.4555,0.682,0.506,0.594,0.8078,0.9679,0.8878
20.8,-0.027,0.4851,0.7695,0.5226,0.4087,0.4657,0.6728,0.4984,0.5856,0.8051,0.955,0.8801
20.9,-0.0331,0.4832,0.7764,0.5369,0.4173,0.4771,0.6644,0.4929,0.5786,0.8029,0.9379,0.8704
