Time,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC,LavAzza 30s TVC
2.1,-0.3071,0.5921,0.8646,0.7097,1.079,0.8943,0.7068,0.8018,0.7543,0.9196,1.0308,0.9752
2.2,-0.2199,0.6117,0.8633,0.7213,1.0535,0.8874,0.7012,0.8059,0.7536,0.8951,1.0321,0.9636
2.3,-0.1274,0.6289,0.8568,0.7325,1.024,0.8783,0.6965,0.8061,0.7513,0.8735,1.0335,0.9535
2.4,-0.0326,0.6434,0.8459,0.7432,0.9912,0.8672,0.6929,0.8024,0.7477,0.8548,1.0344,0.9446
2.5,0.0595,0.6561,0.8318,0.7533,0.9566,0.8549,0.6908,0.7955,0.7431,0.8391,1.0342,0.9367
2.6,0.1446,0.6678,0.8157,0.7627,0.922,0.8424,0.6897,0.7861,0.7379,0.8267,1.033,0.9298
2.7,0.2202,0.6788,0.7989,0.7712,0.8888,0.83,0.6894,0.7746,0.732,0.8176,1.0307,0.9241
2.8,0.2848,0.6886,0.7822,0.7777,0.8577,0.8177,0.6889,0.7611,0.725,0.8112,1.0274,0.9193
2.9,0.3371,0.6964,0.7663,0.7817,0.829,0.8053,0.6874,0.7455,0.7164,0.8068,1.0226,0.9147
3,0.3764,0.702,0.7514,0.7827,0.8026,0.7927,0.6842,0.728,0.7061,0.8037,1.0158,0.9097
3.1,0.4025,0.7061,0.7374,0.7811,0.7792,0.7801,0.6787,0.7091,0.6939,0.8014,1.0071,0.9042
3.2,0.4162,0.7094,0.7245,0.7773,0.7593,0.7683,0.6709,0.6893,0.6801,0.7999,0.9967,0.8983
3.3,0.4188,0.7123,0.7125,0.772,0.7432,0.7576,0.6608,0.6694,0.6651,0.799,0.9854,0.8922
3.4,0.4116,0.7147,0.7014,0.7656,0.7305,0.7481,0.6488,0.6498,0.6493,0.7986,0.9737,0.8861
3.5,0.3965,0.7163,0.6915,0.7585,0.7207,0.7396,0.6355,0.6315,0.6335,0.7983,0.9621,0.8802
3.6,0.3754,0.7175,0.6833,0.7517,0.7134,0.7325,0.6218,0.6152,0.6185,0.7983,0.9508,0.8746
3.7,0.3499,0.7187,0.6773,0.746,0.7087,0.7274,0.6086,0.6013,0.6049,0.7987,0.9403,0.8695
3.8,0.3205,0.7201,0.6739,0.7422,0.7068,0.7245,0.597,0.5901,0.5936,0.7999,0.931,0.8654
3.9,0.2873,0.7215,0.6727,0.7402,0.7077,0.7239,0.5877,0.5818,0.5848,0.8019,0.923,0.8625
4,0.2499,0.7227,0.6731,0.7394,0.711,0.7252,0.5812,0.576,0.5786,0.8049,0.9166,0.8607
4.1,0.209,0.7237,0.6743,0.7397,0.7162,0.728,0.5773,0.5728,0.575,0.8085,0.9117,0.8601
4.2,0.1661,0.725,0.6761,0.741,0.723,0.732,0.5757,0.5715,0.5736,0.8125,0.9084,0.8604
4.3,0.1232,0.7268,0.6785,0.7433,0.7311,0.7372,0.576,0.5719,0.5739,0.8163,0.9062,0.8612
4.4,0.0822,0.7292,0.6817,0.7463,0.7399,0.7431,0.5782,0.5734,0.5758,0.8194,0.9047,0.8621
4.5,0.0442,0.7317,0.6857,0.7499,0.7488,0.7494,0.5822,0.576,0.5791,0.8214,0.9032,0.8623
4.6,0.0101,0.7339,0.6906,0.754,0.757,0.7555,0.5884,0.5794,0.5839,0.8216,0.9014,0.8615
4.7,-0.019,0.7358,0.6966,0.7587,0.7643,0.7615,0.5964,0.5833,0.5898,0.8199,0.8992,0.8595
4.8,-0.041,0.7375,0.7038,0.7645,0.7705,0.7675,0.6062,0.5875,0.5969,0.8165,0.897,0.8567
4.9,-0.0547,0.7395,0.7122,0.7716,0.7756,0.7736,0.6179,0.592,0.605,0.8118,0.895,0.8534
5,-0.0597,0.7416,0.7213,0.7801,0.7794,0.7798,0.6315,0.5966,0.614,0.8062,0.8932,0.8497
5.1,-0.0565,0.7441,0.7303,0.7897,0.7818,0.7858,0.6469,0.601,0.6239,0.8003,0.8912,0.8458
5.2,-0.0461,0.747,0.7386,0.8006,0.7827,0.7916,0.6636,0.605,0.6343,0.7948,0.8889,0.8419
5.3,-0.0291,0.7499,0.7461,0.8124,0.7817,0.797,0.6811,0.6083,0.6447,0.79,0.8864,0.8382
5.4,-0.0064,0.7524,0.753,0.8239,0.7784,0.8011,0.6982,0.6107,0.6544,0.7861,0.8837,0.8349
5.5,0.0199,0.7537,0.759,0.8334,0.7722,0.8028,0.7143,0.6122,0.6633,0.7827,0.8808,0.8318
5.6,0.0464,0.7535,0.7641,0.8394,0.7632,0.8013,0.7283,0.6134,0.6709,0.7792,0.8776,0.8284
5.7,0.0696,0.7518,0.7682,0.8414,0.7519,0.7966,0.7395,0.6147,0.6771,0.7748,0.8744,0.8246
5.8,0.0871,0.7487,0.771,0.8393,0.7391,0.7892,0.7471,0.6165,0.6818,0.7693,0.8716,0.8204
5.9,0.0978,0.7441,0.7722,0.8337,0.7257,0.7797,0.7505,0.6192,0.6849,0.7627,0.8691,0.8159
6,0.1017,0.7376,0.7717,0.8249,0.7125,0.7687,0.7494,0.623,0.6862,0.7553,0.867,0.8111
6.1,0.0992,0.7284,0.7694,0.8133,0.6998,0.7565,0.7442,0.6275,0.6858,0.7472,0.865,0.8061
6.2,0.0908,0.7161,0.7651,0.7992,0.6874,0.7433,0.7356,0.6327,0.6841,0.7386,0.8632,0.8009
6.3,0.0774,0.7015,0.7589,0.7837,0.6756,0.7297,0.7245,0.6388,0.6816,0.7293,0.8618,0.7956
6.4,0.0608,0.6857,0.7504,0.7682,0.6649,0.7166,0.7117,0.6461,0.6789,0.7195,0.8612,0.7903
6.5,0.0429,0.6702,0.7394,0.7539,0.6562,0.705,0.6979,0.6548,0.6763,0.7089,0.8615,0.7852
6.6,0.0253,0.6561,0.7259,0.7412,0.6504,0.6958,0.6837,0.6645,0.6741,0.6974,0.8622,0.7798
6.7,0.0095,0.6437,0.7099,0.7303,0.648,0.6892,0.6695,0.6748,0.6721,0.6849,0.863,0.774
6.8,-0.0047,0.6335,0.6916,0.7206,0.6491,0.6848,0.6556,0.6854,0.6705,0.672,0.8632,0.7676
6.9,-0.0176,0.6258,0.672,0.7119,0.6529,0.6824,0.6422,0.696,0.6691,0.659,0.8628,0.7609
7,-0.0295,0.6207,0.6524,0.7035,0.6588,0.6811,0.6293,0.7061,0.6677,0.6462,0.8611,0.7537
7.1,-0.0403,0.6179,0.6334,0.695,0.6658,0.6804,0.6169,0.7154,0.6662,0.6336,0.8575,0.7455
7.2,-0.0496,0.6168,0.6152,0.6861,0.6733,0.6797,0.6052,0.7234,0.6643,0.6207,0.8509,0.7358
7.3,-0.0571,0.617,0.5975,0.6765,0.6813,0.6789,0.5941,0.7297,0.6619,0.6077,0.8409,0.7243
7.4,-0.062,0.6182,0.5805,0.6662,0.6892,0.6777,0.5834,0.7338,0.6586,0.5948,0.8275,0.7111
7.5,-0.0635,0.62,0.5645,0.6555,0.6962,0.6759,0.5726,0.7349,0.6537,0.5824,0.8111,0.6967
7.6,-0.0608,0.6218,0.5496,0.6444,0.701,0.6727,0.5613,0.7326,0.6469,0.5706,0.7919,0.6812
7.7,-0.0539,0.623,0.5353,0.6326,0.7026,0.6676,0.5494,0.7267,0.638,0.5594,0.7699,0.6646
7.8,-0.0429,0.6233,0.5208,0.6202,0.7009,0.6606,0.5368,0.7172,0.627,0.5489,0.7449,0.6469
7.9,-0.0285,0.6228,0.5058,0.6076,0.6962,0.6519,0.5237,0.7045,0.6141,0.5399,0.7173,0.6286
8,-0.0111,0.6217,0.4905,0.5953,0.6888,0.642,0.5105,0.6891,0.5998,0.5334,0.6882,0.6108
8.1,0.0088,0.6207,0.475,0.5844,0.6787,0.6315,0.4976,0.6717,0.5846,0.5305,0.6586,0.5945
8.2,0.0306,0.6197,0.4587,0.5754,0.6661,0.6207,0.4856,0.6526,0.5691,0.5317,0.6296,0.5806
8.3,0.0528,0.6187,0.441,0.5685,0.6512,0.6099,0.4749,0.6326,0.5537,0.5369,0.6019,0.5694
8.4,0.0738,0.6171,0.4215,0.5639,0.6348,0.5993,0.4656,0.6124,0.539,0.546,0.5765,0.5612
8.5,0.0924,0.6148,0.4013,0.5616,0.6174,0.5895,0.4583,0.5929,0.5256,0.5586,0.5547,0.5566
8.6,0.1083,0.6117,0.3823,0.5619,0.5998,0.5809,0.4538,0.5754,0.5146,0.5744,0.5377,0.556
8.7,0.1216,0.608,0.3664,0.5654,0.5827,0.574,0.4528,0.5608,0.5068,0.5927,0.5262,0.5594
8.8,0.1322,0.6039,0.3543,0.5723,0.5667,0.5695,0.4557,0.5496,0.5027,0.6124,0.5205,0.5664
8.9,0.1401,0.5997,0.346,0.5834,0.553,0.5682,0.4626,0.5419,0.5022,0.6327,0.5207,0.5767
9,0.146,0.5957,0.3414,0.5991,0.5425,0.5708,0.4729,0.5376,0.5053,0.653,0.5274,0.5902
9.1,0.1517,0.5924,0.3412,0.6195,0.5359,0.5777,0.4864,0.537,0.5117,0.6733,0.5407,0.607
9.2,0.1588,0.5899,0.3464,0.6437,0.5332,0.5885,0.5024,0.5404,0.5214,0.6935,0.5607,0.6271
9.3,0.1674,0.5883,0.3585,0.6709,0.5343,0.6026,0.5204,0.5477,0.5341,0.7131,0.5869,0.65
9.4,0.1769,0.5879,0.378,0.7,0.5395,0.6197,0.5397,0.5588,0.5493,0.7313,0.6182,0.6748
9.5,0.1866,0.5888,0.4047,0.73,0.5487,0.6393,0.5597,0.5731,0.5664,0.7467,0.6528,0.6998
9.6,0.1956,0.5908,0.438,0.7601,0.5615,0.6608,0.5799,0.5899,0.5849,0.758,0.6892,0.7236
9.7,0.2037,0.5942,0.477,0.7899,0.5776,0.6837,0.5997,0.6089,0.6043,0.7644,0.7254,0.7449
9.8,0.2102,0.599,0.5202,0.8183,0.5964,0.7073,0.619,0.6295,0.6243,0.7661,0.7595,0.7628
9.9,0.2135,0.6055,0.5648,0.8442,0.6175,0.7309,0.6372,0.6507,0.644,0.7638,0.7899,0.7769
10,0.2123,0.6135,0.607,0.8668,0.6403,0.7535,0.6536,0.6708,0.6622,0.7585,0.8151,0.7868
10.1,0.2061,0.6225,0.6429,0.8851,0.6638,0.7745,0.6673,0.6878,0.6775,0.7508,0.8341,0.7925
10.2,0.1954,0.6314,0.67,0.8984,0.6868,0.7926,0.6772,0.7001,0.6886,0.7411,0.8464,0.7938
10.3,0.1815,0.6389,0.6876,0.9064,0.7075,0.807,0.6828,0.7066,0.6947,0.7294,0.8521,0.7907
10.4,0.1663,0.644,0.6954,0.9091,0.7247,0.8169,0.6843,0.707,0.6956,0.7156,0.8514,0.7835
10.5,0.1511,0.6466,0.6937,0.907,0.7379,0.8224,0.6823,0.7012,0.6918,0.7001,0.8453,0.7727
10.6,0.1362,0.6472,0.6831,0.9009,0.7473,0.8241,0.6778,0.6898,0.6838,0.6837,0.8351,0.7594
10.7,0.1209,0.6465,0.6652,0.8915,0.7529,0.8222,0.6712,0.674,0.6726,0.6673,0.8222,0.7447
10.8,0.1046,0.6448,0.6419,0.8789,0.7544,0.8167,0.6632,0.6549,0.659,0.6516,0.8072,0.7294
10.9,0.0872,0.6421,0.6142,0.8627,0.7511,0.8069,0.6543,0.6335,0.6439,0.637,0.79,0.7135
11,0.069,0.6381,0.5829,0.8427,0.7427,0.7927,0.6453,0.6106,0.628,0.6237,0.7706,0.6972
11.1,0.0506,0.6326,0.5486,0.8193,0.73,0.7746,0.6369,0.587,0.612,0.6118,0.7491,0.6804
11.2,0.0322,0.626,0.5128,0.7934,0.7142,0.7538,0.6298,0.5641,0.597,0.6013,0.7258,0.6636
11.3,0.0132,0.6194,0.4769,0.7663,0.6967,0.7315,0.625,0.5435,0.5842,0.5928,0.7019,0.6473
11.4,-0.0066,0.6132,0.4428,0.739,0.6783,0.7086,0.623,0.5267,0.5748,0.5864,0.6785,0.6325
11.5,-0.0264,0.6077,0.4114,0.7117,0.6595,0.6856,0.6239,0.5145,0.5692,0.582,0.6564,0.6192
11.6,-0.0455,0.6026,0.3832,0.6847,0.6404,0.6625,0.6272,0.5068,0.567,0.5791,0.6357,0.6074
11.7,-0.0633,0.5975,0.3583,0.6581,0.6207,0.6394,0.6315,0.5032,0.5674,0.5768,0.6163,0.5966
11.8,-0.0798,0.592,0.3374,0.6322,0.6004,0.6163,0.6362,0.503,0.5696,0.5746,0.5981,0.5864
11.9,-0.0945,0.5865,0.3207,0.6076,0.5799,0.5938,0.6404,0.5056,0.573,0.5719,0.5811,0.5765
12,-0.1075,0.5814,0.3084,0.5847,0.5603,0.5725,0.6439,0.5104,0.5772,0.5686,0.5652,0.5669
12.1,-0.119,0.5772,0.3004,0.5641,0.5427,0.5534,0.6466,0.517,0.5818,0.5646,0.5508,0.5577
12.2,-0.1305,0.5742,0.2964,0.5459,0.5281,0.537,0.648,0.5252,0.5866,0.5605,0.5387,0.5496
12.3,-0.143,0.5725,0.2967,0.53,0.5168,0.5234,0.6482,0.5349,0.5916,0.5569,0.5298,0.5433
12.4,-0.1568,0.5719,0.3017,0.516,0.5084,0.5122,0.6473,0.5466,0.597,0.5547,0.5248,0.5397
12.5,-0.1709,0.5726,0.312,0.504,0.5022,0.5031,0.6463,0.5605,0.6034,0.5545,0.5241,0.5393
12.6,-0.1845,0.5745,0.3273,0.4949,0.4981,0.4965,0.6459,0.5763,0.6111,0.5568,0.5276,0.5422
12.7,-0.1969,0.578,0.3464,0.4899,0.4961,0.493,0.6469,0.593,0.62,0.5612,0.5351,0.5482
12.8,-0.2073,0.5829,0.3674,0.4897,0.4961,0.4929,0.65,0.6093,0.6296,0.5678,0.5461,0.5569
12.9,-0.2143,0.5891,0.3889,0.4944,0.4976,0.496,0.6554,0.6243,0.6398,0.5768,0.56,0.5684
13,-0.2172,0.5966,0.4095,0.5034,0.4997,0.5016,0.663,0.6377,0.6503,0.5887,0.5762,0.5825
13.1,-0.2159,0.6059,0.4283,0.5159,0.5026,0.5092,0.6722,0.6497,0.661,0.6034,0.5937,0.5985
13.2,-0.211,0.6174,0.4441,0.5317,0.5069,0.5193,0.6821,0.6607,0.6714,0.62,0.6113,0.6156
13.3,-0.203,0.6312,0.456,0.5506,0.5134,0.532,0.6915,0.6704,0.6809,0.6371,0.6278,0.6324
13.4,-0.1923,0.6463,0.4632,0.5718,0.5222,0.547,0.6994,0.6783,0.6888,0.6533,0.642,0.6476
13.5,-0.1794,0.6616,0.4659,0.5941,0.5327,0.5634,0.7055,0.6845,0.695,0.6675,0.6532,0.6603
13.6,-0.1657,0.6761,0.4642,0.617,0.5442,0.5806,0.7101,0.6893,0.6997,0.6795,0.661,0.6703
13.7,-0.1526,0.6901,0.4586,0.6401,0.5562,0.5982,0.7139,0.6937,0.7038,0.6893,0.6658,0.6775
13.8,-0.1413,0.7038,0.4493,0.6634,0.5689,0.6161,0.7177,0.6983,0.708,0.6971,0.6675,0.6823
13.9,-0.1322,0.7172,0.4365,0.6866,0.5818,0.6342,0.7213,0.7031,0.7122,0.703,0.6662,0.6846
14,-0.1259,0.7298,0.4204,0.7086,0.5945,0.6516,0.7246,0.708,0.7163,0.707,0.6617,0.6843
14.1,-0.1231,0.7411,0.4011,0.7281,0.6071,0.6676,0.7273,0.7125,0.7199,0.7091,0.6537,0.6814
14.2,-0.1246,0.7511,0.3786,0.7447,0.6202,0.6825,0.7293,0.716,0.7226,0.7093,0.6423,0.6758
14.3,-0.1305,0.7602,0.3538,0.7586,0.6347,0.6966,0.7302,0.7182,0.7242,0.7074,0.6278,0.6676
14.4,-0.1398,0.7688,0.3287,0.7702,0.6507,0.7105,0.7296,0.7189,0.7243,0.7031,0.6108,0.657
14.5,-0.1512,0.777,0.3058,0.7797,0.6678,0.7238,0.7269,0.7183,0.7226,0.6961,0.5924,0.6443
14.6,-0.1636,0.7846,0.2868,0.7868,0.6851,0.7359,0.7216,0.7167,0.7192,0.6864,0.5736,0.63
14.7,-0.1765,0.7911,0.2727,0.7912,0.7016,0.7464,0.7138,0.7141,0.7139,0.6745,0.5553,0.6149
14.8,-0.1888,0.7959,0.2637,0.792,0.7165,0.7543,0.7035,0.7104,0.7069,0.6612,0.5383,0.5997
14.9,-0.1993,0.7983,0.259,0.7882,0.7291,0.7586,0.6909,0.7049,0.6979,0.6469,0.5229,0.5849
15,-0.2074,0.7976,0.2578,0.7792,0.7386,0.7589,0.6762,0.6971,0.6866,0.6323,0.5093,0.5708
15.1,-0.213,0.7938,0.2592,0.7651,0.7445,0.7548,0.659,0.6865,0.6727,0.6176,0.4972,0.5574
15.2,-0.2166,0.7873,0.2625,0.7468,0.747,0.7469,0.6399,0.6734,0.6566,0.6033,0.4866,0.545
15.3,-0.2181,0.7791,0.2679,0.7258,0.7466,0.7362,0.6199,0.6586,0.6392,0.5902,0.4779,0.5341
15.4,-0.2168,0.7701,0.2756,0.7037,0.7434,0.7235,0.6009,0.643,0.6219,0.5793,0.4718,0.5255
15.5,-0.2121,0.7608,0.2858,0.6818,0.7368,0.7093,0.5839,0.6277,0.6058,0.5716,0.469,0.5203
15.6,-0.2036,0.7515,0.2982,0.6609,0.7269,0.6939,0.5692,0.6134,0.5913,0.5677,0.4697,0.5187
15.7,-0.1912,0.7424,0.3127,0.6412,0.7142,0.6777,0.5563,0.6007,0.5785,0.5673,0.4737,0.5205
15.8,-0.1748,0.7338,0.3288,0.6229,0.6995,0.6612,0.5447,0.5901,0.5674,0.5699,0.4806,0.5253
15.9,-0.1546,0.7257,0.3459,0.6064,0.6837,0.645,0.5345,0.5813,0.5579,0.5751,0.4905,0.5328
16,-0.1312,0.7183,0.3634,0.5914,0.6674,0.6294,0.5256,0.5737,0.5496,0.5829,0.5029,0.5429
16.1,-0.1068,0.7119,0.3807,0.5774,0.6512,0.6143,0.5175,0.5666,0.542,0.593,0.5177,0.5554
16.2,-0.0844,0.7066,0.3971,0.564,0.6357,0.5998,0.5096,0.5596,0.5346,0.6053,0.5343,0.5698
16.3,-0.0664,0.7024,0.4125,0.5505,0.6216,0.5861,0.5017,0.5531,0.5274,0.619,0.5524,0.5857
16.4,-0.0541,0.6992,0.4266,0.537,0.6095,0.5733,0.4938,0.5475,0.5207,0.6334,0.5713,0.6023
16.5,-0.0469,0.6967,0.4391,0.5236,0.5994,0.5615,0.486,0.543,0.5145,0.6477,0.5903,0.619
16.6,-0.0432,0.6938,0.4498,0.5106,0.5908,0.5507,0.4783,0.5391,0.5087,0.6612,0.6086,0.6349
16.7,-0.0417,0.6899,0.458,0.4981,0.5829,0.5405,0.4712,0.5352,0.5032,0.6732,0.6255,0.6494
16.8,-0.0415,0.6843,0.4634,0.4863,0.5752,0.5307,0.4654,0.5307,0.498,0.6831,0.6401,0.6616
16.9,-0.0418,0.6774,0.4651,0.4763,0.5676,0.5219,0.4619,0.5258,0.4938,0.6905,0.6518,0.6711
17,-0.0415,0.6704,0.4625,0.4698,0.5604,0.5151,0.4616,0.5206,0.4911,0.695,0.6596,0.6773
17.1,-0.0395,0.664,0.455,0.4681,0.5538,0.5109,0.4645,0.5154,0.4899,0.6967,0.663,0.6798
17.2,-0.0353,0.6587,0.4425,0.4715,0.5476,0.5096,0.4701,0.5102,0.4901,0.6956,0.6616,0.6786
17.3,-0.0287,0.6544,0.4259,0.4799,0.542,0.511,0.4775,0.5051,0.4913,0.6918,0.6554,0.6736
17.4,-0.0198,0.6508,0.4066,0.4926,0.5373,0.515,0.4863,0.5004,0.4934,0.6853,0.6445,0.6649
17.5,-0.0083,0.6475,0.3862,0.5087,0.5336,0.5211,0.4962,0.4966,0.4964,0.6761,0.6293,0.6527
17.6,0.0063,0.6441,0.3658,0.527,0.5306,0.5288,0.5065,0.4935,0.5,0.6642,0.6101,0.6371
17.7,0.0241,0.6399,0.3462,0.5459,0.5273,0.5366,0.5161,0.4905,0.5033,0.6492,0.5868,0.618
17.8,0.0449,0.6337,0.3276,0.5634,0.5229,0.5431,0.5236,0.4872,0.5054,0.631,0.5598,0.5954
17.9,0.0676,0.625,0.3101,0.5778,0.5169,0.5474,0.5282,0.483,0.5056,0.6093,0.5294,0.5694
18,0.0908,0.6139,0.2935,0.5884,0.5099,0.5492,0.5295,0.478,0.5037,0.5845,0.4967,0.5406
18.1,0.1135,0.601,0.2781,0.5954,0.5026,0.549,0.5281,0.4721,0.5001,0.5573,0.4631,0.5102
18.2,0.1347,0.5869,0.2642,0.5991,0.4957,0.5474,0.5242,0.4655,0.4948,0.5291,0.4302,0.4797
18.3,0.1533,0.572,0.2525,0.5998,0.4895,0.5447,0.518,0.458,0.488,0.5011,0.3996,0.4504
18.4,0.1678,0.5569,0.2436,0.5982,0.4842,0.5412,0.5098,0.4494,0.4796,0.4744,0.3728,0.4236
18.5,0.177,0.5428,0.2377,0.5954,0.4804,0.5379,0.5,0.4404,0.4702,0.4497,0.3506,0.4001
18.6,0.1804,0.531,0.235,0.5925,0.4787,0.5356,0.4899,0.4317,0.4608,0.4276,0.3338,0.3807
18.7,0.1784,0.5223,0.2355,0.5905,0.48,0.5353,0.481,0.4243,0.4526,0.4092,0.3231,0.3662
18.8,0.172,0.5168,0.2392,0.5897,0.4846,0.5372,0.4739,0.419,0.4465,0.3954,0.3189,0.3571
18.9,0.1613,0.5141,0.2456,0.5898,0.4927,0.5413,0.469,0.4157,0.4424,0.3866,0.3213,0.3539
19,0.1465,0.514,0.2542,0.5904,0.5039,0.5471,0.4662,0.4143,0.4403,0.3828,0.3299,0.3564
19.1,0.1276,0.5164,0.2644,0.5914,0.5176,0.5545,0.4659,0.4145,0.4402,0.3836,0.3442,0.3639
19.2,0.1048,0.5215,0.2761,0.5933,0.533,0.5632,0.4689,0.416,0.4424,0.3882,0.3631,0.3757
19.3,0.0793,0.5293,0.2889,0.5964,0.549,0.5727,0.4759,0.4185,0.4472,0.3966,0.3855,0.391
19.4,0.052,0.5394,0.3022,0.6006,0.565,0.5828,0.4872,0.4217,0.4545,0.4085,0.4099,0.4092
19.5,0.0235,0.5514,0.3155,0.6061,0.5806,0.5933,0.5026,0.4252,0.4639,0.4238,0.4352,0.4295
19.6,-0.0056,0.5649,0.3285,0.6129,0.5959,0.6044,0.5214,0.4287,0.475,0.4422,0.4607,0.4515
19.7,-0.035,0.5793,0.3411,0.6209,0.6109,0.6159,0.5432,0.4327,0.488,0.4633,0.4863,0.4748
19.8,-0.0638,0.5944,0.3536,0.63,0.6254,0.6277,0.5675,0.4378,0.5027,0.4864,0.5112,0.4988
19.9,-0.0913,0.6096,0.3663,0.6399,0.6384,0.6391,0.5935,0.4443,0.5189,0.5111,0.5349,0.523
20,-0.1174,0.6244,0.3793,0.6503,0.6491,0.6497,0.6203,0.4522,0.5362,0.5365,0.5568,0.5466
20.1,-0.1415,0.6389,0.3928,0.6615,0.6574,0.6594,0.6466,0.4611,0.5539,0.562,0.5769,0.5694
20.2,-0.1637,0.653,0.4068,0.6736,0.6631,0.6683,0.6713,0.471,0.5711,0.5872,0.5955,0.5913
20.3,-0.184,0.667,0.4216,0.6859,0.6664,0.6762,0.6932,0.4819,0.5875,0.6121,0.6129,0.6125
20.4,-0.2022,0.6803,0.4375,0.6973,0.6671,0.6822,0.7111,0.4941,0.6026,0.6368,0.6292,0.633
20.5,-0.2178,0.6919,0.455,0.7064,0.6649,0.6857,0.7245,0.5076,0.6161,0.6612,0.6447,0.6529
20.6,-0.2288,0.7006,0.4746,0.7124,0.6593,0.6858,0.733,0.522,0.6275,0.6844,0.6592,0.6718
20.7,-0.2331,0.7051,0.4966,0.7145,0.65,0.6822,0.7365,0.5362,0.6363,0.7051,0.6722,0.6887
20.8,-0.2284,0.7048,0.5203,0.7125,0.6371,0.6748,0.7348,0.5492,0.642,0.722,0.6825,0.7022
20.9,-0.2135,0.6994,0.5438,0.7066,0.6207,0.6636,0.7279,0.5599,0.6439,0.734,0.6889,0.7115
21,-0.1889,0.6893,0.5646,0.6971,0.6013,0.6492,0.7162,0.5675,0.6418,0.7402,0.6907,0.7154
21.1,-0.1559,0.6754,0.5798,0.6849,0.5797,0.6323,0.7004,0.572,0.6362,0.74,0.6872,0.7136
21.2,-0.1156,0.6586,0.5873,0.6712,0.5571,0.6141,0.6817,0.5735,0.6276,0.7329,0.6785,0.7057
21.3,-0.0686,0.6398,0.5863,0.6572,0.534,0.5956,0.6611,0.5727,0.6169,0.7192,0.6652,0.6922
21.4,-0.0152,0.6195,0.5771,0.6439,0.5109,0.5774,0.6397,0.5697,0.6047,0.6998,0.6479,0.6739
