Time,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
6.2,-0.0273,0.5952,0.5462,0.5622,0.4612,0.5117,0.6908,0.6219,0.6563,0.6352,0.6663,0.6507
6.3,-0.0645,0.5855,0.5469,0.5641,0.4523,0.5082,0.6713,0.6093,0.6403,0.6262,0.6564,0.6413
6.4,-0.1017,0.5773,0.5459,0.5677,0.4474,0.5076,0.6504,0.5966,0.6235,0.6138,0.6448,0.6293
6.5,-0.1376,0.5708,0.5437,0.5729,0.4468,0.5098,0.6288,0.5843,0.6065,0.5993,0.6328,0.616
6.6,-0.1712,0.566,0.5417,0.5794,0.4507,0.5151,0.6071,0.5733,0.5902,0.5838,0.6212,0.6025
6.7,-0.2015,0.5628,0.5412,0.5872,0.459,0.5231,0.5865,0.5645,0.5755,0.5684,0.6106,0.5895
6.8,-0.2287,0.5611,0.5427,0.5966,0.4717,0.5341,0.5675,0.5581,0.5628,0.5539,0.6009,0.5774
6.9,-0.2527,0.5609,0.5459,0.6078,0.4886,0.5482,0.551,0.5543,0.5526,0.5406,0.5922,0.5664
7,-0.2736,0.5625,0.5504,0.6209,0.51,0.5655,0.5379,0.5527,0.5453,0.5289,0.5847,0.5568
7.1,-0.2912,0.5662,0.555,0.6356,0.5357,0.5856,0.5289,0.5531,0.541,0.5191,0.578,0.5485
7.2,-0.3062,0.5722,0.5593,0.6505,0.5649,0.6077,0.5243,0.5549,0.5396,0.5115,0.5716,0.5416
7.3,-0.3184,0.5807,0.5625,0.6647,0.596,0.6303,0.5237,0.5574,0.5406,0.5064,0.5652,0.5358
7.4,-0.3271,0.5915,0.5642,0.6772,0.6266,0.6519,0.5273,0.56,0.5436,0.5041,0.5587,0.5314
7.5,-0.3313,0.6041,0.5637,0.6882,0.6549,0.6715,0.5352,0.5621,0.5486,0.505,0.5524,0.5287
7.6,-0.3304,0.6176,0.5602,0.6974,0.6792,0.6883,0.5477,0.5635,0.5556,0.5089,0.5463,0.5276
7.7,-0.3253,0.6308,0.5538,0.7048,0.6988,0.7018,0.5645,0.5646,0.5645,0.5153,0.5403,0.5278
7.8,-0.3179,0.6425,0.5452,0.71,0.7133,0.7116,0.5843,0.5657,0.575,0.5233,0.5346,0.5289
7.9,-0.3094,0.6516,0.5357,0.7126,0.7224,0.7175,0.6056,0.5668,0.5862,0.5317,0.5294,0.5306
8,-0.2999,0.6572,0.5257,0.7124,0.7259,0.7191,0.6265,0.5673,0.5969,0.5396,0.5252,0.5324
8.1,-0.2884,0.6587,0.515,0.7096,0.724,0.7168,0.6465,0.567,0.6067,0.5465,0.5224,0.5345
8.2,-0.2738,0.656,0.5036,0.7045,0.7174,0.711,0.6651,0.5659,0.6155,0.5526,0.5209,0.5367
8.3,-0.2557,0.6492,0.4918,0.6976,0.7069,0.7023,0.6821,0.5643,0.6232,0.5579,0.5204,0.5392
8.4,-0.2338,0.6385,0.4799,0.6893,0.6927,0.691,0.6966,0.5621,0.6293,0.5617,0.5205,0.5411
8.5,-0.2092,0.6242,0.4678,0.6798,0.6753,0.6775,0.7075,0.5588,0.6331,0.5631,0.5204,0.5418
8.6,-0.1837,0.607,0.4551,0.6694,0.6556,0.6625,0.7145,0.5539,0.6342,0.5608,0.5199,0.5403
8.7,-0.1592,0.588,0.4417,0.6584,0.6349,0.6466,0.718,0.5475,0.6328,0.5548,0.5189,0.5368
