Time,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC,Hyundai NEXO TVC
4.5,0.3987,0.6458,0.2344,0.4898,0.4581,0.4739,0.3353,0.3683,0.3518,0.5372,0.4369,0.487
4.6,0.4245,0.6351,0.241,0.5015,0.4656,0.4836,0.3446,0.3783,0.3614,0.5488,0.4458,0.4973
4.7,0.4497,0.6257,0.2501,0.5146,0.4712,0.4929,0.3586,0.3894,0.374,0.56,0.456,0.508
4.8,0.4724,0.6171,0.2608,0.5277,0.4748,0.5013,0.3761,0.401,0.3885,0.5695,0.467,0.5183
4.9,0.4911,0.6096,0.2725,0.5407,0.4774,0.5091,0.3953,0.4126,0.404,0.5766,0.4782,0.5274
5,0.5044,0.604,0.2845,0.5539,0.4804,0.5172,0.4145,0.4239,0.4192,0.5807,0.489,0.5348
5.1,0.5112,0.6014,0.2967,0.5681,0.4846,0.5264,0.4326,0.4347,0.4336,0.5813,0.4991,0.5402
5.2,0.5111,0.602,0.3092,0.5843,0.4906,0.5375,0.4489,0.4451,0.447,0.5784,0.5083,0.5433
5.3,0.5054,0.6054,0.3224,0.6033,0.4984,0.5508,0.4637,0.4557,0.4597,0.5719,0.5163,0.5441
5.4,0.4965,0.6114,0.3364,0.6254,0.5079,0.5667,0.477,0.467,0.472,0.5625,0.5231,0.5428
5.5,0.4866,0.6197,0.3517,0.6501,0.519,0.5846,0.4889,0.4795,0.4842,0.5508,0.5287,0.5398
5.6,0.4762,0.63,0.3683,0.6765,0.5315,0.604,0.4991,0.4934,0.4963,0.5377,0.5336,0.5356
5.7,0.4652,0.6419,0.3861,0.7032,0.5451,0.6241,0.5073,0.5086,0.5079,0.5235,0.5378,0.5307
5.8,0.4536,0.6545,0.4043,0.7292,0.5595,0.6443,0.5134,0.5242,0.5188,0.5086,0.5411,0.5248
5.9,0.4426,0.6675,0.422,0.7538,0.5745,0.6642,0.5178,0.5394,0.5286,0.4933,0.543,0.5181
6,0.4341,0.6808,0.4386,0.7768,0.5901,0.6834,0.521,0.5534,0.5372,0.4782,0.5434,0.5108
6.1,0.4293,0.6942,0.4543,0.798,0.6061,0.7021,0.523,0.5662,0.5446,0.4639,0.5423,0.5031
6.2,0.4279,0.7076,0.4696,0.8173,0.6227,0.72,0.5242,0.5781,0.5512,0.4508,0.54,0.4954
6.3,0.4286,0.7206,0.4846,0.8347,0.6401,0.7374,0.5248,0.5893,0.5571,0.4394,0.537,0.4882
6.4,0.43,0.7329,0.4994,0.85,0.6586,0.7543,0.5253,0.6002,0.5628,0.4302,0.5343,0.4822
6.5,0.4317,0.7446,0.514,0.8629,0.6781,0.7705,0.5264,0.6111,0.5688,0.424,0.533,0.4785
6.6,0.4337,0.7556,0.5284,0.8727,0.6981,0.7854,0.5287,0.6222,0.5755,0.422,0.5341,0.4781
6.7,0.4358,0.7658,0.5423,0.8787,0.7173,0.798,0.5327,0.6333,0.583,0.4248,0.5377,0.4812
6.8,0.4378,0.7748,0.5544,0.8807,0.7345,0.8076,0.5384,0.6437,0.5911,0.4321,0.5432,0.4876
6.9,0.4395,0.7824,0.564,0.8788,0.7485,0.8137,0.5456,0.6526,0.5991,0.4433,0.5496,0.4964
7,0.4404,0.7884,0.5707,0.8729,0.7589,0.8159,0.5541,0.6599,0.607,0.458,0.5565,0.5072
7.1,0.4395,0.7931,0.5755,0.8628,0.7653,0.8141,0.5637,0.6663,0.615,0.4757,0.564,0.5198
7.2,0.4358,0.7968,0.5795,0.8487,0.7677,0.8082,0.5744,0.6724,0.6234,0.4957,0.5725,0.5341
7.3,0.4283,0.8,0.5838,0.8311,0.7658,0.7984,0.5857,0.6784,0.6321,0.5171,0.5817,0.5494
7.4,0.4166,0.803,0.5887,0.8109,0.7594,0.7851,0.5977,0.6843,0.641,0.5391,0.5909,0.565
7.5,0.4003,0.8059,0.5939,0.789,0.7486,0.7688,0.6103,0.6894,0.6499,0.5612,0.5994,0.5803
7.6,0.3801,0.8089,0.5994,0.7659,0.7339,0.7499,0.6233,0.6936,0.6584,0.583,0.6071,0.5951
7.7,0.357,0.8123,0.6052,0.7416,0.7158,0.7287,0.6361,0.6964,0.6663,0.6045,0.6143,0.6094
7.8,0.3315,0.8162,0.6113,0.7162,0.6952,0.7057,0.6481,0.6974,0.6727,0.625,0.6207,0.6228
7.9,0.3038,0.8207,0.6174,0.6898,0.6729,0.6813,0.6582,0.6964,0.6773,0.6434,0.6255,0.6345
8,0.2737,0.8254,0.6231,0.6626,0.65,0.6563,0.6658,0.6932,0.6795,0.6592,0.6281,0.6436
8.1,0.2406,0.83,0.6283,0.6349,0.6275,0.6312,0.67,0.6882,0.6791,0.6723,0.6278,0.6501
8.2,0.2047,0.8339,0.6331,0.6069,0.6062,0.6065,0.6705,0.6816,0.6761,0.6827,0.625,0.6538
8.3,0.1672,0.8366,0.6377,0.5788,0.5865,0.5827,0.6674,0.6738,0.6706,0.6904,0.6199,0.6551
8.4,0.1298,0.8375,0.6417,0.5517,0.5683,0.56,0.6613,0.6653,0.6633,0.6952,0.6129,0.6541
8.5,0.0939,0.8358,0.6443,0.5265,0.5512,0.5388,0.6532,0.656,0.6546,0.6969,0.6041,0.6505
8.6,0.0617,0.8312,0.6447,0.5042,0.5348,0.5195,0.644,0.6458,0.6449,0.6956,0.5936,0.6446
8.7,0.035,0.8242,0.6429,0.4856,0.5192,0.5024,0.6341,0.6348,0.6345,0.6921,0.5821,0.6371
8.8,0.016,0.8154,0.6395,0.4712,0.5046,0.4879,0.624,0.6232,0.6236,0.6869,0.57,0.6285
8.9,0.0056,0.8055,0.6353,0.4613,0.491,0.4761,0.6145,0.6115,0.613,0.6805,0.558,0.6192
9,0.0038,0.7948,0.6302,0.456,0.4782,0.4671,0.6064,0.6001,0.6033,0.6731,0.5463,0.6097
9.1,0.0104,0.783,0.6237,0.4549,0.4659,0.4604,0.6,0.5891,0.5946,0.6648,0.5355,0.6002
9.2,0.0253,0.7698,0.615,0.4578,0.4539,0.4559,0.5954,0.5784,0.5869,0.6559,0.5262,0.591
9.3,0.049,0.7554,0.6042,0.4645,0.4426,0.4536,0.5921,0.5683,0.5802,0.6468,0.5192,0.583
9.4,0.0816,0.7404,0.5923,0.4746,0.4325,0.4536,0.5902,0.5593,0.5748,0.6379,0.5153,0.5766
9.5,0.1213,0.7251,0.5805,0.4872,0.4239,0.4556,0.5893,0.5524,0.5709,0.6299,0.515,0.5724
9.6,0.1652,0.71,0.5696,0.5016,0.4168,0.4592,0.5894,0.5482,0.5688,0.6229,0.5183,0.5706
9.7,0.2102,0.6957,0.5598,0.517,0.4117,0.4644,0.5903,0.547,0.5687,0.6178,0.525,0.5714
9.8,0.254,0.6827,0.5511,0.5332,0.4091,0.4711,0.5921,0.5488,0.5705,0.6151,0.5343,0.5747
9.9,0.2955,0.671,0.5435,0.5495,0.4093,0.4794,0.5948,0.5533,0.574,0.6149,0.5454,0.5802
10,0.334,0.6607,0.5372,0.5653,0.4125,0.4889,0.5981,0.5602,0.5791,0.6167,0.5575,0.5871
10.1,0.3688,0.6517,0.5319,0.5799,0.4182,0.499,0.6015,0.5694,0.5855,0.6198,0.5698,0.5948
10.2,0.3991,0.6444,0.5269,0.5928,0.426,0.5094,0.6045,0.5803,0.5924,0.6239,0.5821,0.603
10.3,0.4235,0.6394,0.522,0.6036,0.4365,0.52,0.6066,0.5923,0.5994,0.629,0.5944,0.6117
10.4,0.4411,0.6375,0.5179,0.6126,0.4503,0.5315,0.6077,0.6051,0.6064,0.6356,0.6069,0.6212
10.5,0.4517,0.6392,0.5153,0.6205,0.4678,0.5441,0.6078,0.6187,0.6132,0.6439,0.6198,0.6318
10.6,0.4565,0.6443,0.5148,0.6279,0.4879,0.5579,0.6072,0.6331,0.6202,0.6538,0.6327,0.6433
10.7,0.4577,0.6522,0.5157,0.6355,0.5095,0.5725,0.606,0.6481,0.6271,0.6652,0.6454,0.6553
10.8,0.4568,0.6617,0.5168,0.6432,0.5311,0.5871,0.604,0.6628,0.6334,0.6777,0.6574,0.6675
10.9,0.4542,0.6714,0.5174,0.6509,0.5514,0.6011,0.6009,0.6763,0.6386,0.6909,0.6687,0.6798
11,0.4498,0.6804,0.5173,0.6579,0.5695,0.6137,0.5962,0.6881,0.6421,0.7043,0.6797,0.692
11.1,0.4433,0.6885,0.5168,0.6638,0.5848,0.6243,0.5893,0.6984,0.6438,0.7174,0.6906,0.704
11.2,0.4345,0.6958,0.5163,0.6687,0.5974,0.6331,0.5806,0.7073,0.6439,0.7296,0.7013,0.7154
11.3,0.4232,0.7023,0.5159,0.6727,0.6074,0.6401,0.5704,0.7148,0.6426,0.7406,0.7112,0.7259
11.4,0.4087,0.7077,0.5154,0.6756,0.615,0.6453,0.5596,0.7203,0.6399,0.7501,0.7198,0.7349
11.5,0.3903,0.7114,0.5149,0.6772,0.6202,0.6487,0.5488,0.7235,0.6362,0.7576,0.7267,0.7422
11.6,0.3683,0.7132,0.5146,0.6771,0.623,0.65,0.539,0.7246,0.6318,0.7625,0.7317,0.7471
11.7,0.3435,0.7132,0.5148,0.6758,0.6238,0.6498,0.5309,0.7244,0.6277,0.7643,0.7348,0.7495
11.8,0.3171,0.7122,0.5161,0.674,0.6235,0.6488,0.5257,0.7238,0.6247,0.763,0.736,0.7495
11.9,0.2899,0.7104,0.519,0.6721,0.6222,0.6472,0.5235,0.7235,0.6235,0.7591,0.7357,0.7474
12,0.2624,0.7077,0.5242,0.6697,0.62,0.6448,0.5241,0.7237,0.6239,0.7527,0.7338,0.7433
12.1,0.2352,0.7037,0.5322,0.6664,0.6163,0.6413,0.5273,0.7245,0.6259,0.7441,0.7304,0.7373
12.2,0.2094,0.6979,0.5431,0.6624,0.6102,0.6363,0.5326,0.7261,0.6294,0.7333,0.7252,0.7292
12.3,0.186,0.6901,0.5564,0.6581,0.6013,0.6297,0.5403,0.7283,0.6343,0.7202,0.7182,0.7192
12.4,0.1655,0.6798,0.5713,0.6538,0.5897,0.6217,0.55,0.7311,0.6405,0.7051,0.7094,0.7073
12.5,0.1475,0.6671,0.5872,0.6498,0.5759,0.6128,0.5617,0.7337,0.6477,0.6883,0.6991,0.6937
12.6,0.1315,0.6523,0.6039,0.6466,0.5604,0.6035,0.5745,0.7356,0.655,0.6697,0.687,0.6784
12.7,0.118,0.6358,0.621,0.6448,0.5436,0.5942,0.5878,0.7363,0.6621,0.6492,0.6731,0.6612
12.8,0.1074,0.6187,0.6387,0.6453,0.526,0.5857,0.6014,0.7358,0.6686,0.6271,0.6572,0.6421
12.9,0.0996,0.6018,0.6567,0.6491,0.5086,0.5789,0.6153,0.7341,0.6747,0.6038,0.6397,0.6217
13,0.0939,0.5855,0.6747,0.6566,0.4923,0.5745,0.6294,0.7309,0.6801,0.5801,0.6211,0.6006
13.1,0.0904,0.5702,0.6919,0.6672,0.4774,0.5723,0.6431,0.7257,0.6844,0.5561,0.6013,0.5787
13.2,0.0897,0.5561,0.7069,0.6797,0.4637,0.5717,0.6557,0.7178,0.6867,0.5318,0.5802,0.556
13.3,0.0923,0.5436,0.7187,0.6923,0.4515,0.5719,0.6662,0.7065,0.6864,0.507,0.5576,0.5323
13.4,0.0981,0.5335,0.7271,0.7042,0.4413,0.5727,0.6744,0.6922,0.6833,0.482,0.5339,0.508
13.5,0.1058,0.5269,0.7322,0.7143,0.4341,0.5742,0.68,0.6754,0.6777,0.4577,0.5099,0.4838
13.6,0.1142,0.5243,0.7341,0.7221,0.43,0.576,0.6827,0.6563,0.6695,0.4347,0.4861,0.4604
13.7,0.1226,0.5258,0.7328,0.7277,0.4289,0.5783,0.6823,0.6358,0.659,0.4134,0.4627,0.438
13.8,0.1309,0.5314,0.7283,0.7323,0.4308,0.5815,0.6791,0.615,0.6471,0.3942,0.4397,0.417
13.9,0.1388,0.5404,0.7205,0.7362,0.4357,0.586,0.6736,0.5949,0.6343,0.3774,0.4177,0.3975
14,0.1455,0.5524,0.7095,0.7396,0.4439,0.5918,0.666,0.5764,0.6212,0.3632,0.3974,0.3803
14.1,0.1495,0.5663,0.6955,0.7417,0.4552,0.5985,0.6564,0.5599,0.6082,0.3524,0.3795,0.366
14.2,0.1498,0.5809,0.6791,0.7417,0.4693,0.6055,0.6447,0.5453,0.595,0.3457,0.3647,0.3552
14.3,0.1465,0.5958,0.6608,0.7395,0.4855,0.6125,0.631,0.5329,0.5819,0.3443,0.3536,0.3489
14.4,0.1411,0.611,0.6418,0.7356,0.5042,0.6199,0.6158,0.523,0.5694,0.3493,0.3473,0.3483
14.5,0.1348,0.6268,0.6229,0.7309,0.5257,0.6283,0.6007,0.5163,0.5585,0.3616,0.3466,0.3541
14.6,0.1293,0.6432,0.6052,0.7261,0.55,0.6381,0.5869,0.5131,0.55,0.3814,0.3516,0.3665
14.7,0.1258,0.6595,0.5891,0.7217,0.576,0.6488,0.5752,0.5131,0.5442,0.4081,0.3621,0.3851
14.8,0.1254,0.6748,0.5749,0.7174,0.6016,0.6595,0.5661,0.5162,0.5412,0.4408,0.3775,0.4091
14.9,0.1288,0.6886,0.5632,0.7131,0.6254,0.6693,0.5592,0.5224,0.5408,0.4781,0.3973,0.4377
15,0.1363,0.7007,0.5541,0.7086,0.6464,0.6775,0.5544,0.5317,0.543,0.5188,0.4211,0.47
15.1,0.1476,0.7111,0.5473,0.7038,0.6643,0.684,0.5511,0.5433,0.5472,0.561,0.4482,0.5046
15.2,0.1627,0.7197,0.5421,0.6984,0.6785,0.6884,0.549,0.5563,0.5527,0.603,0.4773,0.5402
15.3,0.1818,0.7264,0.5382,0.6923,0.6887,0.6905,0.5481,0.5695,0.5588,0.6433,0.5071,0.5752
15.4,0.2046,0.7308,0.5358,0.6861,0.6952,0.6907,0.5486,0.5822,0.5654,0.6807,0.5369,0.6088
15.5,0.2304,0.7337,0.5348,0.6805,0.6987,0.6896,0.5508,0.5942,0.5725,0.7143,0.566,0.6402
15.6,0.2577,0.7358,0.5351,0.6762,0.6999,0.6881,0.5547,0.6054,0.5801,0.7436,0.594,0.6688
15.7,0.2843,0.7372,0.536,0.6735,0.6997,0.6866,0.5598,0.6149,0.5874,0.7676,0.6202,0.6939
15.8,0.3073,0.7377,0.5368,0.672,0.6986,0.6853,0.565,0.6219,0.5935,0.7855,0.6438,0.7147
15.9,0.3242,0.7369,0.5372,0.6713,0.6967,0.684,0.5697,0.6257,0.5977,0.7973,0.6642,0.7308
16,0.3336,0.7349,0.5372,0.6712,0.6942,0.6827,0.5734,0.6261,0.5997,0.8034,0.6812,0.7423
16.1,0.3349,0.7319,0.5371,0.6716,0.6907,0.6811,0.576,0.6237,0.5998,0.8049,0.6949,0.7499
16.2,0.3281,0.7285,0.5372,0.6723,0.6863,0.6793,0.5779,0.6188,0.5983,0.8028,0.7058,0.7543
16.3,0.3129,0.7245,0.5378,0.673,0.6809,0.6769,0.5792,0.6117,0.5954,0.7981,0.7141,0.7561
16.4,0.2904,0.7196,0.5386,0.6729,0.6741,0.6735,0.5801,0.6026,0.5913,0.791,0.7195,0.7553
16.5,0.2626,0.7138,0.5395,0.672,0.6658,0.6689,0.5807,0.5918,0.5862,0.7814,0.7218,0.7516
16.6,0.2314,0.708,0.5409,0.6711,0.6563,0.6637,0.5816,0.5802,0.5809,0.7694,0.721,0.7452
16.7,0.1978,0.7031,0.543,0.6714,0.6462,0.6588,0.583,0.5688,0.5759,0.7555,0.7172,0.7363
16.8,0.1622,0.7,0.5462,0.6738,0.6361,0.655,0.5849,0.5581,0.5715,0.7401,0.7107,0.7254
16.9,0.1252,0.6986,0.551,0.6786,0.626,0.6523,0.5871,0.5486,0.5678,0.7237,0.7023,0.713
17,0.0882,0.699,0.5577,0.6856,0.6154,0.6505,0.5897,0.5406,0.5651,0.7066,0.6925,0.6996
17.1,0.0528,0.7012,0.5664,0.6951,0.6045,0.6498,0.5927,0.5346,0.5636,0.6897,0.6823,0.686
17.2,0.0199,0.7054,0.5772,0.7072,0.5935,0.6504,0.5961,0.5309,0.5635,0.6736,0.6723,0.673
17.3,-0.0099,0.7114,0.59,0.7211,0.5828,0.652,0.5992,0.5293,0.5642,0.6588,0.6629,0.6609
17.4,-0.0367,0.7186,0.6044,0.7358,0.5722,0.654,0.6012,0.5296,0.5654,0.6451,0.6541,0.6496
17.5,-0.0604,0.7263,0.6198,0.7499,0.5618,0.6559,0.6018,0.5315,0.5667,0.6327,0.6458,0.6392
17.6,-0.0803,0.734,0.6355,0.7628,0.5521,0.6575,0.6011,0.5352,0.5681,0.6216,0.638,0.6298
17.7,-0.0959,0.742,0.6511,0.7749,0.5437,0.6593,0.5993,0.5409,0.5701,0.6121,0.6309,0.6215
17.8,-0.1067,0.7508,0.666,0.7861,0.5379,0.662,0.5969,0.5488,0.5729,0.6043,0.6248,0.6145
17.9,-0.1128,0.7601,0.6796,0.7963,0.5348,0.6655,0.5939,0.5587,0.5763,0.5979,0.6192,0.6086
18,-0.1136,0.7695,0.6912,0.8042,0.5341,0.6692,0.5899,0.5695,0.5797,0.5927,0.614,0.6034
18.1,-0.1088,0.778,0.7,0.8088,0.5351,0.6719,0.5847,0.5805,0.5826,0.5885,0.6088,0.5986
18.2,-0.0987,0.7848,0.7053,0.8093,0.537,0.6732,0.5782,0.5907,0.5845,0.5847,0.6034,0.594
18.3,-0.0844,0.7898,0.7069,0.806,0.5398,0.6729,0.5709,0.5995,0.5852,0.5809,0.5977,0.5893
18.4,-0.0668,0.7929,0.7048,0.7999,0.5436,0.6718,0.5631,0.6064,0.5848,0.577,0.5919,0.5845
18.5,-0.046,0.7947,0.6995,0.7926,0.5487,0.6706,0.5558,0.6114,0.5836,0.5731,0.5864,0.5797
18.6,-0.022,0.7956,0.6918,0.7847,0.5547,0.6697,0.5492,0.6145,0.5819,0.5693,0.5818,0.5755
18.7,0.005,0.7954,0.682,0.7764,0.5607,0.6686,0.5433,0.6158,0.5796,0.5657,0.5783,0.572
18.8,0.0338,0.7939,0.6703,0.7674,0.5655,0.6664,0.5373,0.6151,0.5762,0.5622,0.5758,0.569
18.9,0.0626,0.7911,0.6566,0.7576,0.5685,0.6631,0.5307,0.6122,0.5715,0.5589,0.574,0.5664
19,0.0899,0.7872,0.6404,0.7474,0.5699,0.6587,0.5237,0.6069,0.5653,0.5558,0.5725,0.5641
19.1,0.1152,0.7829,0.6217,0.737,0.5701,0.6536,0.517,0.5993,0.5581,0.5533,0.5711,0.5622
19.2,0.1392,0.7783,0.6012,0.7266,0.5696,0.6481,0.5115,0.5902,0.5508,0.5517,0.57,0.5608
19.3,0.1627,0.7734,0.5799,0.7165,0.5683,0.6424,0.5082,0.5805,0.5444,0.551,0.5698,0.5604
19.4,0.1857,0.7679,0.5587,0.7069,0.5657,0.6363,0.507,0.5714,0.5392,0.5511,0.5707,0.5609
19.5,0.2074,0.7618,0.5383,0.6981,0.5617,0.6299,0.5078,0.5636,0.5357,0.5511,0.5725,0.5618
19.6,0.2269,0.7554,0.519,0.6905,0.5568,0.6236,0.51,0.5575,0.5337,0.5506,0.5751,0.5628
19.7,0.2443,0.7487,0.5015,0.6841,0.5519,0.618,0.5137,0.5536,0.5336,0.5493,0.5781,0.5637
19.8,0.2601,0.7419,0.4863,0.679,0.5477,0.6133,0.5188,0.5524,0.5356,0.5472,0.5815,0.5643
19.9,0.275,0.7351,0.4744,0.6753,0.5446,0.6099,0.5251,0.5545,0.5398,0.5441,0.5852,0.5646
20,0.2885,0.7282,0.466,0.6733,0.5427,0.608,0.5319,0.5599,0.5459,0.54,0.5892,0.5646
20.1,0.2995,0.7213,0.4608,0.673,0.5422,0.6076,0.5387,0.568,0.5533,0.535,0.5934,0.5642
20.2,0.3076,0.714,0.4584,0.6743,0.5426,0.6084,0.5452,0.5781,0.5616,0.5291,0.5976,0.5634
20.3,0.3127,0.7062,0.4587,0.6769,0.5437,0.6103,0.5515,0.5898,0.5707,0.5226,0.6017,0.5622
20.4,0.3152,0.6977,0.4614,0.6802,0.545,0.6126,0.5577,0.6025,0.5801,0.5156,0.6055,0.5606
20.5,0.3147,0.6885,0.4658,0.6835,0.5463,0.6149,0.5631,0.6152,0.5892,0.5083,0.6082,0.5583
20.6,0.3106,0.6785,0.4711,0.6866,0.5475,0.617,0.5669,0.6268,0.5969,0.5004,0.6094,0.5549
20.7,0.3023,0.6679,0.4769,0.6892,0.549,0.6191,0.569,0.6366,0.6028,0.4925,0.6088,0.5507
20.8,0.2898,0.6571,0.4833,0.6916,0.5511,0.6214,0.5699,0.6448,0.6073,0.4854,0.6071,0.5462
20.9,0.2729,0.6466,0.491,0.694,0.5538,0.6239,0.5701,0.6517,0.6109,0.48,0.6048,0.5424
21,0.2519,0.6369,0.4998,0.6958,0.5569,0.6264,0.5694,0.6576,0.6135,0.4769,0.6022,0.5395
21.1,0.2272,0.6283,0.5096,0.6963,0.5598,0.6281,0.5673,0.6621,0.6147,0.4761,0.5994,0.5377
21.2,0.1997,0.6214,0.52,0.6954,0.5624,0.6289,0.5639,0.6651,0.6145,0.4773,0.5966,0.537
21.3,0.1705,0.6163,0.5312,0.6932,0.5646,0.6289,0.56,0.6665,0.6133,0.4803,0.5942,0.5373
21.4,0.1411,0.6132,0.5433,0.6908,0.5665,0.6286,0.5566,0.6671,0.6118,0.4851,0.5926,0.5389
21.5,0.1122,0.6124,0.5564,0.6887,0.5681,0.6284,0.5544,0.6672,0.6108,0.4917,0.5918,0.5418
