Time,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
6.6,0.1692,0.522,0.448,0.4819,0.3735,0.4277,0.6045,0.7036,0.654,0.5585,0.631,0.5947
6.7,0.1614,0.502,0.4515,0.4807,0.3799,0.4303,0.591,0.7068,0.6489,0.569,0.6252,0.5971
6.8,0.1532,0.4803,0.4543,0.4765,0.3847,0.4306,0.5788,0.709,0.6439,0.5791,0.619,0.599
6.9,0.1449,0.4571,0.456,0.4688,0.3876,0.4282,0.5682,0.7099,0.6391,0.5886,0.6126,0.6006
7,0.1365,0.4327,0.4563,0.4575,0.3887,0.4231,0.5594,0.7091,0.6342,0.5972,0.6057,0.6014
7.1,0.1277,0.4078,0.4554,0.4427,0.3883,0.4155,0.552,0.7062,0.6291,0.6048,0.5985,0.6017
7.2,0.1184,0.3831,0.4544,0.4249,0.3871,0.406,0.5462,0.7015,0.6239,0.6116,0.5917,0.6017
7.3,0.1095,0.3598,0.4543,0.4048,0.3856,0.3952,0.5423,0.6953,0.6188,0.6179,0.5858,0.6018
7.4,0.1025,0.339,0.4555,0.3835,0.3838,0.3836,0.5404,0.6877,0.6141,0.6242,0.5814,0.6028
7.5,0.0984,0.3215,0.4583,0.3621,0.3824,0.3723,0.5408,0.6788,0.6098,0.6309,0.579,0.6049
7.6,0.0973,0.3081,0.4634,0.3419,0.3822,0.362,0.5434,0.6691,0.6062,0.6384,0.5791,0.6088
7.7,0.0995,0.2992,0.4719,0.324,0.3837,0.3538,0.5483,0.6593,0.6038,0.647,0.5823,0.6146
7.8,0.1053,0.2957,0.4849,0.3092,0.3875,0.3484,0.5557,0.6503,0.603,0.6562,0.5891,0.6226
7.9,0.1151,0.2981,0.5026,0.2981,0.3937,0.3459,0.5655,0.6422,0.6038,0.6657,0.5994,0.6325
8,0.1286,0.3062,0.524,0.2908,0.4024,0.3466,0.577,0.6352,0.6061,0.6751,0.6128,0.6439
8.1,0.1454,0.3192,0.5472,0.2872,0.4134,0.3503,0.5892,0.629,0.6091,0.6837,0.6288,0.6562
8.2,0.1646,0.3361,0.5697,0.2868,0.4262,0.3565,0.6007,0.6235,0.6121,0.6911,0.6466,0.6689
8.3,0.186,0.3555,0.5897,0.2886,0.4396,0.3641,0.6107,0.6183,0.6145,0.6967,0.6654,0.6811
8.4,0.2093,0.3768,0.6053,0.2917,0.4528,0.3722,0.6186,0.6134,0.616,0.6999,0.6839,0.6919
8.5,0.2337,0.3993,0.6162,0.2956,0.4653,0.3805,0.6244,0.6088,0.6166,0.7003,0.7009,0.7006
8.6,0.2575,0.4225,0.6228,0.3,0.4772,0.3886,0.6284,0.6048,0.6166,0.698,0.7157,0.7069
8.7,0.28,0.4457,0.6263,0.3047,0.4884,0.3966,0.6312,0.602,0.6166,0.6933,0.7276,0.7105
8.8,0.3011,0.4685,0.627,0.3093,0.4989,0.4041,0.6333,0.6003,0.6168,0.6868,0.7362,0.7115
8.9,0.321,0.4906,0.6252,0.3134,0.5084,0.4109,0.6348,0.5995,0.6172,0.6794,0.7413,0.7103
9,0.339,0.5114,0.6205,0.3164,0.5165,0.4164,0.6356,0.5989,0.6172,0.6716,0.743,0.7073
9.1,0.3539,0.5303,0.6133,0.3183,0.5232,0.4208,0.6358,0.5979,0.6169,0.6639,0.7418,0.7029
9.2,0.3641,0.5466,0.6039,0.3199,0.5288,0.4244,0.6357,0.5969,0.6163,0.6567,0.7383,0.6975
9.3,0.3685,0.5596,0.5929,0.3218,0.5328,0.4273,0.6355,0.5962,0.6159,0.6503,0.733,0.6917
9.4,0.366,0.5684,0.5806,0.3237,0.5345,0.4291,0.6349,0.5959,0.6154,0.6449,0.7265,0.6857
9.5,0.3566,0.573,0.567,0.3252,0.5329,0.429,0.6336,0.5956,0.6146,0.6403,0.7193,0.6798
9.6,0.3406,0.5739,0.5522,0.326,0.5279,0.4269,0.6315,0.5946,0.6131,0.6362,0.7116,0.6739
9.7,0.319,0.5722,0.5365,0.326,0.5195,0.4228,0.6288,0.5927,0.6107,0.6326,0.704,0.6683
9.8,0.2931,0.5691,0.5203,0.3254,0.5085,0.4169,0.6254,0.5895,0.6075,0.6293,0.6967,0.663
9.9,0.2645,0.5653,0.5037,0.324,0.4948,0.4094,0.6211,0.5852,0.6032,0.6259,0.6896,0.6578
10,0.2349,0.561,0.4869,0.322,0.4787,0.4004,0.6157,0.5802,0.5979,0.622,0.6827,0.6524
10.1,0.2054,0.5565,0.4711,0.3195,0.4606,0.39,0.6092,0.5751,0.5921,0.6175,0.6758,0.6467
10.2,0.1773,0.5522,0.4573,0.3166,0.4414,0.379,0.6019,0.5703,0.5861,0.6126,0.6698,0.6412
10.3,0.1513,0.5485,0.4469,0.3139,0.4225,0.3682,0.5943,0.5666,0.5805,0.6079,0.6652,0.6366
10.4,0.128,0.5457,0.4408,0.3121,0.405,0.3586,0.5871,0.5647,0.5759,0.6045,0.6626,0.6336
10.5,0.1083,0.5438,0.4397,0.3115,0.3896,0.3506,0.5805,0.5651,0.5728,0.6032,0.6623,0.6327
10.6,0.0935,0.5426,0.4436,0.3128,0.3763,0.3445,0.575,0.5681,0.5716,0.6046,0.6645,0.6345
10.7,0.0849,0.5418,0.4523,0.3161,0.365,0.3406,0.5705,0.5733,0.5719,0.6092,0.6696,0.6394
10.8,0.0828,0.541,0.4651,0.3217,0.3556,0.3386,0.5672,0.5802,0.5737,0.6171,0.6779,0.6475
10.9,0.0871,0.5399,0.4812,0.3296,0.3479,0.3388,0.5646,0.5882,0.5764,0.6279,0.6894,0.6586
11,0.0974,0.5386,0.4992,0.3402,0.3423,0.3412,0.5623,0.5969,0.5796,0.6412,0.7039,0.6726
11.1,0.1137,0.5374,0.5177,0.3539,0.3386,0.3463,0.5603,0.6062,0.5832,0.6566,0.721,0.6888
11.2,0.1356,0.5367,0.5353,0.3714,0.3373,0.3544,0.5587,0.6156,0.5871,0.6741,0.7398,0.707
11.3,0.1618,0.5365,0.5512,0.393,0.3389,0.3659,0.5584,0.6247,0.5915,0.6938,0.7595,0.7266
11.4,0.1908,0.5365,0.5648,0.4185,0.3436,0.381,0.5598,0.6333,0.5965,0.7153,0.7789,0.7471
11.5,0.2212,0.5363,0.5763,0.4475,0.3515,0.3995,0.5632,0.6409,0.6021,0.7385,0.7966,0.7676
11.6,0.2519,0.5355,0.5856,0.4794,0.3621,0.4207,0.5686,0.6477,0.6081,0.7626,0.8117,0.7872
11.7,0.2824,0.5339,0.5935,0.5129,0.3745,0.4437,0.5756,0.6537,0.6146,0.7871,0.8237,0.8054
11.8,0.3112,0.5316,0.6005,0.5466,0.3885,0.4676,0.5843,0.6588,0.6216,0.811,0.8325,0.8218
11.9,0.3361,0.5287,0.6064,0.5793,0.4038,0.4915,0.5946,0.663,0.6288,0.8331,0.8383,0.8357
12,0.3559,0.5251,0.6105,0.6098,0.42,0.5149,0.6059,0.6657,0.6358,0.852,0.841,0.8465
12.1,0.3705,0.5214,0.6112,0.6373,0.4366,0.5369,0.6167,0.6664,0.6416,0.8659,0.8401,0.853
12.2,0.3809,0.5178,0.6072,0.6612,0.4526,0.5569,0.6253,0.6646,0.6449,0.8737,0.8356,0.8547
12.3,0.3874,0.5149,0.5986,0.681,0.4672,0.5741,0.6301,0.6597,0.6449,0.8743,0.8285,0.8514
12.4,0.3904,0.513,0.5868,0.6966,0.4799,0.5882,0.6308,0.6516,0.6412,0.8671,0.8198,0.8435
12.5,0.3899,0.5123,0.5729,0.708,0.4903,0.5992,0.6278,0.6408,0.6343,0.8517,0.8105,0.8311
12.6,0.386,0.5131,0.5576,0.7155,0.4982,0.6069,0.6215,0.6277,0.6246,0.8283,0.8012,0.8148
12.7,0.3789,0.5159,0.5415,0.7194,0.5029,0.6112,0.6124,0.6127,0.6125,0.7984,0.7925,0.7954
12.8,0.3694,0.521,0.5253,0.7199,0.5038,0.6118,0.6008,0.5965,0.5986,0.7637,0.7853,0.7745
12.9,0.3587,0.529,0.51,0.7167,0.5007,0.6087,0.5872,0.5806,0.5839,0.7264,0.7798,0.7531
13,0.348,0.5402,0.497,0.7098,0.494,0.6019,0.5727,0.5669,0.5698,0.6885,0.7762,0.7323
13.1,0.3397,0.5544,0.4867,0.7001,0.4843,0.5922,0.5583,0.5574,0.5579,0.6517,0.7739,0.7128
13.2,0.3371,0.5713,0.4789,0.6888,0.4716,0.5802,0.5446,0.5533,0.549,0.6173,0.7725,0.6949
13.3,0.344,0.5903,0.4731,0.6774,0.4558,0.5666,0.5323,0.5543,0.5433,0.5866,0.7722,0.6794
13.4,0.363,0.6106,0.4685,0.6674,0.4375,0.5525,0.5222,0.5594,0.5408,0.5599,0.7732,0.6665
13.5,0.3957,0.6322,0.4642,0.6607,0.4185,0.5396,0.5161,0.5673,0.5417,0.5376,0.7751,0.6563
13.6,0.4431,0.6553,0.4591,0.6588,0.4009,0.5299,0.5155,0.5758,0.5457,0.5196,0.7769,0.6483
13.7,0.5041,0.6798,0.4513,0.663,0.3864,0.5247,0.5211,0.5831,0.5521,0.506,0.7773,0.6416
13.8,0.5754,0.7051,0.4391,0.6736,0.376,0.5248,0.532,0.5872,0.5596,0.4963,0.775,0.6356
13.9,0.6528,0.7303,0.421,0.6901,0.3698,0.53,0.5469,0.5873,0.5671,0.4895,0.7695,0.6295
14,0.7308,0.7541,0.3959,0.7117,0.3675,0.5396,0.5652,0.5829,0.5741,0.4846,0.7606,0.6226
14.1,0.8035,0.7753,0.3635,0.7369,0.3683,0.5526,0.5865,0.5745,0.5805,0.4804,0.7479,0.6142
14.2,0.8656,0.7932,0.3246,0.7643,0.3719,0.5681,0.6098,0.563,0.5864,0.4761,0.7305,0.6033
14.3,0.9133,0.8069,0.2811,0.7919,0.3783,0.5851,0.634,0.5496,0.5918,0.4708,0.7081,0.5895
14.4,0.9454,0.8162,0.2359,0.8182,0.3881,0.6032,0.6577,0.5359,0.5968,0.4643,0.6809,0.5726
14.5,0.9625,0.8214,0.193,0.8427,0.4017,0.6222,0.6801,0.5228,0.6014,0.4558,0.6494,0.5526
14.6,0.9663,0.8229,0.1554,0.8649,0.4184,0.6416,0.7008,0.5107,0.6058,0.4448,0.6142,0.5295
14.7,0.9591,0.8205,0.1249,0.8836,0.436,0.6598,0.7195,0.4994,0.6095,0.4309,0.5761,0.5035
14.8,0.9429,0.8139,0.1021,0.8982,0.4527,0.6754,0.7359,0.4882,0.612,0.414,0.5357,0.4748
14.9,0.9194,0.803,0.0869,0.9082,0.4675,0.6879,0.7492,0.4766,0.6129,0.3949,0.4943,0.4446
