Time,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC,Nurofen for Children TVC
2.4,0.0868,0.8077,0.5532,0.7786,0.8516,0.8151,0.6207,0.6702,0.6454,0.5346,0.6002,0.5674
2.5,0.1064,0.7891,0.5594,0.7741,0.8439,0.809,0.6206,0.6645,0.6426,0.5537,0.6287,0.5912
2.6,0.1256,0.7668,0.566,0.7673,0.833,0.8002,0.6183,0.6568,0.6375,0.5738,0.6566,0.6152
2.7,0.1429,0.7408,0.5737,0.7582,0.8195,0.7888,0.6146,0.6481,0.6313,0.5948,0.6835,0.6391
2.8,0.1563,0.7114,0.5827,0.7466,0.804,0.7753,0.6105,0.6392,0.6249,0.6165,0.7088,0.6627
2.9,0.165,0.6795,0.5935,0.7323,0.7871,0.7597,0.607,0.6309,0.6189,0.6385,0.7321,0.6853
3,0.1687,0.6463,0.606,0.7153,0.7691,0.7422,0.6048,0.6232,0.614,0.6606,0.7523,0.7064
3.1,0.1681,0.6128,0.6202,0.6956,0.7496,0.7226,0.6041,0.6164,0.6103,0.682,0.7691,0.7255
3.2,0.1633,0.5793,0.6355,0.6735,0.7286,0.701,0.6047,0.6106,0.6076,0.7018,0.7817,0.7417
3.3,0.1541,0.5472,0.6509,0.6499,0.7063,0.6781,0.6061,0.6054,0.6058,0.7185,0.7895,0.754
3.4,0.1407,0.5176,0.6657,0.6261,0.6837,0.6549,0.6074,0.601,0.6042,0.7313,0.7924,0.7619
3.5,0.1238,0.4922,0.6794,0.6035,0.6618,0.6327,0.6082,0.5973,0.6028,0.7398,0.7909,0.7654
3.6,0.1044,0.4717,0.6917,0.5829,0.6419,0.6124,0.6086,0.5945,0.6015,0.7442,0.7852,0.7647
3.7,0.0833,0.4567,0.7021,0.5648,0.6247,0.5947,0.6089,0.5925,0.6007,0.7442,0.7757,0.76
3.8,0.0608,0.4472,0.7103,0.5489,0.6105,0.5797,0.6092,0.5913,0.6003,0.7397,0.7629,0.7513
3.9,0.037,0.4429,0.7162,0.5347,0.5998,0.5673,0.6096,0.5909,0.6003,0.7309,0.7472,0.7391
4,0.0122,0.4433,0.7199,0.5215,0.5926,0.557,0.6098,0.5911,0.6004,0.7184,0.7299,0.7242
4.1,-0.0124,0.4474,0.7217,0.5088,0.5883,0.5485,0.6098,0.5917,0.6008,0.7036,0.7118,0.7077
4.2,-0.0353,0.4543,0.7219,0.4964,0.5862,0.5413,0.61,0.5928,0.6014,0.6876,0.694,0.6908
4.3,-0.0552,0.4629,0.7206,0.4841,0.5855,0.5348,0.6109,0.5942,0.6025,0.6715,0.6773,0.6744
4.4,-0.0724,0.4724,0.7181,0.4722,0.5859,0.529,0.6127,0.596,0.6044,0.6563,0.6622,0.6593
4.5,-0.0879,0.4824,0.7145,0.4608,0.5872,0.524,0.6155,0.5982,0.6068,0.6428,0.6496,0.6462
4.6,-0.1028,0.4924,0.7101,0.4502,0.5894,0.5198,0.6188,0.6004,0.6096,0.6317,0.64,0.6359
4.7,-0.1181,0.5023,0.7048,0.441,0.5926,0.5168,0.6224,0.6026,0.6125,0.6235,0.634,0.6287
4.8,-0.1341,0.5118,0.6989,0.4338,0.5968,0.5153,0.6263,0.6048,0.6156,0.6185,0.6316,0.625
4.9,-0.1507,0.521,0.6926,0.4297,0.6023,0.516,0.6308,0.6075,0.6192,0.6168,0.6329,0.6249
5,-0.1675,0.5302,0.6863,0.4297,0.61,0.5198,0.6361,0.6113,0.6237,0.6187,0.638,0.6283
5.1,-0.1843,0.5399,0.6799,0.4353,0.6208,0.5281,0.6427,0.617,0.6299,0.6248,0.6467,0.6358
5.2,-0.2014,0.5513,0.6735,0.4483,0.6359,0.5421,0.6512,0.6248,0.638,0.6357,0.6592,0.6474
5.3,-0.2194,0.5657,0.6671,0.4701,0.6559,0.563,0.6625,0.6344,0.6484,0.6517,0.6753,0.6635
5.4,-0.2391,0.5839,0.6607,0.5014,0.6807,0.5911,0.6766,0.6456,0.6611,0.673,0.6945,0.6837
5.5,-0.2608,0.6061,0.6547,0.5414,0.7096,0.6255,0.6931,0.6581,0.6756,0.6988,0.716,0.7074
5.6,-0.2839,0.6315,0.65,0.5874,0.741,0.6642,0.7109,0.6715,0.6912,0.7283,0.7391,0.7337
5.7,-0.3072,0.6588,0.6469,0.6358,0.7731,0.7045,0.7286,0.6851,0.7068,0.7598,0.7627,0.7612
5.8,-0.3297,0.687,0.6458,0.6831,0.8043,0.7437,0.7455,0.6981,0.7218,0.7913,0.7857,0.7885
5.9,-0.3495,0.7156,0.6464,0.7274,0.8333,0.7803,0.7611,0.71,0.7356,0.821,0.8071,0.814
6,-0.3647,0.7437,0.6486,0.7674,0.8592,0.8133,0.7752,0.7205,0.7478,0.8476,0.8259,0.8368
6.1,-0.3729,0.7701,0.6521,0.8028,0.8815,0.8422,0.7877,0.7293,0.7585,0.8705,0.8419,0.8562
6.2,-0.3729,0.7933,0.657,0.8332,0.8995,0.8663,0.7984,0.7364,0.7674,0.8892,0.8549,0.872
6.3,-0.365,0.8124,0.6627,0.8581,0.9124,0.8853,0.8067,0.7413,0.774,0.9034,0.8647,0.8841
6.4,-0.3508,0.8268,0.6688,0.8771,0.9196,0.8984,0.8123,0.7438,0.778,0.9127,0.8712,0.892
6.5,-0.3325,0.8364,0.6748,0.8897,0.9217,0.9057,0.8147,0.7439,0.7793,0.917,0.8745,0.8958
6.6,-0.312,0.8415,0.6808,0.8965,0.9197,0.9081,0.814,0.742,0.778,0.9166,0.8751,0.8959
6.7,-0.29,0.8431,0.6872,0.8988,0.9151,0.9069,0.8103,0.7387,0.7745,0.9125,0.8741,0.8933
6.8,-0.2668,0.8423,0.6941,0.8977,0.9089,0.9033,0.8041,0.7343,0.7692,0.9054,0.8722,0.8888
6.9,-0.2427,0.84,0.7014,0.8941,0.9018,0.898,0.7958,0.7289,0.7623,0.8957,0.8697,0.8827
7,-0.2182,0.8365,0.7085,0.8881,0.8936,0.8908,0.7855,0.7224,0.754,0.8831,0.8662,0.8747
7.1,-0.1944,0.8318,0.7152,0.8791,0.884,0.8815,0.7732,0.7149,0.7441,0.8675,0.8614,0.8644
7.2,-0.1724,0.8254,0.722,0.8668,0.8731,0.87,0.7588,0.7068,0.7328,0.8493,0.855,0.8522
7.3,-0.1534,0.8171,0.7294,0.8519,0.8611,0.8565,0.7423,0.6985,0.7204,0.8291,0.8475,0.8383
7.4,-0.1389,0.8066,0.7374,0.8355,0.8483,0.8419,0.724,0.6902,0.7071,0.808,0.839,0.8235
7.5,-0.13,0.7939,0.7457,0.819,0.8348,0.8269,0.7042,0.6821,0.6931,0.7872,0.8296,0.8084
7.6,-0.1275,0.7788,0.7536,0.8032,0.8208,0.812,0.6834,0.6743,0.6789,0.7674,0.819,0.7932
7.7,-0.1317,0.7613,0.7602,0.7885,0.8062,0.7973,0.662,0.6669,0.6644,0.7494,0.8073,0.7783
7.8,-0.1422,0.7419,0.7655,0.775,0.7909,0.783,0.6399,0.6596,0.6498,0.7331,0.7942,0.7636
7.9,-0.1582,0.7213,0.7692,0.7627,0.7749,0.7688,0.6173,0.6523,0.6348,0.7181,0.7797,0.7489
8,-0.178,0.6997,0.771,0.7512,0.7578,0.7545,0.5938,0.6448,0.6193,0.7039,0.7634,0.7337
8.1,-0.1997,0.6772,0.7704,0.7396,0.7395,0.7396,0.5693,0.6365,0.6029,0.6902,0.745,0.7176
8.2,-0.222,0.6531,0.7665,0.7264,0.72,0.7232,0.5434,0.627,0.5852,0.677,0.7243,0.7007
8.3,-0.2437,0.6276,0.759,0.7102,0.6995,0.7049,0.5161,0.6155,0.5658,0.6644,0.7018,0.6831
8.4,-0.2638,0.6011,0.7478,0.6901,0.6783,0.6842,0.4876,0.6015,0.5446,0.6524,0.6782,0.6653
8.5,-0.2818,0.5753,0.7333,0.6665,0.6567,0.6616,0.4587,0.5851,0.5219,0.6411,0.6545,0.6478
8.6,-0.2969,0.5513,0.7162,0.6402,0.635,0.6376,0.4303,0.5665,0.4984,0.6308,0.6315,0.6312
8.7,-0.3083,0.5299,0.6973,0.6121,0.6132,0.6126,0.403,0.5463,0.4747,0.6216,0.6098,0.6157
8.8,-0.3149,0.5111,0.6775,0.5828,0.5917,0.5872,0.3775,0.5255,0.4515,0.6137,0.5899,0.6018
8.9,-0.316,0.4951,0.658,0.5532,0.5712,0.5622,0.3544,0.505,0.4297,0.6072,0.5725,0.5899
9,-0.3118,0.4824,0.6401,0.524,0.5524,0.5382,0.3343,0.4856,0.4099,0.6022,0.5581,0.5801
9.1,-0.3033,0.4734,0.6246,0.4964,0.5363,0.5163,0.318,0.4681,0.3931,0.5988,0.5468,0.5728
9.2,-0.2925,0.4679,0.6118,0.4716,0.5231,0.4974,0.3064,0.4532,0.3798,0.5977,0.5389,0.5683
9.3,-0.2811,0.4656,0.6016,0.4507,0.5133,0.482,0.2998,0.4414,0.3706,0.5994,0.5345,0.567
9.4,-0.2705,0.466,0.5936,0.4344,0.5067,0.4705,0.2984,0.4329,0.3657,0.6043,0.5338,0.5691
9.5,-0.2612,0.4692,0.5876,0.4229,0.503,0.463,0.3022,0.4278,0.365,0.6122,0.5367,0.5745
9.6,-0.2534,0.4754,0.5832,0.4163,0.5023,0.4593,0.3111,0.4264,0.3687,0.6229,0.5431,0.583
9.7,-0.2467,0.4849,0.5802,0.4144,0.5045,0.4594,0.3248,0.4286,0.3767,0.6361,0.5526,0.5944
9.8,-0.2407,0.4978,0.5787,0.4172,0.5093,0.4633,0.3427,0.4345,0.3886,0.6516,0.5651,0.6083
9.9,-0.2341,0.5137,0.5783,0.4245,0.5165,0.4705,0.3645,0.4437,0.4041,0.669,0.5801,0.6245
10,-0.2265,0.5318,0.5789,0.436,0.5255,0.4808,0.3896,0.4557,0.4226,0.6877,0.5971,0.6424
10.1,-0.2179,0.5514,0.58,0.4518,0.536,0.4939,0.4174,0.4701,0.4437,0.707,0.6153,0.6611
10.2,-0.209,0.5723,0.581,0.4715,0.5478,0.5096,0.4473,0.4863,0.4668,0.726,0.6336,0.6798
10.3,-0.2,0.5944,0.5813,0.4949,0.5611,0.528,0.4785,0.5038,0.4911,0.744,0.6514,0.6977
10.4,-0.1906,0.6173,0.5809,0.5213,0.5755,0.5484,0.5095,0.5218,0.5156,0.7599,0.668,0.714
10.5,-0.1801,0.6397,0.5797,0.5493,0.5899,0.5696,0.5392,0.5393,0.5393,0.7731,0.683,0.728
10.6,-0.1685,0.6602,0.5779,0.577,0.6029,0.59,0.5663,0.5558,0.561,0.7827,0.6958,0.7393
10.7,-0.1559,0.6776,0.5751,0.6032,0.6134,0.6083,0.5902,0.5705,0.5803,0.7885,0.706,0.7472
10.8,-0.1427,0.6914,0.5708,0.6269,0.6211,0.624,0.6103,0.5831,0.5967,0.7901,0.7132,0.7516
10.9,-0.1284,0.7017,0.5645,0.6483,0.626,0.6371,0.6267,0.5935,0.6101,0.7871,0.7173,0.7522
11,-0.1128,0.709,0.5563,0.6672,0.6287,0.6479,0.6392,0.6014,0.6203,0.7795,0.7182,0.7488
11.1,-0.096,0.7134,0.5468,0.6836,0.6295,0.6566,0.6479,0.6066,0.6273,0.7677,0.7164,0.742
11.2,-0.0794,0.7152,0.5371,0.6973,0.6288,0.6631,0.6531,0.6094,0.6312,0.7525,0.7126,0.7325
11.3,-0.0642,0.7144,0.5279,0.708,0.627,0.6675,0.6551,0.61,0.6326,0.7355,0.7077,0.7216
11.4,-0.0512,0.7114,0.5194,0.7156,0.6244,0.67,0.6547,0.609,0.6318,0.7181,0.7026,0.7103
11.5,-0.0404,0.7065,0.5118,0.72,0.6217,0.6709,0.6526,0.6067,0.6297,0.7013,0.6978,0.6995
11.6,-0.0317,0.7004,0.5057,0.7214,0.6194,0.6704,0.6495,0.6037,0.6266,0.6857,0.6937,0.6897
11.7,-0.0254,0.6936,0.5019,0.72,0.6179,0.6689,0.6462,0.6005,0.6234,0.6718,0.6907,0.6812
11.8,-0.0221,0.6863,0.5011,0.716,0.6174,0.6667,0.6435,0.5978,0.6207,0.6602,0.6891,0.6746
11.9,-0.0219,0.6786,0.5037,0.7094,0.6179,0.6636,0.6422,0.5962,0.6192,0.6516,0.6894,0.6705
12,-0.0247,0.6703,0.5097,0.7001,0.6193,0.6597,0.6426,0.5961,0.6193,0.6466,0.6918,0.6692
12.1,-0.0298,0.6613,0.5191,0.6876,0.6216,0.6546,0.6447,0.5974,0.6211,0.6452,0.6963,0.6708
12.2,-0.0368,0.6514,0.5314,0.6719,0.6245,0.6482,0.6483,0.5998,0.6241,0.6474,0.7024,0.6749
12.3,-0.0445,0.6407,0.5463,0.6536,0.6281,0.6409,0.6532,0.6031,0.6282,0.6527,0.7097,0.6812
12.4,-0.0517,0.6297,0.5627,0.6343,0.6326,0.6335,0.6595,0.6073,0.6334,0.6607,0.7174,0.689
12.5,-0.0571,0.6189,0.579,0.6157,0.6383,0.627,0.6672,0.6123,0.6398,0.6709,0.7251,0.698
12.6,-0.0601,0.6088,0.5938,0.5996,0.6453,0.6224,0.6762,0.6182,0.6472,0.6826,0.7323,0.7075
12.7,-0.0606,0.6004,0.6064,0.5871,0.6535,0.6203,0.6859,0.6244,0.6552,0.6952,0.7389,0.7171
12.8,-0.0585,0.5942,0.6167,0.5787,0.6627,0.6207,0.6955,0.6307,0.6631,0.708,0.7447,0.7263
12.9,-0.053,0.5907,0.6245,0.5743,0.6727,0.6235,0.7043,0.6365,0.6704,0.7207,0.7494,0.735
13,-0.0435,0.5897,0.63,0.5737,0.6832,0.6285,0.7119,0.6417,0.6768,0.7332,0.7528,0.743
13.1,-0.0302,0.5912,0.633,0.5761,0.6935,0.6348,0.7176,0.6458,0.6817,0.7455,0.7549,0.7502
13.2,-0.0139,0.5946,0.6334,0.5804,0.7026,0.6415,0.7207,0.6483,0.6845,0.7567,0.7553,0.756
13.3,0.004,0.5994,0.631,0.5859,0.7097,0.6478,0.7207,0.6491,0.6849,0.7663,0.7537,0.76
13.4,0.0224,0.605,0.6264,0.5919,0.7147,0.6533,0.7176,0.6481,0.6829,0.7738,0.7498,0.7618
13.5,0.0412,0.6115,0.62,0.5985,0.7178,0.6581,0.7118,0.6459,0.6788,0.7791,0.7436,0.7614
13.6,0.0604,0.6187,0.6125,0.6054,0.7195,0.6624,0.7034,0.6429,0.6732,0.7824,0.7355,0.759
13.7,0.0792,0.6269,0.6045,0.6124,0.72,0.6662,0.693,0.6395,0.6662,0.7836,0.7258,0.7547
13.8,0.0966,0.6357,0.5969,0.6189,0.7188,0.6688,0.6808,0.6361,0.6585,0.7828,0.7148,0.7488
13.9,0.1109,0.6446,0.5901,0.6243,0.7159,0.6701,0.668,0.6332,0.6506,0.7801,0.7028,0.7414
14,0.1215,0.6533,0.5848,0.629,0.7117,0.6704,0.6559,0.6316,0.6438,0.7761,0.6902,0.7332
14.1,0.1278,0.6618,0.5817,0.6339,0.7074,0.6707,0.6459,0.6319,0.6389,0.7713,0.6777,0.7245
14.2,0.1295,0.6707,0.5809,0.6403,0.7041,0.6722,0.6388,0.6344,0.6366,0.7662,0.6655,0.7159
14.3,0.1264,0.6801,0.5826,0.6489,0.7021,0.6755,0.6347,0.6387,0.6367,0.7611,0.6541,0.7076
14.4,0.1183,0.6896,0.5867,0.6592,0.7012,0.6802,0.6332,0.6441,0.6387,0.756,0.6436,0.6998
14.5,0.1062,0.6983,0.5925,0.6697,0.7007,0.6852,0.6338,0.6499,0.6419,0.7511,0.6342,0.6927
14.6,0.0912,0.7057,0.5995,0.6793,0.7002,0.6897,0.6361,0.6554,0.6458,0.7464,0.6257,0.686
14.7,0.0747,0.7116,0.607,0.6874,0.7001,0.6938,0.6395,0.6605,0.65,0.7412,0.6178,0.6795
14.8,0.0575,0.7163,0.6141,0.6942,0.7006,0.6974,0.6434,0.6646,0.654,0.7349,0.6097,0.6723
14.9,0.0401,0.7195,0.6206,0.6993,0.7016,0.7004,0.6472,0.6676,0.6574,0.7268,0.601,0.6639
15,0.023,0.7205,0.626,0.702,0.7023,0.7022,0.6501,0.6692,0.6596,0.7167,0.5913,0.654
15.1,0.0063,0.7189,0.6299,0.7018,0.7024,0.7021,0.652,0.6691,0.6605,0.7051,0.5808,0.643
15.2,-0.0097,0.7147,0.6322,0.6982,0.7015,0.6999,0.6528,0.6673,0.66,0.6928,0.57,0.6314
15.3,-0.0243,0.7084,0.6326,0.6918,0.6995,0.6956,0.6525,0.6637,0.6581,0.6801,0.5594,0.6197
15.4,-0.0368,0.7003,0.6308,0.6832,0.6965,0.6899,0.651,0.6584,0.6547,0.6673,0.5489,0.6081
15.5,-0.0465,0.6911,0.627,0.6737,0.6925,0.6831,0.6483,0.6512,0.6497,0.6545,0.5388,0.5966
15.6,-0.0526,0.6816,0.6211,0.6642,0.6882,0.6762,0.6444,0.6426,0.6435,0.642,0.5291,0.5855
15.7,-0.0548,0.6728,0.6133,0.6557,0.6842,0.67,0.64,0.6328,0.6364,0.6303,0.5202,0.5752
15.8,-0.053,0.6657,0.604,0.6489,0.6811,0.665,0.635,0.6225,0.6287,0.6192,0.5126,0.5659
15.9,-0.0478,0.6605,0.5933,0.6438,0.679,0.6614,0.6294,0.6116,0.6205,0.6084,0.5065,0.5575
16,-0.0397,0.6568,0.5816,0.6402,0.6775,0.6589,0.6226,0.6003,0.6114,0.5975,0.5018,0.5496
16.1,-0.0294,0.6538,0.569,0.6374,0.6761,0.6567,0.6143,0.5883,0.6013,0.586,0.4981,0.5421
16.2,-0.0169,0.651,0.5555,0.6349,0.6743,0.6546,0.6046,0.576,0.5903,0.574,0.4949,0.5344
16.3,-0.0039,0.6476,0.5409,0.6329,0.6723,0.6526,0.5938,0.5637,0.5788,0.5616,0.4912,0.5264
16.4,0.0078,0.6435,0.5257,0.6309,0.6699,0.6504,0.5824,0.5521,0.5673,0.5488,0.487,0.5179
16.5,0.0172,0.6384,0.5107,0.6285,0.6668,0.6477,0.5706,0.5415,0.556,0.5357,0.4823,0.509
16.6,0.0235,0.632,0.4967,0.6257,0.6631,0.6444,0.5583,0.5322,0.5452,0.5225,0.4774,0.5
16.7,0.0266,0.6241,0.4846,0.6221,0.659,0.6405,0.5462,0.5244,0.5353,0.5095,0.4724,0.491
16.8,0.0268,0.6153,0.4751,0.6179,0.6549,0.6364,0.5347,0.5183,0.5265,0.4971,0.4672,0.4821
16.9,0.0236,0.6062,0.4685,0.613,0.651,0.632,0.5241,0.5142,0.5192,0.4846,0.4613,0.4729
17,0.016,0.5974,0.4652,0.6074,0.647,0.6272,0.5146,0.5121,0.5134,0.4714,0.4542,0.4628
17.1,0.0035,0.5885,0.4654,0.6007,0.6424,0.6215,0.5064,0.5119,0.5092,0.4571,0.446,0.4515
17.2,-0.0139,0.5791,0.4689,0.5924,0.6364,0.6144,0.4999,0.5131,0.5065,0.4421,0.4368,0.4394
17.3,-0.0352,0.569,0.4755,0.5826,0.6291,0.6059,0.496,0.5152,0.5056,0.4273,0.427,0.4272
17.4,-0.0594,0.5582,0.4844,0.5712,0.6205,0.5958,0.495,0.5179,0.5065,0.4135,0.4171,0.4153
17.5,-0.0858,0.5467,0.4942,0.5581,0.6107,0.5844,0.4966,0.5207,0.5086,0.401,0.4071,0.404
17.6,-0.1134,0.5344,0.5035,0.5432,0.5994,0.5713,0.4998,0.5228,0.5113,0.3896,0.3969,0.3933
17.7,-0.1412,0.521,0.511,0.5259,0.5861,0.556,0.504,0.5235,0.5137,0.3794,0.3869,0.3831
17.8,-0.1672,0.5062,0.5162,0.5058,0.57,0.5379,0.5088,0.5219,0.5153,0.3704,0.3773,0.3739
17.9,-0.1898,0.4898,0.5193,0.4833,0.5511,0.5172,0.5144,0.5179,0.5161,0.3629,0.3685,0.3657
18,-0.2085,0.4724,0.5211,0.4592,0.5297,0.4944,0.5211,0.5119,0.5165,0.357,0.3607,0.3588
18.1,-0.2232,0.4544,0.5223,0.4345,0.5061,0.4703,0.5293,0.5046,0.5169,0.3528,0.3537,0.3533
18.2,-0.2341,0.4363,0.5231,0.4101,0.4806,0.4453,0.539,0.4965,0.5177,0.3507,0.3479,0.3493
18.3,-0.241,0.4179,0.5232,0.3863,0.4536,0.42,0.5498,0.4877,0.5188,0.3509,0.3434,0.3472
18.4,-0.243,0.3994,0.522,0.3636,0.4252,0.3944,0.561,0.478,0.5195,0.3536,0.3406,0.3471
18.5,-0.2392,0.3809,0.5194,0.3426,0.396,0.3693,0.572,0.4673,0.5196,0.359,0.3396,0.3493
18.6,-0.2291,0.363,0.5158,0.3241,0.3666,0.3454,0.582,0.4558,0.5189,0.367,0.3408,0.3539
18.7,-0.2127,0.3464,0.5116,0.3089,0.3375,0.3232,0.591,0.4442,0.5176,0.3777,0.3447,0.3612
18.8,-0.1899,0.3314,0.5072,0.2973,0.3092,0.3033,0.5988,0.4326,0.5157,0.3914,0.3515,0.3715
18.9,-0.1609,0.3181,0.5027,0.2895,0.2824,0.286,0.6055,0.4214,0.5135,0.4082,0.3613,0.3848
19,-0.1266,0.3068,0.4984,0.2856,0.258,0.2718,0.6111,0.411,0.511,0.4281,0.3741,0.4011
19.1,-0.0881,0.2976,0.4942,0.2857,0.237,0.2614,0.6154,0.4016,0.5085,0.4507,0.3898,0.4202
19.2,-0.0473,0.2907,0.4903,0.2899,0.22,0.255,0.6182,0.3937,0.506,0.4753,0.4078,0.4415
19.3,-0.0063,0.2862,0.4869,0.2979,0.2071,0.2525,0.6197,0.3875,0.5036,0.5009,0.4278,0.4643
19.4,0.0333,0.2837,0.4844,0.309,0.1979,0.2535,0.6199,0.3832,0.5015,0.5269,0.4489,0.4879
19.5,0.0701,0.2833,0.4832,0.3222,0.1923,0.2572,0.6192,0.3811,0.5002,0.5526,0.4704,0.5115
19.6,0.1029,0.2853,0.4839,0.337,0.1901,0.2635,0.618,0.3815,0.4997,0.5777,0.4917,0.5347
19.7,0.1311,0.2901,0.4868,0.3527,0.1914,0.272,0.6165,0.3844,0.5005,0.6016,0.5123,0.557
19.8,0.1551,0.298,0.4916,0.3684,0.1958,0.2821,0.6148,0.3895,0.5022,0.6238,0.5318,0.5778
19.9,0.1758,0.3082,0.498,0.3831,0.2026,0.2928,0.6129,0.3962,0.5045,0.6439,0.5496,0.5967
20,0.194,0.3202,0.5056,0.3963,0.2113,0.3038,0.6107,0.4039,0.5073,0.6618,0.5653,0.6136
20.1,0.2099,0.334,0.5139,0.4081,0.2217,0.3149,0.6084,0.4126,0.5105,0.6774,0.5788,0.6281
20.2,0.2231,0.3497,0.5226,0.4185,0.234,0.3262,0.6058,0.4222,0.514,0.6904,0.5898,0.6401
20.3,0.2336,0.3675,0.5312,0.4277,0.248,0.3378,0.6028,0.4326,0.5177,0.7011,0.5985,0.6498
20.4,0.2416,0.3874,0.5393,0.4356,0.2634,0.3495,0.5994,0.4433,0.5214,0.7096,0.6054,0.6575
20.5,0.2481,0.4087,0.5466,0.4422,0.2796,0.3609,0.5958,0.4538,0.5248,0.7168,0.611,0.6639
20.6,0.2543,0.4306,0.5531,0.4477,0.2965,0.3721,0.5921,0.4637,0.5279,0.7231,0.6159,0.6695
20.7,0.2607,0.4529,0.5587,0.4522,0.3138,0.383,0.5882,0.4736,0.5309,0.7289,0.6208,0.6749
20.8,0.2675,0.475,0.5636,0.4559,0.3313,0.3936,0.5839,0.4835,0.5337,0.7341,0.6259,0.68
20.9,0.2749,0.4965,0.5681,0.4591,0.3487,0.4039,0.5789,0.4934,0.5362,0.7385,0.6311,0.6848
21,0.2833,0.5169,0.5728,0.4626,0.3655,0.4141,0.5732,0.5032,0.5382,0.7422,0.6366,0.6894
21.1,0.2929,0.5358,0.5786,0.467,0.3815,0.4242,0.5672,0.5126,0.5399,0.7453,0.6424,0.6939
21.2,0.3035,0.5535,0.5865,0.4729,0.3967,0.4348,0.5614,0.5218,0.5416,0.7485,0.649,0.6988
21.3,0.3143,0.5708,0.5967,0.4805,0.4113,0.4459,0.5561,0.5313,0.5437,0.7521,0.6564,0.7042
