Time,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC,Momentum Energy - Nature Approves 30 TVC
7.9,0.4632,0.7283,0.5376,0.6946,0.5116,0.6031,0.3459,0.4455,0.3957,0.3841,0.4136,0.3988
8,0.471,0.713,0.5394,0.6794,0.4877,0.5836,0.347,0.4357,0.3914,0.4009,0.4099,0.4054
8.1,0.4667,0.6981,0.5441,0.6603,0.4631,0.5617,0.3501,0.4291,0.3896,0.419,0.4101,0.4146
8.2,0.452,0.6837,0.5517,0.6386,0.4383,0.5384,0.3551,0.4248,0.39,0.4383,0.4139,0.4261
8.3,0.4291,0.6703,0.5616,0.6157,0.4141,0.5149,0.362,0.4226,0.3923,0.4583,0.4213,0.4398
8.4,0.4002,0.6591,0.5735,0.5935,0.392,0.4927,0.3706,0.4225,0.3966,0.479,0.4323,0.4557
8.5,0.3665,0.6511,0.587,0.5732,0.373,0.4731,0.3812,0.4252,0.4032,0.5001,0.4466,0.4733
8.6,0.3288,0.6468,0.6017,0.5555,0.3579,0.4567,0.3935,0.4305,0.412,0.5212,0.4632,0.4922
8.7,0.2879,0.6464,0.6168,0.5411,0.3469,0.444,0.4073,0.438,0.4226,0.542,0.4815,0.5117
8.8,0.2444,0.6495,0.6313,0.5303,0.3403,0.4353,0.4224,0.4474,0.4349,0.5621,0.501,0.5315
8.9,0.1986,0.6559,0.6441,0.5236,0.338,0.4308,0.4389,0.4584,0.4486,0.5814,0.5213,0.5514
9,0.1506,0.665,0.6546,0.5208,0.3397,0.4302,0.4567,0.4709,0.4638,0.5998,0.5423,0.5711
9.1,0.1003,0.6758,0.6623,0.5212,0.3444,0.4328,0.4755,0.4843,0.4799,0.6173,0.5636,0.5904
9.2,0.0482,0.6873,0.6676,0.5244,0.3512,0.4378,0.4947,0.4983,0.4965,0.6335,0.5846,0.6091
9.3,-0.0048,0.6984,0.6707,0.5296,0.3595,0.4446,0.514,0.5126,0.5133,0.6482,0.6052,0.6267
9.4,-0.0576,0.7083,0.6716,0.5367,0.3693,0.453,0.5334,0.5273,0.5303,0.6609,0.6252,0.643
9.5,-0.1093,0.7168,0.6703,0.545,0.3809,0.463,0.5528,0.5429,0.5479,0.6716,0.6442,0.6579
9.6,-0.1589,0.7239,0.6669,0.5545,0.3948,0.4747,0.5722,0.5597,0.566,0.6803,0.6618,0.671
9.7,-0.206,0.7295,0.662,0.5652,0.4116,0.4884,0.5912,0.5779,0.5846,0.6869,0.6775,0.6822
9.8,-0.2503,0.7336,0.657,0.5775,0.4314,0.5045,0.61,0.5976,0.6038,0.6911,0.6913,0.6912
9.9,-0.2912,0.7362,0.6532,0.5916,0.4548,0.5232,0.6286,0.6193,0.624,0.6924,0.7031,0.6978
10,-0.3275,0.737,0.6514,0.6075,0.4817,0.5446,0.6473,0.6433,0.6453,0.6908,0.7132,0.702
10.1,-0.3578,0.7354,0.6523,0.6246,0.5112,0.5679,0.6657,0.6694,0.6676,0.6861,0.7215,0.7038
10.2,-0.3811,0.7306,0.6555,0.6419,0.5417,0.5918,0.6831,0.6968,0.69,0.6785,0.7279,0.7032
10.3,-0.3967,0.7225,0.6609,0.6581,0.5711,0.6146,0.6987,0.7244,0.7115,0.6682,0.7327,0.7004
10.4,-0.4052,0.711,0.6681,0.6718,0.5982,0.635,0.712,0.7508,0.7314,0.6556,0.7367,0.6961
10.5,-0.4077,0.6971,0.6769,0.6815,0.6225,0.652,0.7232,0.7757,0.7495,0.6414,0.7408,0.6911
10.6,-0.4057,0.6816,0.6872,0.6868,0.6442,0.6655,0.733,0.799,0.766,0.6265,0.7453,0.6859
10.7,-0.4003,0.6652,0.6988,0.6872,0.663,0.6751,0.7413,0.8209,0.7811,0.611,0.7499,0.6805
10.8,-0.3927,0.6478,0.7111,0.6821,0.6779,0.68,0.7481,0.8411,0.7946,0.5953,0.7543,0.6748
10.9,-0.3845,0.6295,0.7234,0.6708,0.6885,0.6797,0.7527,0.8585,0.8056,0.5791,0.7583,0.6687
11,-0.3774,0.6107,0.7349,0.6531,0.695,0.6741,0.7544,0.8721,0.8133,0.5625,0.7614,0.6619
11.1,-0.3729,0.5925,0.7449,0.6294,0.6981,0.6637,0.7527,0.881,0.8168,0.5452,0.7622,0.6537
11.2,-0.371,0.5757,0.7529,0.6002,0.6983,0.6492,0.7468,0.8846,0.8157,0.5273,0.7593,0.6433
11.3,-0.3712,0.561,0.7582,0.5666,0.6957,0.6312,0.7364,0.8824,0.8094,0.5087,0.752,0.6304
11.4,-0.3727,0.5486,0.7603,0.5302,0.6905,0.6103,0.7218,0.8742,0.798,0.4902,0.7405,0.6153
11.5,-0.3752,0.539,0.759,0.4922,0.6832,0.5877,0.7034,0.8603,0.7818,0.4724,0.7258,0.5991
11.6,-0.3785,0.5323,0.7545,0.4545,0.6745,0.5645,0.6822,0.8415,0.7618,0.4559,0.7089,0.5824
11.7,-0.3827,0.5285,0.7469,0.4189,0.6651,0.542,0.659,0.8192,0.7391,0.4411,0.6903,0.5657
11.8,-0.3877,0.5275,0.736,0.3871,0.655,0.5211,0.6347,0.7941,0.7144,0.4281,0.6704,0.5492
11.9,-0.3932,0.5288,0.7218,0.3604,0.6438,0.5021,0.6102,0.7666,0.6884,0.4169,0.6494,0.5332
12,-0.399,0.5317,0.7045,0.339,0.6308,0.4849,0.5858,0.7367,0.6613,0.4082,0.6281,0.5181
12.1,-0.4048,0.5353,0.6845,0.3225,0.6161,0.4693,0.562,0.705,0.6335,0.4021,0.6068,0.5045
12.2,-0.4115,0.5388,0.6626,0.3104,0.6005,0.4554,0.5391,0.6726,0.6059,0.3985,0.5861,0.4923
12.3,-0.4198,0.5419,0.6398,0.3024,0.5846,0.4435,0.5178,0.6409,0.5794,0.3969,0.5663,0.4816
12.4,-0.4295,0.5442,0.6173,0.2984,0.569,0.4337,0.4985,0.6111,0.5548,0.3967,0.5485,0.4726
12.5,-0.4389,0.5459,0.5964,0.2984,0.5543,0.4263,0.4815,0.5841,0.5328,0.398,0.5335,0.4657
12.6,-0.4464,0.547,0.5787,0.3025,0.5412,0.4218,0.4669,0.5607,0.5138,0.4004,0.5222,0.4613
12.7,-0.4508,0.5477,0.5657,0.3108,0.5302,0.4205,0.4544,0.5414,0.4979,0.4034,0.5149,0.4592
12.8,-0.4504,0.5487,0.558,0.3232,0.5218,0.4225,0.4437,0.5266,0.4851,0.4069,0.5115,0.4592
12.9,-0.4436,0.5503,0.5564,0.3394,0.5158,0.4276,0.4349,0.5158,0.4754,0.4111,0.5119,0.4615
13,-0.4298,0.5525,0.5613,0.3588,0.5123,0.4356,0.4279,0.5087,0.4683,0.4167,0.5166,0.4666
13.1,-0.4094,0.5548,0.573,0.3801,0.5108,0.4454,0.4233,0.5045,0.4639,0.4234,0.5258,0.4746
13.2,-0.3838,0.5565,0.5914,0.4014,0.5107,0.456,0.4215,0.5029,0.4622,0.4306,0.5393,0.485
13.3,-0.3556,0.5572,0.6146,0.421,0.5121,0.4665,0.4221,0.5034,0.4628,0.4378,0.5564,0.4971
13.4,-0.3263,0.5572,0.6398,0.4378,0.5149,0.4764,0.4241,0.5052,0.4647,0.4442,0.5753,0.5098
13.5,-0.297,0.5573,0.6642,0.4516,0.5194,0.4855,0.4264,0.507,0.4667,0.4491,0.5942,0.5217
13.6,-0.2685,0.5586,0.6852,0.4624,0.5262,0.4943,0.428,0.5076,0.4678,0.4518,0.6115,0.5317
13.7,-0.2425,0.5624,0.7016,0.471,0.5364,0.5037,0.4285,0.5067,0.4676,0.4524,0.6263,0.5394
13.8,-0.221,0.5688,0.7127,0.4778,0.5507,0.5142,0.4278,0.5042,0.466,0.4511,0.6379,0.5445
13.9,-0.2059,0.5772,0.7177,0.4827,0.5689,0.5258,0.4258,0.5004,0.4631,0.4481,0.6453,0.5467
14,-0.1981,0.5869,0.7152,0.4857,0.5897,0.5377,0.4222,0.4949,0.4585,0.4438,0.647,0.5454
14.1,-0.1976,0.5972,0.7036,0.487,0.6119,0.5494,0.4164,0.4869,0.4517,0.4388,0.6421,0.5404
14.2,-0.2041,0.6072,0.6825,0.4865,0.6344,0.5604,0.4086,0.4759,0.4423,0.4335,0.6309,0.5322
14.3,-0.2174,0.6164,0.653,0.4846,0.6561,0.5703,0.3997,0.4621,0.4309,0.429,0.6142,0.5216
14.4,-0.2366,0.6244,0.6173,0.4816,0.676,0.5788,0.3908,0.4466,0.4187,0.4268,0.5936,0.5102
14.5,-0.2602,0.6309,0.5777,0.4783,0.693,0.5856,0.3831,0.4308,0.4069,0.4279,0.5706,0.4992
14.6,-0.2861,0.6361,0.5365,0.4752,0.7067,0.591,0.3773,0.4158,0.3966,0.4327,0.547,0.4899
14.7,-0.3122,0.6402,0.4961,0.4734,0.7179,0.5957,0.3741,0.4029,0.3885,0.4412,0.5249,0.483
14.8,-0.3371,0.6433,0.4588,0.4734,0.7269,0.6002,0.3738,0.3925,0.3832,0.4524,0.5054,0.4789
14.9,-0.3602,0.645,0.4262,0.475,0.7335,0.6042,0.3763,0.3852,0.3807,0.4657,0.4891,0.4774
15,-0.3818,0.6446,0.3995,0.4773,0.7368,0.607,0.3814,0.3804,0.3809,0.481,0.4766,0.4788
15.1,-0.4026,0.6413,0.3793,0.4794,0.7361,0.6078,0.3886,0.3778,0.3832,0.4979,0.4685,0.4832
15.2,-0.4234,0.6351,0.3657,0.4808,0.7315,0.6061,0.3972,0.377,0.3871,0.5155,0.4651,0.4903
15.3,-0.4458,0.6261,0.3589,0.4813,0.7237,0.6025,0.4065,0.3778,0.3921,0.5322,0.4658,0.499
15.4,-0.471,0.6147,0.3586,0.481,0.7138,0.5974,0.4154,0.3798,0.3976,0.5464,0.4692,0.5078
15.5,-0.4998,0.6015,0.3641,0.4807,0.7025,0.5916,0.4227,0.383,0.4029,0.5566,0.4736,0.5151
15.6,-0.5318,0.5871,0.3747,0.481,0.6899,0.5855,0.428,0.3874,0.4077,0.5619,0.4782,0.5201
15.7,-0.5664,0.5721,0.3896,0.4825,0.6763,0.5794,0.4313,0.3934,0.4124,0.5623,0.4833,0.5228
15.8,-0.6032,0.5573,0.4082,0.4853,0.6619,0.5736,0.4329,0.401,0.4169,0.5581,0.489,0.5235
15.9,-0.642,0.5431,0.4298,0.4896,0.6472,0.5684,0.4327,0.4099,0.4213,0.5497,0.4953,0.5225
16,-0.6825,0.5297,0.4529,0.4956,0.6327,0.5642,0.4307,0.4193,0.425,0.5368,0.5015,0.5191
16.1,-0.7237,0.5167,0.4757,0.5037,0.6194,0.5615,0.4263,0.4285,0.4274,0.5195,0.5066,0.5131
16.2,-0.7646,0.5043,0.497,0.514,0.6079,0.561,0.42,0.4375,0.4287,0.4979,0.5104,0.5041
16.3,-0.8047,0.4928,0.5161,0.5264,0.5991,0.5627,0.4124,0.446,0.4292,0.4725,0.5132,0.4928
16.4,-0.8437,0.4824,0.5327,0.5398,0.593,0.5664,0.4043,0.4541,0.4292,0.444,0.5151,0.4795
16.5,-0.8805,0.4734,0.5468,0.5536,0.5891,0.5713,0.3962,0.4612,0.4287,0.4131,0.5156,0.4643
16.6,-0.9131,0.4664,0.5581,0.5672,0.5869,0.577,0.3882,0.4668,0.4275,0.3803,0.5145,0.4474
16.7,-0.9387,0.4617,0.5666,0.5807,0.5861,0.5834,0.3801,0.4708,0.4255,0.3468,0.5113,0.4291
16.8,-0.9548,0.4595,0.5723,0.5945,0.5863,0.5904,0.3717,0.4733,0.4225,0.3137,0.5064,0.4101
16.9,-0.9596,0.4603,0.5753,0.6077,0.5871,0.5974,0.3629,0.4743,0.4186,0.2821,0.5,0.391
17,-0.9517,0.4638,0.5756,0.619,0.5881,0.6035,0.3536,0.4733,0.4135,0.2525,0.4922,0.3723
17.1,-0.9302,0.4697,0.5731,0.6274,0.5885,0.6079,0.3441,0.4702,0.4072,0.2247,0.4828,0.3537
17.2,-0.894,0.4778,0.5682,0.6328,0.5881,0.6105,0.3353,0.4658,0.4005,0.1988,0.4718,0.3353
17.3,-0.8425,0.488,0.5614,0.636,0.5874,0.6117,0.3285,0.4614,0.3949,0.1756,0.4602,0.3179
17.4,-0.7774,0.5001,0.5537,0.6382,0.5868,0.6125,0.3245,0.4579,0.3912,0.1565,0.4495,0.303
17.5,-0.7022,0.5135,0.5459,0.64,0.5866,0.6133,0.3233,0.4557,0.3895,0.1423,0.441,0.2917
17.6,-0.6227,0.5269,0.5388,0.6412,0.5864,0.6138,0.3246,0.4545,0.3896,0.1327,0.4352,0.284
17.7,-0.5444,0.5396,0.5328,0.6419,0.5865,0.6142,0.3284,0.4544,0.3914,0.1269,0.4316,0.2792
17.8,-0.4704,0.5518,0.5279,0.643,0.5872,0.6151,0.335,0.4558,0.3954,0.1245,0.4294,0.277
17.9,-0.4016,0.5645,0.5239,0.6459,0.5892,0.6176,0.345,0.459,0.402,0.1259,0.4279,0.2769
18,-0.3384,0.5781,0.5205,0.651,0.5931,0.6221,0.3586,0.4642,0.4114,0.1313,0.4262,0.2787
18.1,-0.2823,0.5919,0.5173,0.6578,0.5983,0.6281,0.3755,0.4709,0.4232,0.1407,0.4236,0.2822
18.2,-0.236,0.6047,0.5141,0.665,0.6042,0.6346,0.3952,0.4789,0.437,0.1532,0.4199,0.2866
18.3,-0.2019,0.6157,0.5115,0.6723,0.6104,0.6414,0.4171,0.4882,0.4527,0.1688,0.4151,0.2919
18.4,-0.1795,0.6254,0.5102,0.6803,0.6169,0.6486,0.4409,0.4995,0.4702,0.1875,0.4099,0.2987
18.5,-0.1662,0.6349,0.5111,0.6901,0.6241,0.6571,0.466,0.5131,0.4896,0.2086,0.4045,0.3066
18.6,-0.1589,0.6447,0.514,0.7019,0.6319,0.6669,0.4915,0.5289,0.5102,0.2307,0.3983,0.3145
18.7,-0.1556,0.6547,0.5184,0.715,0.6398,0.6774,0.5161,0.546,0.5311,0.2521,0.391,0.3216
18.8,-0.155,0.6645,0.5238,0.7283,0.6469,0.6876,0.5388,0.5637,0.5512,0.2723,0.3829,0.3276
18.9,-0.156,0.6739,0.5295,0.7409,0.6525,0.6967,0.5594,0.5817,0.5705,0.2921,0.3754,0.3337
19,-0.1569,0.6831,0.5354,0.7527,0.6565,0.7046,0.5783,0.5998,0.589,0.3128,0.3702,0.3415
19.1,-0.1564,0.692,0.5409,0.7634,0.6588,0.7111,0.5953,0.6173,0.6063,0.3347,0.3683,0.3515
19.2,-0.1544,0.7001,0.5455,0.7724,0.6593,0.7159,0.61,0.6331,0.6216,0.3576,0.3696,0.3636
19.3,-0.1511,0.7069,0.5487,0.7794,0.6584,0.7189,0.6222,0.6464,0.6343,0.381,0.3741,0.3776
19.4,-0.147,0.712,0.5501,0.7844,0.6563,0.7203,0.6315,0.6566,0.6441,0.4055,0.3819,0.3937
19.5,-0.1424,0.7154,0.5501,0.7873,0.6533,0.7203,0.6378,0.6637,0.6507,0.4316,0.3933,0.4125
19.6,-0.1374,0.7174,0.5489,0.7887,0.6493,0.719,0.6409,0.668,0.6544,0.4598,0.4086,0.4342
19.7,-0.132,0.7181,0.5468,0.7887,0.6442,0.7165,0.6412,0.6696,0.6554,0.4897,0.4278,0.4587
19.8,-0.1258,0.7176,0.5438,0.7875,0.6379,0.7127,0.639,0.6687,0.6539,0.521,0.4506,0.4858
19.9,-0.1188,0.7158,0.5397,0.7856,0.6302,0.7079,0.6346,0.6658,0.6502,0.5529,0.4766,0.5147
20,-0.1107,0.7128,0.5341,0.7828,0.6212,0.702,0.6278,0.6614,0.6446,0.5837,0.5051,0.5444
20.1,-0.1011,0.7086,0.5271,0.779,0.6112,0.6951,0.6183,0.6561,0.6372,0.6123,0.5358,0.574
20.2,-0.0897,0.7031,0.5189,0.7739,0.6003,0.6871,0.6063,0.6505,0.6284,0.6373,0.5682,0.6027
20.3,-0.076,0.6965,0.51,0.7673,0.5885,0.6779,0.5927,0.6455,0.6191,0.6588,0.6017,0.6302
20.4,-0.0597,0.6886,0.5015,0.759,0.5761,0.6675,0.5792,0.6415,0.6103,0.6775,0.6356,0.6566
20.5,-0.0404,0.6793,0.4942,0.7492,0.5631,0.6561,0.567,0.6388,0.6029,0.6941,0.6688,0.6814
20.6,-0.0181,0.6689,0.489,0.7379,0.5496,0.6438,0.5565,0.6375,0.597,0.7088,0.7002,0.7045
20.7,0.006,0.6572,0.4867,0.7253,0.5358,0.6306,0.5471,0.6374,0.5923,0.7212,0.7293,0.7253
20.8,0.03,0.6446,0.4878,0.7117,0.5216,0.6166,0.5386,0.6381,0.5884,0.7309,0.7556,0.7433
20.9,0.0524,0.6315,0.4924,0.6972,0.5072,0.6022,0.5317,0.6398,0.5858,0.7373,0.7787,0.758
