Time,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
6.1,0.1912,0.6204,0.4434,0.6068,0.4307,0.5188,0.5231,0.6715,0.5973,0.2504,0.4992,0.3748
6.2,0.189,0.6057,0.4466,0.5667,0.4291,0.4979,0.5235,0.6676,0.5955,0.2623,0.5201,0.3912
6.3,0.1852,0.5924,0.4491,0.5305,0.4298,0.4801,0.5239,0.6606,0.5923,0.2742,0.5415,0.4079
6.4,0.1813,0.5809,0.4505,0.4998,0.4329,0.4664,0.5246,0.6509,0.5877,0.2858,0.5625,0.4241
6.5,0.1782,0.5721,0.4504,0.4753,0.4382,0.4568,0.5261,0.6388,0.5824,0.2969,0.5825,0.4397
6.6,0.1752,0.5664,0.4481,0.4565,0.4452,0.4508,0.5288,0.6249,0.5768,0.3077,0.6011,0.4544
6.7,0.1714,0.5637,0.4429,0.4423,0.4534,0.4479,0.5324,0.6097,0.571,0.3183,0.6174,0.4679
6.8,0.1662,0.5637,0.4355,0.4322,0.4628,0.4475,0.5367,0.5934,0.565,0.328,0.6309,0.4794
6.9,0.1598,0.5662,0.4269,0.4262,0.4733,0.4498,0.5415,0.5766,0.5591,0.3362,0.6418,0.489
7,0.1531,0.5712,0.4181,0.4251,0.4852,0.4551,0.547,0.56,0.5535,0.3425,0.6508,0.4966
7.1,0.1453,0.5788,0.4099,0.4289,0.4983,0.4636,0.5532,0.544,0.5486,0.3465,0.6579,0.5022
7.2,0.135,0.589,0.4024,0.437,0.5125,0.4747,0.5597,0.5293,0.5445,0.3478,0.6627,0.5052
7.3,0.1214,0.6011,0.396,0.4482,0.5271,0.4876,0.5659,0.5157,0.5408,0.3459,0.6647,0.5053
7.4,0.1044,0.6142,0.3911,0.4614,0.542,0.5017,0.5714,0.5035,0.5375,0.341,0.6634,0.5022
7.5,0.0848,0.6275,0.3879,0.4764,0.5571,0.5167,0.5765,0.4928,0.5347,0.3332,0.6585,0.4958
7.6,0.0634,0.6407,0.3861,0.4926,0.5724,0.5325,0.5817,0.484,0.5329,0.3227,0.6499,0.4863
7.7,0.0412,0.6533,0.3853,0.5092,0.5876,0.5484,0.5878,0.4771,0.5325,0.3099,0.6377,0.4738
7.8,0.0186,0.6649,0.3854,0.5253,0.6026,0.564,0.5952,0.4725,0.5339,0.2952,0.6224,0.4588
7.9,-0.004,0.6755,0.3869,0.5399,0.6173,0.5786,0.604,0.4701,0.537,0.2796,0.6046,0.4421
8,-0.0262,0.6851,0.3902,0.552,0.6311,0.5915,0.6134,0.4701,0.5418,0.2637,0.5851,0.4244
8.1,-0.0471,0.6933,0.3949,0.5608,0.6431,0.6019,0.6228,0.4723,0.5475,0.2481,0.5648,0.4065
