Time,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.1,-0.6031,0.7394,0.9795,0.3612,0.7844,0.5728,0.4146,0.7645,0.5895,0.6686,0.7121,0.6904
8.2,-0.6385,0.7276,0.9404,0.3435,0.7575,0.5505,0.4184,0.7382,0.5783,0.6507,0.7082,0.6794
8.3,-0.6674,0.7176,0.8954,0.3265,0.7337,0.5301,0.4199,0.7066,0.5632,0.6282,0.6985,0.6634
8.4,-0.6909,0.7102,0.846,0.311,0.7142,0.5126,0.419,0.6706,0.5448,0.6031,0.6842,0.6437
8.5,-0.7087,0.706,0.7936,0.2978,0.699,0.4984,0.4163,0.6316,0.524,0.578,0.6668,0.6224
8.6,-0.7194,0.7049,0.7399,0.288,0.6879,0.4879,0.4127,0.5908,0.5018,0.5554,0.6482,0.6018
8.7,-0.7213,0.7067,0.6869,0.2823,0.6805,0.4814,0.4093,0.5495,0.4794,0.537,0.6302,0.5836
8.8,-0.7138,0.7108,0.6373,0.281,0.6767,0.4788,0.4061,0.5096,0.4579,0.5239,0.6142,0.569
8.9,-0.6973,0.717,0.5931,0.2845,0.6765,0.4805,0.4032,0.4728,0.438,0.5164,0.6009,0.5586
9,-0.673,0.7248,0.5559,0.2939,0.6793,0.4866,0.3998,0.4403,0.4201,0.5148,0.5906,0.5527
9.1,-0.6419,0.7337,0.5267,0.3098,0.6843,0.497,0.396,0.4124,0.4042,0.5198,0.5839,0.5518
9.2,-0.6055,0.7431,0.5065,0.3315,0.6905,0.511,0.3926,0.3889,0.3907,0.532,0.5819,0.5569
9.3,-0.5657,0.752,0.4953,0.3568,0.6968,0.5268,0.3899,0.3696,0.3797,0.5516,0.5855,0.5686
9.4,-0.5246,0.7601,0.4925,0.3832,0.702,0.5426,0.3879,0.3538,0.3709,0.578,0.5948,0.5864
9.5,-0.4841,0.767,0.497,0.4085,0.7051,0.5568,0.386,0.3412,0.3636,0.6094,0.6095,0.6095
9.6,-0.4451,0.7724,0.5079,0.4322,0.7046,0.5684,0.3837,0.3309,0.3573,0.6441,0.6293,0.6367
9.7,-0.408,0.7759,0.5244,0.4549,0.6998,0.5773,0.3814,0.3228,0.3521,0.6808,0.6541,0.6675
9.8,-0.3733,0.7775,0.5459,0.4775,0.6907,0.5841,0.3805,0.3172,0.3489,0.7181,0.6838,0.7009
